日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,41.28,41.90,41.98,40.83,13.96M,0.39%
2020年3月26日,41.12,40.90,41.91,40.52,14.60M,-0.41%
2020年3月25日,41.29,40.51,41.55,40.35,26.25M,5.33%
2020年3月24日,39.20,39.39,39.55,38.18,22.96M,1.95%
2020年3月23日,38.45,38.88,39.35,37.60,36.57M,-5.23%
2020年3月20日,40.57,40.81,41.73,40.15,33.01M,0.47%
2020年3月19日,40.38,41.58,42.28,39.46,44.12M,-3.14%
2020年3月18日,41.69,42.30,43.35,41.34,29.33M,0.58%
2020年3月17日,41.45,42.36,43.41,40.18,29.14M,-2.31%
2020年3月16日,42.43,45.20,45.39,41.88,31.69M,-5.63%
2020年3月13日,44.96,44.00,45.43,43.25,34.52M,-3.25%
2020年3月12日,46.47,47.90,47.90,45.67,34.60M,-4.32%
2020年3月11日,48.57,49.59,49.61,48.50,13.84M,-2.00%
2020年3月10日,49.56,47.71,49.75,47.70,19.92M,2.14%
2020年3月9日,48.52,50.00,50.00,48.40,41.33M,-5.97%
2020年3月6日,51.60,51.73,53.04,51.50,17.86M,-1.15%
2020年3月5日,52.20,50.15,52.98,50.14,39.49M,4.61%
2020年3月4日,49.90,49.55,50.49,49.32,14.99M,1.18%
2020年3月3日,49.32,50.91,51.20,49.05,24.13M,-1.67%
2020年3月2日,50.16,47.08,50.65,47.08,29.24M,6.63%
2020年2月28日,47.04,49.04,49.04,47.00,26.53M,-5.66%
2020年2月27日,49.86,48.63,50.14,48.50,22.56M,2.89%
2020年2月26日,48.46,47.86,48.90,47.56,20.80M,-0.64%
2020年2月25日,48.77,49.00,49.39,48.00,28.19M,-2.44%
2020年2月24日,49.99,51.00,51.03,49.78,27.08M,-2.76%
2020年2月21日,51.41,51.60,52.48,51.20,21.31M,-0.41%
2020年2月20日,51.62,51.02,51.79,50.95,18.74M,0.82%
2020年2月19日,51.20,50.70,51.95,50.16,19.46M,0.83%
2020年2月18日,50.78,51.60,51.67,50.40,14.89M,-1.38%
2020年2月17日,51.49,49.81,51.50,49.75,17.44M,3.06%
2020年2月14日,49.96,49.97,50.58,49.54,12.12M,-0.52%
2020年2月13日,50.22,50.69,51.35,50.15,15.86M,-0.44%
2020年2月12日,50.44,50.02,51.43,49.80,21.63M,0.88%
2020年2月11日,50.00,50.40,50.85,49.70,17.54M,-0.60%
2020年2月10日,50.30,48.81,50.32,48.18,28.48M,2.97%
2020年2月7日,48.85,49.48,49.48,48.28,22.11M,-1.77%
2020年2月6日,49.73,49.53,49.97,49.00,22.42M,0.44%
2020年2月5日,49.51,49.30,50.50,48.94,30.46M,0.08%
2020年2月4日,49.47,48.80,50.30,48.75,30.94M,2.02%
