日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,26.57,26.72,27.16,26.42,83.49M,1.41%
2020年3月26日,26.20,26.22,26.51,26.00,57.63M,-1.13%
2020年3月25日,26.50,25.35,26.60,25.35,149.76M,6.43%
2020年3月24日,24.90,25.08,25.16,24.36,93.40M,1.43%
2020年3月23日,24.55,24.84,25.08,24.39,70.38M,-4.84%
2020年3月20日,25.80,25.50,25.94,25.06,97.53M,2.26%
2020年3月19日,25.23,25.80,25.93,24.18,151.01M,-4.07%
2020年3月18日,26.30,27.40,27.64,26.01,192.87M,-6.44%
2020年3月17日,28.11,28.55,28.86,27.30,71.08M,-1.51%
2020年3月16日,28.54,29.46,29.46,28.29,64.66M,-3.09%
2020年3月13日,29.45,28.50,29.80,28.20,73.25M,-1.67%
2020年3月12日,29.95,30.01,30.63,29.60,59.35M,-1.42%
2020年3月11日,30.38,30.83,31.00,30.36,56.33M,-1.36%
2020年3月10日,30.80,30.60,31.57,30.20,76.60M,0.82%
2020年3月9日,30.55,30.60,31.13,30.01,84.36M,-1.86%
2020年3月6日,31.13,31.81,31.99,30.99,67.95M,-3.62%
2020年3月5日,32.30,31.78,32.70,31.60,92.42M,0.12%
2020年3月4日,32.26,31.28,32.45,30.74,112.98M,3.73%
2020年3月3日,31.10,31.51,31.63,30.43,94.28M,-0.10%
2020年3月2日,31.13,29.90,31.63,29.90,137.57M,5.20%
2020年2月28日,29.59,29.25,30.60,29.18,110.13M,-0.27%
2020年2月27日,29.67,30.23,30.26,29.38,92.28M,-1.46%
2020年2月26日,30.11,28.85,30.96,28.60,165.45M,2.66%
2020年2月25日,29.33,28.82,29.65,28.80,105.30M,1.49%
2020年2月24日,28.90,29.10,29.15,28.42,95.00M,-1.20%
2020年2月21日,29.25,29.80,29.80,29.00,105.92M,-2.01%
2020年2月20日,29.85,29.51,29.87,29.28,80.20M,0.67%
2020年2月19日,29.65,29.72,30.10,29.55,60.82M,-0.17%
2020年2月18日,29.70,30.01,30.05,29.52,78.60M,-2.37%
2020年2月17日,30.42,30.94,30.95,29.92,102.21M,-1.23%
2020年2月14日,30.80,30.00,30.80,29.97,119.77M,2.84%
2020年2月13日,29.95,29.48,30.75,29.46,89.57M,2.99%
2020年2月12日,29.08,28.99,29.30,28.85,41.76M,0.00%
2020年2月11日,29.08,28.55,29.53,28.55,68.54M,1.43%
2020年2月10日,28.67,27.25,28.88,27.12,91.12M,4.25%
2020年2月7日,27.50,27.49,27.60,27.21,71.38M,-1.43%
2020年2月6日,27.90,27.75,28.12,27.42,87.19M,0.94%
2020年2月5日,27.64,27.51,27.98,27.22,80.07M,0.07%
2020年2月4日,27.62,26.90,27.87,26.90,103.63M,3.72%
2020年2月3日,26.63,26.09,27.52,26.08,153.09M,-8.11%
2020年1月23日,28.98,29.70,29.78,28.68,98.69M,-3.75%
2020年1月22日,30.11,29.20,30.34,29.18,93.77M,3.08%
2020年1月21日,29.21,29.56,29.86,29.02,81.80M,-2.21%
2020年1月20日,29.87,30.50,30.51,29.52,91.56M,-1.94%
2020年1月17日,30.46,30.62,30.85,30.32,47.22M,-0.23%
2020年1月16日,30.53,30.62,30.93,30.40,58.14M,0.13%
2020年1月15日,30.49,31.30,31.49,30.46,67.29M,-2.87%
2020年1月14日,31.39,31.55,31.79,31.37,41.97M,-0.92%
2020年1月13日,31.68,31.40,31.78,31.26,62.07M,0.70%
2020年1月10日,31.46,32.00,32.22,31.35,55.74M,-2.30%
2020年1月9日,32.20,32.15,32.48,31.85,78.37M,1.64%
2020年1月8日,31.68,31.30,31.77,31.05,53.00M,-0.25%
2020年1月7日,31.76,31.61,31.93,31.35,57.79M,0.79%
2020年1月6日,31.51,31.75,31.76,31.25,87.68M,-1.68%
2020年1月3日,32.05,32.71,32.81,31.78,80.55M,-1.57%
2020年1月2日,32.56,32.80,33.60,32.51,101.21M,1.18%
2019年12月31日,32.18,31.35,32.45,31.32,66.35M,1.93%
2019年12月30日,31.57,31.35,31.79,31.02,91.58M,1.84%
2019年12月27日,31.00,31.23,31.32,30.81,70.31M,-0.39%
2019年12月26日,31.12,30.50,31.30,30.50,88.88M,2.74%
2019年12月25日,30.29,30.40,30.63,30.18,68.50M,-0.30%
2019年12月24日,30.38,31.01,31.10,30.09,75.49M,-2.03%
2019年12月23日,31.01,31.68,32.19,30.99,63.88M,-2.11%
2019年12月20日,31.68,31.35,32.25,31.35,89.34M,2.09%
2019年12月19日,31.03,30.40,31.33,30.30,86.11M,2.38%
2019年12月18日,30.31,30.50,30.96,30.20,90.79M,-0.46%
2019年12月17日,30.45,29.35,31.34,29.19,159.65M,3.40%
2019年12月16日,29.45,28.25,29.45,28.15,189.61M,4.62%
2019年12月13日,28.15,28.18,28.34,28.13,143.14M,0.54%
2019年12月12日,28.00,28.02,28.17,27.94,56.38M,0.00%
2019年12月11日,28.00,27.99,28.24,27.95,98.52M,0.36%
2019年12月10日,27.90,28.08,28.15,27.73,68.55M,-0.96%
2019年12月9日,28.17,27.96,28.35,27.96,116.06M,1.11%
2019年12月6日,27.86,27.86,27.88,27.72,35.84M,0.22%
2019年12月5日,27.80,27.95,27.95,27.61,37.33M,0.07%
2019年12月4日,27.78,27.88,28.00,27.65,34.34M,-0.79%
2019年12月3日,28.00,27.97,28.18,27.73,59.70M,-0.18%
2019年12月2日,28.05,27.87,28.12,27.86,100.68M,1.26%
2019年11月29日,27.70,27.83,27.85,27.59,44.81M,-0.36%
2019年11月28日,27.80,28.01,28.01,27.62,44.00M,-0.71%
2019年11月27日,28.00,28.29,28.39,27.88,63.14M,-1.23%
2019年11月26日,28.35,28.65,28.70,28.09,71.72M,-1.05%
2019年11月25日,28.65,27.30,28.65,27.30,136.80M,6.07%
2019年11月22日,27.01,26.78,27.10,26.69,66.99M,0.97%
2019年11月21日,26.75,26.55,26.76,26.45,38.57M,0.38%
2019年11月20日,26.65,26.75,26.81,26.60,48.58M,-0.26%
2019年11月19日,26.72,26.46,26.77,26.40,67.09M,1.14%
2019年11月18日,26.42,26.40,26.56,26.11,36.81M,-0.26%
2019年11月15日,26.49,26.44,26.66,26.37,46.81M,0.38%
2019年11月14日,26.39,26.23,26.47,26.07,37.83M,0.76%
2019年11月13日,26.19,26.28,26.30,26.00,34.70M,-0.34%
2019年11月12日,26.28,26.32,26.53,26.21,36.33M,-0.38%
2019年11月11日,26.38,26.58,26.59,26.32,46.33M,-1.35%
2019年11月8日,26.74,26.69,26.81,26.57,48.52M,0.64%
2019年11月7日,26.57,26.61,26.68,26.50,33.84M,-0.30%
2019年11月6日,26.65,26.87,26.87,26.42,67.50M,-0.86%
2019年11月5日,26.88,26.90,27.04,26.53,98.96M,0.07%
2019年11月4日,26.86,26.93,27.04,26.72,53.90M,0.11%
2019年11月1日,26.83,26.56,26.86,26.19,62.60M,1.13%
2019年10月31日,26.53,26.65,26.80,26.38,33.62M,-0.45%
2019年10月30日,26.65,26.62,26.81,26.60,36.33M,-0.07%
2019年10月29日,26.67,26.86,26.94,26.65,35.60M,-0.78%
2019年10月28日,26.88,26.96,26.96,26.50,43.10M,-0.33%
2019年10月25日,26.97,26.81,27.26,26.75,57.69M,1.16%
2019年10月24日,26.66,26.75,26.94,26.55,42.78M,-0.45%
2019年10月23日,26.78,27.25,27.29,26.67,56.75M,-2.12%
2019年10月22日,27.36,27.74,27.76,27.13,61.00M,-1.01%
2019年10月21日,27.64,27.08,27.75,27.00,87.21M,2.52%
2019年10月18日,26.96,27.50,27.73,26.80,60.77M,-1.43%
2019年10月17日,27.35,27.20,27.65,27.05,68.03M,1.03%
2019年10月16日,27.07,26.97,27.73,26.91,100.31M,1.12%
2019年10月15日,26.77,27.19,27.28,26.69,50.03M,-1.29%
2019年10月14日,27.12,26.95,27.33,26.84,104.06M,1.16%
2019年10月11日,26.81,26.74,26.85,26.51,69.03M,0.71%
2019年10月10日,26.62,26.85,26.95,26.50,54.10M,-0.67%
2019年10月9日,26.80,26.19,27.02,26.15,115.62M,1.67%
2019年10月8日,26.36,26.01,26.80,26.01,84.62M,1.78%
2019年9月30日,25.90,25.97,26.14,25.81,27.59M,-0.38%
2019年9月27日,26.00,26.21,26.21,25.91,39.79M,-0.84%
2019年9月26日,26.22,26.10,26.40,26.02,51.30M,0.77%
2019年9月25日,26.02,26.09,26.24,25.94,37.72M,-0.42%
2019年9月24日,26.13,26.24,26.33,26.09,34.82M,-0.08%
2019年9月23日,26.15,26.49,26.49,26.00,60.35M,-2.43%
2019年9月20日,26.80,26.89,26.95,26.63,37.57M,0.26%
2019年9月19日,26.73,27.05,27.07,26.60,34.54M,-0.78%
2019年9月18日,26.94,26.82,27.22,26.79,36.16M,0.45%
2019年9月17日,26.82,27.15,27.16,26.69,41.65M,-1.43%
2019年9月16日,27.21,27.77,27.77,27.15,48.50M,-2.05%
2019年9月12日,27.78,27.14,27.81,27.13,89.58M,3.23%
2019年9月11日,26.91,27.30,27.33,26.77,35.04M,-1.21%
2019年9月10日,27.24,27.20,27.27,26.98,38.83M,0.63%
2019年9月9日,27.07,27.05,27.36,27.01,51.04M,0.67%
2019年9月6日,26.89,26.88,26.92,26.64,44.23M,0.71%
2019年9月5日,26.70,26.83,27.35,26.65,78.03M,0.00%
2019年9月4日,26.70,25.83,26.75,25.73,90.81M,3.89%
2019年9月3日,25.70,25.97,26.05,25.61,45.45M,-0.73%
2019年9月2日,25.89,25.75,26.06,25.69,43.95M,0.35%
2019年8月30日,25.80,26.22,26.22,25.68,43.49M,-0.65%
2019年8月29日,25.97,26.59,26.64,25.86,56.21M,-2.18%
2019年8月28日,26.55,26.55,26.69,26.36,26.63M,0.11%
2019年8月27日,26.52,26.62,26.98,26.47,49.73M,0.26%
2019年8月26日,26.45,26.46,26.56,26.20,47.23M,-1.89%
2019年8月23日,26.96,27.25,27.28,26.90,37.43M,-0.74%
2019年8月22日,27.16,27.54,27.55,27.12,28.56M,-0.84%
2019年8月21日,27.39,27.41,27.77,27.25,43.88M,0.81%
2019年8月20日,27.17,26.78,27.36,26.70,47.87M,1.08%
2019年8月19日,26.88,26.90,26.96,26.42,48.74M,2.28%
2019年8月16日,26.28,26.40,26.52,26.16,35.82M,-0.23%
2019年8月15日,26.34,26.00,26.43,25.65,35.04M,-2.91%
2019年8月14日,27.13,27.69,27.74,26.90,52.85M,-0.73%
2019年8月13日,27.33,27.62,27.74,27.18,28.77M,-1.58%
2019年8月12日,27.77,27.31,27.88,27.28,26.25M,1.76%
2019年8月9日,27.29,27.85,27.85,27.16,25.47M,-1.30%
2019年8月8日,27.65,27.53,27.80,27.36,27.85M,1.06%
2019年8月7日,27.36,27.15,27.56,27.05,36.66M,1.26%
2019年8月6日,27.02,26.65,27.34,26.41,44.68M,0.04%
2019年8月5日,27.01,27.72,27.76,27.00,43.08M,-3.57%
2019年8月2日,28.01,27.75,28.25,27.68,43.60M,-1.44%
2019年8月1日,28.42,28.50,28.75,28.19,36.13M,-1.18%
2019年7月31日,28.76,29.40,29.40,28.51,68.74M,-3.55%
2019年7月30日,29.82,29.75,30.09,29.75,20.28M,0.40%
2019年7月29日,29.70,29.92,30.11,29.60,24.26M,-0.87%
2019年7月26日,29.96,29.81,30.08,29.70,31.98M,-0.40%
2019年7月25日,30.08,29.96,30.11,29.60,33.40M,0.37%
2019年7月24日,29.97,30.00,30.30,29.73,39.17M,-0.10%
2019年7月23日,30.00,30.90,31.00,29.63,59.63M,-3.54%
2019年7月22日,31.10,30.71,31.45,30.53,45.76M,1.27%
2019年7月19日,30.71,30.70,30.98,30.46,50.63M,2.06%
2019年7月18日,30.09,29.97,30.30,29.84,26.41M,-0.13%
2019年7月17日,30.13,29.90,30.30,29.82,23.30M,0.23%
2019年7月16日,30.06,29.90,30.40,29.85,34.77M,0.20%
2019年7月15日,30.00,29.43,30.08,29.20,46.55M,1.18%
2019年7月12日,29.65,29.20,29.86,29.11,33.38M,1.51%
2019年7月11日,29.21,29.38,29.75,29.18,31.86M,0.14%
2019年7月10日,29.17,29.41,29.42,28.91,17.78M,0.07%
2019年7月9日,29.15,29.15,29.69,29.08,33.28M,0.00%
2019年7月8日,29.15,29.50,29.51,28.65,39.45M,-1.02%
2019年7月5日,29.45,29.45,29.68,29.13,35.11M,-0.34%
2019年7月4日,29.55,29.22,30.28,29.22,66.28M,1.30%
2019年7月3日,29.17,28.71,29.49,28.61,67.26M,1.07%
2019年7月2日,28.86,28.50,28.93,28.28,55.32M,0.84%
2019年7月1日,28.62,28.18,28.67,28.00,68.72M,2.91%
2019年6月28日,27.81,27.86,27.96,27.69,19.40M,-0.11%
2019年6月27日,27.84,27.89,28.08,27.71,27.41M,0.18%
2019年6月26日,27.79,27.85,27.99,27.71,18.47M,-0.32%
2019年6月25日,27.88,28.17,28.25,27.63,28.25M,-0.89%
2019年6月24日,28.13,28.12,28.25,28.03,27.01M,-0.64%
2019年6月21日,28.31,28.40,28.52,28.12,49.25M,-0.49%
2019年6月20日,28.45,27.70,28.45,27.63,57.75M,2.60%
2019年6月19日,27.73,28.20,28.38,27.59,39.02M,0.11%
2019年6月18日,27.70,28.08,28.11,27.40,21.92M,-0.75%
2019年6月17日,27.91,27.80,28.20,27.75,17.17M,-0.07%
2019年6月14日,27.93,28.01,28.29,27.78,31.14M,0.36%
2019年6月13日,27.83,28.00,28.05,27.58,25.04M,-0.61%
2019年6月12日,28.00,28.24,28.29,27.81,26.94M,-1.16%
2019年6月11日,28.33,27.87,28.45,27.85,44.96M,1.87%
2019年6月10日,27.81,27.29,28.05,27.17,52.75M,2.54%
2019年6月6日,27.12,27.01,27.29,26.92,33.38M,0.33%
2019年6月5日,27.03,26.64,27.28,26.63,57.62M,2.78%
2019年6月4日,26.30,26.47,26.54,26.25,20.33M,-0.53%
2019年6月3日,26.44,26.81,27.02,26.28,31.76M,-0.97%
2019年5月31日,26.70,26.85,27.07,26.70,20.01M,-0.82%
2019年5月30日,26.92,27.11,27.11,26.73,20.05M,-0.88%
2019年5月29日,27.16,27.30,27.42,27.01,21.47M,-1.67%
2019年5月28日,27.62,27.00,27.62,26.84,40.99M,2.30%
2019年5月27日,27.00,26.79,27.08,26.30,25.20M,0.67%
2019年5月24日,26.82,26.90,27.05,26.61,19.78M,0.37%
2019年5月23日,26.72,27.20,27.28,26.66,27.07M,-2.34%
2019年5月22日,27.36,27.40,27.59,27.10,20.46M,-0.58%
2019年5月21日,27.52,27.28,27.79,27.20,26.56M,0.95%
2019年5月20日,27.26,27.48,27.64,26.91,25.60M,-0.37%
2019年5月17日,27.36,28.20,28.21,27.30,32.67M,-2.74%
2019年5月16日,28.13,27.87,28.19,27.82,30.73M,0.39%
2019年5月15日,28.02,27.85,28.27,27.80,37.46M,1.52%
2019年5月14日,27.60,27.66,28.08,27.40,34.40M,-1.60%
2019年5月13日,28.05,27.53,28.08,27.45,31.24M,0.07%
2019年5月10日,28.03,27.27,28.09,26.83,47.19M,3.74%
2019年5月9日,27.02,27.28,27.49,26.70,35.09M,-1.35%
2019年5月8日,27.39,27.42,28.01,27.26,35.39M,-2.11%
2019年5月7日,27.98,27.46,28.16,27.38,50.30M,3.25%
2019年5月6日,27.10,28.00,28.31,26.70,70.07M,-6.16%
2019年5月3日,28.88,28.88,28.88,28.88,-,0.00%
2019年5月1日,28.88,28.88,28.88,28.88,-,0.00%
2019年4月30日,28.88,29.05,29.16,28.38,50.38M,-1.60%
2019年4月29日,29.35,29.01,29.56,29.00,49.84M,0.93%
2019年4月26日,29.08,29.10,29.38,28.90,39.69M,-1.05%
2019年4月25日,29.39,29.41,29.86,29.20,47.22M,-0.71%
2019年4月24日,29.60,29.80,29.81,29.01,44.75M,0.30%
2019年4月23日,29.51,29.40,29.75,29.25,59.91M,0.00%
2019年4月22日,29.51,30.97,30.97,29.31,125.46M,-6.26%
2019年4月19日,31.48,30.61,31.51,30.46,45.46M,2.54%
2019年4月18日,30.70,30.84,30.84,30.31,45.93M,-0.90%
2019年4月17日,30.98,31.50,31.50,30.77,54.35M,-2.09%
2019年4月16日,31.64,30.75,31.68,30.01,70.92M,2.26%
2019年4月15日,30.94,31.77,32.00,30.88,55.78M,-0.48%
2019年4月12日,31.09,31.57,31.77,30.81,48.24M,-2.36%
2019年4月11日,31.84,32.65,33.20,31.41,57.38M,-2.84%
2019年4月10日,32.77,32.90,33.20,32.40,53.91M,-2.12%
2019年4月9日,33.48,32.06,33.60,31.78,90.42M,6.15%
2019年4月8日,31.54,32.28,32.80,31.25,74.49M,-2.11%
2019年4月4日,32.22,32.50,33.12,31.75,69.21M,-0.83%
2019年4月3日,32.49,31.88,32.52,31.40,45.31M,1.56%
2019年4月2日,31.99,32.13,32.48,31.71,50.93M,-0.25%
2019年4月1日,32.07,31.02,33.10,31.00,107.85M,4.39%
