日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,17.25,17.05,17.55,16.93,86.97M,2.68%
2020年3月26日,16.80,16.80,17.30,16.64,55.35M,-1.18%
2020年3月25日,17.00,17.35,17.40,16.61,109.05M,1.67%
2020年3月24日,16.72,16.37,16.77,16.31,123.64M,4.70%
2020年3月23日,15.97,15.38,16.26,15.18,143.35M,0.44%
2020年3月20日,15.90,15.27,16.10,15.11,162.15M,5.86%
2020年3月19日,15.02,15.39,15.79,14.59,185.70M,-2.40%
2020年3月18日,15.39,16.05,16.56,15.35,126.83M,-3.33%
2020年3月17日,15.92,15.51,16.13,15.07,129.41M,2.31%
2020年3月16日,15.56,17.00,17.03,15.39,136.58M,-7.16%
2020年3月13日,16.76,16.18,17.30,16.04,111.81M,-1.41%
2020年3月12日,17.00,17.10,17.39,16.82,68.79M,-2.35%
2020年3月11日,17.41,18.00,18.04,17.37,62.18M,-2.68%
2020年3月10日,17.89,17.25,18.10,17.24,73.44M,2.00%
2020年3月9日,17.54,17.90,18.24,17.52,84.27M,-3.89%
2020年3月6日,18.25,18.55,18.60,18.10,84.76M,-3.18%
2020年3月5日,18.85,18.87,19.28,18.58,101.60M,0.16%
2020年3月4日,18.82,18.31,18.90,18.17,110.37M,1.84%
2020年3月3日,18.48,19.30,19.42,18.05,188.27M,-2.43%
2020年3月2日,18.94,17.52,19.10,17.52,198.74M,8.66%
2020年2月28日,17.43,17.37,18.09,17.09,141.66M,-1.53%
2020年2月27日,17.70,17.06,17.82,17.01,141.94M,4.73%
2020年2月26日,16.90,16.60,17.33,16.33,102.79M,0.42%
2020年2月25日,16.83,16.90,17.07,16.44,95.22M,-2.60%
2020年2月24日,17.28,17.30,17.55,17.11,80.21M,0.35%
2020年2月21日,17.22,16.95,17.33,16.83,85.67M,1.29%
2020年2月20日,17.00,16.73,17.00,16.52,83.05M,1.55%
2020年2月19日,16.74,16.92,16.95,16.73,51.19M,-1.41%
2020年2月18日,16.98,17.20,17.21,16.77,66.99M,-1.16%
2020年2月17日,17.18,16.75,17.19,16.70,71.99M,2.26%
2020年2月14日,16.80,16.70,16.90,16.57,56.40M,0.06%
2020年2月13日,16.79,16.63,16.83,16.52,77.29M,1.21%
2020年2月12日,16.59,16.55,16.70,16.41,75.64M,0.24%
2020年2月11日,16.55,16.33,16.85,16.27,90.26M,0.61%
2020年2月10日,16.45,15.66,16.50,15.43,136.08M,4.18%
2020年2月7日,15.79,15.88,16.02,15.52,88.33M,-1.31%
2020年2月6日,16.00,15.90,16.04,15.48,86.57M,2.63%
2020年2月5日,15.59,15.77,16.08,15.50,109.43M,1.23%
