日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,20.53,20.30,20.87,20.30,28.02M,2.19%
2020年3月26日,20.09,20.18,20.45,19.88,24.05M,-2.14%
2020年3月25日,20.53,19.70,20.85,19.70,54.21M,8.05%
2020年3月24日,19.00,17.94,19.11,17.83,37.73M,7.34%
2020年3月23日,17.70,18.10,18.40,17.46,51.90M,-7.09%
2020年3月20日,19.05,19.12,19.25,18.77,33.72M,0.16%
2020年3月19日,19.02,19.92,20.10,18.60,46.59M,-5.37%
2020年3月18日,20.10,20.72,20.97,20.00,31.79M,-2.95%
2020年3月17日,20.71,20.95,21.22,20.30,21.08M,-0.72%
2020年3月16日,20.86,22.24,22.25,20.62,37.56M,-5.87%
2020年3月13日,22.16,22.04,22.48,21.45,23.18M,-2.25%
2020年3月12日,22.67,22.78,22.83,22.30,18.80M,-1.00%
2020年3月11日,22.90,23.42,23.72,22.86,29.58M,-1.72%
2020年3月10日,23.30,22.05,23.45,22.04,28.64M,4.67%
2020年3月9日,22.26,22.52,22.55,22.18,29.67M,-2.88%
2020年3月6日,22.92,23.40,23.47,22.85,18.90M,-2.92%
2020年3月5日,23.61,23.85,24.00,23.39,22.54M,-0.30%
2020年3月4日,23.68,23.22,23.80,23.22,22.88M,0.77%
2020年3月3日,23.50,23.52,23.82,23.14,21.52M,1.29%
2020年3月2日,23.20,22.32,23.63,22.28,33.38M,4.46%
2020年2月28日,22.21,23.00,23.20,22.21,29.79M,-4.88%
2020年2月27日,23.35,23.53,23.97,23.18,24.05M,-0.68%
2020年2月26日,23.51,23.43,23.81,23.05,25.75M,-0.72%
2020年2月25日,23.68,23.50,23.88,23.02,25.14M,-0.08%
2020年2月24日,23.70,23.60,24.32,23.60,27.93M,-0.63%
2020年2月21日,23.85,23.22,23.88,23.20,34.53M,3.70%
2020年2月20日,23.00,22.90,23.10,22.68,21.20M,1.10%
2020年2月19日,22.75,22.52,23.17,22.51,31.06M,0.75%
2020年2月18日,22.58,22.69,22.69,22.39,24.71M,-0.70%
2020年2月17日,22.74,21.54,23.04,21.52,47.19M,5.82%
2020年2月14日,21.49,21.56,21.78,21.31,16.72M,-0.32%
2020年2月13日,21.56,21.56,21.90,21.45,19.30M,-0.42%
2020年2月12日,21.65,21.33,21.65,21.18,19.54M,1.50%
2020年2月11日,21.33,21.60,21.67,21.28,22.06M,-0.33%
2020年2月10日,21.40,21.00,21.58,20.96,26.83M,0.71%
2020年2月7日,21.25,21.02,21.30,20.73,27.02M,1.14%
2020年2月6日,21.01,20.95,21.17,20.60,29.33M,0.57%
2020年2月5日,20.89,20.51,20.96,20.42,40.50M,2.40%
2020年2月4日,20.40,20.68,21.00,20.33,47.28M,-0.49%
2020年2月3日,20.50,20.40,21.46,20.35,51.35M,-9.33%
2020年1月23日,22.61,23.10,23.10,22.50,24.89M,-2.59%
2020年1月22日,23.21,23.02,23.34,22.95,22.74M,0.48%
2020年1月21日,23.10,24.06,24.06,23.05,42.03M,-4.35%
2020年1月20日,24.15,24.66,24.74,24.04,28.64M,-2.38%
2020年1月17日,24.74,25.03,25.17,24.64,16.84M,-0.24%
2020年1月16日,24.80,24.80,25.17,24.61,18.67M,0.98%
2020年1月15日,24.56,24.78,24.93,24.44,19.08M,-1.64%
2020年1月14日,24.97,25.05,25.36,24.65,34.79M,-1.30%
2020年1月13日,25.30,25.21,25.39,24.83,24.06M,1.00%
2020年1月10日,25.05,24.93,25.15,24.78,25.64M,0.40%
2020年1月9日,24.95,24.00,25.09,23.90,54.67M,4.44%
2020年1月8日,23.89,23.49,24.00,23.30,30.61M,1.53%
2020年1月7日,23.53,23.43,23.53,23.34,18.66M,0.73%
2020年1月6日,23.36,24.05,24.05,23.31,52.46M,-3.07%
2020年1月3日,24.10,24.22,24.35,24.07,20.01M,-0.29%
2020年1月2日,24.17,24.00,24.51,23.97,37.37M,1.34%
2019年12月31日,23.85,23.78,23.98,23.72,20.94M,0.00%
2019年12月30日,23.85,23.92,24.05,23.72,26.65M,-0.13%
2019年12月27日,23.88,23.56,24.09,23.56,17.97M,0.93%
2019年12月26日,23.66,23.54,23.71,23.54,11.20M,0.17%
2019年12月25日,23.62,23.78,23.82,23.49,12.20M,0.00%
2019年12月24日,23.62,23.70,23.90,23.46,12.07M,-0.34%
2019年12月23日,23.70,24.10,24.21,23.69,22.67M,-1.17%
2019年12月20日,23.98,23.87,24.28,23.84,21.02M,0.46%
2019年12月19日,23.87,23.78,24.04,23.78,17.52M,-0.04%
2019年12月18日,23.88,23.84,23.98,23.74,21.43M,-0.08%
2019年12月17日,23.90,23.88,23.95,23.70,22.79M,0.34%
2019年12月16日,23.82,23.71,23.83,23.64,18.47M,0.51%
2019年12月13日,23.70,23.72,23.81,23.60,29.58M,0.77%
2019年12月12日,23.52,23.50,23.60,23.32,20.02M,0.43%
2019年12月11日,23.42,23.20,23.55,22.97,27.33M,1.12%
2019年12月10日,23.16,22.63,23.18,22.60,23.23M,2.12%
2019年12月9日,22.68,22.76,22.80,22.57,17.23M,-0.31%
2019年12月6日,22.75,22.83,23.04,22.67,19.22M,-0.22%
2019年12月5日,22.80,22.86,22.88,22.68,14.04M,0.18%
2019年12月4日,22.76,23.06,23.19,22.67,18.01M,-1.94%
2019年12月3日,23.21,23.25,23.26,23.01,11.60M,0.13%
2019年12月2日,23.18,23.27,23.39,23.10,10.96M,-0.30%
2019年11月29日,23.25,23.05,23.52,23.04,18.28M,0.91%
2019年11月28日,23.04,23.32,23.43,22.91,11.79M,-1.33%
2019年11月27日,23.35,23.42,23.47,23.21,16.16M,-0.34%
2019年11月26日,23.43,23.20,23.45,23.20,29.89M,1.43%
2019年11月25日,23.10,22.51,23.19,22.50,26.17M,2.67%
2019年11月22日,22.50,22.60,22.79,22.49,14.90M,-0.27%
2019年11月21日,22.56,22.77,22.80,22.51,15.74M,-0.92%
2019年11月20日,22.77,22.82,22.97,22.75,11.87M,-0.22%
2019年11月19日,22.82,22.82,22.87,22.70,16.89M,0.00%
2019年11月18日,22.82,23.02,23.04,22.63,20.25M,-1.51%
2019年11月15日,23.17,23.03,23.49,22.81,30.40M,0.87%
2019年11月14日,22.97,23.07,23.17,22.97,13.29M,-0.43%
2019年11月13日,23.07,23.24,23.34,23.02,12.09M,-0.90%
2019年11月12日,23.28,23.50,23.55,23.21,11.45M,-0.51%
2019年11月11日,23.40,23.60,23.63,23.33,11.88M,-1.47%
2019年11月8日,23.75,24.11,24.12,23.71,19.39M,-1.45%
2019年11月7日,24.10,23.70,24.10,23.70,22.07M,1.60%
2019年11月6日,23.72,23.79,23.86,23.55,10.95M,-0.29%
2019年11月5日,23.79,23.93,24.06,23.70,19.22M,-0.29%
2019年11月4日,23.86,23.96,24.07,23.68,16.69M,0.04%
2019年11月1日,23.85,23.54,23.97,23.37,18.86M,1.49%
2019年10月31日,23.50,23.32,23.50,23.10,11.31M,0.86%
2019年10月30日,23.30,23.63,23.63,23.16,12.07M,-0.94%
2019年10月29日,23.52,23.72,23.72,23.51,9.91M,-0.68%
2019年10月28日,23.68,23.07,23.75,23.03,19.62M,2.64%
2019年10月25日,23.07,23.21,23.24,22.90,20.82M,-0.52%
2019年10月24日,23.19,23.28,23.36,23.13,9.18M,-0.04%
2019年10月23日,23.20,23.26,23.30,23.12,8.48M,-0.26%
2019年10月22日,23.26,23.35,23.36,23.13,11.56M,0.43%
2019年10月21日,23.16,23.46,23.55,23.09,14.55M,-1.24%
2019年10月18日,23.45,23.92,23.93,23.41,16.52M,-1.39%
2019年10月17日,23.78,24.15,24.21,23.15,15.01M,-1.53%
2019年10月16日,24.15,24.15,24.20,23.91,11.57M,0.92%
2019年10月15日,23.93,24.60,24.60,23.89,23.33M,-1.89%
2019年10月14日,24.39,24.00,24.48,23.97,22.70M,1.92%
2019年10月11日,23.93,23.99,23.99,23.75,11.33M,0.08%
2019年10月10日,23.91,23.45,23.95,23.42,17.30M,2.01%
2019年10月9日,23.44,23.61,23.69,23.34,16.45M,-1.10%
2019年10月8日,23.70,23.79,23.86,23.65,13.26M,-0.34%
2019年9月30日,23.78,23.65,24.10,23.60,15.98M,0.34%
2019年9月27日,23.70,23.78,23.80,23.57,15.44M,-0.42%
2019年9月26日,23.80,23.76,23.93,23.66,23.92M,0.55%
2019年9月25日,23.67,24.09,24.15,23.57,32.12M,-2.19%
2019年9月24日,24.20,24.27,24.40,24.12,29.80M,-0.29%
