日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,62.09,63.97,64.49,61.51,18.87M,-2.98%
2020年3月26日,64.00,64.00,65.17,63.60,10.58M,-1.11%
2020年3月25日,64.72,63.96,65.01,63.58,12.56M,4.10%
2020年3月24日,62.17,60.80,62.85,60.01,15.57M,4.82%
2020年3月23日,59.31,60.99,60.99,58.00,24.06M,-5.63%
2020年3月20日,62.85,61.88,62.85,60.50,17.83M,3.03%
2020年3月19日,61.00,62.80,63.60,59.70,21.30M,-3.63%
2020年3月18日,63.30,64.00,65.99,63.12,16.45M,-1.09%
2020年3月17日,64.00,65.01,66.50,63.40,20.46M,-3.32%
2020年3月16日,66.20,68.30,68.85,65.81,19.32M,-3.95%
2020年3月13日,68.92,66.70,69.28,66.66,17.66M,-1.03%
2020年3月12日,69.64,69.30,70.29,68.18,12.35M,-0.64%
2020年3月11日,70.09,71.40,71.52,70.01,7.23M,-1.28%
2020年3月10日,71.00,70.24,71.71,69.46,10.67M,0.84%
2020年3月9日,70.41,70.15,71.70,68.80,17.11M,-1.94%
2020年3月6日,71.80,72.00,73.13,71.80,12.09M,-1.64%
2020年3月5日,73.00,71.02,73.68,70.98,18.88M,1.83%
2020年3月4日,71.69,69.00,72.15,68.46,22.19M,4.35%
2020年3月3日,68.70,69.56,70.54,68.33,14.59M,-0.15%
2020年3月2日,68.80,65.90,69.61,65.90,19.60M,4.70%
2020年2月28日,65.71,64.32,67.59,64.32,22.40M,-2.80%
2020年2月27日,67.60,68.00,68.88,67.28,18.51M,0.04%
2020年2月26日,67.57,67.88,68.32,67.00,17.07M,-1.50%
2020年2月25日,68.60,68.17,69.01,67.87,20.52M,-1.83%
2020年2月24日,69.88,71.00,71.18,68.90,29.67M,-3.87%
2020年2月21日,72.69,73.93,73.97,72.30,12.86M,-1.50%
2020年2月20日,73.80,72.05,74.22,72.00,16.61M,2.39%
2020年2月19日,72.08,71.15,72.48,70.59,11.54M,1.55%
2020年2月18日,70.98,71.40,72.12,70.65,12.92M,-0.82%
2020年2月17日,71.57,72.13,72.16,70.55,16.75M,-0.60%
2020年2月14日,72.00,72.08,72.38,71.51,9.17M,-0.55%
2020年2月13日,72.40,72.70,73.85,71.72,13.67M,0.03%
2020年2月12日,72.38,72.00,73.49,71.66,13.14M,0.22%
2020年2月11日,72.22,70.91,72.43,70.85,10.09M,2.12%
2020年2月10日,70.72,71.00,71.20,69.20,12.86M,-1.38%
2020年2月7日,71.71,71.15,71.99,70.68,12.01M,0.13%
2020年2月6日,71.62,71.12,71.70,70.40,18.25M,1.88%
2020年2月5日,70.30,68.80,71.17,68.39,23.53M,3.08%
2020年2月4日,68.20,65.00,69.29,64.66,35.96M,6.90%
2020年2月3日,63.80,62.08,65.48,62.08,52.09M,-7.51%
2020年1月23日,68.98,70.09,70.33,68.49,21.71M,-2.79%
2020年1月22日,70.96,69.72,71.60,69.70,18.83M,0.80%
2020年1月21日,70.40,71.02,71.10,69.69,24.60M,-2.15%
2020年1月20日,71.95,72.88,73.20,71.25,25.79M,-1.79%
2020年1月17日,73.26,73.79,73.98,73.02,11.08M,-0.31%
2020年1月16日,73.49,73.68,73.99,73.27,7.63M,-0.01%
2020年1月15日,73.50,74.57,74.57,73.22,17.52M,-1.42%
2020年1月14日,74.56,76.01,76.28,74.46,16.74M,-1.83%
2020年1月13日,75.95,75.99,76.35,75.64,8.82M,0.04%
