日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,24.59,24.50,25.07,24.48,1.72M,0.86%
2020年3月26日,24.38,24.30,24.77,24.25,1.29M,-0.61%
2020年3月25日,24.53,24.77,24.90,24.32,1.75M,1.20%
2020年3月24日,24.24,24.05,24.27,23.66,1.30M,2.28%
2020年3月23日,23.70,23.91,24.19,23.48,1.54M,-2.87%
2020年3月20日,24.40,24.48,24.48,23.89,1.64M,0.95%
2020年3月19日,24.17,23.90,24.37,23.61,1.98M,1.13%
2020年3月18日,23.90,24.45,24.92,23.87,2.17M,-2.05%
2020年3月17日,24.40,24.95,25.15,23.66,2.26M,-1.41%
2020年3月16日,24.75,26.57,26.68,24.43,3.01M,-5.82%
2020年3月13日,26.28,25.50,26.70,25.50,3.74M,-3.49%
2020年3月12日,27.23,28.45,28.46,26.89,4.08M,-5.22%
2020年3月11日,28.73,30.00,30.15,28.50,5.81M,-4.36%
2020年3月10日,30.04,28.50,30.18,27.63,6.92M,4.67%
2020年3月9日,28.70,29.23,30.88,28.30,6.67M,-2.05%
2020年3月6日,29.30,27.98,30.08,27.95,6.91M,3.02%
2020年3月5日,28.44,29.19,29.34,27.87,6.31M,0.57%
2020年3月4日,28.28,27.18,28.40,26.82,4.69M,4.43%
2020年3月3日,27.08,27.07,27.78,26.90,3.30M,1.54%
2020年3月2日,26.67,25.90,26.77,25.37,2.29M,4.92%
2020年2月28日,25.42,25.82,26.44,25.41,2.54M,-5.85%
2020年2月27日,27.00,26.81,27.28,26.42,2.32M,0.71%
2020年2月26日,26.81,27.69,27.81,26.80,4.15M,-5.03%
2020年2月25日,28.23,26.96,28.30,26.70,6.35M,0.64%
2020年2月24日,28.05,27.90,29.18,27.60,6.93M,3.20%
2020年2月21日,27.18,27.55,27.99,26.90,6.34M,-2.93%
2020年2月20日,28.00,26.78,28.45,25.81,8.45M,8.23%
2020年2月19日,25.87,25.65,26.55,25.20,6.03M,-2.67%
2020年2月18日,26.58,27.00,27.81,25.83,9.76M,5.10%
