日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,16.64,16.83,17.10,16.59,207.46M,0.30%
2020年3月26日,16.59,16.70,16.92,16.55,166.84M,-1.72%
2020年3月25日,16.88,17.00,17.24,16.75,316.49M,1.20%
2020年3月24日,16.68,16.43,16.74,15.94,275.85M,4.05%
2020年3月23日,16.03,16.29,16.55,16.00,228.75M,-5.04%
2020年3月20日,16.88,16.90,17.00,16.44,250.33M,0.90%
2020年3月19日,16.73,16.36,16.94,16.06,348.31M,3.53%
2020年3月18日,16.16,16.90,17.24,16.10,328.90M,-3.69%
2020年3月17日,16.78,17.00,17.13,16.23,321.07M,1.88%
2020年3月16日,16.47,17.70,17.92,16.31,425.30M,-8.14%
2020年3月13日,17.93,17.28,18.30,17.18,401.50M,-0.99%
2020年3月12日,18.11,17.95,18.36,17.78,283.31M,-0.33%
2020年3月11日,18.17,18.86,18.93,18.05,327.49M,-4.37%
2020年3月10日,19.00,18.30,19.20,17.82,438.32M,5.61%
2020年3月9日,17.99,18.49,18.92,17.64,476.32M,-6.16%
2020年3月6日,19.17,19.60,19.83,19.16,357.78M,-4.96%
2020年3月5日,20.17,19.47,20.68,18.94,602.99M,4.40%
2020年3月4日,19.32,18.43,19.32,18.19,419.96M,4.72%
2020年3月3日,18.45,18.70,19.35,18.20,429.83M,1.49%
2020年3月2日,18.18,17.79,18.56,17.47,460.45M,4.78%
2020年2月28日,17.35,18.20,18.53,17.08,571.19M,-8.59%
2020年2月27日,18.98,18.96,19.47,18.53,413.45M,1.33%
2020年2月26日,18.73,19.50,20.20,18.59,587.36M,-6.12%
2020年2月25日,19.95,18.27,20.15,17.80,637.98M,6.91%
2020年2月24日,18.66,18.22,19.16,18.07,527.53M,0.86%
2020年2月21日,18.50,18.26,19.06,17.91,796.65M,6.69%
2020年2月20日,17.34,15.87,17.34,15.75,479.41M,10.03%
2020年2月19日,15.76,15.70,16.19,15.65,283.92M,0.13%
2020年2月18日,15.74,15.82,16.00,15.58,252.01M,-1.07%
2020年2月17日,15.91,15.80,16.03,15.54,411.40M,3.99%
2020年2月14日,15.30,14.70,15.86,14.63,427.57M,4.51%
2020年2月13日,14.64,14.90,15.06,14.59,179.35M,-2.33%
2020年2月12日,14.99,14.46,15.08,14.46,231.60M,2.95%
2020年2月11日,14.56,14.83,14.93,14.55,146.58M,-0.95%
2020年2月10日,14.70,14.56,14.90,14.47,175.22M,0.55%
2020年2月7日,14.62,14.45,14.71,14.39,226.75M,0.00%
2020年2月6日,14.62,13.80,14.77,13.71,360.47M,5.48%
2020年2月5日,13.86,13.65,14.20,13.51,251.05M,2.29%
2020年2月4日,13.55,13.00,13.77,13.00,316.33M,-0.15%
2020年2月3日,13.57,13.57,13.57,13.57,36.12M,-10.01%
2020年1月23日,15.08,15.60,15.77,14.90,244.50M,-4.98%
2020年1月22日,15.87,15.50,15.95,15.35,188.90M,1.73%
2020年1月21日,15.60,15.92,15.95,15.53,172.23M,-2.68%
2020年1月20日,16.03,15.74,16.05,15.74,149.24M,1.78%
2020年1月17日,15.75,15.79,16.00,15.72,113.59M,0.32%
2020年1月16日,15.70,15.80,15.83,15.68,93.19M,-0.32%
2020年1月15日,15.75,15.82,15.96,15.70,122.73M,-0.76%
2020年1月14日,15.87,16.22,16.30,15.84,161.75M,-1.98%
2020年1月13日,16.19,15.83,16.19,15.68,220.40M,0.50%
2020年1月10日,16.11,16.30,16.36,16.02,258.12M,0.62%
2020年1月9日,16.01,15.89,16.10,15.86,206.55M,3.02%
2020年1月8日,15.54,15.99,15.99,15.53,209.28M,-3.72%
2020年1月7日,16.14,16.15,16.25,15.86,202.01M,-0.06%
2020年1月6日,16.15,15.86,16.45,15.83,268.91M,0.94%
2020年1月3日,16.00,15.89,16.16,15.83,189.27M,0.63%
2020年1月2日,15.90,16.10,16.18,15.83,301.60M,0.82%
2019年12月31日,15.77,15.70,15.87,15.62,208.13M,-0.13%
2019年12月30日,15.79,14.95,16.06,14.90,366.93M,4.85%
2019年12月27日,15.06,15.51,15.64,15.01,242.02M,-2.78%
2019年12月26日,15.49,15.21,15.52,15.15,163.96M,1.97%
2019年12月25日,15.19,15.15,15.39,15.05,133.26M,0.00%
2019年12月24日,15.19,15.05,15.20,15.01,116.24M,1.54%
2019年12月23日,14.96,15.31,15.48,14.96,188.25M,-2.29%
2019年12月20日,15.31,15.58,15.75,15.30,231.01M,-1.16%
2019年12月19日,15.49,15.63,15.72,15.36,199.66M,-0.90%
2019年12月18日,15.63,15.67,15.95,15.60,282.25M,-0.64%
2019年12月17日,15.73,15.43,16.28,15.31,432.81M,2.14%
2019年12月16日,15.40,15.15,15.60,15.03,346.20M,1.45%
2019年12月13日,15.18,14.50,15.44,14.46,479.15M,6.53%
2019年12月12日,14.25,14.24,14.41,14.22,110.88M,0.00%
2019年12月11日,14.25,14.30,14.44,14.21,132.88M,-0.35%
2019年12月10日,14.30,14.14,14.33,14.09,113.65M,0.70%
2019年12月9日,14.20,14.39,14.39,14.16,99.50M,-0.84%
2019年12月6日,14.32,14.25,14.39,14.19,117.98M,0.14%
2019年12月5日,14.30,14.05,14.36,14.03,205.26M,2.29%
2019年12月4日,13.98,13.91,13.98,13.86,78.29M,-0.29%
2019年12月3日,14.02,13.80,14.04,13.75,88.26M,0.79%
2019年12月2日,13.91,14.03,14.14,13.87,111.97M,0.43%
2019年11月29日,13.85,13.74,13.98,13.68,90.11M,0.65%
2019年11月28日,13.76,13.71,13.81,13.67,59.14M,0.29%
2019年11月27日,13.72,13.82,13.86,13.69,80.21M,-1.22%
2019年11月26日,13.89,13.99,14.02,13.81,75.40M,-0.36%
2019年11月25日,13.94,13.96,14.00,13.76,100.63M,-0.57%
2019年11月22日,14.02,14.13,14.34,13.98,107.18M,-0.85%
2019年11月21日,14.14,14.00,14.22,13.96,66.08M,0.35%
2019年11月20日,14.09,14.38,14.44,14.05,111.68M,-2.42%
2019年11月19日,14.44,14.12,14.45,14.07,128.18M,2.19%
2019年11月18日,14.13,13.96,14.19,13.91,102.33M,1.29%
2019年11月15日,13.95,14.44,14.49,13.93,158.07M,-3.46%
2019年11月14日,14.45,14.44,14.54,14.27,100.37M,0.21%
2019年11月13日,14.42,14.44,14.50,14.32,82.49M,-0.76%
2019年11月12日,14.53,14.56,14.63,14.29,129.18M,-0.48%
2019年11月11日,14.60,14.90,14.94,14.53,151.29M,-3.12%
2019年11月8日,15.07,15.29,15.38,15.05,133.71M,-0.46%
2019年11月7日,15.14,14.99,15.24,14.96,90.83M,0.46%
2019年11月6日,15.07,15.30,15.34,14.98,132.59M,-1.89%
2019年11月5日,15.36,15.20,15.58,15.17,195.95M,1.05%
2019年11月4日,15.20,15.22,15.41,15.10,132.30M,0.26%
2019年11月1日,15.16,14.85,15.23,14.81,136.23M,1.61%
2019年10月31日,14.92,15.04,15.13,14.87,100.24M,-0.47%
2019年10月30日,14.99,15.10,15.25,14.96,131.52M,-1.25%
2019年10月29日,15.18,15.68,15.69,15.16,231.91M,-4.35%
2019年10月28日,15.87,15.54,16.06,15.23,379.27M,5.24%
2019年10月25日,15.08,14.81,15.12,14.63,157.76M,1.55%
2019年10月24日,14.85,14.78,15.03,14.73,108.19M,0.54%
2019年10月23日,14.77,14.99,15.06,14.72,108.75M,-1.27%
2019年10月22日,14.96,14.80,14.96,14.75,103.24M,1.29%
2019年10月21日,14.77,14.86,14.88,14.58,115.89M,-0.34%
2019年10月18日,14.82,15.34,15.40,14.80,163.33M,-3.01%
2019年10月17日,15.28,15.35,15.54,15.21,106.32M,-0.78%
2019年10月16日,15.40,15.60,15.77,15.38,145.51M,-0.90%
2019年10月15日,15.54,15.58,15.78,15.35,186.51M,0.39%
2019年10月14日,15.48,15.51,15.87,15.35,254.99M,1.11%
2019年10月11日,15.31,15.09,15.52,14.89,232.80M,1.66%
2019年10月10日,15.06,14.90,15.09,14.82,145.69M,0.94%
2019年10月9日,14.92,14.61,14.92,14.51,114.72M,1.02%
2019年10月8日,14.77,14.84,14.94,14.67,114.60M,-0.07%
2019年9月30日,14.78,15.18,15.25,14.73,115.73M,-2.89%
2019年9月27日,15.22,15.08,15.25,15.01,119.96M,1.40%
2019年9月26日,15.01,15.45,15.53,14.93,217.17M,-2.41%
2019年9月25日,15.38,15.35,15.56,15.25,161.97M,-0.71%
2019年9月24日,15.49,15.47,15.79,15.35,198.58M,0.45%
2019年9月23日,15.42,15.50,15.52,15.26,162.29M,-1.41%
2019年9月20日,15.64,15.72,15.77,15.50,156.79M,-1.20%
2019年9月19日,15.83,15.69,15.83,15.50,176.62M,1.60%
2019年9月18日,15.58,15.79,15.80,15.44,153.05M,-0.76%
2019年9月17日,15.70,16.19,16.23,15.58,250.42M,-3.50%
2019年9月16日,16.27,16.60,16.62,16.15,189.44M,-1.69%
2019年9月12日,16.55,16.53,16.63,16.16,219.78M,0.79%
2019年9月11日,16.42,16.61,16.75,16.34,264.36M,-0.12%
2019年9月10日,16.44,16.40,16.84,16.14,300.95M,-0.36%
2019年9月9日,16.50,16.66,16.70,16.30,344.44M,1.23%
2019年9月6日,16.30,16.34,16.40,15.97,294.25M,1.56%
2019年9月5日,16.05,15.96,16.98,15.96,551.74M,3.55%
2019年9月4日,15.50,14.95,15.72,14.90,357.83M,3.47%
2019年9月3日,14.98,15.01,15.06,14.81,195.81M,-0.27%
2019年9月2日,15.02,14.46,15.21,14.45,300.45M,3.80%
2019年8月30日,14.47,14.75,14.90,14.26,183.57M,-0.48%
2019年8月29日,14.54,14.70,14.81,14.51,125.40M,-0.75%
2019年8月28日,14.65,14.76,14.85,14.60,155.77M,-1.55%
2019年8月27日,14.88,14.59,15.25,14.53,304.23M,2.83%
2019年8月26日,14.47,14.40,14.65,14.35,212.62M,-1.96%
2019年8月23日,14.76,14.92,15.30,14.74,228.76M,-0.81%
2019年8月22日,14.88,14.84,14.94,14.72,159.88M,0.61%
2019年8月21日,14.79,14.83,14.95,14.76,184.88M,-0.47%
2019年8月20日,14.86,15.41,15.41,14.79,361.43M,-2.24%
2019年8月19日,15.20,14.05,15.20,13.97,483.77M,9.99%
2019年8月16日,13.82,13.57,14.09,13.57,256.64M,1.25%
2019年8月15日,13.65,13.15,13.68,13.08,168.19M,1.26%
2019年8月14日,13.48,13.74,13.78,13.46,155.51M,0.30%
2019年8月13日,13.44,13.46,13.51,13.37,120.05M,-1.75%
2019年8月12日,13.68,13.22,13.69,13.22,200.65M,4.51%
2019年8月9日,13.09,13.37,13.41,13.02,121.84M,-1.21%
2019年8月8日,13.25,13.41,13.52,13.23,159.61M,1.30%
2019年8月7日,13.08,13.44,13.45,13.05,147.79M,-2.32%
2019年8月6日,13.39,13.17,13.62,12.91,260.51M,-0.96%
2019年8月5日,13.52,13.90,14.08,13.43,224.75M,-3.98%
2019年8月2日,14.08,14.00,14.16,13.84,218.02M,-2.49%
2019年8月1日,14.44,14.46,14.55,14.20,160.40M,-0.76%
2019年7月31日,14.55,14.46,14.57,14.34,147.60M,0.21%
2019年7月30日,14.52,14.15,14.78,14.11,271.81M,2.98%
2019年7月29日,14.10,14.29,14.33,14.00,151.12M,-1.88%
2019年7月26日,14.37,14.51,14.51,14.26,120.71M,-1.03%
2019年7月25日,14.52,14.29,14.53,14.24,154.05M,1.11%
2019年7月24日,14.36,14.50,14.65,14.27,238.91M,-0.62%
2019年7月23日,14.45,14.30,14.51,14.20,182.72M,1.83%
2019年7月22日,14.19,14.84,14.93,14.11,252.94M,-4.06%
2019年7月19日,14.79,14.47,14.96,14.38,269.01M,3.94%
2019年7月18日,14.23,14.16,14.62,14.13,271.95M,-0.28%
2019年7月17日,14.27,13.98,14.55,13.93,317.18M,2.00%
2019年7月16日,13.99,13.80,14.06,13.76,204.99M,0.79%
2019年7月15日,13.88,13.21,14.10,13.10,297.09M,5.55%
2019年7月12日,13.15,12.97,13.20,12.88,103.89M,1.62%
2019年7月11日,12.94,13.04,13.18,12.88,97.30M,0.15%
2019年7月10日,12.92,13.05,13.10,12.86,81.77M,-1.22%
2019年7月9日,13.08,13.05,13.15,12.86,123.14M,0.62%
2019年7月8日,13.00,13.51,13.62,12.96,176.54M,-4.76%
2019年7月5日,13.65,13.58,13.68,13.46,99.16M,0.44%
2019年7月4日,13.59,13.58,13.72,13.47,108.31M,0.52%
2019年7月3日,13.52,13.80,13.80,13.45,149.07M,-2.38%
2019年7月2日,13.85,13.97,14.00,13.78,138.68M,-1.00%
2019年7月1日,13.99,14.07,14.18,13.88,268.03M,3.25%
2019年6月28日,13.55,13.60,13.68,13.38,121.84M,-0.81%
2019年6月27日,13.66,13.61,13.97,13.61,178.93M,1.19%
2019年6月26日,13.50,13.40,13.66,13.35,128.42M,-1.96%
2019年6月25日,13.77,13.78,13.93,13.38,217.17M,-0.29%
2019年6月24日,13.81,14.08,14.11,13.71,196.83M,-1.71%
2019年6月21日,14.05,13.86,14.26,13.76,377.52M,3.08%
2019年6月20日,13.63,12.86,13.93,12.86,401.34M,5.91%
