日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,33.18,33.12,33.98,32.75,20.74M,1.00%
2020年3月26日,32.85,32.94,33.49,32.47,18.97M,-2.09%
2020年3月25日,33.55,34.59,34.65,32.52,28.37M,-0.45%
2020年3月24日,33.70,33.10,33.99,32.70,24.89M,3.22%
2020年3月23日,32.65,31.79,33.38,31.60,28.62M,0.15%
2020年3月20日,32.60,31.49,32.68,31.21,29.98M,5.50%
2020年3月19日,30.90,31.82,32.00,30.00,28.27M,-0.45%
2020年3月18日,31.04,31.08,32.75,30.90,39.97M,2.04%
2020年3月17日,30.42,29.62,30.75,28.91,32.71M,2.32%
2020年3月16日,29.73,32.20,32.38,29.59,26.24M,-5.65%
2020年3月13日,31.51,30.00,32.05,29.57,27.56M,0.35%
2020年3月12日,31.40,31.61,32.09,31.11,20.33M,-2.97%
2020年3月11日,32.36,33.33,33.50,32.33,19.75M,-2.91%
2020年3月10日,33.33,31.37,33.63,31.37,39.98M,5.41%
2020年3月9日,31.62,31.51,32.45,31.11,35.41M,-3.45%
2020年3月6日,32.75,33.68,34.09,32.00,37.95M,-5.04%
2020年3月5日,34.49,34.66,35.55,34.00,27.59M,-1.03%
2020年3月4日,34.85,33.31,35.02,33.30,30.15M,2.92%
2020年3月3日,33.86,33.90,34.98,33.01,29.03M,0.53%
2020年3月2日,33.68,31.50,34.12,31.50,40.89M,8.44%
2020年2月28日,31.06,31.30,32.45,30.52,29.36M,-2.88%
2020年2月27日,31.98,30.50,32.80,30.50,31.69M,5.23%
2020年2月26日,30.39,30.75,31.89,30.05,24.50M,-3.22%
2020年2月25日,31.40,31.01,31.71,30.28,20.87M,-0.79%
2020年2月24日,31.65,30.97,31.89,30.50,17.48M,2.16%
2020年2月21日,30.98,30.22,30.98,29.75,19.82M,3.16%
2020年2月20日,30.03,29.36,30.17,29.36,17.81M,2.28%
2020年2月19日,29.36,29.01,30.05,28.87,23.11M,1.21%
2020年2月18日,29.01,29.02,29.29,28.71,14.85M,-0.14%
2020年2月17日,29.05,29.21,29.39,28.60,19.88M,0.45%
2020年2月14日,28.92,29.02,29.96,28.81,18.22M,-1.23%
2020年2月13日,29.28,29.18,30.45,28.95,20.44M,0.45%
2020年2月12日,29.15,28.90,29.58,28.40,18.33M,2.28%
2020年2月11日,28.50,28.20,29.15,27.66,22.42M,1.42%
2020年2月10日,28.10,26.40,28.12,26.10,21.80M,6.44%
2020年2月7日,26.40,26.20,26.59,26.08,11.52M,-0.90%
2020年2月6日,26.64,26.61,27.06,26.05,16.74M,0.15%
2020年2月5日,26.60,26.64,27.11,26.09,21.09M,0.04%
2020年2月4日,26.59,25.50,26.88,25.20,20.17M,6.36%
2020年2月3日,25.00,24.45,25.65,24.45,26.37M,-7.99%
2020年1月23日,27.17,28.00,28.23,26.88,15.77M,-3.86%
2020年1月22日,28.26,27.66,28.68,27.60,10.76M,0.32%
2020年1月21日,28.17,28.92,29.10,28.00,13.16M,-2.63%
2020年1月20日,28.93,28.14,29.13,27.90,15.39M,2.84%
2020年1月17日,28.13,28.49,28.50,27.71,17.34M,0.14%
2020年1月16日,28.09,26.80,28.19,26.47,26.30M,5.40%
2020年1月15日,26.65,26.63,27.09,26.40,13.82M,0.11%
2020年1月14日,26.62,27.00,27.28,26.51,10.50M,-1.04%
2020年1月13日,26.90,27.10,27.28,26.40,13.34M,-1.47%
2020年1月10日,27.30,26.98,27.46,26.78,11.43M,1.90%
2020年1月9日,26.79,26.91,27.19,26.52,11.95M,0.04%
2020年1月8日,26.78,26.88,26.98,26.30,12.29M,0.11%
2020年1月7日,26.75,26.94,27.20,26.52,11.43M,-0.41%
2020年1月6日,26.86,26.25,27.33,25.93,21.57M,1.55%
2020年1月3日,26.45,26.63,26.76,26.10,12.63M,-0.49%
2020年1月2日,26.58,26.60,27.00,26.25,16.59M,1.03%
2019年12月31日,26.31,25.98,26.35,25.70,14.87M,1.50%
