日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,22.57,22.72,23.00,22.52,90.58M,0.40%
2020年3月26日,22.48,22.50,22.76,22.47,69.79M,-1.23%
2020年3月25日,22.76,22.81,22.92,22.64,129.35M,2.02%
2020年3月24日,22.31,22.36,22.44,21.90,118.82M,1.92%
2020年3月23日,21.89,21.80,22.35,21.75,110.51M,-3.40%
2020年3月20日,22.66,22.55,22.71,22.20,121.32M,1.34%
2020年3月19日,22.36,22.30,22.63,21.41,200.79M,0.58%
2020年3月18日,22.23,23.03,23.20,22.20,152.19M,-3.05%
2020年3月17日,22.93,23.02,23.28,22.23,172.75M,1.15%
2020年3月16日,22.67,23.89,23.90,22.65,205.79M,-5.30%
2020年3月13日,23.94,22.82,24.18,22.66,227.36M,-0.17%
2020年3月12日,23.98,24.00,24.34,23.86,169.64M,-1.48%
2020年3月11日,24.34,24.98,24.99,24.30,179.07M,-2.87%
2020年3月10日,25.06,24.36,25.19,24.16,264.46M,3.09%
2020年3月9日,24.31,24.29,24.77,24.10,273.46M,-3.19%
2020年3月6日,25.11,25.68,25.86,25.10,263.04M,-3.39%
2020年3月5日,25.99,25.61,26.33,25.07,445.44M,2.61%
2020年3月4日,25.33,24.66,25.38,24.45,276.08M,2.43%
2020年3月3日,24.73,25.00,25.45,24.43,259.31M,1.02%
2020年3月2日,24.48,23.80,24.79,23.62,254.38M,4.62%
2020年2月28日,23.40,23.99,24.21,23.28,291.44M,-5.53%
2020年2月27日,24.77,24.84,25.29,24.67,206.40M,0.24%
2020年2月26日,24.71,24.70,25.49,24.53,288.16M,-1.98%
2020年2月25日,25.21,24.51,25.25,24.03,328.10M,0.68%
2020年2月24日,25.04,24.99,25.33,24.80,244.21M,-0.56%
2020年2月21日,25.18,25.29,25.99,24.99,353.53M,-0.94%
2020年2月20日,25.42,24.07,25.54,24.07,389.86M,5.92%
2020年2月19日,24.00,23.86,24.46,23.83,208.34M,0.08%
2020年2月18日,23.98,24.18,24.25,23.72,191.60M,-0.83%
2020年2月17日,24.18,23.75,24.29,23.40,320.99M,5.22%
2020年2月14日,22.98,22.50,23.25,22.47,202.76M,1.91%
2020年2月13日,22.55,22.82,23.01,22.50,149.31M,-1.53%
2020年2月12日,22.90,22.51,23.08,22.50,170.17M,0.93%
2020年2月11日,22.69,22.83,23.13,22.64,176.34M,0.09%
2020年2月10日,22.67,22.20,22.82,22.20,158.04M,0.58%
2020年2月7日,22.54,22.48,22.63,22.20,183.64M,-0.40%
2020年2月6日,22.63,22.10,22.79,21.82,247.84M,2.54%
2020年2月5日,22.07,21.76,22.68,21.52,242.76M,1.56%
2020年2月4日,21.73,20.80,21.94,20.78,348.56M,1.02%
2020年2月3日,21.51,21.51,21.51,21.51,75.34M,-10.00%
2020年1月23日,23.90,24.69,24.86,23.62,245.25M,-5.16%
2020年1月22日,25.20,24.98,25.43,24.42,203.63M,0.12%
2020年1月21日,25.17,25.47,25.65,25.11,169.18M,-2.29%
2020年1月20日,25.76,25.34,25.78,25.20,140.82M,1.58%
2020年1月17日,25.36,25.27,25.75,25.23,129.73M,1.00%
2020年1月16日,25.11,25.36,25.36,25.06,103.84M,-0.83%
2020年1月15日,25.32,25.40,25.59,25.20,114.08M,-0.94%
2020年1月14日,25.56,25.98,26.14,25.51,175.92M,-1.58%
2020年1月13日,25.97,25.45,25.98,25.03,189.51M,1.64%
2020年1月10日,25.55,25.96,26.09,25.21,196.95M,0.43%
2020年1月9日,25.44,25.33,25.56,25.21,163.56M,2.00%
2020年1月8日,24.94,25.43,25.48,24.85,206.61M,-2.96%
2020年1月7日,25.70,25.40,25.75,25.10,200.30M,1.50%
2020年1月6日,25.32,25.06,25.85,25.00,230.40M,-0.24%
2020年1月3日,25.38,25.34,25.63,25.10,183.80M,-0.43%
2020年1月2日,25.49,25.74,25.89,25.26,357.74M,0.75%
2019年12月31日,25.30,25.59,25.72,25.00,336.97M,-1.40%
2019年12月30日,25.66,23.30,25.66,23.25,615.20M,9.99%
2019年12月27日,23.33,23.70,24.08,23.32,170.28M,-1.77%
2019年12月26日,23.75,23.25,23.77,23.17,118.20M,2.68%
2019年12月25日,23.13,23.14,23.35,23.01,77.41M,-0.22%
2019年12月24日,23.18,23.01,23.19,22.95,81.49M,0.56%
2019年12月23日,23.05,23.59,23.76,23.05,141.57M,-2.25%
2019年12月20日,23.58,23.81,24.10,23.58,138.81M,-0.72%
2019年12月19日,23.75,23.85,23.88,23.53,106.18M,-0.21%
2019年12月18日,23.80,23.84,24.28,23.75,171.60M,-0.29%
2019年12月17日,23.87,23.32,24.55,23.24,274.18M,2.36%
2019年12月16日,23.32,23.10,23.49,22.83,180.35M,1.39%
2019年12月13日,23.00,22.60,23.18,22.52,255.69M,3.60%
2019年12月12日,22.20,22.30,22.32,22.11,54.99M,-0.13%
2019年12月11日,22.23,22.28,22.45,22.15,68.87M,0.09%
2019年12月10日,22.21,22.22,22.29,22.05,54.48M,-0.18%
2019年12月9日,22.25,22.40,22.43,22.18,69.63M,-0.58%
2019年12月6日,22.38,22.31,22.46,22.17,105.91M,0.36%
2019年12月5日,22.30,21.85,22.33,21.84,130.15M,2.43%
2019年12月4日,21.77,21.66,21.82,21.63,44.53M,-0.37%
2019年12月3日,21.85,21.51,21.89,21.48,62.07M,0.78%
2019年12月2日,21.68,21.90,21.98,21.65,86.56M,1.26%
2019年11月29日,21.41,21.47,21.65,21.37,49.33M,-0.46%
2019年11月28日,21.51,21.40,21.56,21.40,32.07M,0.37%
2019年11月27日,21.43,21.48,21.52,21.23,47.57M,-0.42%
2019年11月26日,21.52,21.67,21.72,21.50,44.99M,-0.46%
2019年11月25日,21.62,21.58,21.66,21.41,46.91M,0.60%
2019年11月22日,21.49,21.68,21.81,21.42,65.11M,-0.69%
2019年11月21日,21.64,21.52,21.80,21.51,49.19M,-0.37%
2019年11月20日,21.72,22.10,22.15,21.68,70.47M,-1.94%
2019年11月19日,22.15,21.89,22.15,21.77,65.42M,1.19%
2019年11月18日,21.89,21.70,22.02,21.61,50.89M,0.83%
2019年11月15日,21.71,21.95,22.07,21.69,56.75M,-0.87%
2019年11月14日,21.90,21.84,22.06,21.80,43.66M,0.27%
2019年11月13日,21.84,21.90,22.03,21.77,48.19M,-0.86%
2019年11月12日,22.03,21.96,22.08,21.76,59.19M,0.14%
2019年11月11日,22.00,22.29,22.30,21.97,73.07M,-1.87%
2019年11月8日,22.42,22.96,23.10,22.33,97.97M,-1.28%
2019年11月7日,22.71,22.46,22.85,22.38,84.68M,1.25%
2019年11月6日,22.43,22.62,22.67,22.35,64.75M,-0.84%
2019年11月5日,22.62,22.30,22.88,22.25,142.30M,1.62%
2019年11月4日,22.26,22.19,22.37,22.09,74.92M,0.36%
2019年11月1日,22.18,21.66,22.28,21.55,79.71M,2.21%
2019年10月31日,21.70,21.95,22.05,21.51,74.33M,-0.78%
2019年10月29日,21.87,22.35,22.36,21.87,69.27M,-2.15%
2019年10月28日,22.35,22.06,22.41,21.96,75.08M,1.31%
2019年10月25日,22.06,21.85,22.13,21.66,65.78M,0.96%
2019年10月24日,21.85,21.84,22.05,21.68,55.34M,0.28%
2019年10月23日,21.79,22.02,22.18,21.65,61.42M,-1.40%
2019年10月22日,22.10,21.94,22.12,21.83,46.19M,1.14%
2019年10月21日,21.85,21.96,21.96,21.52,73.64M,-0.68%
2019年10月18日,22.00,22.64,22.67,22.00,78.36M,-2.31%
2019年10月17日,22.52,22.53,22.67,22.45,41.03M,-0.18%
2019年10月16日,22.56,22.77,22.98,22.53,63.02M,-0.57%
2019年10月15日,22.69,23.06,23.06,22.69,74.58M,-1.73%
2019年10月14日,23.09,23.27,23.45,23.07,144.21M,0.65%
2019年10月11日,22.94,22.50,23.05,22.25,117.50M,2.46%
2019年10月10日,22.39,22.22,22.47,22.15,64.53M,0.72%
2019年10月9日,22.23,22.08,22.27,21.90,75.04M,-0.45%
2019年10月8日,22.33,22.48,22.58,22.13,78.19M,-0.67%
2019年9月30日,22.48,23.05,23.05,22.48,71.86M,-2.47%
2019年9月27日,23.05,22.69,23.05,22.69,65.60M,1.45%
2019年9月26日,22.72,22.92,23.08,22.63,90.04M,-0.61%
2019年9月25日,22.86,22.79,23.09,22.74,66.46M,-0.44%
2019年9月24日,22.96,23.12,23.34,22.91,101.60M,-0.04%
2019年9月23日,22.97,23.21,23.22,22.77,115.08M,-1.59%
2019年9月20日,23.34,23.62,23.62,23.09,114.40M,-1.06%
2019年9月19日,23.59,23.57,23.63,23.38,77.90M,0.68%
2019年9月18日,23.43,23.57,23.67,23.38,78.40M,-0.42%
2019年9月17日,23.53,24.15,24.15,23.45,166.63M,-3.09%
2019年9月16日,24.28,24.83,24.90,24.09,126.00M,-1.74%
2019年9月12日,24.71,24.50,24.81,24.22,151.23M,1.31%
2019年9月11日,24.39,24.48,24.80,24.20,201.60M,0.79%
2019年9月10日,24.20,24.40,24.44,23.74,167.60M,-0.49%
2019年9月9日,24.32,24.55,24.85,24.29,178.04M,0.70%
2019年9月6日,24.15,24.31,24.39,23.88,155.60M,1.34%
2019年9月5日,23.83,23.90,24.75,23.80,309.14M,2.14%
2019年9月4日,23.33,22.80,23.44,22.73,160.96M,2.15%
2019年9月3日,22.84,22.78,23.08,22.70,95.73M,0.31%
2019年9月2日,22.77,22.33,22.96,22.26,121.14M,2.02%
2019年8月30日,22.32,22.55,22.79,22.10,84.14M,0.31%
2019年8月29日,22.25,22.45,22.51,22.21,63.63M,-0.76%
2019年8月28日,22.42,22.61,22.75,22.40,72.31M,-1.54%
2019年8月27日,22.77,22.41,23.04,22.35,135.50M,2.48%
2019年8月26日,22.22,22.14,22.44,22.06,99.37M,-1.86%
