日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,43.39,43.99,44.38,43.21,90.79M,0.67%
2020年3月26日,43.10,44.01,44.26,42.90,115.14M,-3.90%
2020年3月25日,44.85,43.88,45.15,43.51,186.27M,5.41%
2020年3月24日,42.55,41.92,42.58,40.14,157.63M,4.21%
2020年3月23日,40.83,40.01,42.28,39.70,124.64M,-2.51%
2020年3月20日,41.88,42.02,42.30,40.20,173.97M,0.31%
2020年3月19日,41.75,38.65,42.81,37.75,275.21M,6.78%
2020年3月18日,39.10,41.90,42.35,38.80,254.22M,-5.90%
2020年3月17日,41.55,45.61,45.61,41.14,307.22M,-9.10%
2020年3月16日,45.71,47.36,48.70,45.71,308.77M,-10.00%
2020年3月13日,50.79,49.30,51.91,49.00,129.75M,-1.23%
2020年3月12日,51.42,51.13,52.06,50.01,125.01M,-2.02%
2020年3月11日,52.48,54.20,56.29,52.40,173.90M,-3.10%
2020年3月10日,54.16,50.50,54.29,48.98,217.17M,6.18%
2020年3月9日,51.01,50.00,53.39,49.70,156.31M,0.29%
2020年3月6日,50.86,50.52,51.30,50.02,96.55M,-2.02%
2020年3月5日,51.91,53.50,53.66,51.38,163.09M,1.07%
2020年3月4日,51.36,51.98,52.98,49.10,180.09M,-2.98%
2020年3月3日,52.94,56.70,56.70,52.50,243.90M,-3.04%
2020年3月2日,54.60,52.00,55.00,50.50,227.38M,9.20%
2020年2月28日,50.00,48.40,51.00,48.40,153.67M,-2.87%
2020年2月27日,51.48,51.15,52.64,49.18,158.84M,1.04%
2020年2月26日,50.95,53.50,53.93,50.50,206.82M,-7.55%
2020年2月25日,55.11,50.70,55.11,49.07,276.86M,9.98%
2020年2月24日,50.11,47.20,50.11,47.20,139.84M,10.01%
2020年2月21日,45.55,45.00,46.55,44.35,119.11M,2.15%
2020年2月20日,44.59,44.12,45.10,43.72,108.82M,2.08%
2020年2月19日,43.68,43.49,46.05,43.33,132.71M,0.34%
2020年2月18日,43.53,42.85,43.53,42.11,128.64M,0.95%
2020年2月17日,43.12,40.20,43.41,39.68,181.39M,9.25%
2020年2月14日,39.47,39.55,40.17,39.06,86.00M,-0.60%
2020年2月13日,39.71,39.71,40.55,39.09,92.11M,-1.07%
2020年2月12日,40.14,39.75,40.30,39.38,81.38M,0.32%
2020年2月11日,40.01,40.29,40.90,39.60,72.84M,-0.27%
2020年2月10日,40.12,38.55,40.74,38.31,102.86M,3.06%
2020年2月7日,38.93,38.88,39.31,37.91,96.32M,-0.74%
2020年2月6日,39.22,37.90,39.59,37.56,107.62M,2.67%
2020年2月5日,38.20,38.70,39.25,37.66,125.49M,-0.44%
2020年2月4日,38.37,36.52,38.66,36.52,134.81M,6.85%
2020年2月3日,35.91,35.25,37.21,35.25,180.21M,-8.32%
2020年1月23日,39.17,39.95,40.50,38.30,111.60M,-3.64%
2020年1月22日,40.65,38.38,41.11,38.29,109.04M,5.28%
2020年1月21日,38.61,39.50,40.06,38.57,94.27M,-3.62%
2020年1月20日,40.06,38.70,40.10,38.41,107.41M,3.14%
2020年1月17日,38.84,37.73,39.35,37.73,132.19M,3.82%
2020年1月16日,37.41,37.33,38.41,37.29,103.24M,1.33%
2020年1月15日,36.92,36.50,37.08,36.11,78.09M,0.57%
2020年1月14日,36.71,37.89,37.90,36.64,111.58M,-3.29%
2020年1月13日,37.96,37.68,37.96,37.18,80.59M,1.61%
2020年1月10日,37.36,37.25,38.38,37.02,101.29M,0.92%
2020年1月9日,37.02,36.32,37.36,36.32,97.33M,3.67%
2020年1月8日,35.71,36.33,36.88,35.66,82.05M,-2.43%
2020年1月7日,36.60,36.70,36.90,36.07,82.30M,-0.27%
2020年1月6日,36.70,36.05,37.17,35.90,113.85M,0.41%
2020年1月3日,36.55,36.69,37.76,36.20,179.08M,3.10%
2020年1月2日,35.45,35.66,35.80,35.13,101.43M,0.17%
2019年12月31日,35.39,34.60,36.28,34.42,135.15M,3.03%
2019年12月30日,34.35,33.38,34.63,33.21,86.20M,2.11%
2019年12月27日,33.64,34.01,34.28,33.50,63.92M,-0.77%
2019年12月26日,33.90,33.78,34.05,33.45,45.61M,0.44%
2019年12月25日,33.75,32.93,34.21,32.83,82.45M,1.90%
2019年12月24日,33.12,32.41,33.24,32.20,67.03M,2.67%
2019年12月23日,32.26,33.10,33.11,32.21,73.19M,-3.33%
2019年12月20日,33.37,34.20,34.51,33.34,90.15M,-3.25%
2019年12月19日,34.49,34.02,34.80,33.81,88.46M,0.70%
2019年12月18日,34.25,33.56,35.19,33.41,131.26M,1.96%
2019年12月17日,33.59,33.62,33.95,33.20,93.16M,0.12%
2019年12月16日,33.55,33.40,33.70,32.89,88.71M,1.05%
2019年12月13日,33.20,33.31,33.54,32.61,105.14M,1.07%
2019年12月12日,32.85,31.85,33.11,31.66,120.95M,3.14%
2019年12月11日,31.85,31.98,32.36,31.65,39.20M,-0.72%
2019年12月10日,32.08,31.57,32.30,31.34,63.62M,1.52%
2019年12月9日,31.60,31.90,31.94,31.50,44.01M,-0.97%
2019年12月6日,31.91,31.95,32.10,31.45,48.18M,-0.13%
2019年12月5日,31.95,31.19,32.15,31.04,85.22M,2.47%
2019年12月4日,31.18,30.31,31.30,30.31,59.62M,1.66%
2019年12月3日,30.67,30.41,30.72,30.21,33.97M,0.33%
2019年12月2日,30.57,30.68,30.79,30.42,32.68M,-0.46%
2019年11月29日,30.71,30.60,30.71,30.15,37.84M,0.20%
2019年11月28日,30.65,30.35,30.70,30.31,37.00M,0.62%
2019年11月27日,30.46,30.40,30.64,30.05,42.62M,0.20%
2019年11月26日,30.40,30.41,30.75,30.13,39.55M,-0.03%
2019年11月25日,30.41,30.29,30.44,28.96,65.30M,-0.94%
2019年11月22日,30.70,31.10,31.63,30.45,64.71M,-1.25%
2019年11月21日,31.09,31.18,31.36,30.93,46.96M,-0.86%
2019年11月20日,31.36,31.90,31.90,31.25,44.81M,-1.66%
2019年11月19日,31.89,31.36,31.97,31.02,66.20M,1.69%
2019年11月18日,31.36,31.25,31.61,30.90,45.22M,0.06%
2019年11月15日,31.34,32.65,32.65,31.30,106.88M,-4.36%
2019年11月14日,32.77,32.56,32.86,32.42,44.67M,0.64%
2019年11月13日,32.56,32.40,32.75,32.10,36.83M,0.22%
2019年11月12日,32.49,32.21,32.52,31.90,45.72M,0.37%
2019年11月11日,32.37,32.48,32.76,32.20,48.65M,-1.46%
2019年11月8日,32.85,33.67,33.73,32.74,63.90M,-1.44%
2019年11月7日,33.33,33.16,33.52,32.98,42.60M,0.33%
2019年11月6日,33.22,34.14,34.37,33.08,80.34M,-2.98%
2019年11月5日,34.24,34.40,34.72,34.08,70.22M,-0.70%
2019年11月4日,34.48,34.18,35.18,34.05,98.05M,1.41%
2019年11月1日,34.00,33.16,34.30,33.03,84.44M,1.80%
2019年10月31日,33.40,33.33,33.99,32.99,65.81M,0.51%
2019年10月30日,33.23,33.32,34.25,32.86,73.19M,-1.51%
2019年10月29日,33.74,33.00,34.76,32.85,126.62M,0.30%
2019年10月28日,33.64,33.82,33.95,32.89,88.75M,0.87%
2019年10月25日,33.35,32.20,33.35,32.04,88.14M,3.57%
2019年10月24日,32.20,32.10,32.60,31.91,35.85M,-0.37%
2019年10月23日,32.32,32.09,32.83,31.90,62.93M,0.50%
2019年10月22日,32.16,32.10,32.34,31.70,44.22M,0.56%
2019年10月21日,31.98,32.46,32.46,31.58,51.88M,-1.69%
2019年10月18日,32.53,32.15,33.19,32.02,85.30M,1.15%
2019年10月17日,32.16,32.00,32.29,31.76,40.20M,0.47%
2019年10月16日,32.01,32.22,32.60,31.96,47.87M,-0.12%
2019年10月15日,32.05,32.99,33.02,32.02,57.20M,-2.76%
2019年10月14日,32.96,33.55,33.90,32.71,98.86M,0.18%
2019年10月11日,32.90,33.12,33.24,32.35,65.56M,0.09%
2019年10月10日,32.87,32.20,33.20,31.93,89.65M,2.24%
2019年10月9日,32.15,31.50,32.20,31.00,51.30M,1.07%
2019年10月8日,31.81,32.47,32.59,31.73,48.36M,-0.62%
2019年9月30日,32.01,32.99,32.99,32.01,58.48M,-3.58%
2019年9月27日,33.20,32.51,33.38,32.51,58.16M,1.81%
2019年9月26日,32.61,34.06,34.14,32.25,94.83M,-3.75%
2019年9月25日,33.88,34.10,34.43,33.53,66.38M,-1.88%
2019年9月24日,34.53,33.71,35.10,33.63,119.70M,2.49%
2019年9月23日,33.69,33.99,33.99,33.01,89.31M,-2.06%
2019年9月20日,34.40,34.90,34.96,34.12,90.69M,-1.71%
2019年9月19日,35.00,34.17,35.17,33.90,101.79M,2.88%
2019年9月18日,34.02,34.56,34.64,34.00,98.19M,-1.10%
2019年9月17日,34.40,35.20,35.20,33.96,118.96M,-2.52%
2019年9月16日,35.29,35.89,35.89,34.80,108.63M,-1.26%
2019年9月12日,35.74,35.83,35.88,35.15,106.03M,0.79%
2019年9月11日,35.46,36.71,37.18,35.21,168.18M,-3.98%
2019年9月10日,36.93,37.60,37.67,35.62,262.43M,0.24%
2019年9月9日,36.84,33.50,36.84,33.27,275.02M,10.00%
2019年9月6日,33.49,31.81,33.72,31.81,318.91M,9.27%
2019年9月5日,30.65,29.71,31.22,29.71,170.30M,3.55%
2019年9月4日,29.60,29.75,29.85,29.28,72.14M,-0.77%
2019年9月3日,29.83,29.39,29.97,29.07,92.38M,1.60%
2019年9月2日,29.36,28.85,29.48,28.85,68.98M,1.91%
2019年8月30日,28.81,29.46,29.58,28.69,65.19M,-1.27%
2019年8月29日,29.18,29.80,29.80,29.10,69.54M,-2.05%
2019年8月28日,29.79,30.51,30.77,29.75,94.29M,0.27%
2019年8月27日,29.71,29.05,29.73,29.05,80.33M,2.98%
2019年8月26日,28.85,27.95,28.91,27.80,62.58M,-1.33%
2019年8月23日,29.24,29.69,29.70,29.11,61.91M,-1.52%
2019年8月22日,29.69,30.13,30.13,29.47,67.97M,-1.46%
2019年8月21日,30.13,29.70,30.19,29.40,74.19M,0.94%
2019年8月20日,29.85,30.04,30.37,29.70,97.90M,-0.37%
2019年8月19日,29.96,29.07,30.13,28.62,166.80M,6.32%
2019年8月16日,28.18,28.10,28.66,28.01,82.85M,-0.67%
2019年8月15日,28.37,27.23,28.64,27.00,113.70M,-1.05%
2019年8月14日,28.67,29.47,29.50,28.57,88.48M,1.24%
2019年8月13日,28.32,28.39,28.90,28.04,65.66M,-1.50%
2019年8月12日,28.75,27.87,28.75,27.40,107.89M,3.05%
2019年8月9日,27.90,30.33,30.53,27.22,226.46M,-7.74%
2019年8月8日,30.24,30.28,30.49,30.02,51.69M,0.23%
2019年8月7日,30.17,30.69,30.97,30.11,60.52M,-1.08%
2019年8月6日,30.50,30.39,30.79,29.57,99.27M,-2.02%
2019年8月5日,31.13,31.39,31.93,30.90,75.49M,-0.86%
2019年8月2日,31.40,31.61,31.91,30.82,102.51M,-4.06%
2019年8月1日,32.73,32.78,33.09,32.63,44.57M,-0.58%
2019年7月31日,32.92,33.30,33.44,32.89,60.13M,-1.23%
2019年7月30日,33.33,33.41,33.90,33.13,65.67M,-0.03%
2019年7月29日,33.34,33.49,34.01,33.18,73.50M,-0.18%
2019年7月26日,33.40,33.10,33.65,32.94,79.02M,0.75%
2019年7月25日,33.15,32.85,33.46,32.66,97.13M,1.35%
2019年7月24日,32.71,31.86,33.05,31.72,119.31M,3.61%
2019年7月23日,31.57,31.18,31.67,31.11,44.31M,0.93%
2019年7月22日,31.28,31.21,31.76,30.41,63.73M,0.19%
2019年7月19日,31.22,31.27,31.75,31.01,64.39M,-0.45%
2019年7月18日,31.36,32.20,32.22,31.36,78.59M,-3.54%
2019年7月17日,32.51,32.91,32.99,32.44,52.70M,-1.28%
2019年7月16日,32.93,32.78,33.28,32.67,61.35M,0.18%
2019年7月15日,32.87,32.02,33.28,31.73,77.36M,2.08%
2019年7月12日,32.20,32.19,32.36,31.78,46.98M,0.44%
2019年7月11日,32.06,32.60,32.70,32.04,50.86M,-1.17%
2019年7月10日,32.44,32.38,32.50,31.78,51.31M,0.81%
2019年7月9日,32.18,32.40,32.69,31.38,69.05M,-0.25%
2019年7月8日,32.26,33.22,33.22,32.13,74.41M,-3.06%
2019年7月5日,33.28,33.29,33.55,33.14,50.40M,0.12%
2019年7月4日,33.24,33.20,33.72,32.91,64.14M,0.12%
2019年7月3日,33.20,33.83,34.08,33.03,88.25M,-2.58%
2019年7月2日,34.08,33.90,34.32,33.60,104.22M,0.53%
2019年7月1日,33.90,34.52,34.52,33.52,149.98M,4.21%
2019年6月28日,32.53,32.73,32.76,32.13,91.35M,-0.85%
2019年6月27日,32.81,31.90,33.49,31.87,188.80M,4.22%
2019年6月26日,31.48,31.30,31.90,31.05,73.90M,-0.32%
2019年6月25日,31.58,31.23,31.83,30.50,116.31M,0.89%
2019年6月24日,31.30,31.67,31.79,30.93,105.34M,-1.97%
2019年6月21日,31.93,32.00,32.32,31.62,136.26M,-0.13%
2019年6月20日,31.97,30.80,32.16,30.50,176.80M,3.23%
2019年6月19日,30.97,31.50,31.80,30.90,156.13M,3.23%
2019年6月18日,30.00,29.95,30.23,29.53,52.04M,0.27%
2019年6月17日,29.92,30.28,30.36,29.61,60.97M,-1.19%
2019年6月14日,30.28,31.22,31.48,30.08,100.83M,-3.01%
2019年6月13日,31.22,31.35,31.88,31.00,78.90M,-0.79%
2019年6月12日,31.47,31.01,32.10,31.00,123.17M,-0.47%
2019年6月11日,31.62,31.01,31.96,30.35,172.06M,1.93%
2019年6月10日,31.02,29.78,31.28,29.78,138.30M,4.16%
2019年6月6日,29.78,31.56,31.56,29.29,186.17M,-7.20%
2019年6月5日,32.09,31.15,32.30,30.66,186.20M,5.21%
2019年6月4日,30.50,30.70,31.51,30.05,170.13M,0.69%
2019年6月3日,30.29,29.30,31.19,28.96,189.49M,5.32%
2019年5月31日,28.76,28.41,29.15,28.29,74.64M,1.34%
2019年5月30日,28.38,28.90,28.97,27.95,85.96M,-2.67%
2019年5月29日,29.16,28.90,29.58,28.81,61.92M,-0.48%
2019年5月28日,29.30,29.50,29.57,28.95,78.60M,0.03%
2019年5月27日,29.29,28.27,29.59,28.02,111.85M,3.68%
2019年5月24日,28.25,28.05,28.58,28.00,57.49M,0.04%
2019年5月23日,28.24,29.18,29.18,28.13,101.87M,-4.21%
2019年5月22日,29.48,29.23,30.55,28.88,147.09M,0.96%
2019年5月21日,29.20,28.00,29.83,27.65,153.07M,4.66%
2019年5月20日,27.90,28.46,28.63,26.50,131.21M,-2.11%
2019年5月17日,28.50,29.50,30.21,28.00,129.31M,-3.78%
2019年5月16日,29.62,30.00,30.13,29.00,128.56M,-2.92%
2019年5月15日,30.51,30.58,30.72,30.08,110.00M,1.87%
2019年5月14日,29.95,29.70,30.69,29.61,104.54M,-0.86%
2019年5月13日,30.21,30.02,30.79,29.85,107.83M,-2.17%
2019年5月10日,30.88,29.15,31.00,28.00,184.69M,9.12%
2019年5月9日,28.30,28.54,29.36,28.18,87.89M,-2.04%
2019年5月8日,28.89,27.91,29.77,27.80,120.18M,-0.41%
2019年5月7日,29.01,29.20,29.70,27.41,151.19M,0.24%
2019年5月6日,28.94,29.30,30.69,28.94,150.72M,-9.98%
2019年5月3日,32.15,32.15,32.15,32.15,-,0.00%
2019年5月1日,32.15,32.15,32.15,32.15,-,0.00%
2019年4月30日,32.15,32.10,32.44,30.50,171.48M,-5.02%
2019年4月29日,33.85,34.20,34.45,32.99,116.50M,-0.94%
2019年4月26日,34.17,33.01,35.00,33.01,125.14M,1.55%
2019年4月25日,33.65,34.95,35.36,33.55,138.75M,-3.91%
2019年4月24日,35.02,35.45,35.80,33.98,165.36M,-1.44%
2019年4月23日,35.53,36.31,37.16,35.20,160.13M,-3.35%
2019年4月22日,36.76,36.50,38.50,35.66,223.59M,0.74%
2019年4月19日,36.49,33.95,36.90,33.60,190.48M,7.04%
2019年4月18日,34.09,33.50,35.62,33.30,179.23M,0.03%
2019年4月17日,34.08,34.00,34.75,32.98,231.10M,1.58%
2019年4月16日,33.55,30.31,33.55,30.10,230.42M,10.00%
2019年4月15日,30.50,30.82,31.99,30.35,104.85M,0.79%
2019年4月12日,30.26,30.20,31.00,30.10,57.10M,-0.43%
2019年4月11日,30.39,31.00,31.25,30.10,107.27M,-3.52%
2019年4月10日,31.50,30.15,32.25,29.80,180.46M,4.30%
2019年4月9日,30.20,29.24,30.80,29.19,135.42M,3.28%
2019年4月8日,29.24,30.05,30.25,29.10,85.60M,-2.47%
2019年4月4日,29.98,30.17,30.30,29.50,87.13M,0.44%
2019年4月3日,29.85,29.81,29.96,29.33,87.52M,-0.17%
2019年4月2日,29.90,30.01,30.40,29.49,128.02M,-0.33%
2019年4月1日,30.00,29.70,30.55,29.70,182.83M,2.74%
2019年3月29日,29.20,28.50,29.34,27.66,235.50M,-0.48%
2019年3月28日,29.34,28.30,29.34,27.91,253.08M,10.01%
2019年3月27日,26.67,27.35,27.63,26.20,87.66M,-1.70%
2019年3月26日,27.13,28.45,28.58,27.05,83.27M,-4.24%
2019年3月25日,28.33,27.51,28.77,27.40,89.47M,0.39%
2019年3月22日,28.22,28.80,28.84,27.70,103.68M,-2.35%
2019年3月21日,28.90,29.17,29.29,28.88,69.91M,-0.28%
2019年3月20日,28.98,28.92,29.45,28.72,64.28M,-0.17%
2019年3月19日,29.03,29.00,29.62,28.84,79.81M,-0.55%
2019年3月18日,29.19,28.38,29.21,27.77,93.05M,2.85%
2019年3月15日,28.38,28.55,28.83,28.24,76.65M,0.46%
2019年3月14日,28.25,28.50,28.56,27.49,124.27M,-1.50%
2019年3月13日,28.68,29.84,30.15,28.35,228.66M,-7.75%
2019年3月12日,31.09,30.66,31.10,30.31,172.76M,2.27%
