日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,72.42,73.62,73.70,72.05,10.03M,-0.66%
2020年3月26日,72.90,73.12,74.14,72.38,13.54M,-2.54%
2020年3月25日,74.80,75.80,76.28,72.20,26.06M,2.09%
2020年3月24日,73.27,73.50,75.85,72.13,13.17M,1.55%
2020年3月23日,72.15,73.15,74.60,71.50,12.04M,-4.56%
2020年3月20日,75.60,73.28,76.50,72.80,16.16M,5.12%
2020年3月19日,71.92,73.86,75.99,70.06,15.71M,-4.59%
2020年3月18日,75.38,77.70,78.29,74.12,12.63M,-2.38%
2020年3月17日,77.22,77.75,79.90,74.80,11.98M,-0.75%
2020年3月16日,77.80,82.50,82.59,77.80,20.37M,-6.93%
2020年3月13日,83.59,75.00,84.50,75.00,28.79M,5.70%
2020年3月12日,79.08,80.98,81.58,78.88,14.05M,-4.33%
2020年3月11日,82.66,81.12,84.80,80.12,18.37M,1.45%
2020年3月10日,81.48,79.00,82.88,78.62,11.54M,2.97%
2020年3月9日,79.13,81.60,81.60,78.34,18.88M,-4.97%
2020年3月6日,83.27,83.10,84.60,82.70,12.21M,-1.00%
2020年3月5日,84.11,79.90,84.83,79.90,25.83M,6.39%
2020年3月4日,79.06,79.17,79.80,77.67,11.33M,-0.14%
2020年3月3日,79.17,79.50,79.98,78.39,14.29M,1.00%
2020年3月2日,78.39,78.05,79.27,76.88,14.19M,-0.14%
2020年2月28日,78.50,76.43,80.00,76.43,17.44M,-2.42%
2020年2月27日,80.45,80.58,82.01,80.00,16.62M,0.31%
2020年2月26日,80.20,80.88,81.28,79.83,14.74M,-2.00%
2020年2月25日,81.84,81.96,81.98,80.77,12.76M,-1.36%
2020年2月24日,82.97,83.60,85.07,82.73,17.00M,-2.47%
2020年2月21日,85.07,85.72,86.20,84.49,11.55M,-0.85%
2020年2月20日,85.80,84.84,86.83,84.60,22.67M,2.99%
2020年2月19日,83.31,79.75,83.42,79.41,18.28M,3.88%
2020年2月18日,80.20,81.30,81.60,79.60,13.18M,-1.29%
2020年2月17日,81.25,80.94,81.81,80.77,14.32M,0.38%
2020年2月14日,80.94,78.62,81.43,78.62,13.17M,2.25%
2020年2月13日,79.16,80.48,80.48,78.70,12.75M,-1.54%
2020年2月12日,80.40,80.00,80.72,79.50,9.13M,0.44%
2020年2月11日,80.05,79.52,80.40,78.97,13.71M,1.33%
