日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,6.75,6.99,6.99,6.72,48.79M,-1.89%
2020年3月26日,6.88,6.86,6.96,6.81,41.68M,-0.58%
2020年3月25日,6.92,6.76,7.01,6.70,94.08M,6.30%
2020年3月24日,6.51,6.45,6.54,6.38,47.82M,2.52%
2020年3月23日,6.35,6.40,6.48,6.31,58.41M,-5.08%
2020年3月20日,6.69,6.60,6.73,6.49,84.03M,1.67%
2020年3月19日,6.58,6.87,6.94,6.49,109.29M,-5.73%
2020年3月18日,6.98,7.27,7.29,6.95,81.38M,-3.99%
2020年3月17日,7.27,7.47,7.59,7.20,60.34M,-2.81%
2020年3月16日,7.48,7.81,7.84,7.43,57.55M,-3.73%
2020年3月13日,7.77,7.41,7.87,7.35,75.23M,-1.15%
2020年3月12日,7.86,8.03,8.06,7.82,74.18M,-3.68%
2020年3月11日,8.16,7.95,8.39,7.92,128.62M,1.49%
2020年3月10日,8.04,7.81,8.07,7.63,115.13M,1.01%
2020年3月9日,7.96,7.86,8.12,7.71,174.96M,3.24%
2020年3月6日,7.71,7.76,7.78,7.67,61.07M,-2.28%
2020年3月5日,7.89,7.80,7.95,7.74,95.09M,2.07%
2020年3月4日,7.73,7.70,7.75,7.61,47.49M,0.78%
2020年3月3日,7.67,7.69,7.84,7.62,61.26M,0.39%
2020年3月2日,7.64,7.48,7.69,7.48,57.68M,2.41%
2020年2月28日,7.46,7.55,7.63,7.44,69.13M,-3.99%
2020年2月27日,7.77,7.83,7.87,7.77,36.54M,-0.77%
2020年2月26日,7.83,7.70,7.96,7.68,83.95M,-0.38%
2020年2月25日,7.86,7.71,7.87,7.63,81.99M,-0.38%
2020年2月24日,7.89,8.12,8.15,7.83,137.74M,-4.25%
2020年2月21日,8.24,8.30,8.31,8.16,91.69M,-1.79%
2020年2月20日,8.39,8.32,8.49,8.24,112.48M,3.33%
2020年2月19日,8.12,8.07,8.28,8.03,74.06M,0.62%
2020年2月18日,8.07,8.16,8.16,8.01,41.58M,-0.98%
2020年2月17日,8.15,7.98,8.17,7.94,60.21M,1.75%
2020年2月14日,8.01,7.85,8.03,7.80,51.27M,1.65%
2020年2月13日,7.88,8.00,8.08,7.84,41.82M,-2.23%
2020年2月12日,8.06,7.98,8.06,7.89,39.26M,0.37%
2020年2月11日,8.03,7.94,8.10,7.88,66.36M,2.03%
2020年2月10日,7.87,7.81,7.91,7.73,53.85M,-1.01%
2020年2月7日,7.95,7.82,8.02,7.72,65.72M,0.76%
