日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,12.34,13.50,13.50,12.22,23.07M,-4.93%
2020年3月26日,12.98,12.86,13.20,12.60,10.09M,0.15%
2020年3月25日,12.96,12.60,13.02,12.54,13.93M,6.40%
2020年3月24日,12.18,11.62,12.28,11.62,26.06M,6.10%
2020年3月23日,11.48,11.20,11.76,11.14,21.48M,-3.37%
2020年3月20日,11.88,11.68,11.88,11.28,21.32M,4.76%
2020年3月19日,11.34,11.74,12.08,11.12,32.22M,-5.81%
2020年3月18日,12.04,13.00,13.56,11.90,25.10M,-8.93%
2020年3月17日,13.22,12.72,13.52,12.50,39.35M,2.48%
2020年3月16日,12.90,13.58,13.58,12.64,23.60M,-6.66%
2020年3月13日,13.82,13.48,14.08,12.60,36.32M,-2.95%
2020年3月12日,14.24,14.28,14.40,13.66,35.39M,-1.79%
2020年3月11日,14.50,14.80,14.90,14.46,11.77M,-1.76%
2020年3月10日,14.76,15.14,15.24,14.58,18.49M,-0.81%
2020年3月9日,14.88,15.48,15.48,14.80,16.66M,-6.30%
2020年3月6日,15.88,16.12,16.14,15.80,9.01M,-2.70%
2020年3月5日,16.32,15.88,16.52,15.84,11.83M,3.42%
2020年3月4日,15.78,15.86,16.00,15.66,8.04M,-0.50%
2020年3月3日,15.86,16.32,16.50,15.82,10.19M,-1.86%
2020年3月2日,16.16,15.90,16.26,15.90,9.10M,1.51%
2020年2月28日,15.92,16.20,16.22,15.82,14.71M,-3.40%
2020年2月27日,16.48,16.38,16.58,16.22,4.61M,0.61%
2020年2月26日,16.38,16.28,16.60,16.04,8.21M,-0.61%
2020年2月25日,16.48,16.50,16.62,16.30,8.61M,-0.96%
2020年2月24日,16.64,16.98,17.00,16.64,10.78M,-2.69%
2020年2月21日,17.10,17.28,17.30,17.10,10.54M,-1.50%
2020年2月20日,17.36,17.30,17.48,17.08,12.40M,1.05%
2020年2月19日,17.18,17.10,17.32,17.02,5.26M,0.47%
2020年2月18日,17.10,17.16,17.24,17.06,6.34M,-1.27%
2020年2月17日,17.32,17.20,17.38,17.12,11.15M,1.29%
2020年2月14日,17.10,17.18,17.30,17.00,9.63M,-0.23%
2020年2月13日,17.14,17.36,17.38,17.04,8.91M,-1.27%
2020年2月12日,17.36,17.16,17.42,17.08,10.21M,0.93%
2020年2月11日,17.20,17.20,17.38,17.12,7.38M,0.82%
2020年2月10日,17.06,17.04,17.20,16.94,7.38M,-0.93%
2020年2月7日,17.22,17.50,17.50,17.00,10.42M,-1.71%
2020年2月6日,17.52,17.36,17.84,17.06,14.74M,3.18%
2020年2月5日,16.98,16.92,17.56,16.92,8.56M,-0.12%
2020年2月4日,17.00,16.42,17.30,16.42,10.16M,2.53%
2020年2月3日,16.58,16.24,16.80,16.20,14.92M,1.22%
2020年1月31日,16.38,16.88,16.96,16.36,5.96M,-1.56%
2020年1月30日,16.64,17.16,17.28,16.58,9.47M,-3.26%
2020年1月29日,17.20,17.50,17.50,17.14,11.30M,-5.08%
2020年1月24日,18.12,17.94,18.28,17.84,3.03M,0.67%
2020年1月23日,18.00,18.30,18.60,17.92,8.87M,-3.64%
2020年1月22日,18.68,18.66,18.76,18.36,7.08M,0.21%
2020年1月21日,18.64,19.60,19.62,18.64,19.11M,-5.19%
2020年1月20日,19.66,19.86,20.20,19.66,8.46M,-0.71%
2020年1月17日,19.80,19.58,19.82,19.38,6.40M,2.17%
2020年1月16日,19.38,19.62,19.66,19.28,10.12M,-0.62%
2020年1月15日,19.50,19.90,19.96,19.46,11.55M,-1.71%
2020年1月14日,19.84,20.30,20.30,19.74,8.35M,-1.05%
2020年1月13日,20.05,19.92,20.20,19.90,7.82M,0.96%
2020年1月10日,19.86,19.82,19.96,19.70,5.60M,-0.10%
2020年1月9日,19.88,19.76,19.96,19.72,4.99M,2.16%
2020年1月8日,19.46,19.98,19.98,19.40,9.48M,-3.42%
2020年1月7日,20.15,20.25,20.50,20.00,7.50M,0.25%
2020年1月6日,20.10,20.30,20.65,19.96,8.43M,-1.47%
2020年1月3日,20.40,20.40,21.00,20.35,12.77M,0.99%
2020年1月2日,20.20,19.44,20.30,19.44,11.76M,4.55%
2019年12月31日,19.32,19.50,19.50,19.22,2.99M,-1.02%
