日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,69.72,71.25,71.29,69.72,60.31M,-0.67%
2020年3月26日,70.19,69.48,71.00,69.35,54.99M,-0.23%
2020年3月25日,70.35,70.60,71.23,69.88,92.82M,2.03%
2020年3月24日,68.95,67.95,69.05,67.82,79.16M,3.28%
2020年3月23日,66.76,66.00,67.50,66.00,68.41M,-3.25%
2020年3月20日,69.00,68.71,69.40,67.35,88.73M,1.75%
2020年3月19日,67.81,69.10,69.87,66.32,123.68M,-2.95%
2020年3月18日,69.87,72.53,72.88,69.85,85.22M,-3.15%
2020年3月17日,72.14,71.65,73.00,70.89,95.09M,0.19%
2020年3月16日,72.00,74.50,74.52,71.80,97.92M,-3.63%
2020年3月13日,74.71,72.14,75.98,72.10,116.62M,-2.53%
2020年3月12日,76.65,77.25,77.48,76.53,90.13M,-1.92%
2020年3月11日,78.15,79.18,79.25,78.15,59.14M,-1.30%
2020年3月10日,79.18,78.14,79.78,77.83,71.70M,1.33%
2020年3月9日,78.14,78.91,79.00,78.02,105.51M,-3.42%
2020年3月6日,80.91,81.57,81.92,80.80,58.42M,-1.87%
2020年3月5日,82.45,81.01,82.76,80.62,96.06M,2.32%
2020年3月4日,80.58,79.90,80.75,79.90,67.76M,1.37%
2020年3月3日,79.49,80.48,80.57,79.26,67.82M,-0.11%
2020年3月2日,79.58,78.32,80.20,78.32,71.23M,2.39%
2020年2月28日,77.72,78.60,79.29,77.71,98.39M,-2.59%
2020年2月27日,79.79,79.60,80.40,79.30,66.68M,-0.05%
2020年2月26日,79.83,79.45,80.76,79.11,84.42M,-0.45%
2020年2月25日,80.19,79.80,80.32,79.51,86.90M,-0.66%
2020年2月24日,80.72,81.00,81.30,80.50,103.51M,-2.02%
2020年2月21日,82.38,82.50,83.23,82.00,109.39M,-1.08%
2020年2月20日,83.28,82.00,83.61,81.35,83.30M,1.93%
2020年2月19日,81.70,81.03,82.24,81.01,46.05M,0.18%
2020年2月18日,81.55,81.81,82.11,81.44,51.32M,-1.02%
2020年2月17日,82.39,81.00,82.49,80.70,67.81M,1.72%
2020年2月14日,81.00,80.37,81.26,80.21,42.88M,0.68%
2020年2月13日,80.45,81.20,81.20,80.36,56.26M,-0.92%
2020年2月12日,81.20,81.10,81.46,80.55,44.43M,0.09%
2020年2月11日,81.13,80.89,81.86,80.50,58.43M,1.03%
2020年2月10日,80.30,80.35,80.64,79.90,59.36M,-0.90%
2020年2月7日,81.03,80.60,81.20,80.42,49.16M,-0.60%
2020年2月6日,81.52,81.18,81.97,80.38,67.22M,1.42%
2020年2月5日,80.38,80.56,81.33,79.76,75.32M,-0.06%
2020年2月4日,80.43,78.30,80.97,78.20,121.35M,3.50%
2020年2月3日,77.71,76.51,79.25,76.40,203.15M,-6.92%
2020年1月23日,83.49,84.01,84.56,82.48,108.00M,-2.03%
2020年1月22日,85.22,85.00,85.48,83.83,73.66M,-0.44%
2020年1月21日,85.60,87.00,87.29,85.60,72.76M,-2.28%
2020年1月20日,87.60,88.30,88.70,87.35,93.61M,1.57%
2020年1月17日,86.25,86.15,86.90,85.85,55.54M,0.82%
2020年1月16日,85.55,86.31,86.37,85.55,49.86M,-0.30%
2020年1月15日,85.81,86.81,87.12,85.68,52.62M,-1.17%
2020年1月14日,86.83,87.20,87.82,86.68,71.67M,0.44%
2020年1月13日,86.45,85.01,86.47,84.78,81.06M,1.97%
2020年1月10日,84.78,85.35,85.39,84.61,52.59M,-0.31%
2020年1月9日,85.04,85.58,85.61,84.69,59.87M,0.05%
2020年1月8日,85.00,85.98,85.98,84.50,62.81M,-1.33%
2020年1月7日,86.15,86.01,86.46,85.67,45.22M,0.64%
2020年1月6日,85.60,85.92,86.87,85.50,63.65M,-0.70%
2020年1月3日,86.20,86.81,86.88,85.90,59.50M,0.09%
2020年1月2日,86.12,85.90,86.79,85.88,77.83M,0.77%
2019年12月31日,85.46,85.75,85.91,85.01,43.20M,-0.50%
2019年12月30日,85.89,84.76,86.02,83.92,67.62M,1.38%
2019年12月27日,84.72,84.44,85.66,84.42,49.28M,0.34%
2019年12月26日,84.43,84.00,84.43,83.90,28.65M,0.60%
2019年12月25日,83.93,84.40,84.51,83.81,31.62M,-0.63%
2019年12月24日,84.46,84.23,84.60,84.05,29.22M,0.20%
2019年12月23日,84.29,85.95,85.97,84.25,45.72M,-1.45%
2019年12月20日,85.53,85.77,86.31,85.50,35.83M,-0.20%
2019年12月19日,85.70,86.12,86.18,85.28,33.08M,-0.33%
2019年12月18日,85.98,86.09,86.45,85.81,45.38M,-0.17%
2019年12月17日,86.13,85.68,86.84,85.25,75.83M,0.57%
2019年12月16日,85.64,85.60,85.85,84.90,77.97M,-1.30%
2019年12月13日,86.77,85.18,86.77,85.08,77.47M,3.25%
2019年12月12日,84.04,84.43,84.64,84.00,36.65M,0.00%
2019年12月11日,84.04,83.80,84.19,83.40,36.79M,0.54%
2019年12月10日,83.59,83.51,83.88,83.30,29.55M,-0.07%
2019年12月9日,83.65,84.76,84.89,83.34,46.05M,-1.29%
2019年12月6日,84.74,84.90,84.95,84.33,27.21M,0.08%
2019年12月5日,84.67,84.51,85.00,84.08,34.25M,0.71%
2019年12月4日,84.07,83.60,84.13,83.37,26.20M,-0.24%
2019年12月3日,84.27,83.18,84.28,82.79,39.43M,1.18%
2019年12月2日,83.29,83.69,83.98,83.01,38.60M,-0.39%
2019年11月29日,83.62,84.39,84.74,82.69,57.09M,-0.92%
2019年11月28日,84.40,85.00,85.16,84.23,35.81M,-0.60%
2019年11月27日,84.91,85.36,85.36,84.50,39.43M,-0.57%
2019年11月26日,85.40,86.00,86.02,84.97,50.93M,-0.12%
2019年11月25日,85.50,85.10,85.57,84.28,54.65M,0.72%
2019年11月22日,84.89,86.42,86.95,84.68,74.75M,-1.68%
2019年11月21日,86.34,87.72,87.75,86.01,75.74M,-1.94%
2019年11月20日,88.05,88.58,88.80,87.93,33.23M,-0.94%
2019年11月19日,88.89,88.30,89.10,88.22,30.20M,0.20%
2019年11月18日,88.71,87.88,88.98,87.68,34.48M,0.92%
2019年11月15日,87.90,87.81,88.25,87.70,36.40M,-0.15%
2019年11月14日,88.03,88.48,88.49,87.80,32.35M,0.03%
2019年11月13日,88.00,87.97,88.34,87.53,38.09M,-0.25%
2019年11月12日,88.22,88.39,88.55,87.85,39.55M,0.01%
2019年11月11日,88.21,88.50,88.59,87.90,44.26M,-1.08%
2019年11月8日,89.17,90.49,90.55,89.17,43.63M,-0.67%
2019年11月7日,89.77,90.00,90.10,89.28,31.98M,-0.26%
2019年11月6日,90.00,90.04,90.40,89.67,38.63M,-0.07%
2019年11月5日,90.06,90.30,91.26,89.66,65.49M,-0.25%
2019年11月4日,90.29,90.35,90.64,89.91,50.57M,0.28%
2019年11月1日,90.04,88.12,90.06,88.01,65.09M,2.18%
2019年10月31日,88.12,87.80,88.71,87.80,37.37M,0.19%
2019年10月30日,87.95,88.00,88.37,87.67,43.65M,-0.28%
2019年10月29日,88.20,88.67,89.04,87.96,43.16M,-0.50%
2019年10月28日,88.64,88.39,88.87,87.87,65.10M,0.73%
2019年10月25日,88.00,88.00,88.47,87.10,112.92M,-2.00%
2019年10月24日,89.80,89.85,90.04,88.95,36.05M,0.34%
2019年10月23日,89.50,90.20,90.63,89.21,31.88M,-0.87%
2019年10月22日,90.29,90.79,90.79,89.58,31.08M,0.24%
2019年10月21日,90.07,89.47,90.45,88.93,36.09M,0.36%
2019年10月18日,89.75,92.30,92.45,89.68,59.09M,-2.15%
2019年10月17日,91.72,91.20,92.17,90.60,61.94M,1.26%
2019年10月16日,90.58,90.70,91.82,90.48,49.91M,0.42%
2019年10月15日,90.20,90.80,90.80,89.94,35.09M,-0.28%
2019年10月14日,90.45,90.80,91.45,90.18,63.04M,0.61%
2019年10月11日,89.90,88.89,90.27,88.50,60.05M,1.58%
2019年10月10日,88.50,88.19,88.65,87.51,34.09M,0.36%
2019年10月9日,88.18,87.44,88.60,87.33,36.06M,0.20%
2019年10月8日,88.00,87.14,88.72,87.10,40.53M,1.10%
2019年9月30日,87.04,87.94,88.19,87.01,46.08M,-1.43%
2019年9月27日,88.30,88.53,88.68,87.88,32.96M,-0.06%
2019年9月26日,88.35,89.20,89.77,88.33,48.64M,-0.48%
2019年9月25日,88.78,88.39,89.17,88.15,38.86M,-0.19%
2019年9月24日,88.95,89.00,89.41,88.40,40.54M,0.04%
2019年9月23日,88.91,89.44,89.44,88.15,51.37M,-1.05%
2019年9月20日,89.85,89.89,90.29,89.45,45.69M,0.28%
2019年9月19日,89.60,90.50,90.62,89.01,42.16M,-0.44%
2019年9月18日,90.00,89.82,90.48,89.58,41.98M,0.54%
2019年9月17日,89.52,90.90,90.92,89.22,64.03M,-2.00%
2019年9月16日,91.35,92.30,92.33,91.12,54.84M,-1.07%
2019年9月12日,92.34,90.09,92.50,89.75,79.31M,3.10%
2019年9月11日,89.56,89.80,90.08,88.75,45.59M,0.13%
2019年9月10日,89.44,90.49,90.55,88.90,48.46M,-1.06%
2019年9月9日,90.40,91.37,91.53,89.98,70.24M,-0.33%
2019年9月6日,90.70,89.95,90.70,89.28,68.88M,1.65%
2019年9月5日,89.23,88.80,90.31,88.31,100.76M,1.05%
2019年9月4日,88.30,87.83,88.40,87.22,60.60M,0.06%
2019年9月3日,88.25,88.60,88.90,87.79,51.28M,-0.28%
2019年9月2日,88.50,87.00,88.88,86.88,63.58M,1.35%
2019年8月30日,87.32,87.70,88.15,86.41,56.47M,0.72%
2019年8月29日,86.70,87.15,87.48,86.17,46.43M,-0.23%
2019年8月28日,86.90,87.61,87.92,86.85,51.61M,-0.89%
2019年8月27日,87.68,88.05,88.80,87.57,76.78M,0.21%
2019年8月26日,87.50,88.30,88.60,87.15,99.03M,-2.66%
2019年8月23日,89.89,87.95,90.26,87.82,88.57M,2.17%
2019年8月22日,87.98,87.86,88.08,87.40,36.50M,0.28%
2019年8月21日,87.73,87.65,88.17,87.35,33.53M,-0.24%
2019年8月20日,87.94,88.30,88.33,87.62,50.44M,-0.58%
2019年8月19日,88.45,88.30,88.46,87.25,83.74M,1.13%
2019年8月16日,87.46,87.00,88.30,86.35,93.23M,1.33%
2019年8月15日,86.31,83.80,86.34,83.53,70.23M,1.49%
2019年8月14日,85.04,86.38,86.57,85.01,53.34M,0.04%
2019年8月13日,85.01,85.95,86.25,84.77,51.50M,-1.72%
2019年8月12日,86.50,84.46,86.77,84.46,59.42M,2.55%
2019年8月9日,84.35,85.10,85.28,84.02,44.94M,-0.19%
2019年8月8日,84.51,83.99,84.55,83.40,56.73M,1.25%
2019年8月7日,83.47,84.81,84.95,83.35,53.24M,-1.23%
2019年8月6日,84.51,83.10,84.88,82.15,101.03M,-0.12%
2019年8月5日,84.61,85.06,85.86,84.58,68.49M,-1.65%
2019年8月2日,86.03,86.10,86.49,85.50,72.90M,-1.69%
2019年8月1日,87.51,87.50,88.34,87.01,42.76M,-0.66%
2019年7月31日,88.09,89.41,89.50,87.88,59.28M,-2.10%
2019年7月30日,89.98,90.35,90.90,89.68,46.48M,0.59%
2019年7月29日,89.45,89.84,90.08,89.05,36.83M,-0.72%
2019年7月26日,90.10,88.82,90.17,88.82,46.15M,0.77%
2019年7月25日,89.41,89.10,89.55,88.54,45.61M,0.63%
2019年7月24日,88.85,87.97,89.46,87.80,59.46M,1.54%
2019年7月23日,87.50,87.91,88.20,87.10,38.18M,-0.21%
2019年7月22日,87.68,88.32,88.98,87.68,42.62M,-0.76%
2019年7月19日,88.35,87.31,88.70,87.31,60.36M,1.87%
2019年7月18日,86.73,86.60,87.39,86.33,37.78M,-0.30%
2019年7月17日,86.99,86.95,87.58,86.40,43.84M,0.05%
2019年7月16日,86.95,87.97,88.18,86.90,43.09M,-1.28%
2019年7月15日,88.08,88.10,88.77,86.62,59.45M,-0.75%
2019年7月12日,88.75,88.15,89.47,88.15,57.67M,0.88%
2019年7月11日,87.98,88.49,89.30,87.69,51.49M,0.11%
2019年7月10日,87.88,88.19,88.21,87.52,35.62M,0.40%
2019年7月9日,87.53,88.68,88.85,86.99,55.70M,-1.20%
2019年7月8日,88.59,89.99,89.99,87.78,78.78M,-2.49%
2019年7月5日,90.85,90.00,91.14,89.83,51.05M,1.06%
2019年7月4日,89.90,90.70,91.14,89.35,59.37M,-0.84%
2019年7月3日,90.66,91.16,91.60,89.80,65.10M,-0.44%
2019年7月2日,91.06,91.69,91.69,90.88,60.65M,-0.85%
2019年7月1日,91.84,90.60,92.47,90.60,92.61M,3.65%
2019年6月28日,88.61,87.96,89.32,87.63,59.55M,0.64%
2019年6月27日,88.05,87.00,88.47,86.99,81.46M,1.91%
2019年6月26日,86.40,86.75,87.30,86.40,45.76M,-0.27%
2019年6月25日,86.63,88.10,88.18,85.32,105.19M,-1.79%
2019年6月24日,88.21,87.90,88.54,87.22,59.41M,0.27%
2019年6月21日,87.97,87.95,88.56,87.23,85.81M,-0.60%
2019年6月20日,88.50,83.92,88.50,83.92,153.32M,5.94%
2019年6月19日,83.54,84.01,84.57,83.50,111.87M,3.17%
