日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,5.33,5.26,5.42,5.21,273.51M,2.70%
2020年3月26日,5.19,5.23,5.24,5.17,110.85M,-1.52%
2020年3月25日,5.27,5.27,5.32,5.20,192.59M,1.93%
2020年3月24日,5.17,5.20,5.23,5.08,177.23M,1.17%
2020年3月23日,5.11,5.08,5.19,5.07,129.14M,-2.11%
2020年3月20日,5.22,5.11,5.25,5.11,196.76M,2.96%
2020年3月19日,5.07,5.15,5.20,4.98,245.92M,-1.55%
2020年3月18日,5.15,5.28,5.35,5.15,196.23M,-1.90%
2020年3月17日,5.25,5.31,5.38,5.15,197.49M,0.00%
2020年3月16日,5.25,5.37,5.50,5.25,260.38M,-1.87%
2020年3月13日,5.35,5.16,5.42,5.12,303.35M,-0.37%
2020年3月12日,5.37,5.45,5.50,5.36,256.32M,-2.36%
2020年3月11日,5.50,5.62,5.62,5.50,196.64M,-1.79%
2020年3月10日,5.60,5.45,5.62,5.45,287.21M,2.19%
2020年3月9日,5.48,5.58,5.60,5.46,333.56M,-3.52%
2020年3月6日,5.68,5.77,5.80,5.65,253.89M,-2.41%
2020年3月5日,5.82,5.84,5.86,5.75,327.06M,-0.17%
2020年3月4日,5.83,5.72,5.90,5.68,387.39M,1.22%
2020年3月3日,5.76,5.98,6.02,5.66,602.24M,-1.20%
2020年3月2日,5.83,5.43,5.86,5.40,767.17M,8.57%
2020年2月28日,5.37,5.30,5.49,5.28,464.88M,-0.37%
2020年2月27日,5.39,5.45,5.49,5.35,364.29M,-1.10%
2020年2月26日,5.45,5.17,5.52,5.15,662.73M,4.21%
2020年2月25日,5.23,5.20,5.26,5.16,261.76M,-1.13%
2020年2月24日,5.29,5.38,5.39,5.28,267.14M,-1.86%
2020年2月21日,5.39,5.42,5.45,5.37,236.98M,-0.74%
2020年2月20日,5.43,5.40,5.44,5.31,264.96M,0.93%
2020年2月19日,5.38,5.41,5.47,5.37,203.17M,-0.92%
