日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,45.02,44.12,46.35,43.81,55.41M,4.09%
2020年3月26日,43.25,43.30,44.59,42.81,28.82M,-1.50%
2020年3月25日,43.91,44.69,45.15,43.40,31.87M,1.41%
2020年3月24日,43.30,44.26,44.50,41.10,37.01M,0.12%
2020年3月23日,43.25,46.03,46.38,43.25,53.61M,-9.99%
2020年3月20日,48.05,49.20,49.79,47.08,38.45M,-1.76%
2020年3月19日,48.91,48.99,49.95,46.80,56.92M,-0.18%
2020年3月18日,49.00,49.19,51.64,48.01,80.62M,0.31%
2020年3月17日,48.85,48.57,49.50,45.50,72.99M,3.28%
2020年3月16日,47.30,47.28,49.97,46.80,89.79M,0.57%
2020年3月13日,47.03,41.01,47.50,41.01,92.13M,8.92%
2020年3月12日,43.18,43.00,44.38,42.66,24.20M,-1.53%
2020年3月11日,43.85,45.56,45.96,43.85,33.41M,-3.29%
2020年3月10日,45.34,43.15,45.38,42.55,48.88M,4.37%
2020年3月9日,43.44,45.62,45.90,43.35,43.48M,-7.08%
2020年3月6日,46.75,47.00,47.96,46.60,32.01M,-3.33%
2020年3月5日,48.36,50.32,50.50,47.56,40.91M,-0.43%
2020年3月4日,48.57,48.49,50.60,46.80,42.43M,-0.82%
2020年3月3日,48.97,48.98,51.16,48.20,53.36M,2.00%
2020年3月2日,48.01,46.50,48.87,45.62,44.94M,6.26%
2020年2月28日,45.18,46.00,47.39,44.78,55.70M,-7.57%
2020年2月27日,48.88,49.81,51.00,48.00,48.07M,-0.79%
2020年2月26日,49.27,52.00,52.62,48.57,60.58M,-6.83%
2020年2月25日,52.88,51.82,53.39,49.80,54.69M,-1.21%
2020年2月24日,53.53,52.25,54.11,51.58,48.16M,2.33%
2020年2月21日,52.31,49.28,53.84,49.28,62.32M,6.84%
2020年2月20日,48.96,48.49,49.53,47.80,37.35M,0.84%
2020年2月19日,48.55,50.19,50.19,48.45,48.33M,-3.69%
2020年2月18日,50.41,48.88,50.71,48.18,53.90M,3.05%
2020年2月17日,48.92,48.60,49.80,48.13,45.54M,2.09%
2020年2月14日,47.92,46.05,50.15,45.95,67.02M,3.05%
2020年2月13日,46.50,47.94,48.31,46.20,56.02M,-3.53%
2020年2月12日,48.20,45.93,48.86,45.80,68.28M,5.59%
2020年2月11日,45.65,46.92,47.80,45.16,52.21M,-2.91%
2020年2月10日,47.02,47.97,48.47,45.96,80.31M,1.69%
2020年2月7日,46.24,42.98,46.24,42.98,86.61M,9.99%
2020年2月6日,42.04,40.00,42.75,39.16,54.65M,5.13%
2020年2月5日,39.99,39.80,41.35,39.58,42.39M,0.68%
2020年2月4日,39.72,36.31,40.20,36.31,55.24M,5.95%
2020年2月3日,37.49,37.49,37.49,37.49,13.25M,-9.99%
2020年1月23日,41.65,43.80,44.20,40.55,65.13M,-7.24%
2020年1月22日,44.90,42.30,45.29,42.10,66.41M,6.68%
2020年1月21日,42.09,42.63,43.30,41.90,44.00M,-2.95%
2020年1月20日,43.37,43.92,44.01,41.85,51.33M,-0.07%
2020年1月17日,43.40,42.97,43.81,42.60,53.02M,2.31%
2020年1月16日,42.42,42.80,43.97,41.95,56.66M,-1.55%
2020年1月15日,43.09,42.60,43.43,42.26,57.48M,1.99%
2020年1月14日,42.25,42.50,43.43,41.63,91.27M,1.88%
2020年1月13日,41.47,38.72,41.47,38.70,104.10M,10.00%
2020年1月10日,37.70,38.00,38.16,37.25,33.49M,-0.79%
2020年1月9日,38.00,36.49,38.39,36.41,54.44M,4.48%
2020年1月8日,36.37,36.01,37.43,35.91,42.17M,0.33%
2020年1月7日,36.25,35.94,36.26,35.64,24.52M,0.92%
2020年1月6日,35.92,35.45,36.26,35.28,28.76M,0.56%
2020年1月3日,35.72,35.58,35.76,35.20,21.48M,0.51%
2020年1月2日,35.54,35.00,35.65,34.80,24.99M,2.78%
2019年12月31日,34.58,34.60,34.86,34.38,11.63M,-0.17%
2019年12月30日,34.64,34.40,34.73,33.78,15.60M,0.73%
2019年12月27日,34.39,35.29,35.38,34.29,18.50M,-2.30%
2019年12月26日,35.20,35.07,35.30,34.80,15.21M,0.28%
2019年12月25日,35.10,34.47,35.40,34.23,22.74M,2.03%
2019年12月24日,34.40,34.10,34.47,34.09,12.62M,0.88%
2019年12月23日,34.10,35.00,35.09,34.10,23.62M,-3.43%
2019年12月20日,35.31,36.70,36.90,35.29,32.70M,-3.60%
2019年12月19日,36.63,36.32,36.73,36.07,25.14M,0.99%
2019年12月18日,36.27,36.49,36.68,36.15,25.66M,-0.60%
2019年12月17日,36.49,36.71,36.74,36.10,31.74M,-0.30%
2019年12月16日,36.60,35.70,36.64,35.54,35.78M,3.10%
2019年12月13日,35.50,35.59,35.70,34.90,24.52M,1.34%
2019年12月12日,35.03,34.90,35.67,34.81,24.85M,0.49%
2019年12月11日,34.86,35.50,35.75,34.76,22.24M,-2.35%
2019年12月10日,35.70,35.21,35.90,35.11,29.07M,0.85%
2019年12月9日,35.40,34.60,35.49,34.51,31.67M,2.61%
2019年12月6日,34.50,34.52,34.75,33.92,19.34M,-0.43%
2019年12月5日,34.65,34.38,34.86,34.10,22.85M,0.93%
2019年12月4日,34.33,33.72,34.62,33.54,20.22M,0.97%
2019年12月3日,34.00,33.50,34.00,33.39,11.74M,0.83%
