日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,6.29,6.49,6.55,6.26,15.99M,-1.72%
2020年3月26日,6.40,6.40,6.58,6.37,18.14M,-1.54%
2020年3月25日,6.50,6.40,6.59,6.30,19.55M,2.04%
2020年3月24日,6.37,6.42,6.58,6.15,18.42M,-0.93%
2020年3月23日,6.43,6.35,6.71,6.30,29.55M,-3.60%
2020年3月20日,6.67,6.08,6.67,6.03,33.46M,10.07%
2020年3月19日,6.06,5.87,6.08,5.81,11.66M,3.24%
2020年3月18日,5.87,6.02,6.15,5.84,11.18M,-0.68%
2020年3月17日,5.91,5.84,5.97,5.67,7.98M,1.37%
2020年3月16日,5.83,6.02,6.13,5.80,11.28M,-2.18%
2020年3月13日,5.96,5.55,5.98,5.50,9.96M,1.36%
2020年3月12日,5.88,5.95,6.05,5.85,10.85M,-2.65%
2020年3月11日,6.04,6.06,6.19,5.93,15.29M,-0.33%
2020年3月10日,6.06,5.70,6.07,5.66,19.21M,5.76%
2020年3月9日,5.73,5.65,5.81,5.62,11.76M,0.17%
2020年3月6日,5.72,5.70,5.75,5.67,5.82M,-0.87%
2020年3月5日,5.77,5.73,5.79,5.69,6.55M,1.41%
2020年3月4日,5.69,5.64,5.70,5.60,4.23M,0.35%
2020年3月3日,5.67,5.75,5.77,5.63,5.50M,-0.35%
2020年3月2日,5.69,5.47,5.72,5.47,6.94M,4.21%
2020年2月28日,5.46,5.52,5.63,5.44,7.03M,-4.38%
2020年2月27日,5.71,5.69,5.83,5.67,6.64M,0.88%
2020年2月26日,5.66,5.54,5.70,5.51,6.83M,1.07%
2020年2月25日,5.60,5.54,5.61,5.43,7.42M,-1.58%
2020年2月24日,5.69,5.77,5.79,5.63,8.52M,-1.56%
2020年2月21日,5.78,5.86,5.93,5.72,7.99M,-0.86%
2020年2月20日,5.83,5.69,5.87,5.69,9.48M,2.28%
2020年2月19日,5.70,5.66,5.72,5.58,6.78M,0.88%
2020年2月18日,5.65,5.54,5.67,5.53,6.58M,2.17%
2020年2月17日,5.53,5.43,5.54,5.43,5.52M,2.03%
2020年2月14日,5.42,5.44,5.47,5.40,3.89M,-0.91%
2020年2月13日,5.47,5.42,5.54,5.39,5.76M,-0.36%
2020年2月12日,5.49,5.39,5.52,5.33,5.99M,2.04%
2020年2月11日,5.38,5.36,5.43,5.33,4.93M,-0.19%
2020年2月10日,5.39,5.36,5.39,5.24,6.05M,-0.37%
2020年2月7日,5.41,5.23,5.48,5.17,8.00M,3.24%
2020年2月6日,5.24,5.18,5.26,5.10,6.40M,1.35%
2020年2月5日,5.17,5.08,5.21,5.04,9.13M,2.58%
2020年2月4日,5.04,4.99,5.20,4.97,15.69M,-3.45%
2020年2月3日,5.22,5.22,5.22,5.22,2.37M,-10.00%
2020年1月23日,5.80,5.87,5.92,5.72,6.25M,-1.86%
2020年1月22日,5.91,5.89,5.95,5.80,5.48M,-0.51%
2020年1月21日,5.94,6.16,6.17,5.93,9.47M,-4.35%
2020年1月20日,6.21,6.21,6.24,6.13,4.04M,0.00%
2020年1月17日,6.21,6.26,6.28,6.21,2.54M,-0.48%
2020年1月16日,6.24,6.29,6.31,6.21,2.65M,-0.64%
2020年1月15日,6.28,6.34,6.37,6.24,3.79M,-1.26%
2020年1月14日,6.36,6.33,6.37,6.29,4.46M,0.47%
2020年1月13日,6.33,6.29,6.35,6.25,3.78M,0.48%
2020年1月10日,6.30,6.27,6.32,6.24,4.68M,0.80%
2020年1月9日,6.25,6.25,6.28,6.23,2.68M,0.48%
2020年1月8日,6.22,6.28,6.28,6.20,4.66M,-1.27%
2020年1月7日,6.30,6.25,6.31,6.22,4.42M,1.12%
2020年1月6日,6.23,6.26,6.29,6.20,4.31M,-0.80%
2020年1月3日,6.28,6.30,6.31,6.23,5.26M,-0.32%
2020年1月2日,6.30,6.24,6.32,6.22,6.03M,0.80%
2019年12月31日,6.25,6.20,6.26,6.18,3.30M,0.81%
2019年12月30日,6.20,6.12,6.23,6.09,3.54M,1.31%
2019年12月27日,6.12,6.14,6.19,6.10,3.67M,0.00%
2019年12月26日,6.12,6.09,6.13,6.07,2.14M,0.33%
2019年12月25日,6.10,6.09,6.13,6.05,1.98M,0.49%
2019年12月24日,6.07,6.02,6.10,6.01,2.03M,1.00%
2019年12月23日,6.01,6.14,6.17,6.01,5.73M,-2.12%
2019年12月20日,6.14,6.21,6.29,6.12,5.48M,-1.29%
2019年12月19日,6.22,6.22,6.27,6.17,4.14M,0.00%
2019年12月18日,6.22,6.18,6.28,6.17,5.03M,0.65%
2019年12月17日,6.18,6.15,6.20,6.13,5.05M,0.49%
2019年12月16日,6.15,6.15,6.16,6.11,5.17M,0.00%
2019年12月13日,6.15,6.18,6.21,6.12,6.92M,-1.28%
2019年12月12日,6.23,6.05,6.42,6.05,10.64M,2.64%
2019年12月11日,6.07,6.07,6.12,6.04,1.76M,-0.33%
2019年12月10日,6.09,6.05,6.09,6.05,1.53M,-0.16%
2019年12月9日,6.10,6.07,6.11,6.05,1.82M,0.16%
2019年12月6日,6.09,6.10,6.13,6.04,1.69M,0.00%
2019年12月5日,6.09,6.09,6.14,6.07,2.90M,0.00%
2019年12月4日,6.09,6.01,6.09,6.01,3.10M,0.66%
2019年12月3日,6.05,5.93,6.08,5.91,3.55M,1.51%
2019年12月2日,5.96,5.94,6.00,5.93,1.84M,-0.17%
2019年11月29日,5.97,6.00,6.00,5.90,2.50M,-0.33%
2019年11月28日,5.99,5.94,6.02,5.93,2.28M,0.50%
2019年11月27日,5.96,5.99,6.03,5.95,2.46M,-0.33%
2019年11月26日,5.98,5.95,6.00,5.91,2.65M,0.67%
2019年11月25日,5.94,5.93,5.96,5.88,1.79M,0.17%
2019年11月22日,5.93,5.95,6.00,5.91,2.76M,-0.50%
2019年11月21日,5.96,5.90,5.96,5.90,1.95M,0.34%
2019年11月20日,5.94,5.86,5.95,5.86,2.17M,0.34%
2019年11月19日,5.92,5.83,5.92,5.83,2.89M,1.02%
2019年11月18日,5.86,5.81,5.87,5.80,2.01M,0.69%
2019年11月15日,5.82,5.84,5.93,5.81,2.14M,-0.68%
2019年11月14日,5.86,5.82,5.93,5.82,1.98M,0.51%
2019年11月13日,5.83,5.88,5.94,5.81,1.83M,-0.68%
2019年11月12日,5.87,5.81,5.89,5.77,2.40M,1.03%
2019年11月11日,5.81,5.93,5.93,5.78,3.05M,-2.02%
2019年11月8日,5.93,5.90,5.99,5.89,2.91M,0.68%
2019年11月7日,5.89,5.92,5.94,5.87,2.71M,-0.84%
2019年11月6日,5.94,5.96,5.97,5.90,2.76M,-0.17%
2019年11月5日,5.95,5.93,5.96,5.90,2.46M,0.17%
2019年11月4日,5.94,5.90,5.97,5.89,2.62M,0.85%
2019年11月1日,5.89,5.92,5.92,5.83,2.44M,-0.17%
2019年10月31日,5.90,5.84,5.92,5.81,2.59M,0.68%
2019年10月30日,5.86,5.87,5.92,5.84,1.99M,-0.17%
2019年10月29日,5.87,5.92,5.93,5.86,2.43M,-0.84%
2019年10月28日,5.92,5.82,5.93,5.78,4.05M,1.72%
2019年10月25日,5.82,5.81,5.84,5.76,2.08M,0.34%
2019年10月24日,5.80,5.74,5.80,5.74,2.49M,0.69%
2019年10月23日,5.76,5.73,5.82,5.71,3.60M,1.23%
2019年10月22日,5.69,5.66,5.70,5.64,1.84M,0.53%
2019年10月21日,5.66,5.65,5.68,5.61,1.47M,0.18%
2019年10月18日,5.65,5.72,5.74,5.64,2.04M,-1.22%
2019年10月17日,5.72,5.72,5.75,5.70,1.03M,-0.35%
2019年10月16日,5.74,5.76,5.78,5.72,1.49M,-0.35%
2019年10月15日,5.76,5.77,5.80,5.75,1.71M,-0.35%
2019年10月14日,5.78,5.74,5.79,5.74,2.38M,1.05%
2019年10月11日,5.72,5.75,5.75,5.69,1.94M,-0.35%
2019年10月10日,5.74,5.70,5.75,5.69,1.93M,0.53%
2019年10月9日,5.71,5.68,5.71,5.64,1.60M,0.35%
2019年10月8日,5.69,5.76,5.79,5.68,2.31M,-1.22%
2019年9月30日,5.76,5.81,5.81,5.74,2.23M,-0.69%
2019年9月27日,5.80,5.80,5.82,5.74,2.54M,0.17%
2019年9月26日,5.79,5.96,5.96,5.78,4.03M,-2.03%
2019年9月25日,5.91,6.02,6.03,5.91,4.61M,-2.15%
2019年9月24日,6.04,6.05,6.06,5.98,4.84M,-0.33%
2019年9月23日,6.06,6.12,6.13,5.98,6.09M,-1.46%
2019年9月20日,6.15,6.18,6.20,6.10,8.71M,-0.97%
2019年9月19日,6.21,5.94,6.21,5.93,16.32M,4.72%
2019年9月18日,5.93,5.95,5.98,5.91,2.31M,0.00%
2019年9月17日,5.93,6.08,6.08,5.90,3.44M,-2.47%
2019年9月16日,6.08,6.10,6.10,6.06,2.53M,0.00%
2019年9月12日,6.08,6.03,6.08,6.01,2.30M,1.00%
2019年9月11日,6.02,6.09,6.10,6.02,2.99M,-1.15%
2019年9月10日,6.09,6.10,6.10,6.04,2.64M,0.00%
2019年9月9日,6.09,6.09,6.11,6.05,3.93M,0.66%
2019年9月6日,6.05,6.03,6.09,6.00,4.02M,0.50%
2019年9月5日,6.02,6.07,6.09,6.01,5.84M,-0.50%
2019年9月4日,6.05,5.97,6.05,5.94,4.95M,1.17%
2019年9月3日,5.98,5.94,6.01,5.92,3.29M,0.50%
2019年9月2日,5.95,5.85,5.96,5.84,2.66M,1.71%
2019年8月30日,5.85,5.95,5.97,5.83,2.92M,-1.68%
2019年8月29日,5.95,5.97,5.98,5.92,1.88M,0.00%
2019年8月28日,5.95,5.95,5.98,5.90,2.52M,0.00%
2019年8月27日,5.95,5.86,5.97,5.75,2.93M,1.54%
2019年8月26日,5.86,5.74,5.88,5.71,2.26M,0.17%
2019年8月23日,5.85,5.83,5.88,5.82,1.59M,0.00%
2019年8月22日,5.85,5.79,5.85,5.79,1.69M,0.52%
2019年8月21日,5.82,5.80,5.83,5.77,1.61M,0.34%
2019年8月20日,5.80,5.82,5.82,5.76,1.99M,-0.34%
2019年8月19日,5.82,5.75,5.82,5.73,2.33M,1.39%
2019年8月16日,5.74,5.66,5.77,5.65,2.68M,1.06%
2019年8月15日,5.68,5.61,5.70,5.54,3.08M,0.18%
2019年8月14日,5.67,5.71,5.74,5.66,1.05M,0.18%
2019年8月13日,5.66,5.65,5.68,5.63,1.38M,-0.53%
2019年8月12日,5.69,5.66,5.69,5.61,1.36M,0.71%
2019年8月9日,5.65,5.68,5.74,5.61,2.05M,-0.35%
2019年8月8日,5.67,5.68,5.70,5.65,845.74K,-0.18%
2019年8月7日,5.68,5.70,5.72,5.64,1.06M,0.18%
2019年8月6日,5.67,5.79,5.82,5.59,2.95M,-2.91%
2019年8月5日,5.84,5.87,5.90,5.83,1.26M,-0.85%
2019年8月2日,5.89,5.93,5.93,5.84,2.12M,-1.51%
2019年8月1日,5.98,5.96,5.98,5.92,1.66M,0.17%
2019年7月31日,5.97,5.97,5.98,5.92,1.65M,0.00%
2019年7月30日,5.97,5.94,5.97,5.92,2.12M,0.51%
2019年7月29日,5.94,5.94,5.96,5.91,1.59M,0.00%
2019年7月26日,5.94,5.88,5.99,5.86,2.60M,0.85%
2019年7月25日,5.89,5.89,5.90,5.86,1.11M,0.00%
2019年7月24日,5.89,5.84,5.89,5.84,1.02M,0.68%
2019年7月23日,5.85,5.85,5.86,5.83,962.88K,0.00%
2019年7月22日,5.85,5.90,5.91,5.81,1.43M,-0.85%
2019年7月19日,5.90,5.85,5.92,5.85,1.07M,0.85%
2019年7月18日,5.85,5.91,5.92,5.85,1.35M,-1.02%
2019年7月17日,5.91,5.93,5.94,5.90,1.10M,-0.34%
2019年7月16日,5.93,5.93,5.96,5.90,1.30M,0.00%
