日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,55.12,56.45,57.47,54.88,22.66M,-0.31%
2020年3月26日,55.29,57.59,57.59,55.25,30.90M,-4.98%
2020年3月25日,58.19,54.95,58.19,54.75,42.01M,10.00%
2020年3月24日,52.90,54.30,54.75,50.45,36.07M,-0.71%
2020年3月23日,53.28,56.64,57.80,53.28,26.52M,-10.00%
2020年3月20日,59.20,60.42,60.68,57.40,19.65M,0.42%
2020年3月19日,58.95,59.77,60.20,56.52,23.53M,1.32%
2020年3月18日,58.18,60.01,62.65,58.00,23.65M,-1.52%
2020年3月17日,59.08,61.52,62.00,57.11,24.74M,-1.52%
2020年3月16日,59.99,66.10,66.80,59.99,36.38M,-10.01%
2020年3月13日,66.66,63.00,68.32,63.00,20.01M,-1.65%
2020年3月12日,67.78,68.29,69.47,66.67,22.23M,-3.83%
2020年3月11日,70.48,72.74,72.74,69.90,23.37M,-2.11%
2020年3月10日,72.00,66.77,72.40,66.37,30.90M,6.65%
2020年3月9日,67.51,69.00,70.50,67.01,21.49M,-5.08%
2020年3月6日,71.12,69.14,72.55,68.89,20.70M,0.75%
2020年3月5日,70.59,72.00,72.50,68.77,22.73M,-0.25%
2020年3月4日,70.77,69.24,72.20,68.75,26.03M,1.16%
2020年3月3日,69.96,72.01,74.51,69.15,28.07M,0.95%
2020年3月2日,69.30,68.94,70.23,66.56,28.80M,4.13%
2020年2月28日,66.55,69.02,70.88,66.11,38.84M,-8.40%
2020年2月27日,72.65,74.20,75.89,71.50,33.79M,-2.34%
2020年2月26日,74.39,79.13,80.64,74.39,47.74M,-9.99%
2020年2月25日,82.65,74.79,85.26,74.40,45.73M,6.63%
2020年2月24日,77.51,79.24,79.30,74.76,37.46M,-3.91%
2020年2月21日,80.66,79.80,80.88,77.03,28.35M,1.91%
2020年2月20日,79.15,80.11,80.99,77.61,25.84M,0.39%
2020年2月19日,78.84,82.18,83.40,77.02,33.00M,-0.27%
2020年2月18日,79.05,78.58,82.30,76.51,37.27M,2.62%
2020年2月17日,77.03,70.15,77.03,70.15,28.43M,10.00%
2020年2月14日,70.03,69.30,72.18,68.80,21.27M,0.19%
2020年2月13日,69.90,69.50,73.10,69.32,28.05M,0.07%
2020年2月12日,69.85,65.01,71.07,64.88,27.98M,5.71%
2020年2月11日,66.08,66.30,67.00,64.51,21.50M,-0.33%
2020年2月10日,66.30,61.50,66.45,61.03,29.00M,8.65%
2020年2月7日,61.02,62.50,62.50,60.35,20.68M,-2.43%
2020年2月6日,62.54,57.32,63.29,57.02,34.75M,5.37%
2020年2月5日,59.35,60.80,63.68,59.00,36.10M,0.29%
2020年2月4日,59.18,56.99,59.66,55.50,31.50M,9.05%
