日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,15.25,15.33,15.50,15.10,70.99M,0.86%
2020年3月26日,15.12,14.85,15.27,14.82,60.87M,-0.33%
2020年3月25日,15.17,14.77,15.28,14.54,91.66M,4.48%
2020年3月24日,14.52,14.31,14.66,14.20,54.73M,3.13%
2020年3月23日,14.08,13.98,14.25,13.80,52.34M,-2.83%
2020年3月20日,14.49,14.18,14.60,13.90,64.32M,3.50%
2020年3月19日,14.00,14.22,14.50,13.40,104.09M,-2.91%
2020年3月18日,14.42,15.06,15.21,14.40,91.87M,-4.44%
2020年3月17日,15.09,15.25,15.58,14.88,87.53M,-1.31%
2020年3月16日,15.29,16.06,16.07,15.22,100.66M,-5.09%
2020年3月13日,16.11,15.63,16.25,15.40,91.76M,-1.71%
2020年3月12日,16.39,16.11,16.54,15.93,70.94M,0.86%
2020年3月11日,16.25,16.45,16.66,16.18,74.64M,-0.85%
2020年3月10日,16.39,16.29,16.60,15.95,71.12M,1.36%
2020年3月9日,16.17,16.19,16.38,15.84,84.76M,-1.94%
2020年3月6日,16.49,16.81,16.90,16.40,87.52M,-3.23%
2020年3月5日,17.04,16.70,17.17,16.50,114.88M,1.37%
2020年3月4日,16.81,16.75,17.35,16.41,160.97M,1.20%
2020年3月3日,16.61,16.79,16.90,16.24,147.13M,-0.48%
2020年3月2日,16.69,16.41,17.01,16.40,179.39M,3.09%
2020年2月28日,16.19,15.70,16.47,15.62,160.96M,2.27%
2020年2月27日,15.83,16.04,16.15,15.72,99.06M,-1.00%
2020年2月26日,15.99,15.10,16.46,15.03,214.16M,4.78%
2020年2月25日,15.26,15.05,15.53,15.03,95.77M,1.13%
2020年2月24日,15.09,15.28,15.31,14.85,84.24M,-1.57%
2020年2月21日,15.33,15.60,15.64,15.20,84.40M,-1.98%
2020年2月20日,15.64,15.41,15.66,15.40,82.98M,1.03%
2020年2月19日,15.48,15.46,15.64,15.32,58.01M,-0.13%
2020年2月18日,15.50,15.56,15.72,15.41,75.87M,-1.52%
2020年2月17日,15.74,16.03,16.10,15.54,98.72M,-1.01%
2020年2月14日,15.90,15.45,15.95,15.39,95.31M,3.31%
2020年2月13日,15.39,15.12,15.58,15.11,109.99M,3.22%
2020年2月12日,14.91,14.83,15.08,14.75,64.81M,-0.40%
2020年2月11日,14.97,14.71,15.25,14.70,85.00M,0.94%
2020年2月10日,14.83,14.19,15.00,14.13,111.23M,2.99%
2020年2月7日,14.40,14.37,14.50,14.20,68.87M,-1.03%
2020年2月6日,14.55,14.59,14.68,14.30,103.93M,0.48%
2020年2月5日,14.48,14.20,14.62,14.08,116.90M,1.19%
2020年2月4日,14.31,14.10,14.38,13.86,111.99M,2.36%
2020年2月3日,13.98,13.90,14.24,13.80,182.05M,-8.81%
2020年1月23日,15.33,15.61,15.75,15.23,82.18M,-3.40%
2020年1月22日,15.87,15.44,15.91,15.28,96.21M,2.72%
2020年1月21日,15.45,15.82,15.88,15.43,91.01M,-3.32%
2020年1月20日,15.98,16.12,16.17,15.80,58.49M,-0.87%
2020年1月17日,16.12,16.10,16.23,15.99,47.03M,0.56%
2020年1月16日,16.03,16.16,16.28,15.99,62.35M,-0.62%
2020年1月15日,16.13,16.35,16.43,16.06,54.99M,-1.35%
2020年1月14日,16.35,16.50,16.59,16.27,59.89M,-0.79%
2020年1月13日,16.48,16.09,16.52,16.07,90.17M,2.87%
2020年1月10日,16.02,16.30,16.34,15.90,95.68M,-1.60%
2020年1月9日,16.28,16.18,16.40,15.96,194.62M,4.90%
2020年1月8日,15.52,15.60,15.63,15.41,88.28M,-1.71%
2020年1月7日,15.79,15.72,15.82,15.58,85.52M,0.70%
2020年1月6日,15.68,15.80,15.81,15.55,126.34M,-1.69%
2020年1月3日,15.95,16.38,16.38,15.75,107.48M,-1.91%
2020年1月2日,16.26,16.45,16.78,16.23,100.29M,0.49%
2019年12月31日,16.18,16.17,16.46,15.96,65.67M,-0.55%
2019年12月30日,16.27,16.17,16.27,15.86,78.21M,2.52%
2019年12月27日,15.87,15.84,16.13,15.80,70.81M,-0.25%
2019年12月26日,15.91,15.41,15.99,15.38,99.28M,3.99%
2019年12月25日,15.30,15.37,15.44,15.14,64.42M,-0.71%
2019年12月24日,15.41,15.64,15.72,15.30,68.49M,-1.47%
2019年12月23日,15.64,15.97,16.14,15.56,70.10M,-2.25%
2019年12月20日,16.00,15.90,16.15,15.85,63.13M,0.88%
2019年12月19日,15.86,15.85,16.13,15.79,51.78M,0.00%
2019年12月18日,15.86,15.95,16.10,15.78,59.94M,-0.81%
2019年12月17日,15.99,15.62,16.35,15.52,121.47M,1.91%
2019年12月16日,15.69,15.60,15.71,15.34,89.97M,-0.06%
2019年12月13日,15.70,15.54,15.83,15.52,86.50M,2.28%
2019年12月12日,15.35,15.58,15.70,15.22,55.93M,-1.48%
2019年12月11日,15.58,15.58,15.81,15.31,64.22M,0.71%
2019年12月10日,15.47,15.38,15.57,15.28,55.71M,-0.45%
2019年12月9日,15.54,14.98,15.57,14.97,105.23M,3.74%
2019年12月6日,14.98,14.88,14.98,14.76,37.38M,0.54%
2019年12月5日,14.90,14.95,14.96,14.67,50.16M,0.13%
2019年12月4日,14.88,14.89,14.94,14.72,45.20M,-0.53%
2019年12月3日,14.96,14.89,15.12,14.78,70.18M,0.00%
2019年12月2日,14.96,14.50,15.03,14.50,103.09M,3.67%
2019年11月29日,14.43,14.34,14.55,14.25,37.10M,0.21%
2019年11月28日,14.40,14.67,14.71,14.30,41.64M,-1.77%
2019年11月27日,14.66,14.69,14.81,14.55,41.35M,-0.74%
2019年11月26日,14.77,14.90,14.92,14.63,64.43M,-0.54%
2019年11月25日,14.85,14.45,15.01,14.44,119.46M,3.34%
2019年11月22日,14.37,14.30,14.42,14.13,54.01M,0.56%
2019年11月21日,14.29,14.20,14.36,14.10,58.37M,-0.49%
2019年11月20日,14.36,14.43,14.61,14.33,51.03M,-0.97%
2019年11月19日,14.50,14.14,14.55,14.10,75.77M,2.55%
2019年11月18日,14.14,14.03,14.31,13.84,85.22M,0.64%
2019年11月15日,14.05,14.15,14.22,13.98,56.25M,-0.64%
2019年11月14日,14.14,14.20,14.24,14.09,38.78M,-0.28%
2019年11月13日,14.18,14.22,14.23,14.06,37.40M,0.14%
2019年11月12日,14.16,14.19,14.27,14.04,46.71M,0.28%
2019年11月11日,14.12,14.50,14.52,14.05,104.94M,-3.42%
2019年11月8日,14.62,14.83,14.88,14.61,51.74M,-0.88%
2019年11月7日,14.75,14.64,14.83,14.59,43.33M,0.55%
2019年11月6日,14.67,14.90,14.90,14.64,67.68M,-2.00%
2019年11月5日,14.97,14.86,15.15,14.57,95.03M,1.22%
2019年11月4日,14.79,14.85,14.89,14.58,74.05M,-0.20%
2019年11月1日,14.82,14.40,14.90,14.24,90.36M,2.85%
2019年10月31日,14.41,14.59,14.70,14.28,74.29M,-1.23%
2019年10月30日,14.59,14.62,14.88,14.46,85.58M,-0.68%
2019年10月29日,14.69,14.87,14.87,14.60,81.27M,-1.41%
2019年10月28日,14.90,15.30,15.30,14.81,135.18M,-4.06%
2019年10月25日,15.53,15.46,15.59,15.23,48.50M,0.98%
2019年10月24日,15.38,15.39,15.54,15.20,48.18M,0.39%
2019年10月23日,15.32,15.60,15.62,15.21,57.26M,-2.36%
2019年10月22日,15.69,15.84,15.86,15.39,62.11M,-0.57%
2019年10月21日,15.78,15.45,15.99,15.40,84.73M,3.00%
2019年10月18日,15.32,15.73,16.07,15.29,69.50M,-2.30%
2019年10月17日,15.68,15.80,15.88,15.55,45.30M,-0.76%
2019年10月16日,15.80,15.67,16.44,15.63,107.59M,1.28%
2019年10月15日,15.60,15.60,15.87,15.51,51.50M,0.00%
2019年10月14日,15.60,15.75,16.01,15.54,87.52M,-0.70%
2019年10月11日,15.71,15.69,15.90,15.53,90.12M,0.38%
2019年10月10日,15.65,15.70,15.85,15.44,91.47M,-0.13%
2019年10月9日,15.67,15.08,15.95,15.07,126.28M,3.71%
2019年10月8日,15.11,14.35,15.40,14.35,141.09M,5.66%
2019年9月30日,14.30,14.19,14.44,14.16,38.40M,0.42%
2019年9月27日,14.24,14.46,14.49,14.13,48.71M,-1.52%
2019年9月26日,14.46,14.40,14.82,14.39,69.63M,0.77%
2019年9月25日,14.35,14.36,14.46,14.18,42.86M,-0.28%
2019年9月24日,14.39,14.48,14.61,14.37,42.96M,-0.62%
2019年9月23日,14.48,14.56,14.65,14.38,54.87M,-0.69%
2019年9月20日,14.58,14.81,14.86,14.51,74.05M,-1.55%
2019年9月19日,14.81,14.85,14.91,14.66,49.62M,-0.27%
2019年9月18日,14.85,14.55,15.03,14.43,98.34M,2.56%
2019年9月17日,14.48,14.44,14.68,14.35,66.24M,0.07%
2019年9月16日,14.47,14.74,14.78,14.39,93.20M,-1.16%
2019年9月12日,14.64,14.10,14.69,14.10,149.20M,4.95%
2019年9月11日,13.95,14.00,14.03,13.83,52.08M,-0.29%
2019年9月10日,13.99,14.08,14.08,13.85,49.87M,-0.57%
2019年9月9日,14.07,13.82,14.10,13.82,109.72M,2.18%
2019年9月6日,13.77,13.71,13.81,13.41,91.39M,0.44%
2019年9月5日,13.71,13.83,14.05,13.58,159.21M,-1.15%
2019年9月4日,13.87,13.30,13.89,13.30,132.01M,4.29%
2019年9月3日,13.30,13.50,13.50,13.17,90.01M,-1.34%
2019年9月2日,13.48,13.36,13.55,13.31,92.01M,0.22%
2019年8月30日,13.45,13.83,13.84,13.34,96.74M,-1.90%
2019年8月29日,13.71,14.23,14.33,13.47,103.61M,-3.79%
2019年8月28日,14.25,14.35,14.41,14.13,41.60M,-0.84%
2019年8月27日,14.37,14.52,14.56,14.34,68.39M,-0.48%
2019年8月26日,14.44,14.12,14.53,14.10,57.22M,-0.21%
2019年8月23日,14.47,14.48,14.62,14.33,53.91M,0.77%
2019年8月22日,14.36,14.54,14.69,14.25,50.11M,-1.24%
2019年8月21日,14.54,14.36,14.70,14.36,48.06M,0.62%
2019年8月20日,14.45,14.21,14.64,14.19,75.82M,1.19%
2019年8月19日,14.28,14.07,14.30,13.91,66.56M,3.10%
2019年8月16日,13.85,13.98,14.11,13.83,40.77M,-0.72%
2019年8月15日,13.95,13.46,13.97,13.43,47.12M,2.35%
2019年8月14日,13.63,13.92,13.95,13.56,47.71M,-0.37%
2019年8月13日,13.68,13.77,13.91,13.58,45.57M,-1.72%
2019年8月12日,13.92,13.54,13.95,13.47,54.02M,3.03%
2019年8月9日,13.51,13.79,13.85,13.43,51.22M,-1.82%
2019年8月8日,13.76,13.85,13.88,13.72,37.75M,0.29%
2019年8月7日,13.72,13.61,13.92,13.58,60.73M,1.40%
2019年8月6日,13.53,13.20,13.68,13.17,85.03M,1.05%
2019年8月5日,13.39,13.71,13.77,13.38,69.83M,-3.11%
2019年8月2日,13.82,13.60,13.92,13.55,82.90M,-0.07%
2019年8月1日,13.83,14.10,14.22,13.75,105.05M,-2.67%
2019年7月31日,14.21,14.43,14.43,14.07,99.68M,-2.80%
2019年7月30日,14.62,14.46,14.71,14.46,49.05M,1.04%
2019年7月29日,14.47,14.44,14.56,14.40,48.84M,-0.07%
2019年7月26日,14.48,14.20,14.57,14.17,62.21M,0.84%
2019年7月25日,14.36,14.36,14.37,14.11,59.79M,0.35%
2019年7月24日,14.31,14.38,14.47,14.21,70.76M,0.07%
2019年7月23日,14.30,14.48,14.56,14.19,93.24M,-1.38%
2019年7月22日,14.50,14.40,14.85,14.39,120.27M,0.83%
2019年7月19日,14.38,14.22,14.44,13.99,201.07M,6.13%
2019年7月18日,13.55,13.55,13.66,13.41,42.23M,-0.07%
2019年7月17日,13.56,13.43,13.69,13.41,46.44M,0.30%
2019年7月16日,13.52,13.37,13.61,13.33,60.45M,1.27%
2019年7月15日,13.35,13.45,13.47,13.15,88.48M,-1.48%
2019年7月12日,13.55,13.47,13.66,13.43,58.29M,0.59%
2019年7月11日,13.47,13.57,13.65,13.39,53.49M,0.07%
2019年7月10日,13.46,13.60,13.66,13.37,64.97M,-0.15%
2019年7月9日,13.48,13.48,13.82,13.42,95.50M,0.30%
2019年7月8日,13.44,13.47,13.88,13.25,119.11M,-0.74%
2019年7月5日,13.54,13.56,13.71,13.44,73.83M,-0.73%
2019年7月4日,13.64,13.37,13.96,13.37,143.89M,2.10%
2019年7月3日,13.36,13.20,13.55,13.05,131.54M,1.21%
2019年7月2日,13.20,13.00,13.21,12.93,71.00M,1.38%
2019年7月1日,13.02,12.89,13.07,12.84,78.28M,2.04%
2019年6月28日,12.76,12.83,12.85,12.69,36.52M,-0.47%
2019年6月27日,12.82,12.80,12.90,12.77,59.42M,0.39%
2019年6月26日,12.77,12.86,12.88,12.71,49.83M,-0.85%
2019年6月25日,12.88,13.04,13.09,12.78,53.35M,-1.38%
