日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,36.31,38.15,38.30,36.26,33.79M,-2.37%
2020年3月26日,37.19,37.74,38.15,37.06,33.22M,-2.39%
2020年3月25日,38.10,37.47,38.78,36.90,60.54M,6.22%
2020年3月24日,35.87,36.40,36.57,34.01,41.83M,1.10%
2020年3月23日,35.48,36.02,37.29,34.79,44.40M,-6.51%
2020年3月20日,37.95,38.97,39.11,37.13,35.49M,-0.39%
2020年3月19日,38.10,37.56,38.78,36.50,49.84M,3.31%
2020年3月18日,36.88,38.01,39.11,36.77,49.73M,-1.23%
2020年3月17日,37.34,39.28,39.59,35.56,59.53M,-3.56%
2020年3月16日,38.72,42.87,42.87,38.66,75.55M,-9.85%
2020年3月13日,42.95,41.08,44.00,40.01,47.48M,-1.94%
2020年3月12日,43.80,44.00,44.88,43.01,41.11M,-3.52%
2020年3月11日,45.40,46.67,48.12,45.16,42.61M,-2.34%
2020年3月10日,46.49,44.10,46.52,43.50,56.33M,4.85%
2020年3月9日,44.34,47.00,47.74,43.90,53.28M,-7.72%
2020年3月6日,48.05,47.68,48.71,47.49,23.09M,-1.70%
2020年3月5日,48.88,49.32,49.80,47.37,49.09M,1.90%
2020年3月4日,47.97,49.25,49.78,46.60,60.63M,-4.02%
2020年3月3日,49.98,52.40,52.99,49.35,54.10M,-0.44%
2020年3月2日,50.20,52.00,52.52,46.93,85.52M,0.54%
2020年2月28日,49.93,49.50,52.66,48.80,55.86M,-6.48%
2020年2月27日,53.39,52.25,56.18,50.80,54.59M,2.48%
2020年2月26日,52.10,53.27,55.20,52.01,57.22M,-5.84%
2020年2月25日,55.33,52.15,57.49,50.28,88.95M,2.82%
2020年2月24日,53.81,50.05,53.81,49.04,69.91M,10.00%
2020年2月21日,48.92,45.88,50.10,45.88,71.85M,6.95%
2020年2月20日,45.74,45.00,45.98,44.16,43.21M,1.80%
2020年2月19日,44.93,44.50,46.43,44.22,45.56M,-0.18%
2020年2月18日,45.01,44.92,45.48,44.20,39.00M,0.20%
2020年2月17日,44.92,43.58,45.10,43.21,48.50M,4.76%
2020年2月14日,42.88,42.36,43.45,42.20,33.96M,0.89%
2020年2月13日,42.50,42.38,43.47,41.61,35.09M,-0.12%
2020年2月12日,42.55,42.07,42.82,41.75,35.53M,0.07%
2020年2月11日,42.52,40.80,43.07,40.53,59.93M,4.91%
2020年2月10日,40.53,39.83,40.89,39.58,43.81M,-0.81%
2020年2月7日,40.86,40.92,41.10,39.79,48.98M,-1.54%
2020年2月6日,41.50,40.20,41.56,39.50,42.05M,2.47%
2020年2月5日,40.50,41.05,42.17,40.10,43.68M,-0.93%
2020年2月4日,40.88,39.00,41.35,39.00,49.03M,3.23%
2020年2月3日,39.60,39.60,40.00,39.60,22.45M,-10.00%
2020年1月23日,44.00,45.70,46.55,43.10,40.45M,-5.84%
2020年1月22日,46.73,46.17,47.14,43.88,59.14M,0.15%
2020年1月21日,46.66,48.00,48.45,46.50,37.66M,-3.20%
2020年1月20日,48.20,45.50,48.56,45.15,55.75M,6.71%
2020年1月17日,45.17,45.31,45.61,44.60,22.70M,0.02%
2020年1月16日,45.16,45.81,45.84,44.60,24.38M,-1.57%
2020年1月15日,45.88,46.00,46.47,44.96,24.87M,-1.01%
2020年1月14日,46.35,46.26,46.86,45.61,33.72M,0.54%
2020年1月13日,46.10,44.60,46.15,44.30,39.47M,3.36%
2020年1月10日,44.60,45.39,45.56,44.28,30.93M,-1.37%
2020年1月9日,45.22,44.65,45.22,44.17,33.21M,2.33%
2020年1月8日,44.19,44.87,45.20,43.97,27.81M,-2.60%
2020年1月7日,45.37,45.90,46.30,44.78,31.63M,-1.39%
2020年1月6日,46.01,45.85,46.65,45.30,29.72M,-0.90%
2020年1月3日,46.43,46.77,47.29,45.64,23.90M,-0.39%
2020年1月2日,46.61,45.41,47.33,44.67,38.80M,2.71%
2019年12月31日,45.38,45.71,46.40,44.69,24.27M,-1.39%
2019年12月30日,46.02,44.91,46.66,43.20,31.94M,2.33%
2019年12月27日,44.97,45.76,47.30,44.80,48.93M,0.65%
2019年12月26日,44.68,44.47,45.28,44.34,20.33M,0.59%
2019年12月25日,44.42,43.61,45.28,43.30,32.12M,2.40%
2019年12月24日,43.38,42.61,43.44,42.17,21.28M,2.58%
2019年12月23日,42.29,43.37,44.09,42.29,32.32M,-5.22%
2019年12月20日,44.62,44.19,45.56,43.88,35.87M,0.84%
2019年12月19日,44.25,45.00,45.39,43.50,31.09M,-1.78%
2019年12月18日,45.05,45.15,46.38,44.53,43.61M,1.17%
2019年12月17日,44.53,44.39,45.08,43.78,34.12M,0.32%
2019年12月16日,44.39,43.51,44.55,43.42,46.55M,1.49%
2019年12月13日,43.74,45.68,45.90,42.93,50.94M,-1.44%
2019年12月12日,44.38,43.26,45.28,42.80,37.78M,3.26%
2019年12月11日,42.98,44.11,44.62,42.75,28.86M,-3.20%
2019年12月10日,44.40,42.77,45.10,42.53,42.60M,3.50%
2019年12月9日,42.90,43.60,44.29,42.58,27.27M,-1.17%
2019年12月6日,43.41,42.80,43.58,42.60,36.15M,1.26%
2019年12月5日,42.87,39.96,43.41,39.81,56.27M,8.45%
2019年12月4日,39.53,39.62,40.31,39.33,16.67M,-1.35%
2019年12月3日,40.07,39.60,40.27,38.93,18.01M,0.33%
2019年12月2日,39.94,39.74,40.44,39.32,17.78M,1.27%
2019年11月29日,39.44,39.13,39.80,39.02,18.90M,0.82%
2019年11月28日,39.12,39.18,39.57,38.91,15.61M,0.03%
2019年11月27日,39.11,38.00,39.83,37.77,31.38M,2.33%
2019年11月26日,38.22,38.60,39.16,37.84,27.02M,0.10%
2019年11月25日,38.18,38.88,38.94,37.80,27.46M,-2.08%
2019年11月22日,38.99,40.36,41.43,38.01,45.17M,-3.49%
2019年11月21日,40.40,40.20,40.98,39.70,20.22M,-0.62%
2019年11月20日,40.65,41.20,41.79,40.60,24.34M,-1.93%
2019年11月19日,41.45,39.95,41.68,39.76,37.92M,3.75%
2019年11月18日,39.95,39.53,40.29,39.26,23.83M,0.00%
2019年11月15日,39.95,41.10,41.17,39.93,32.89M,-3.73%
2019年11月14日,41.50,40.70,41.75,39.66,40.17M,1.32%
2019年11月13日,40.96,40.00,41.48,39.57,33.78M,1.16%
2019年11月12日,40.49,42.86,42.86,39.50,51.19M,-5.77%
2019年11月11日,42.97,42.66,43.28,42.26,29.58M,-0.28%
2019年11月8日,43.09,40.99,43.96,40.97,54.14M,4.71%
2019年11月7日,41.15,40.77,41.77,40.55,22.37M,0.86%
2019年11月6日,40.80,42.22,42.66,40.59,31.26M,-3.39%
2019年11月5日,42.23,41.90,42.38,40.90,31.91M,0.84%
2019年11月4日,41.88,41.22,42.78,40.87,34.65M,1.77%
2019年11月1日,41.15,40.40,41.30,39.52,37.91M,1.76%
2019年10月31日,40.44,41.60,42.29,40.40,38.99M,-3.07%
2019年10月30日,41.72,42.02,42.37,40.55,32.41M,-2.07%
2019年10月29日,42.60,42.00,43.30,41.41,40.48M,1.00%
2019年10月28日,42.18,41.70,42.96,41.50,37.57M,-0.05%
2019年10月25日,42.20,40.13,42.30,39.60,46.15M,5.32%
2019年10月24日,40.07,38.16,40.35,37.99,42.19M,3.19%
2019年10月23日,38.83,39.18,39.83,38.60,37.24M,-1.20%
2019年10月22日,39.30,38.43,39.30,37.89,49.71M,2.93%
2019年10月21日,38.18,36.85,38.18,35.70,36.15M,2.58%
2019年10月18日,37.22,37.35,38.67,37.12,47.18M,-0.56%
2019年10月17日,37.43,36.66,37.95,36.21,40.47M,2.44%
2019年10月16日,36.54,36.92,37.55,36.40,34.35M,-0.05%
2019年10月15日,36.56,37.45,37.45,36.40,35.74M,-2.56%
2019年10月14日,37.52,38.20,38.69,37.10,44.77M,0.05%
2019年10月11日,37.50,36.90,38.11,36.50,61.63M,1.05%
2019年10月10日,37.11,34.80,37.11,34.75,82.39M,9.99%
2019年10月9日,33.74,32.68,33.94,32.03,37.47M,2.03%
2019年10月8日,33.07,35.67,36.62,32.87,49.87M,-7.63%
2019年9月30日,35.80,35.76,36.45,34.74,31.59M,-0.06%
2019年9月27日,35.82,33.88,36.17,33.88,38.12M,5.51%
2019年9月26日,33.95,35.39,35.58,33.50,42.03M,-3.91%
2019年9月25日,35.33,37.00,37.27,35.30,48.69M,-5.79%
2019年9月24日,37.50,37.78,38.67,37.10,44.44M,-0.71%
