日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,16.28,16.40,16.48,16.21,58.41M,0.56%
2020年3月26日,16.19,15.80,16.58,15.72,117.36M,2.27%
2020年3月25日,15.83,15.76,15.91,15.60,86.93M,2.59%
2020年3月24日,15.43,15.37,15.48,15.22,82.96M,2.80%
2020年3月23日,15.01,15.00,15.21,14.96,85.68M,-2.53%
2020年3月20日,15.40,15.20,15.59,15.08,106.37M,2.60%
2020年3月19日,15.01,15.57,15.68,14.93,169.35M,-4.39%
2020年3月18日,15.70,16.17,16.27,15.67,81.75M,-2.55%
2020年3月17日,16.11,16.20,16.55,15.92,89.59M,-0.62%
2020年3月16日,16.21,16.87,16.88,16.16,106.51M,-3.86%
2020年3月13日,16.86,16.60,16.98,16.47,130.53M,-1.92%
2020年3月12日,17.19,17.33,17.44,17.14,75.73M,-0.92%
2020年3月11日,17.35,17.61,17.63,17.34,64.17M,-1.25%
2020年3月10日,17.57,17.37,17.64,17.29,75.84M,1.15%
2020年3月9日,17.37,17.60,17.60,17.33,97.30M,-3.07%
2020年3月6日,17.92,18.10,18.19,17.90,69.90M,-2.02%
2020年3月5日,18.29,17.82,18.34,17.73,119.84M,3.27%
2020年3月4日,17.71,17.65,17.73,17.53,53.05M,0.28%
2020年3月3日,17.66,17.71,17.80,17.61,62.93M,0.40%
2020年3月2日,17.59,17.39,17.65,17.31,76.39M,1.74%
2020年2月28日,17.29,17.63,17.76,17.24,87.54M,-2.97%
2020年2月27日,17.82,17.74,17.88,17.71,61.75M,0.68%
2020年2月26日,17.70,17.56,17.93,17.50,83.16M,-0.06%
2020年2月25日,17.71,17.65,17.83,17.55,75.72M,-0.73%
2020年2月24日,17.84,18.01,18.10,17.83,73.48M,-1.33%
2020年2月21日,18.08,18.04,18.26,18.01,67.82M,-0.39%
2020年2月20日,18.15,17.95,18.22,17.85,75.03M,1.45%
2020年2月19日,17.89,17.91,18.08,17.81,44.94M,-0.06%
2020年2月18日,17.90,18.07,18.14,17.85,62.31M,-1.38%
2020年2月17日,18.15,17.77,18.19,17.67,86.82M,2.25%
2020年2月14日,17.75,17.53,17.80,17.51,52.59M,0.97%
2020年2月13日,17.58,17.70,17.75,17.54,50.27M,-0.79%
2020年2月12日,17.72,17.74,17.75,17.56,43.28M,0.17%
2020年2月11日,17.69,17.60,17.85,17.59,61.64M,0.97%
2020年2月10日,17.52,17.46,17.56,17.43,50.70M,-0.51%
2020年2月7日,17.61,17.47,17.64,17.39,59.98M,-0.28%
2020年2月6日,17.66,17.65,17.75,17.45,72.35M,0.74%
2020年2月5日,17.53,17.56,17.64,17.36,88.64M,-0.06%
2020年2月4日,17.54,17.21,17.62,17.18,100.02M,2.51%
2020年2月3日,17.11,16.81,17.66,16.80,162.91M,-7.96%
2020年1月23日,18.59,19.01,19.02,18.51,108.56M,-2.82%
2020年1月22日,19.13,19.02,19.23,18.93,55.35M,0.31%
2020年1月21日,19.07,19.30,19.33,19.02,61.08M,-1.70%
2020年1月20日,19.40,19.28,19.42,19.22,42.99M,0.78%
2020年1月17日,19.25,19.27,19.41,19.18,44.04M,-0.10%
2020年1月16日,19.27,19.53,19.60,19.19,82.74M,-1.13%
2020年1月15日,19.49,19.78,19.79,19.42,60.00M,-1.32%
2020年1月14日,19.75,19.80,19.97,19.71,53.76M,0.25%
2020年1月13日,19.70,19.69,19.71,19.51,60.02M,0.05%
2020年1月10日,19.69,19.70,19.74,19.57,42.38M,0.05%
2020年1月9日,19.68,19.77,19.80,19.57,66.34M,0.51%
2020年1月8日,19.58,19.85,19.94,19.53,88.17M,-2.05%
2020年1月7日,19.99,20.00,20.25,19.86,56.12M,0.40%
2020年1月6日,19.91,20.06,20.24,19.85,70.92M,-1.14%
2020年1月3日,20.14,20.20,20.30,20.10,65.93M,-0.35%
2020年1月2日,20.21,20.07,20.42,20.05,113.00M,2.07%
2019年12月31日,19.80,19.74,19.81,19.55,54.26M,0.20%
2019年12月30日,19.76,19.80,19.84,19.44,114.60M,-1.00%
2019年12月27日,19.96,19.91,20.25,19.90,67.40M,0.00%
2019年12月26日,19.96,19.71,19.98,19.71,34.43M,1.01%
2019年12月25日,19.76,19.90,19.93,19.64,38.47M,-0.70%
2019年12月24日,19.90,19.82,20.07,19.82,46.77M,0.71%
2019年12月23日,19.76,20.10,20.15,19.75,51.21M,-1.10%
2019年12月20日,19.98,19.93,20.16,19.93,50.58M,0.35%
2019年12月19日,19.91,20.02,20.18,19.80,55.36M,-0.45%
2019年12月18日,20.00,19.92,20.20,19.92,60.68M,0.10%
2019年12月17日,19.98,19.68,20.12,19.55,104.89M,1.73%
2019年12月16日,19.64,19.51,19.67,19.40,60.09M,0.15%
2019年12月13日,19.61,19.50,19.61,19.36,77.12M,1.98%
2019年12月12日,19.23,19.35,19.35,19.08,34.87M,-0.36%
2019年12月11日,19.30,18.95,19.34,18.90,64.09M,2.33%
2019年12月10日,18.86,18.81,19.01,18.81,29.91M,-0.26%
2019年12月9日,18.91,18.85,18.92,18.80,42.62M,-0.11%
2019年12月6日,18.93,19.06,19.07,18.80,41.68M,-0.47%
2019年12月5日,19.02,18.98,19.10,18.92,39.91M,0.58%
2019年12月4日,18.91,18.89,19.00,18.76,30.41M,-0.79%
2019年12月3日,19.06,18.84,19.10,18.76,35.10M,0.74%
2019年12月2日,18.92,18.94,19.07,18.87,29.88M,0.16%
2019年11月29日,18.89,18.99,19.09,18.82,40.61M,-0.42%
2019年11月28日,18.97,19.11,19.16,18.90,34.70M,-0.89%
2019年11月27日,19.14,19.08,19.15,19.00,42.36M,0.58%
2019年11月26日,19.03,19.34,19.37,19.02,57.04M,-1.45%
2019年11月25日,19.31,19.20,19.37,19.13,38.49M,1.26%
2019年11月22日,19.07,19.27,19.28,19.00,42.94M,-0.37%
2019年11月21日,19.14,19.03,19.33,18.91,48.72M,-0.10%
2019年11月20日,19.16,19.75,19.85,19.11,85.78M,-3.43%
2019年11月19日,19.84,19.79,19.96,19.73,40.38M,-0.45%
2019年11月18日,19.93,19.47,19.97,19.45,66.02M,2.36%
2019年11月15日,19.47,19.42,19.65,19.26,59.32M,1.04%
2019年11月14日,19.27,19.57,19.64,19.13,65.45M,-1.18%
2019年11月13日,19.50,19.74,19.77,19.37,64.93M,-1.22%
2019年11月12日,19.74,19.76,19.90,19.67,53.10M,0.30%
2019年11月11日,19.68,19.70,19.87,19.62,72.52M,-1.01%
2019年11月8日,19.88,20.20,20.25,19.88,73.61M,-1.34%
2019年11月7日,20.15,20.17,20.29,20.05,66.16M,-0.10%
2019年11月6日,20.17,20.14,20.30,19.89,117.73M,0.85%
2019年11月5日,20.00,19.87,20.25,19.75,144.93M,0.86%
2019年11月4日,19.83,19.65,20.01,19.60,120.12M,2.27%
2019年11月1日,19.39,18.79,19.45,18.68,143.50M,3.58%
2019年10月31日,18.72,18.86,18.90,18.63,49.90M,-1.06%
2019年10月30日,18.92,18.88,19.20,18.76,96.31M,1.34%
2019年10月29日,18.67,18.77,18.80,18.61,36.26M,-0.16%
2019年10月28日,18.70,18.85,19.02,18.65,53.01M,-0.80%
2019年10月25日,18.85,18.97,19.00,18.65,50.64M,-0.95%
2019年10月24日,19.03,19.00,19.21,18.90,58.95M,0.48%
2019年10月23日,18.94,18.96,19.06,18.82,36.08M,0.05%
2019年10月22日,18.93,19.08,19.10,18.78,46.23M,-0.37%
2019年10月21日,19.00,18.62,19.07,18.62,63.41M,1.44%
2019年10月18日,18.73,19.11,19.31,18.60,82.34M,-1.58%
2019年10月17日,19.03,19.08,19.22,18.93,47.40M,-0.26%
2019年10月16日,19.08,19.10,19.61,18.93,104.57M,0.05%
2019年10月15日,19.07,19.03,19.12,18.88,77.16M,0.32%
2019年10月14日,19.01,18.82,19.42,18.82,140.41M,1.88%
2019年10月11日,18.66,18.47,18.77,18.38,107.09M,1.86%
2019年10月10日,18.32,18.25,18.49,18.22,61.46M,0.11%
2019年10月9日,18.30,17.84,18.54,17.82,151.84M,1.89%
2019年10月8日,17.96,17.52,18.08,17.51,103.62M,2.45%
