日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,15.25,15.52,15.63,15.21,12.50M,-0.13%
2020年3月26日,15.27,14.90,15.64,14.76,25.43M,2.90%
2020年3月25日,14.84,14.64,15.08,14.38,29.74M,4.21%
2020年3月24日,14.24,14.13,14.48,13.88,24.38M,3.19%
2020年3月23日,13.80,14.21,14.40,13.72,25.67M,-6.19%
2020年3月20日,14.71,14.69,15.07,14.32,27.90M,1.38%
2020年3月19日,14.51,15.00,15.24,13.96,46.49M,-3.07%
2020年3月18日,14.97,14.98,15.56,14.87,32.42M,1.01%
2020年3月17日,14.82,15.00,15.50,14.40,34.47M,-0.87%
2020年3月16日,14.95,16.04,16.09,14.77,32.33M,-6.56%
2020年3月13日,16.00,15.17,16.16,15.17,27.40M,0.25%
2020年3月12日,15.96,16.20,16.40,15.90,24.61M,-3.04%
2020年3月11日,16.46,16.39,16.92,16.32,28.24M,0.43%
2020年3月10日,16.39,15.46,16.49,15.45,41.37M,4.20%
2020年3月9日,15.73,16.20,16.29,15.59,32.99M,-4.95%
2020年3月6日,16.55,16.40,16.85,16.21,15.28M,-0.30%
2020年3月5日,16.60,16.48,16.77,16.33,27.34M,1.34%
2020年3月4日,16.38,16.53,16.71,16.11,20.24M,-1.92%
2020年3月3日,16.70,16.71,17.05,16.46,29.63M,1.89%
2020年3月2日,16.39,16.18,16.59,15.95,32.85M,0.68%
2020年2月28日,16.28,16.19,16.65,15.85,38.62M,-3.33%
2020年2月27日,16.84,16.92,17.15,16.71,23.16M,-0.47%
2020年2月26日,16.92,17.37,17.66,16.85,33.06M,-4.08%
2020年2月25日,17.64,16.85,17.74,16.82,39.71M,2.08%
2020年2月24日,17.28,17.41,17.47,16.94,34.91M,-1.43%
2020年2月21日,17.53,17.50,17.75,17.17,32.02M,0.46%
2020年2月20日,17.45,16.98,17.45,16.92,26.62M,2.17%
2020年2月19日,17.08,17.35,17.43,16.84,27.25M,-1.04%
2020年2月18日,17.26,17.14,17.67,16.97,33.09M,1.05%
2020年2月17日,17.08,16.57,17.13,16.44,35.74M,3.70%
2020年2月14日,16.47,16.14,16.69,16.10,33.41M,1.10%
2020年2月13日,16.29,16.67,16.90,16.16,58.91M,-4.12%
2020年2月12日,16.99,16.85,17.49,16.79,30.50M,0.41%
2020年2月11日,16.92,17.00,17.10,16.61,29.98M,-1.57%
2020年2月10日,17.19,17.13,17.41,16.44,59.80M,-3.37%
2020年2月7日,17.79,16.92,18.09,16.40,49.23M,6.27%
2020年2月6日,16.74,16.30,16.86,15.88,40.65M,3.33%
2020年2月5日,16.20,16.50,16.72,16.03,35.26M,-1.52%
2020年2月4日,16.45,15.32,16.55,15.32,39.21M,8.87%
2020年2月3日,15.11,14.58,15.71,14.58,38.74M,-6.73%
2020年1月23日,16.20,16.41,16.72,15.90,31.95M,-0.31%
2020年1月22日,16.25,16.24,16.39,15.91,22.26M,-0.31%
2020年1月21日,16.30,16.46,16.60,16.20,20.27M,-0.37%
2020年1月20日,16.36,16.30,16.64,16.16,15.16M,0.06%
2020年1月17日,16.35,16.49,16.65,16.21,19.25M,0.06%
2020年1月16日,16.34,16.05,16.36,15.82,20.00M,2.19%
2020年1月15日,15.99,15.66,16.04,15.60,18.02M,2.04%
2020年1月14日,15.67,15.65,15.92,15.41,16.50M,0.13%
2020年1月13日,15.65,15.32,15.76,15.27,22.26M,2.22%
2020年1月10日,15.31,15.31,15.45,15.12,15.95M,-0.52%
2020年1月9日,15.39,14.67,15.41,14.67,34.22M,5.63%
2020年1月8日,14.57,14.74,14.88,14.49,15.32M,-1.35%
2020年1月7日,14.77,14.65,14.78,14.33,20.15M,1.03%
2020年1月6日,14.62,14.59,14.89,14.53,21.51M,-0.68%
