日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,22.11,22.13,22.75,22.05,3.32M,-4.04%
2020年3月26日,23.04,23.23,23.82,22.69,3.57M,0.74%
2020年3月25日,22.87,22.60,23.97,22.50,6.30M,3.02%
2020年3月24日,22.20,21.33,22.81,21.20,7.56M,9.58%
2020年3月23日,20.26,20.00,20.56,19.45,5.39M,0.35%
2020年3月20日,20.19,21.80,21.93,20.00,5.96M,-3.12%
2020年3月19日,20.84,21.28,21.95,20.00,7.02M,-0.81%
2020年3月18日,21.01,21.59,23.89,19.25,13.86M,-13.72%
2020年3月17日,24.35,23.05,24.76,21.30,7.20M,9.88%
2020年3月16日,22.16,21.11,23.16,20.00,4.82M,-5.18%
2020年3月13日,23.37,25.00,25.40,22.23,6.56M,-1.81%
2020年3月12日,23.80,23.98,24.25,22.84,8.11M,-7.28%
2020年3月11日,25.67,25.45,26.71,25.16,4.81M,-1.27%
2020年3月10日,26.00,26.21,26.60,25.11,4.03M,3.50%
2020年3月9日,25.12,24.76,25.98,23.70,6.25M,-5.85%
2020年3月6日,26.68,27.25,27.87,25.93,6.60M,-5.09%
2020年3月5日,28.11,27.11,28.27,27.07,5.84M,2.03%
2020年3月4日,27.55,26.77,27.57,26.72,4.34M,4.99%
2020年3月3日,26.24,27.42,27.57,25.85,5.50M,-3.64%
2020年3月2日,27.23,26.48,27.25,25.86,6.44M,6.04%
2020年2月28日,25.68,25.50,26.15,24.56,8.62M,-3.57%
2020年2月27日,26.63,27.00,27.29,25.75,5.99M,-3.41%
2020年2月26日,27.57,27.60,29.28,27.07,11.28M,3.18%
2020年2月25日,26.72,27.60,27.98,26.58,8.95M,-0.74%
2020年2月24日,26.92,25.70,27.14,25.28,6.72M,0.15%
2020年2月21日,26.88,27.99,27.99,26.72,5.90M,-3.79%
2020年2月20日,27.94,27.98,28.41,27.00,4.96M,0.79%
2020年2月19日,27.72,27.37,27.95,27.37,3.68M,2.17%
2020年2月18日,27.13,29.00,29.00,26.65,11.45M,-5.44%
2020年2月14日,28.69,28.28,28.95,27.83,5.15M,3.35%
2020年2月13日,27.76,27.44,28.54,27.36,6.37M,0.84%
2020年2月12日,27.53,27.55,28.16,27.06,7.96M,3.69%
2020年2月11日,26.55,25.76,27.55,25.76,9.34M,4.28%
2020年2月10日,25.46,25.89,26.17,24.83,8.48M,1.88%
2020年2月7日,24.99,26.02,26.22,24.52,7.71M,-5.13%
2020年2月6日,26.34,23.66,26.72,23.16,11.64M,13.24%
2020年2月5日,23.26,24.10,24.17,22.76,5.37M,-1.36%
2020年2月4日,23.58,23.78,23.98,23.26,4.12M,2.34%
2020年2月3日,23.04,21.55,23.30,21.51,6.81M,6.91%
2020年1月31日,21.55,21.28,21.70,21.13,4.06M,1.36%
2020年1月30日,21.26,22.08,22.24,20.78,4.48M,-5.00%
