日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,20.00,20.28,20.30,19.88,19.10M,0.00%
2020年3月26日,20.00,20.46,20.48,19.91,26.66M,-3.43%
2020年3月25日,20.71,21.41,21.78,20.38,37.99M,-0.53%
2020年3月24日,20.82,20.41,20.90,20.20,29.15M,4.10%
2020年3月23日,20.00,19.32,20.51,19.20,30.28M,0.70%
2020年3月20日,19.86,20.23,20.48,19.58,27.07M,-0.75%
2020年3月19日,20.01,20.12,20.74,19.18,51.61M,-2.77%
2020年3月18日,20.58,21.51,21.90,20.50,42.91M,-3.38%
2020年3月17日,21.30,21.14,21.49,19.86,45.56M,1.91%
2020年3月16日,20.90,22.66,22.66,20.60,55.62M,-6.40%
2020年3月13日,22.33,20.55,22.70,20.33,74.89M,3.24%
2020年3月12日,21.63,21.41,22.56,21.40,48.92M,1.12%
2020年3月11日,21.39,22.19,22.33,21.30,31.62M,-2.24%
2020年3月10日,21.88,21.01,22.00,20.59,38.26M,1.39%
2020年3月9日,21.58,21.35,22.25,20.85,46.56M,1.12%
2020年3月6日,21.34,21.80,22.40,21.18,44.82M,-1.20%
2020年3月5日,21.60,21.95,22.35,21.43,45.30M,3.45%
2020年3月4日,20.88,20.73,21.26,20.52,18.19M,-0.48%
2020年3月3日,20.98,21.87,22.05,20.67,36.22M,-1.36%
2020年3月2日,21.27,20.02,21.58,20.02,41.38M,7.26%
2020年2月28日,19.83,19.68,20.55,19.36,45.62M,-2.22%
2020年2月27日,20.28,19.24,20.60,19.07,51.07M,6.57%
2020年2月26日,19.03,19.02,19.48,18.86,22.89M,-1.45%
2020年2月25日,19.31,19.77,19.77,18.72,35.14M,-4.07%
2020年2月24日,20.13,20.10,20.37,19.82,27.14M,-0.35%
2020年2月21日,20.20,19.62,20.59,19.60,35.62M,2.80%
2020年2月20日,19.65,19.43,19.80,19.20,28.54M,1.60%
2020年2月19日,19.34,19.41,19.60,19.25,22.79M,0.00%
2020年2月18日,19.34,19.20,19.41,18.90,25.90M,-0.26%
2020年2月17日,19.39,19.24,19.58,19.02,31.85M,0.78%
2020年2月14日,19.24,18.93,19.63,18.93,23.50M,1.96%
2020年2月13日,18.87,19.01,19.17,18.84,19.69M,-0.68%
2020年2月12日,19.00,18.76,19.06,18.56,20.50M,1.93%
2020年2月11日,18.64,18.75,18.79,18.46,21.60M,-0.05%
2020年2月10日,18.65,17.53,18.69,17.52,40.07M,6.27%
2020年2月7日,17.55,17.39,17.66,17.19,18.86M,0.40%
2020年2月6日,17.48,17.34,17.63,17.11,25.33M,1.39%
2020年2月5日,17.24,17.46,17.79,17.07,35.66M,-0.06%
2020年2月4日,17.25,16.43,17.31,16.42,27.54M,4.86%
2020年2月3日,16.45,16.35,16.60,16.35,38.41M,-9.47%
2020年1月23日,18.17,18.73,18.98,18.01,25.34M,-3.71%
