日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,10.09,10.32,10.37,10.09,4.46M,-1.37%
2020年3月26日,10.23,10.55,10.55,10.19,7.48M,-3.22%
2020年3月25日,10.57,10.71,10.74,10.51,7.07M,0.86%
2020年3月24日,10.48,10.44,10.58,10.15,7.89M,2.44%
2020年3月23日,10.23,10.20,10.58,10.20,7.43M,-3.40%
2020年3月20日,10.59,10.55,10.76,10.40,10.06M,0.00%
2020年3月19日,10.59,10.45,10.76,10.20,14.06M,4.13%
2020年3月18日,10.17,10.80,10.80,10.16,13.13M,-3.69%
2020年3月17日,10.56,10.58,10.78,10.14,12.14M,1.83%
2020年3月16日,10.37,11.65,11.75,10.35,20.98M,-6.58%
2020年3月13日,11.10,10.56,11.28,10.56,12.26M,-2.12%
2020年3月12日,11.34,11.88,11.97,11.26,17.77M,-7.05%
2020年3月11日,12.20,12.40,12.40,11.88,22.83M,-2.17%
2020年3月10日,12.47,12.07,12.50,11.57,27.06M,1.63%
2020年3月9日,12.27,12.63,12.85,12.22,14.84M,-2.85%
2020年3月6日,12.63,13.31,13.45,12.50,17.07M,-7.06%
2020年3月5日,13.59,13.78,13.96,13.26,17.41M,0.67%
2020年3月4日,13.50,13.03,13.66,12.76,18.52M,5.80%
2020年3月3日,12.76,12.30,12.90,12.03,18.79M,5.02%
2020年3月2日,12.15,11.27,12.35,11.25,19.61M,5.84%
2020年2月28日,11.48,11.56,12.37,11.45,21.40M,-4.17%
2020年2月27日,11.98,11.32,12.06,11.26,22.25M,6.02%
2020年2月26日,11.30,10.96,11.60,10.89,12.39M,3.20%
2020年2月25日,10.95,10.89,11.09,10.66,7.41M,-2.49%
2020年2月24日,11.23,10.99,11.30,10.91,8.41M,1.45%
2020年2月21日,11.07,11.10,11.22,10.98,7.77M,-0.72%
2020年2月20日,11.15,11.11,11.21,10.94,8.37M,0.54%
2020年2月19日,11.09,10.85,11.38,10.70,14.44M,2.69%
2020年2月18日,10.80,10.90,11.13,10.76,11.19M,2.18%
2020年2月17日,10.57,10.45,10.63,10.30,6.88M,2.92%
2020年2月14日,10.27,10.34,10.49,10.24,3.94M,-1.63%
2020年2月13日,10.44,10.36,10.64,10.18,6.70M,0.00%
2020年2月12日,10.44,10.19,10.66,10.19,10.01M,3.67%
2020年2月11日,10.07,10.30,10.34,10.02,5.85M,-2.42%
2020年2月10日,10.32,10.30,10.43,10.15,7.26M,-0.58%
2020年2月7日,10.38,9.91,10.48,9.72,10.86M,4.74%
2020年2月6日,9.91,9.39,10.00,9.28,9.10M,6.10%
2020年2月5日,9.34,9.29,9.59,9.23,7.91M,1.19%
2020年2月4日,9.23,8.88,9.60,8.88,14.59M,-4.25%
2020年2月3日,9.64,9.64,9.64,9.64,1.81M,-9.99%
2020年1月23日,10.71,11.03,11.07,10.55,10.77M,-3.60%
2020年1月22日,11.11,11.32,11.32,10.87,10.12M,-2.71%
2020年1月21日,11.42,11.42,11.50,11.22,8.29M,1.06%
2020年1月20日,11.30,11.40,11.48,11.20,9.32M,0.36%
2020年1月17日,11.26,11.44,11.44,11.15,7.95M,-1.05%
2020年1月16日,11.38,11.24,11.50,11.07,16.01M,0.09%
2020年1月15日,11.37,11.00,11.87,10.98,23.48M,4.22%
2020年1月14日,10.91,10.37,11.30,10.36,21.31M,5.72%
2020年1月13日,10.32,10.19,10.35,10.15,2.95M,0.88%
2020年1月10日,10.23,10.45,10.45,10.18,5.45M,-1.45%
2020年1月9日,10.38,10.30,10.43,10.27,4.05M,1.76%
2020年1月8日,10.20,10.45,10.45,10.15,5.87M,-2.49%
2020年1月7日,10.46,10.49,10.50,10.32,6.10M,0.29%
2020年1月6日,10.43,10.62,10.62,10.41,9.73M,-2.07%
2020年1月3日,10.65,10.76,10.76,10.61,3.48M,-0.65%
2020年1月2日,10.72,10.58,10.76,10.50,7.86M,1.80%
2019年12月31日,10.53,10.60,10.60,10.45,3.03M,-0.57%
2019年12月30日,10.59,10.48,10.62,10.41,5.12M,0.57%
2019年12月27日,10.53,10.64,10.64,10.46,4.03M,-0.85%
2019年12月26日,10.62,10.56,10.74,10.49,3.38M,0.09%
2019年12月25日,10.61,10.77,10.85,10.55,3.91M,-1.76%
2019年12月24日,10.80,10.86,10.93,10.42,10.25M,-0.55%
2019年12月23日,10.86,10.92,11.25,10.78,14.54M,0.00%
2019年12月20日,10.86,10.74,11.16,10.72,8.74M,1.21%
2019年12月19日,10.73,10.83,10.89,10.71,3.46M,-1.47%
2019年12月18日,10.89,10.72,10.98,10.67,5.92M,1.11%
2019年12月17日,10.77,10.72,10.85,10.62,6.27M,0.19%
2019年12月16日,10.75,10.80,10.87,10.54,6.24M,-0.09%
2019年12月13日,10.76,10.79,10.85,10.67,3.23M,-0.19%
2019年12月12日,10.78,10.71,10.94,10.61,8.30M,1.03%
2019年12月11日,10.67,10.71,10.85,10.67,3.82M,-1.20%
2019年12月10日,10.80,10.78,10.83,10.49,7.23M,0.09%
2019年12月9日,10.79,10.63,10.81,10.52,8.33M,2.57%
2019年12月6日,10.52,10.25,10.55,10.21,6.24M,3.04%
2019年12月5日,10.21,10.11,10.29,10.08,3.87M,1.39%
2019年12月4日,10.07,10.01,10.08,9.99,1.95M,0.40%
2019年12月3日,10.03,10.10,10.10,9.97,1.47M,-0.30%
2019年12月2日,10.06,10.09,10.09,10.01,1.31M,0.10%
2019年11月29日,10.05,10.00,10.08,9.96,1.09M,0.00%
2019年11月28日,10.05,10.08,10.15,9.98,1.74M,-0.30%
2019年11月27日,10.08,10.14,10.23,10.00,2.49M,-0.49%
2019年11月26日,10.13,10.24,10.35,10.11,3.55M,-0.98%
2019年11月25日,10.23,10.01,10.23,10.01,3.62M,2.30%
2019年11月22日,10.00,9.94,10.14,9.90,3.32M,0.60%
2019年11月21日,9.94,9.91,10.03,9.91,2.29M,0.10%
2019年11月20日,9.93,9.83,10.00,9.80,2.75M,0.10%
2019年11月19日,9.92,9.78,9.96,9.71,4.19M,1.43%
2019年11月18日,9.78,9.88,9.93,9.77,2.45M,-0.20%
2019年11月15日,9.80,9.88,9.88,9.75,1.60M,-0.71%
2019年11月14日,9.87,9.90,9.96,9.81,1.44M,-0.20%
2019年11月13日,9.89,9.99,9.99,9.84,2.01M,0.10%
2019年11月12日,9.88,9.88,10.00,9.75,2.85M,0.92%
2019年11月11日,9.79,10.00,10.13,9.76,4.40M,-3.64%
2019年11月8日,10.16,10.25,10.39,10.06,3.22M,-0.29%
2019年11月7日,10.19,10.22,10.24,9.98,3.21M,0.49%
2019年11月6日,10.14,10.00,10.36,10.00,4.51M,1.40%
2019年11月5日,10.00,10.04,10.09,9.91,3.29M,-0.40%
2019年11月4日,10.04,10.41,10.47,9.85,8.51M,-3.46%
2019年11月1日,10.40,10.32,10.41,10.24,5.24M,0.78%
2019年10月31日,10.32,10.06,10.37,10.06,5.03M,2.18%
2019年10月30日,10.10,10.24,10.26,10.00,1.87M,-0.88%
2019年10月29日,10.19,10.02,10.31,10.02,5.00M,0.89%
2019年10月28日,10.10,9.82,10.19,9.82,4.19M,2.33%
2019年10月25日,9.87,9.85,9.90,9.64,2.54M,0.30%
2019年10月24日,9.84,10.05,10.05,9.81,2.10M,-1.60%
2019年10月23日,10.00,10.04,10.11,9.98,1.79M,-0.79%
2019年10月22日,10.08,10.14,10.24,9.97,2.75M,-0.59%
2019年10月21日,10.14,10.05,10.14,9.96,3.11M,1.00%
2019年10月18日,10.04,10.01,10.27,9.96,3.51M,0.40%
2019年10月17日,10.00,10.09,10.15,9.94,3.03M,-0.89%
2019年10月16日,10.09,10.11,10.27,10.03,3.60M,-0.20%
2019年10月15日,10.11,10.25,10.45,10.04,3.99M,-1.94%
2019年10月14日,10.31,10.55,10.58,10.27,4.77M,-0.77%
2019年10月11日,10.39,10.79,10.79,10.27,5.82M,-3.26%
2019年10月10日,10.74,10.78,10.79,10.52,5.27M,-0.28%
2019年10月9日,10.77,10.51,10.77,10.36,6.01M,1.70%
2019年10月8日,10.59,10.74,10.88,10.48,6.16M,-1.40%
2019年9月30日,10.74,10.32,10.95,10.26,11.35M,4.17%
2019年9月27日,10.31,10.12,10.35,10.00,5.64M,1.88%
2019年9月26日,10.12,10.23,10.55,10.05,4.71M,-1.46%
2019年9月25日,10.27,10.49,10.74,10.27,7.01M,-3.39%
2019年9月24日,10.63,10.48,10.84,10.23,11.36M,0.00%
2019年9月23日,10.63,11.30,11.40,10.61,24.37M,-0.37%
2019年9月20日,10.67,10.67,10.67,10.67,2.14M,10.00%
2019年9月19日,9.70,9.71,9.75,9.56,2.41M,0.52%
2019年9月18日,9.65,9.44,9.78,9.43,3.88M,2.66%
2019年9月17日,9.40,9.61,9.65,9.38,2.64M,-2.79%
2019年9月16日,9.67,9.65,9.85,9.62,2.57M,-0.62%
2019年9月12日,9.73,9.71,9.74,9.58,2.32M,0.93%
2019年9月11日,9.64,9.84,9.87,9.61,2.59M,-1.03%
2019年9月10日,9.74,9.95,9.95,9.72,3.69M,-1.81%
2019年9月9日,9.92,9.79,9.98,9.65,5.21M,2.80%
2019年9月6日,9.65,9.45,9.66,9.44,5.28M,2.22%
2019年9月5日,9.44,9.38,9.58,9.35,4.20M,1.18%
2019年9月4日,9.33,9.12,9.33,9.11,2.88M,1.74%
2019年9月3日,9.17,9.18,9.24,9.09,2.54M,-0.11%
2019年9月2日,9.18,9.10,9.23,9.07,2.28M,1.66%
2019年8月30日,9.03,9.02,9.25,8.96,3.24M,0.22%
2019年8月29日,9.01,8.97,9.07,8.97,1.68M,0.22%
2019年8月28日,8.99,9.00,9.05,8.91,1.86M,0.00%
2019年8月27日,8.99,8.85,9.02,8.85,1.81M,2.04%
2019年8月26日,8.81,8.78,8.88,8.69,1.92M,-2.00%
2019年8月23日,8.99,9.00,9.03,8.93,1.85M,0.00%
2019年8月22日,8.99,9.00,9.00,8.91,1.41M,0.22%
2019年8月21日,8.97,9.00,9.01,8.90,1.77M,-0.11%
2019年8月20日,8.98,9.09,9.13,8.96,2.41M,-0.88%
2019年8月19日,9.06,8.92,9.06,8.79,3.33M,2.14%
2019年8月16日,8.87,8.83,8.94,8.81,2.24M,0.45%
2019年8月15日,8.83,8.66,8.85,8.60,1.74M,0.00%
2019年8月14日,8.83,8.98,9.05,8.82,1.38M,-0.90%
2019年8月13日,8.91,8.85,8.99,8.85,1.71M,0.68%
2019年8月12日,8.85,8.78,8.90,8.78,1.46M,0.80%
2019年8月9日,8.78,8.98,8.99,8.70,1.39M,-0.68%
2019年8月8日,8.84,8.90,9.08,8.84,1.32M,-0.23%
2019年8月7日,8.86,8.94,8.95,8.83,1.56M,0.57%
2019年8月6日,8.81,9.00,9.05,8.66,5.04M,-4.24%
2019年8月5日,9.20,9.42,9.42,9.20,2.06M,-2.34%
2019年8月2日,9.42,9.50,9.50,9.25,2.63M,-2.38%
2019年8月1日,9.65,9.78,9.78,9.59,2.10M,-1.53%
2019年7月31日,9.80,9.84,9.87,9.73,1.60M,0.51%
2019年7月30日,9.75,9.86,9.99,9.73,2.73M,-0.61%
2019年7月29日,9.81,9.62,9.81,9.61,2.68M,1.87%
2019年7月26日,9.63,9.50,9.65,9.45,1.53M,0.10%
2019年7月25日,9.62,9.63,9.67,9.55,1.71M,-0.10%
2019年7月24日,9.63,9.57,9.73,9.50,2.49M,1.58%
2019年7月23日,9.48,9.45,9.50,9.35,1.97M,1.28%
2019年7月22日,9.36,9.79,9.81,9.34,3.72M,-4.20%
2019年7月19日,9.77,9.61,9.90,9.61,3.01M,0.62%
2019年7月18日,9.71,9.73,9.79,9.57,3.83M,-1.92%
2019年7月17日,9.90,10.13,10.13,9.79,5.52M,-2.46%
2019年7月16日,10.15,10.15,10.21,10.04,3.07M,0.30%
2019年7月15日,10.12,10.30,10.30,9.90,5.32M,-1.56%
2019年7月12日,10.28,10.16,10.36,10.00,7.11M,1.98%
2019年7月11日,10.08,10.14,10.17,9.95,3.53M,0.00%
2019年7月10日,10.08,10.12,10.22,10.00,4.52M,-0.30%
