日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,21.74,21.48,22.10,21.26,22.88M,2.45%
2020年3月26日,21.22,20.20,21.50,20.13,24.69M,3.87%
2020年3月25日,20.43,20.42,20.54,20.06,17.21M,2.10%
2020年3月24日,20.01,20.24,20.30,19.61,12.46M,0.96%
2020年3月23日,19.82,20.10,20.35,19.78,14.53M,-4.07%
2020年3月20日,20.66,20.92,21.09,20.19,14.73M,-0.24%
2020年3月19日,20.71,20.62,21.09,20.17,15.44M,-0.77%
2020年3月18日,20.87,21.10,21.77,20.87,19.16M,0.14%
2020年3月17日,20.84,21.07,21.49,20.00,18.70M,-0.57%
2020年3月16日,20.96,22.16,22.32,20.78,21.18M,-4.42%
2020年3月13日,21.93,21.12,22.29,20.96,25.45M,-2.10%
2020年3月12日,22.40,23.10,23.10,22.15,23.00M,-4.03%
2020年3月11日,23.34,23.46,24.06,23.14,26.31M,-0.43%
2020年3月10日,23.44,23.00,23.46,22.63,22.50M,1.47%
2020年3月9日,23.10,23.45,23.80,22.80,33.74M,-3.02%
2020年3月6日,23.82,23.90,24.56,23.81,28.08M,-1.77%
2020年3月5日,24.25,23.41,24.66,23.20,49.45M,4.48%
2020年3月4日,23.21,22.90,23.55,22.79,18.95M,0.61%
2020年3月3日,23.07,23.38,23.65,22.81,21.10M,0.22%
2020年3月2日,23.02,22.18,23.24,22.18,27.82M,6.13%
2020年2月28日,21.69,22.80,22.88,21.65,26.37M,-7.31%
2020年2月27日,23.40,23.81,23.97,23.38,19.96M,-1.22%
2020年2月26日,23.69,23.47,24.28,23.31,32.69M,-1.50%
2020年2月25日,24.05,23.34,24.46,23.21,28.79M,0.54%
2020年2月24日,23.92,23.66,24.20,23.26,28.88M,1.27%
2020年2月21日,23.62,23.86,24.08,23.35,29.18M,-1.30%
2020年2月20日,23.93,24.55,25.25,23.46,44.54M,-0.50%
2020年2月19日,24.05,22.80,24.49,22.80,54.60M,6.51%
2020年2月18日,22.58,22.25,22.66,21.91,21.03M,1.44%
2020年2月17日,22.26,21.97,22.44,21.90,19.82M,1.83%
2020年2月14日,21.86,21.85,22.16,21.70,13.68M,-0.73%
2020年2月13日,22.02,22.07,22.15,21.70,14.60M,0.05%
2020年2月12日,22.01,21.79,22.28,21.68,13.54M,0.78%
2020年2月11日,21.84,22.62,22.75,21.80,22.69M,-3.41%
2020年2月10日,22.61,21.40,22.67,21.20,28.92M,3.81%
2020年2月7日,21.78,21.00,21.80,20.52,22.91M,3.22%
2020年2月6日,21.10,21.12,21.26,20.52,24.23M,3.74%
2020年2月5日,20.34,19.27,20.44,19.06,25.53M,5.77%
2020年2月4日,19.23,16.97,19.64,16.97,34.98M,1.96%
2020年2月3日,18.86,18.86,18.86,18.86,4.18M,-9.98%
2020年1月23日,20.95,21.45,21.64,20.56,19.08M,-3.63%
2020年1月22日,21.74,21.90,22.05,20.85,25.63M,-1.72%
2020年1月21日,22.12,23.00,23.00,22.10,25.34M,-4.12%
2020年1月20日,23.07,23.50,23.55,22.70,22.73M,-8.60%
2020年1月17日,25.24,25.50,25.61,25.03,17.53M,-0.79%
2020年1月16日,25.44,25.59,25.59,25.31,11.95M,-0.59%
2020年1月15日,25.59,25.70,25.75,25.38,10.27M,-0.04%
2020年1月14日,25.60,25.70,25.78,25.51,13.09M,0.04%
2020年1月13日,25.59,25.56,25.65,25.26,17.03M,1.23%
2020年1月10日,25.28,25.68,25.69,25.12,16.25M,-1.33%
2020年1月9日,25.62,25.36,25.79,25.36,19.57M,1.14%
2020年1月8日,25.33,26.12,26.12,25.19,33.47M,-2.95%
2020年1月7日,26.10,25.25,26.28,25.20,39.90M,3.65%
2020年1月6日,25.18,25.05,25.59,24.96,33.58M,1.94%
2020年1月3日,24.70,24.57,24.78,24.35,25.38M,0.65%
2020年1月2日,24.54,24.26,24.67,24.14,27.86M,1.91%
2019年12月31日,24.08,23.96,24.36,23.80,19.12M,0.33%
2019年12月30日,24.00,24.35,24.40,23.66,18.57M,-1.40%
2019年12月27日,24.34,24.53,24.63,24.29,17.58M,-0.81%
2019年12月26日,24.54,24.48,24.75,24.22,17.66M,0.25%
2019年12月25日,24.48,25.00,25.00,24.31,30.09M,3.95%
2019年12月24日,23.55,23.29,23.62,23.26,8.25M,1.12%
2019年12月23日,23.29,24.32,24.32,23.27,19.83M,-4.20%
2019年12月20日,24.31,24.37,24.47,24.17,11.54M,-0.08%
2019年12月19日,24.33,24.50,24.54,24.25,9.41M,-0.29%
2019年12月18日,24.40,24.32,24.64,24.14,16.10M,0.29%
2019年12月17日,24.33,23.73,24.43,23.68,24.15M,2.96%
2019年12月16日,23.63,23.69,23.75,23.25,16.74M,-0.21%
2019年12月13日,23.68,23.60,23.69,23.40,14.16M,0.64%
2019年12月12日,23.53,23.77,23.86,23.52,9.79M,-0.68%
