日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,33.49,35.16,35.20,33.25,7.56M,-2.42%
2020年3月26日,34.32,33.00,34.57,32.80,9.20M,3.94%
2020年3月25日,33.02,31.55,33.66,31.44,10.28M,5.83%
2020年3月24日,31.20,32.68,32.88,30.00,10.40M,-4.12%
2020年3月23日,32.54,32.04,33.75,31.88,6.84M,-0.67%
2020年3月20日,32.76,32.35,33.12,31.31,4.88M,3.41%
2020年3月19日,31.68,32.70,32.80,30.63,6.53M,-0.75%
2020年3月18日,31.92,32.40,33.84,31.89,8.21M,2.57%
2020年3月17日,31.12,31.95,32.30,30.06,6.47M,-2.08%
2020年3月16日,31.78,33.90,34.30,31.58,6.40M,-4.96%
2020年3月13日,33.44,32.80,34.01,32.60,7.80M,-4.05%
2020年3月12日,34.85,36.40,37.45,34.80,8.55M,-5.35%
2020年3月11日,36.82,36.30,37.75,36.14,8.54M,0.77%
2020年3月10日,36.54,36.50,36.80,33.17,9.43M,-0.84%
2020年3月9日,36.85,36.61,37.98,36.33,10.38M,0.49%
2020年3月6日,36.67,35.80,37.80,35.73,6.53M,-0.30%
2020年3月5日,36.78,37.42,38.10,36.58,6.57M,0.27%
2020年3月4日,36.68,36.90,37.15,36.02,5.97M,-2.16%
2020年3月3日,37.49,37.00,38.78,36.97,9.52M,2.85%
2020年3月2日,36.45,35.85,36.93,35.40,7.09M,4.14%
2020年2月28日,35.00,36.50,37.95,35.00,9.95M,-6.79%
2020年2月27日,37.55,36.88,37.98,36.01,7.97M,1.84%
2020年2月26日,36.87,38.23,38.59,36.40,10.16M,-5.46%
2020年2月25日,39.00,38.50,39.88,37.40,11.96M,-0.13%
2020年2月24日,39.05,37.92,39.95,37.92,13.60M,5.11%
2020年2月21日,37.15,36.08,38.25,35.50,13.88M,1.73%
2020年2月20日,36.52,36.30,37.26,35.48,17.07M,2.30%
2020年2月19日,35.70,38.99,38.99,35.70,25.62M,-7.08%
2020年2月18日,38.42,36.82,38.42,35.95,20.61M,9.99%
2020年2月17日,34.93,34.93,34.93,33.71,29.86M,10.02%
2020年2月14日,31.75,31.75,31.75,31.75,1.02M,10.01%
2020年2月13日,28.86,28.86,28.86,28.86,3.08M,9.98%
2020年2月12日,26.24,26.15,26.88,25.88,4.78M,0.31%
2020年2月11日,26.16,26.19,26.45,25.64,5.14M,0.15%
2020年2月10日,26.12,27.25,27.28,25.68,7.51M,-1.28%
2020年2月7日,26.46,27.60,27.76,26.25,10.87M,-5.30%
2020年2月6日,27.94,25.50,28.36,25.41,15.01M,7.96%
2020年2月5日,25.88,24.11,26.08,23.82,10.49M,6.68%
2020年2月4日,24.26,23.98,24.58,23.30,7.66M,3.28%
2020年2月3日,23.49,22.74,24.70,22.70,8.58M,-4.90%
2020年1月23日,24.70,25.26,26.10,24.46,7.38M,-2.26%
2020年1月22日,25.27,26.18,26.43,25.00,8.57M,-2.43%
2020年1月21日,25.90,27.18,27.71,25.80,18.24M,-1.18%
2020年1月20日,26.21,23.80,26.21,23.56,11.23M,9.99%
2020年1月17日,23.83,24.04,24.08,23.82,2.47M,-0.25%
2020年1月16日,23.89,24.22,24.34,23.86,3.24M,-1.40%
2020年1月15日,24.23,24.28,24.57,24.13,2.27M,-0.41%
2020年1月14日,24.33,24.69,24.77,24.25,3.31M,-1.26%
2020年1月13日,24.64,24.27,24.65,24.02,3.28M,1.40%
2020年1月10日,24.30,23.82,24.57,23.82,4.99M,2.10%
2020年1月9日,23.80,23.65,23.88,23.60,3.25M,1.71%
2020年1月8日,23.40,23.70,23.90,23.30,3.00M,-1.68%
2020年1月7日,23.80,23.18,23.88,23.18,3.94M,2.32%
2020年1月6日,23.26,23.23,23.49,23.06,2.70M,-0.17%
2020年1月3日,23.30,23.36,23.45,23.11,2.29M,-0.13%
2020年1月2日,23.33,23.11,23.38,23.02,3.07M,1.21%
2019年12月31日,23.05,22.63,23.25,22.63,2.64M,1.45%
2019年12月30日,22.72,22.76,22.96,22.43,1.68M,-0.35%
2019年12月27日,22.80,22.71,23.07,22.69,2.63M,0.13%
2019年12月26日,22.77,22.74,22.83,22.56,1.29M,0.49%
2019年12月25日,22.66,22.70,22.85,22.52,1.15M,-0.18%
2019年12月24日,22.70,22.43,22.77,22.38,1.32M,1.25%
2019年12月23日,22.42,22.95,23.10,22.39,1.86M,-2.31%
2019年12月20日,22.95,23.40,23.44,22.95,1.59M,-1.84%
2019年12月19日,23.38,23.14,23.43,23.06,2.02M,1.12%
2019年12月18日,23.12,23.19,23.30,23.05,1.81M,-0.34%
2019年12月17日,23.20,22.86,23.25,22.81,2.55M,1.53%
2019年12月16日,22.85,22.52,22.85,22.23,2.30M,1.60%
2019年12月13日,22.49,22.29,22.55,22.29,1.34M,1.22%
2019年12月12日,22.22,22.53,22.62,22.14,1.48M,-1.33%
