日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,12.79,12.65,12.94,12.45,29.80M,1.83%
2020年3月26日,12.56,12.65,12.76,12.48,25.15M,-1.72%
2020年3月25日,12.78,13.10,13.18,12.61,42.59M,-0.85%
2020年3月24日,12.89,12.85,13.06,12.57,41.14M,2.06%
2020年3月23日,12.63,12.30,12.96,12.28,50.97M,-0.32%
2020年3月20日,12.67,12.24,12.71,12.12,50.89M,4.62%
2020年3月19日,12.11,12.26,12.45,11.70,37.59M,-1.22%
2020年3月18日,12.26,12.28,12.57,12.12,63.04M,2.42%
2020年3月17日,11.97,11.80,12.22,11.50,54.75M,4.18%
2020年3月16日,11.49,11.63,11.93,11.32,29.78M,-0.86%
2020年3月13日,11.59,11.36,11.77,11.22,29.29M,-2.61%
2020年3月12日,11.90,11.93,12.06,11.72,22.79M,-1.41%
2020年3月11日,12.07,12.40,12.40,12.07,23.11M,-2.50%
2020年3月10日,12.38,11.95,12.44,11.90,29.14M,3.00%
2020年3月9日,12.02,12.16,12.37,12.00,33.45M,-3.14%
2020年3月6日,12.41,12.67,12.74,12.39,34.07M,-3.50%
2020年3月5日,12.86,13.00,13.19,12.72,55.74M,-1.23%
2020年3月4日,13.02,12.61,13.18,12.54,68.41M,0.00%
2020年3月3日,13.02,13.40,13.58,12.74,89.24M,-1.44%
2020年3月2日,13.21,12.26,13.22,12.26,98.55M,9.90%
2020年2月28日,12.02,11.74,12.36,11.70,78.77M,1.61%
2020年2月27日,11.83,11.74,12.27,11.62,45.65M,1.63%
2020年2月26日,11.64,11.36,11.91,11.30,49.53M,0.87%
2020年2月25日,11.54,11.60,11.69,11.32,29.39M,-2.53%
2020年2月24日,11.84,11.74,12.10,11.71,35.43M,0.51%
2020年2月21日,11.78,11.70,11.89,11.55,29.02M,0.60%
2020年2月20日,11.71,11.60,11.74,11.41,20.26M,0.95%
2020年2月19日,11.60,11.35,11.85,11.33,31.61M,1.22%
2020年2月18日,11.46,11.77,11.77,11.28,29.92M,-2.63%
2020年2月17日,11.77,11.56,11.77,11.56,19.60M,1.64%
2020年2月14日,11.58,11.27,11.65,11.27,20.22M,2.75%
2020年2月13日,11.27,11.34,11.76,11.27,21.69M,-0.62%
2020年2月12日,11.34,11.26,11.38,11.14,13.62M,0.62%
2020年2月11日,11.27,11.17,11.40,11.11,20.42M,0.27%
2020年2月10日,11.24,10.48,11.29,10.42,32.11M,6.95%
