日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,32.65,35.10,35.10,32.49,111.42M,-3.97%
2020年3月26日,34.00,30.49,34.00,30.35,104.25M,10.00%
2020年3月25日,30.91,30.23,31.80,29.70,88.36M,1.91%
2020年3月24日,30.33,28.38,30.66,27.32,88.60M,8.59%
2020年3月23日,27.93,28.76,29.27,27.82,49.74M,-5.51%
2020年3月20日,29.56,29.94,29.94,28.90,60.14M,-0.97%
2020年3月19日,29.85,29.37,30.03,28.54,90.70M,4.30%
2020年3月18日,28.62,29.80,31.28,28.58,118.20M,-1.99%
2020年3月17日,29.20,27.80,29.23,26.99,95.01M,8.31%
2020年3月16日,26.96,27.97,28.50,26.70,66.65M,3.30%
2020年3月13日,26.10,25.40,26.18,25.02,29.27M,-1.84%
2020年3月12日,26.59,27.14,27.28,26.39,23.13M,-2.92%
2020年3月11日,27.39,27.97,28.06,27.36,26.78M,-2.07%
2020年3月10日,27.97,28.00,28.30,27.30,37.67M,0.32%
2020年3月9日,27.88,27.80,28.46,27.68,35.93M,-2.04%
2020年3月6日,28.46,28.50,29.10,28.36,30.63M,-0.77%
2020年3月5日,28.68,28.56,28.84,28.27,35.35M,0.56%
2020年3月4日,28.52,27.65,28.84,27.25,39.97M,2.85%
2020年3月3日,27.73,27.87,28.30,27.56,31.30M,0.47%
2020年3月2日,27.60,27.13,27.75,26.90,30.08M,2.68%
2020年2月28日,26.88,27.53,27.90,26.79,39.27M,-4.17%
2020年2月27日,28.05,28.36,28.79,27.88,35.53M,0.04%
2020年2月26日,28.04,29.17,29.50,28.04,69.73M,-4.33%
2020年2月25日,29.31,26.78,29.47,26.63,108.97M,9.41%
2020年2月24日,26.79,26.54,26.87,26.43,32.62M,1.36%
2020年2月21日,26.43,26.27,26.53,26.07,25.72M,0.65%
2020年2月20日,26.26,26.05,26.30,25.95,21.47M,0.65%
2020年2月19日,26.09,26.53,26.53,26.04,26.56M,-1.66%
2020年2月18日,26.53,26.82,26.95,26.38,28.09M,-0.86%
2020年2月17日,26.76,26.45,26.79,26.33,23.93M,1.13%
2020年2月14日,26.46,26.76,26.95,26.27,23.50M,-0.97%
2020年2月13日,26.72,27.34,27.34,26.61,27.71M,-1.98%
2020年2月12日,27.26,27.20,27.52,26.95,24.61M,0.15%
2020年2月11日,27.22,27.34,27.43,26.80,23.11M,-0.18%
2020年2月10日,27.27,27.64,27.80,27.00,29.92M,-1.27%
2020年2月7日,27.62,28.20,28.72,27.28,53.17M,-2.13%
2020年2月6日,28.22,28.40,29.55,27.84,80.05M,-0.77%
2020年2月5日,28.44,27.52,28.52,26.91,62.86M,4.56%
2020年2月4日,27.20,26.68,27.26,25.77,52.97M,5.96%
2020年2月3日,25.67,23.99,25.97,23.99,45.60M,-1.95%
2020年1月23日,26.18,26.99,27.28,25.80,29.11M,-3.25%
2020年1月22日,27.06,27.98,27.98,26.86,34.53M,-2.87%
2020年1月21日,27.86,27.55,28.13,27.39,42.68M,1.68%
2020年1月20日,27.40,27.25,27.58,26.94,27.39M,1.78%
2020年1月17日,26.92,26.89,27.40,26.82,23.13M,0.00%
2020年1月16日,26.92,26.74,26.92,26.58,13.62M,0.90%
2020年1月15日,26.68,26.80,27.09,26.60,12.91M,-0.56%
2020年1月14日,26.83,27.12,27.21,26.80,15.68M,-0.89%
2020年1月13日,27.07,26.98,27.10,26.79,15.20M,0.41%
2020年1月10日,26.96,26.70,27.20,26.68,23.29M,1.35%
2020年1月9日,26.60,26.51,26.74,26.44,16.54M,1.14%
2020年1月8日,26.30,26.74,26.79,26.28,17.67M,-2.23%
2020年1月7日,26.90,26.72,27.15,26.72,14.89M,0.75%
2020年1月6日,26.70,26.88,27.15,26.63,19.19M,-1.48%
2020年1月3日,27.10,27.05,27.23,26.68,20.43M,0.22%
2020年1月2日,27.04,26.77,27.08,26.49,23.80M,1.65%
2019年12月31日,26.60,26.20,26.85,26.20,20.53M,1.53%
2019年12月30日,26.20,26.19,26.30,25.74,14.38M,-0.15%
2019年12月27日,26.24,26.31,26.68,26.21,16.17M,-0.23%
2019年12月26日,26.30,26.22,26.43,26.10,9.38M,0.42%
2019年12月25日,26.19,26.41,26.52,26.08,11.51M,-0.95%
2019年12月24日,26.44,26.08,26.52,25.96,13.87M,1.81%
2019年12月23日,25.97,26.34,26.63,25.93,12.17M,-1.40%
2019年12月20日,26.34,26.60,26.65,26.29,14.46M,-0.49%
2019年12月19日,26.47,26.10,26.57,26.02,19.46M,2.12%
2019年12月18日,25.92,26.13,26.19,25.81,14.56M,-0.80%
2019年12月17日,26.13,25.75,26.19,25.56,17.47M,1.36%
2019年12月16日,25.78,25.59,25.79,25.31,14.99M,1.54%
