日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,14.17,14.42,14.53,14.16,12.80M,-0.42%
2020年3月26日,14.23,14.05,14.34,13.97,13.12M,0.64%
2020年3月25日,14.14,13.99,14.18,13.88,15.14M,2.39%
2020年3月24日,13.81,13.88,14.05,13.50,14.31M,0.00%
2020年3月23日,13.81,13.61,14.03,13.51,14.30M,-0.43%
2020年3月20日,13.87,13.66,13.88,13.58,9.80M,2.21%
2020年3月19日,13.57,13.75,13.90,13.33,14.19M,-1.52%
2020年3月18日,13.78,14.15,14.28,13.73,11.48M,-1.43%
2020年3月17日,13.98,14.19,14.50,13.70,13.70M,-1.55%
2020年3月16日,14.20,14.51,14.90,14.20,15.12M,-1.39%
2020年3月13日,14.40,14.20,14.58,14.09,16.58M,-2.37%
2020年3月12日,14.75,14.99,14.99,14.70,15.48M,-2.25%
2020年3月11日,15.09,15.19,15.33,15.08,11.75M,-0.59%
2020年3月10日,15.18,14.96,15.28,14.76,18.38M,0.26%
2020年3月9日,15.14,15.45,15.49,15.10,17.83M,-2.95%
2020年3月6日,15.60,15.59,15.90,15.54,13.42M,-0.95%
2020年3月5日,15.75,15.50,15.75,15.37,22.51M,2.47%
2020年3月4日,15.37,15.33,15.45,15.18,12.90M,-0.65%
2020年3月3日,15.47,15.59,15.67,15.40,16.23M,0.00%
2020年3月2日,15.47,15.28,15.54,15.10,14.69M,1.24%
2020年2月28日,15.28,15.47,15.71,15.02,24.21M,-3.11%
2020年2月27日,15.77,16.00,16.07,15.66,19.30M,-0.82%
2020年2月26日,15.90,16.19,16.38,15.84,23.65M,-2.57%
2020年2月25日,16.32,15.86,16.41,15.81,33.20M,0.87%
2020年2月24日,16.18,16.07,16.24,15.92,24.34M,1.25%
2020年2月21日,15.98,15.82,16.15,15.81,20.86M,0.69%
2020年2月20日,15.87,15.72,15.88,15.63,16.43M,0.70%
2020年2月19日,15.76,16.15,16.15,15.75,18.01M,-2.48%
2020年2月18日,16.16,16.00,16.22,15.84,22.75M,1.25%
2020年2月17日,15.96,15.78,15.97,15.67,18.88M,1.92%
2020年2月14日,15.66,15.69,15.87,15.56,15.28M,-0.25%
2020年2月13日,15.70,16.00,16.06,15.56,21.13M,-1.75%
2020年2月12日,15.98,15.95,16.15,15.85,15.84M,0.19%
2020年2月11日,15.95,16.05,16.05,15.71,20.32M,-0.62%
2020年2月10日,16.05,16.55,16.55,15.92,32.06M,-2.96%
2020年2月7日,16.54,17.15,17.20,16.34,44.87M,-2.59%
2020年2月6日,16.98,16.75,17.50,16.26,74.21M,0.71%
2020年2月5日,16.86,15.51,16.86,15.15,60.97M,9.98%
2020年2月4日,15.33,14.85,15.52,14.85,29.39M,0.72%
2020年2月3日,15.22,16.49,16.49,14.11,45.71M,-2.81%
2020年1月23日,15.66,16.19,16.43,15.53,28.12M,-3.27%
2020年1月22日,16.19,16.86,16.86,16.13,32.05M,-3.63%
2020年1月21日,16.80,16.29,16.91,16.29,39.90M,3.32%
2020年1月20日,16.26,16.38,16.77,16.04,20.54M,0.31%
2020年1月17日,16.21,16.18,16.34,16.11,11.91M,0.50%
2020年1月16日,16.13,16.40,16.45,16.08,13.09M,-1.41%
2020年1月15日,16.36,16.37,16.57,16.11,20.91M,0.68%
2020年1月14日,16.25,16.00,16.46,15.93,26.03M,2.14%
2020年1月13日,15.91,15.89,15.93,15.66,11.02M,0.44%
2020年1月10日,15.84,15.94,16.16,15.73,14.95M,-0.63%
2020年1月9日,15.94,15.50,15.98,15.50,25.34M,3.44%
2020年1月8日,15.41,15.72,15.72,15.40,17.24M,-2.22%
2020年1月7日,15.76,15.60,15.78,15.60,14.83M,1.03%
2020年1月6日,15.60,15.55,15.74,15.48,17.03M,-0.38%
2020年1月3日,15.66,15.70,15.84,15.56,21.56M,0.71%
2020年1月2日,15.55,15.50,15.63,15.36,23.58M,0.84%
2019年12月31日,15.42,15.18,15.50,15.13,20.26M,1.65%
2019年12月30日,15.17,15.12,15.17,14.98,12.29M,0.33%
2019年12月27日,15.12,15.30,15.30,15.10,12.51M,-0.26%
2019年12月26日,15.16,15.09,15.24,15.06,9.51M,0.53%
2019年12月25日,15.08,15.10,15.15,14.98,10.97M,-0.53%
