日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,26.26,26.90,26.96,26.20,8.63M,-0.94%
2020年3月26日,26.51,25.80,26.98,25.70,11.66M,0.95%
2020年3月25日,26.26,26.03,26.48,25.67,10.36M,3.51%
2020年3月24日,25.37,25.50,25.60,24.51,7.52M,1.44%
2020年3月23日,25.01,25.70,25.97,24.88,9.57M,-5.30%
2020年3月20日,26.41,26.82,26.96,25.82,8.52M,-0.26%
2020年3月19日,26.48,26.26,26.79,25.54,9.66M,0.15%
2020年3月18日,26.44,26.76,27.78,26.40,11.16M,-0.11%
2020年3月17日,26.47,27.51,27.82,25.70,10.89M,-2.97%
2020年3月16日,27.28,28.92,29.00,27.00,11.51M,-4.11%
2020年3月13日,28.45,26.79,28.97,26.57,14.54M,0.92%
2020年3月12日,28.19,27.96,28.68,27.96,12.60M,-3.89%
2020年3月11日,29.33,29.94,30.78,29.33,14.38M,-2.14%
2020年3月10日,29.97,28.50,30.00,28.13,17.15M,0.98%
2020年3月9日,29.68,30.80,30.83,29.66,22.39M,-6.90%
2020年3月6日,31.88,32.05,32.67,31.85,18.74M,-2.24%
2020年3月5日,32.61,31.37,33.51,30.93,35.35M,4.52%
2020年3月4日,31.20,30.50,31.39,30.50,18.00M,1.30%
2020年3月3日,30.80,31.23,31.47,30.33,22.79M,1.12%
2020年3月2日,30.46,28.30,30.54,28.30,24.10M,9.61%
2020年2月28日,27.79,29.53,29.79,27.60,20.52M,-8.31%
2020年2月27日,30.31,31.00,31.22,30.15,16.10M,-1.46%
2020年2月26日,30.76,30.07,31.87,29.90,26.86M,0.46%
2020年2月25日,30.62,30.30,31.18,29.60,21.04M,-1.19%
2020年2月24日,30.99,29.95,31.30,29.81,21.50M,3.58%
2020年2月21日,29.92,29.61,30.69,29.24,21.76M,-0.73%
2020年2月20日,30.14,30.82,32.16,30.04,32.99M,2.00%
2020年2月19日,29.55,28.82,30.18,28.81,25.42M,4.01%
2020年2月18日,28.41,27.25,28.53,26.86,20.46M,4.99%
2020年2月17日,27.06,26.54,27.59,26.54,14.60M,2.58%
2020年2月14日,26.38,26.43,26.89,26.21,10.34M,-0.45%
2020年2月13日,26.50,26.43,26.77,26.11,10.51M,-0.11%
2020年2月12日,26.53,26.25,27.17,26.25,12.85M,1.45%
2020年2月11日,26.15,26.90,27.24,26.10,15.55M,-4.04%
2020年2月10日,27.25,24.65,27.40,24.50,22.05M,7.96%
2020年2月7日,25.24,25.05,25.67,24.52,12.96M,0.00%
2020年2月6日,25.24,24.00,25.51,23.90,17.67M,6.14%
2020年2月5日,23.78,22.68,24.47,22.67,17.75M,5.27%
2020年2月4日,22.59,21.39,22.86,21.39,20.48M,-4.96%
2020年2月3日,23.77,23.77,23.77,23.77,597.50K,-10.00%
2020年1月23日,26.41,27.84,28.05,26.03,14.19M,-6.51%
2020年1月22日,28.25,29.42,29.42,27.42,16.42M,-5.64%
2020年1月21日,29.94,31.02,31.10,29.85,9.89M,-3.39%
2020年1月20日,30.99,30.63,31.10,30.16,7.24M,0.85%
2020年1月17日,30.73,31.05,31.24,30.70,5.91M,-1.03%
2020年1月16日,31.05,31.52,31.60,31.03,7.36M,-1.43%
2020年1月15日,31.50,32.20,32.35,31.44,9.47M,-2.11%
2020年1月14日,32.18,32.29,32.50,32.05,8.25M,-0.34%
2020年1月13日,32.29,32.00,32.45,32.00,11.08M,0.94%
2020年1月10日,31.99,32.41,32.50,31.77,7.61M,-0.90%
2020年1月9日,32.28,32.50,32.84,32.06,9.71M,0.62%
2020年1月8日,32.08,33.58,33.58,32.05,17.51M,-4.52%
2020年1月7日,33.60,31.52,34.39,31.25,28.09M,5.13%
2020年1月6日,31.96,31.93,32.39,31.79,10.09M,-0.71%
2020年1月3日,32.19,32.51,32.65,31.82,10.61M,-1.01%
2020年1月2日,32.52,31.95,32.86,31.60,15.02M,2.23%
2019年12月31日,31.81,31.38,31.95,31.22,9.29M,1.63%
2019年12月30日,31.30,31.07,31.48,30.51,9.92M,0.71%
2019年12月27日,31.08,30.95,31.54,30.75,9.72M,0.62%
2019年12月26日,30.89,30.91,31.05,30.70,5.99M,-0.35%
2019年12月25日,31.00,31.30,31.57,30.75,7.05M,0.58%
2019年12月24日,30.82,30.70,31.09,30.47,7.19M,0.13%
