日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,26.73,27.20,27.39,26.69,13.37M,-0.04%
2020年3月26日,26.74,27.40,27.40,26.56,7.52M,-2.94%
2020年3月25日,27.55,27.95,28.31,27.13,11.02M,0.15%
2020年3月24日,27.51,26.50,27.60,26.50,11.56M,5.16%
2020年3月23日,26.16,26.77,27.10,26.05,10.72M,-5.05%
2020年3月20日,27.55,26.50,27.68,26.21,12.07M,4.47%
2020年3月19日,26.37,26.69,27.10,25.70,15.99M,-1.20%
2020年3月18日,26.69,27.90,28.10,26.61,13.51M,-4.34%
2020年3月17日,27.90,28.41,28.65,26.83,11.35M,-1.24%
2020年3月16日,28.25,29.38,30.10,28.06,18.56M,-4.14%
2020年3月13日,29.47,28.25,30.10,27.80,20.35M,0.75%
2020年3月12日,29.25,29.48,29.71,28.93,14.70M,-1.55%
2020年3月11日,29.71,28.70,30.16,28.44,21.18M,3.88%
2020年3月10日,28.60,26.80,28.95,26.75,22.07M,6.56%
2020年3月9日,26.84,28.14,28.14,26.76,12.51M,-5.96%
2020年3月6日,28.54,28.15,28.96,28.00,11.69M,-0.07%
2020年3月5日,28.56,27.45,28.72,27.30,18.53M,4.73%
2020年3月4日,27.27,27.46,27.69,26.80,9.29M,-0.62%
2020年3月3日,27.44,28.17,28.20,27.38,12.30M,-1.68%
2020年3月2日,27.91,27.54,28.00,27.11,12.99M,1.20%
2020年2月28日,27.58,27.36,27.58,26.50,15.32M,-1.50%
2020年2月27日,28.00,28.25,28.68,27.53,13.88M,-0.64%
2020年2月26日,28.18,28.00,28.87,27.77,10.91M,-0.39%
2020年2月25日,28.29,28.00,28.43,27.65,10.08M,-1.05%
2020年2月24日,28.59,28.91,29.33,28.28,12.61M,-2.46%
2020年2月21日,29.31,29.52,29.86,28.98,14.11M,-2.30%
2020年2月20日,30.00,28.27,30.50,28.27,20.73M,6.53%
2020年2月19日,28.16,27.71,28.21,27.42,10.35M,1.40%
2020年2月18日,27.77,27.94,28.27,27.65,7.11M,-0.86%
2020年2月17日,28.01,27.27,28.13,27.09,11.14M,2.64%
2020年2月14日,27.29,27.48,27.53,26.91,11.93M,-0.58%
2020年2月13日,27.45,27.90,28.19,27.35,12.78M,-2.42%
2020年2月12日,28.13,28.34,28.88,27.80,13.02M,-0.81%
