日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,49.71,51.06,51.23,49.00,12.32M,-1.66%
2020年3月26日,50.55,50.23,52.90,50.01,20.03M,-0.49%
2020年3月25日,50.80,47.90,51.20,47.90,21.96M,8.73%
2020年3月24日,46.72,48.31,48.33,44.83,17.59M,-1.54%
2020年3月23日,47.45,46.70,48.99,46.50,14.55M,-1.13%
2020年3月20日,47.99,46.40,48.58,46.40,21.56M,4.05%
2020年3月19日,46.12,44.00,46.55,43.62,22.07M,4.51%
2020年3月18日,44.13,43.35,46.50,43.35,18.74M,1.92%
2020年3月17日,43.30,43.71,44.18,39.70,21.96M,2.27%
2020年3月16日,42.34,42.60,44.74,41.76,24.96M,0.02%
2020年3月13日,42.33,40.63,42.99,40.40,14.17M,-2.31%
2020年3月12日,43.33,43.51,44.44,42.18,16.19M,-1.95%
2020年3月11日,44.19,45.57,46.50,44.02,11.76M,-2.67%
2020年3月10日,45.40,44.00,46.13,43.80,16.55M,1.66%
2020年3月9日,44.66,47.06,47.40,44.35,19.51M,-6.96%
2020年3月6日,48.00,47.33,49.09,46.54,14.77M,0.31%
2020年3月5日,47.85,48.00,49.02,47.28,14.10M,0.29%
2020年3月4日,47.71,48.80,49.00,46.72,25.04M,-4.39%
2020年3月3日,49.90,51.70,52.36,48.11,29.66M,-3.03%
2020年3月2日,51.46,52.50,53.17,48.00,29.40M,0.80%
2020年2月28日,51.05,50.01,53.65,50.00,28.34M,-2.65%
2020年2月27日,52.44,49.00,53.73,49.00,33.58M,7.00%
2020年2月26日,49.01,50.02,50.27,47.20,26.59M,-3.90%
2020年2月25日,51.00,51.40,52.50,48.61,33.16M,-3.04%
2020年2月24日,52.60,50.58,53.34,50.01,38.17M,5.20%
2020年2月21日,50.00,48.00,50.99,47.95,32.19M,4.45%
2020年2月20日,47.87,47.92,48.79,46.70,29.76M,0.76%
2020年2月19日,47.51,50.00,50.68,47.51,31.98M,-5.58%
2020年2月18日,50.32,50.65,51.38,49.50,20.91M,-0.83%
2020年2月17日,50.74,50.22,51.49,49.50,22.27M,2.01%
2020年2月14日,49.74,49.93,50.65,49.25,20.64M,-0.62%
2020年2月13日,50.05,51.91,52.10,49.10,32.60M,-3.69%
2020年2月12日,51.97,51.86,53.38,51.58,26.11M,0.06%
2020年2月11日,51.94,53.60,53.89,50.44,22.08M,-3.67%
2020年2月10日,53.92,55.70,56.00,52.02,21.94M,-3.52%
2020年2月7日,55.89,52.68,57.89,52.68,26.87M,3.50%
2020年2月6日,54.00,49.90,54.57,49.30,30.53M,8.00%
2020年2月5日,50.00,48.90,52.17,48.57,35.13M,0.18%
2020年2月4日,49.91,45.73,50.20,45.73,39.34M,8.57%
2020年2月3日,45.97,45.00,51.09,44.99,33.65M,-3.20%
2020年1月23日,47.49,45.35,50.00,44.50,34.45M,3.89%
2020年1月22日,45.71,45.27,46.18,43.23,18.22M,-0.20%
2020年1月21日,45.80,45.80,47.17,45.45,17.94M,-0.74%
2020年1月20日,46.14,44.90,46.97,44.11,22.83M,2.60%
2020年1月17日,44.97,45.75,46.32,44.60,16.48M,-0.90%
2020年1月16日,45.38,46.00,46.46,44.40,19.31M,-1.13%
2020年1月15日,45.90,46.47,47.50,45.45,16.80M,-2.30%
2020年1月14日,46.98,46.80,48.53,46.53,24.01M,0.38%
2020年1月13日,46.80,46.20,47.16,45.56,21.55M,1.41%
2020年1月10日,46.15,46.34,46.96,45.03,21.42M,-1.47%
2020年1月9日,46.84,48.85,49.90,44.74,27.86M,-2.98%
2020年1月8日,48.28,50.00,50.50,48.21,16.44M,-5.15%
2020年1月7日,50.90,48.75,51.83,48.28,21.35M,4.09%
2020年1月6日,48.90,46.50,50.26,46.10,28.78M,-1.55%
2020年1月3日,49.67,49.24,51.38,48.02,23.18M,2.31%
2020年1月2日,48.55,44.51,48.55,43.67,19.79M,9.99%
2019年12月31日,44.14,43.10,44.63,43.10,12.61M,0.43%
2019年12月30日,43.95,44.00,45.54,43.10,18.29M,-0.92%
2019年12月27日,44.36,44.40,46.89,43.72,16.33M,-0.07%
2019年12月26日,44.39,43.53,44.80,43.08,10.34M,1.00%
2019年12月25日,43.95,41.96,44.49,41.68,17.97M,4.15%
2019年12月24日,42.20,40.83,42.46,39.98,17.44M,3.46%
2019年12月23日,40.79,42.13,43.19,40.39,15.86M,-3.18%
2019年12月20日,42.13,41.44,43.50,41.44,13.67M,1.94%
2019年12月19日,41.33,41.31,42.20,40.50,13.04M,0.83%
2019年12月18日,40.99,39.96,42.54,39.68,16.13M,2.86%
2019年12月17日,39.85,39.95,41.18,39.50,17.11M,-0.60%
2019年12月16日,40.09,37.96,40.21,37.81,20.44M,6.62%
2019年12月13日,37.60,37.96,37.98,36.58,13.60M,-0.92%
2019年12月12日,37.95,37.42,38.00,36.94,9.10M,0.77%
2019年12月11日,37.66,37.99,39.43,37.18,15.75M,-0.84%
2019年12月10日,37.98,37.90,38.60,36.70,13.32M,0.74%
2019年12月9日,37.70,37.60,38.99,37.11,19.45M,-0.19%
2019年12月6日,37.77,36.00,38.48,35.20,23.85M,4.05%
2019年12月5日,36.30,36.55,36.85,35.75,12.94M,1.14%
2019年12月4日,35.89,35.90,38.00,35.71,17.24M,0.06%
2019年12月3日,35.87,35.50,36.35,35.45,9.11M,-0.42%
2019年12月2日,36.02,34.10,36.20,33.40,18.51M,4.41%
2019年11月29日,34.50,34.22,34.76,33.18,14.39M,0.94%
2019年11月28日,34.18,33.90,34.82,33.80,9.41M,-0.61%
2019年11月27日,34.39,34.15,34.62,33.40,13.94M,-0.89%
2019年11月26日,34.70,34.35,34.85,33.56,19.15M,0.41%
2019年11月25日,34.56,33.90,35.05,32.91,26.58M,0.91%
2019年11月22日,34.25,34.26,35.10,33.71,34.34M,-0.72%
2019年11月21日,34.50,35.68,35.80,33.86,38.30M,-3.42%
2019年11月20日,35.72,35.00,37.00,34.68,61.45M,6.18%
2019年11月19日,33.64,30.56,33.64,30.30,34.07M,10.01%
2019年11月18日,30.58,30.32,30.90,29.45,17.42M,0.76%
2019年11月15日,30.35,30.41,30.66,29.60,17.56M,0.66%
2019年11月14日,30.15,29.39,30.69,29.39,14.46M,2.34%
2019年11月13日,29.46,28.83,30.18,28.75,16.06M,3.12%
2019年11月12日,28.57,29.24,29.38,28.44,9.07M,-0.90%
2019年11月11日,28.83,29.51,30.06,28.83,13.90M,-2.17%
2019年11月8日,29.47,29.18,29.75,28.92,10.42M,2.01%
2019年11月7日,28.89,27.92,29.08,27.88,12.40M,4.00%
2019年11月6日,27.78,28.85,28.85,27.63,8.40M,-3.27%
2019年11月5日,28.72,28.61,28.97,27.89,9.24M,0.42%
2019年11月4日,28.60,28.96,28.98,28.40,7.04M,-0.45%
2019年11月1日,28.73,29.30,29.68,28.50,9.32M,-2.61%
2019年10月31日,29.50,28.85,29.66,28.68,8.13M,2.11%
2019年10月30日,28.89,28.54,29.12,28.25,5.00M,1.33%
2019年10月29日,28.51,28.90,28.90,28.35,5.88M,-0.94%
2019年10月28日,28.78,28.90,29.05,28.35,9.13M,-0.03%
2019年10月25日,28.79,28.36,28.83,28.12,6.98M,1.62%
2019年10月24日,28.33,27.41,28.43,27.41,8.81M,3.17%
2019年10月23日,27.46,27.06,27.78,26.61,6.72M,1.89%
2019年10月22日,26.95,26.94,27.09,25.81,9.80M,-0.37%
2019年10月21日,27.05,27.41,27.46,26.71,4.61M,-1.06%
2019年10月18日,27.34,27.51,27.84,26.96,5.41M,-0.62%
2019年10月17日,27.51,27.28,27.85,27.22,5.36M,0.59%
2019年10月16日,27.35,27.60,27.88,27.13,6.89M,-0.58%
2019年10月15日,27.51,28.40,28.45,27.48,8.49M,-4.45%
2019年10月14日,28.79,28.63,29.02,28.28,7.68M,1.12%
2019年10月11日,28.47,28.20,28.73,27.72,7.95M,0.96%
2019年10月10日,28.20,27.49,28.35,27.39,6.65M,2.62%
2019年10月9日,27.48,27.32,27.59,27.09,4.30M,0.62%
2019年10月8日,27.31,27.70,28.40,27.19,7.92M,-1.41%
2019年9月30日,27.70,28.56,28.67,27.51,4.88M,-2.46%
2019年9月27日,28.40,27.90,28.72,27.55,7.40M,2.34%
2019年9月26日,27.75,28.68,28.99,27.60,9.54M,-2.87%
2019年9月25日,28.57,29.21,29.88,28.50,10.47M,-2.92%
2019年9月24日,29.43,28.50,29.87,28.42,13.26M,3.23%
2019年9月23日,28.51,28.56,29.18,28.08,9.80M,-0.59%
2019年9月20日,28.68,29.02,29.49,28.47,10.20M,-1.24%
2019年9月19日,29.04,29.33,29.89,28.72,8.87M,-0.89%
2019年9月18日,29.30,29.23,29.41,28.95,5.36M,0.34%
2019年9月17日,29.20,29.57,29.82,28.75,6.50M,-1.45%
2019年9月16日,29.63,29.65,29.91,29.33,8.17M,0.03%
2019年9月12日,29.62,29.53,29.90,28.89,9.51M,-0.07%
2019年9月11日,29.64,30.40,30.77,29.47,10.00M,-1.89%
2019年9月10日,30.21,30.98,31.12,30.05,14.59M,-1.92%
2019年9月9日,30.80,28.66,30.95,28.38,22.62M,7.69%
2019年9月6日,28.60,28.58,29.29,27.95,8.89M,-0.03%
2019年9月5日,28.61,28.24,29.29,28.20,13.20M,0.10%
2019年9月4日,28.58,27.99,28.75,27.62,11.81M,2.47%
2019年9月3日,27.89,27.56,28.19,27.46,11.53M,1.12%
2019年9月2日,27.58,26.96,27.65,26.60,10.50M,2.91%
2019年8月30日,26.80,27.89,27.89,26.43,11.20M,-2.93%
2019年8月29日,27.61,27.85,28.01,27.43,6.53M,0.04%
2019年8月28日,27.60,28.27,28.27,27.40,11.38M,-2.40%
2019年8月27日,28.28,28.25,28.75,28.07,9.23M,0.43%
