日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,41.23,43.79,43.97,41.00,14.51M,-4.82%
2020年3月26日,43.32,44.00,45.25,43.00,8.19M,-3.00%
2020年3月25日,44.66,45.50,45.50,43.52,9.94M,0.27%
2020年3月24日,44.54,46.00,46.78,42.70,15.60M,-1.57%
2020年3月23日,45.25,45.01,46.75,44.35,8.47M,-2.73%
2020年3月20日,46.52,44.91,46.90,44.60,10.95M,5.01%
2020年3月19日,44.30,43.82,44.79,42.56,8.55M,1.58%
2020年3月18日,43.61,45.30,46.38,43.57,7.68M,-2.24%
2020年3月17日,44.61,45.00,45.66,42.15,10.48M,0.81%
2020年3月16日,44.25,48.16,48.40,42.98,11.81M,-6.65%
2020年3月13日,47.40,44.01,47.98,44.01,10.95M,2.31%
2020年3月12日,46.33,47.00,47.46,45.71,8.48M,-4.26%
2020年3月11日,48.39,48.31,49.78,48.01,10.47M,0.37%
2020年3月10日,48.21,45.28,49.20,45.28,13.73M,4.85%
2020年3月9日,45.98,47.20,47.88,44.93,13.89M,-4.43%
2020年3月6日,48.11,47.04,49.37,46.53,9.14M,-0.70%
2020年3月5日,48.45,53.10,53.18,48.28,18.60M,-2.02%
2020年3月4日,49.45,47.80,50.50,47.55,13.93M,1.90%
2020年3月3日,48.53,48.13,50.88,47.62,17.57M,3.23%
2020年3月2日,47.01,46.20,48.15,44.09,16.40M,3.57%
2020年2月28日,45.39,46.40,47.99,44.48,14.87M,-7.57%
2020年2月27日,49.11,47.68,51.16,46.27,17.98M,2.96%
2020年2月26日,47.70,50.70,51.49,47.01,17.80M,-7.75%
2020年2月25日,51.71,47.69,52.47,46.66,24.45M,6.18%
2020年2月24日,48.70,47.90,49.36,47.30,18.71M,3.05%
2020年2月21日,47.26,46.81,48.20,46.79,18.15M,1.05%
2020年2月20日,46.77,47.30,47.37,45.40,15.97M,-0.40%
2020年2月19日,46.96,48.70,48.83,46.83,12.39M,-4.51%
2020年2月18日,49.18,48.35,49.60,47.71,12.02M,2.52%
2020年2月17日,47.97,46.36,48.45,46.34,13.58M,3.61%
2020年2月14日,46.30,46.35,48.16,45.70,16.34M,-2.22%
2020年2月13日,47.35,48.90,49.99,47.00,17.61M,-6.50%
