日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,5.21,5.21,5.25,5.18,172.74M,0.58%
2020年3月26日,5.18,5.13,5.22,5.11,155.61M,0.00%
2020年3月25日,5.18,5.17,5.18,5.10,232.18M,1.17%
2020年3月24日,5.12,5.02,5.12,5.02,230.33M,2.61%
2020年3月23日,4.99,5.00,5.03,4.98,139.99M,-1.77%
2020年3月20日,5.08,5.02,5.11,5.00,212.51M,1.80%
2020年3月19日,4.99,5.11,5.12,4.93,289.88M,-2.35%
2020年3月18日,5.11,5.18,5.20,5.11,202.51M,-1.16%
2020年3月17日,5.17,5.16,5.23,5.12,257.71M,0.00%
2020年3月16日,5.17,5.22,5.29,5.14,304.47M,-0.96%
2020年3月13日,5.22,5.16,5.27,5.13,299.72M,-1.32%
2020年3月12日,5.29,5.30,5.32,5.27,246.30M,-0.56%
2020年3月11日,5.32,5.35,5.37,5.32,169.41M,-0.75%
2020年3月10日,5.36,5.29,5.37,5.29,250.82M,0.94%
2020年3月9日,5.31,5.34,5.35,5.30,288.06M,-1.85%
2020年3月6日,5.41,5.42,5.43,5.39,195.95M,-0.92%
2020年3月5日,5.46,5.40,5.46,5.38,330.54M,1.30%
2020年3月4日,5.39,5.37,5.39,5.36,134.28M,0.19%
2020年3月3日,5.38,5.37,5.40,5.35,255.40M,0.37%
2020年3月2日,5.36,5.30,5.36,5.29,239.90M,1.13%
2020年2月28日,5.30,5.37,5.38,5.28,422.94M,-1.85%
2020年2月27日,5.40,5.40,5.42,5.39,222.56M,-0.18%
2020年2月26日,5.41,5.38,5.44,5.36,257.97M,0.00%
2020年2月25日,5.41,5.40,5.42,5.39,230.13M,-0.55%
2020年2月24日,5.44,5.48,5.49,5.43,193.33M,-0.91%
2020年2月21日,5.49,5.49,5.52,5.47,223.71M,-0.36%
2020年2月20日,5.51,5.48,5.52,5.44,283.67M,0.55%
2020年2月19日,5.48,5.45,5.50,5.45,204.05M,0.37%
2020年2月18日,5.46,5.47,5.48,5.44,184.54M,-0.55%
2020年2月17日,5.49,5.42,5.49,5.41,214.19M,1.10%
2020年2月14日,5.43,5.40,5.44,5.39,141.58M,0.37%
2020年2月13日,5.41,5.45,5.45,5.40,199.57M,-0.92%
2020年2月12日,5.46,5.46,5.47,5.42,203.91M,0.00%
2020年2月11日,5.46,5.43,5.47,5.41,198.50M,0.74%
2020年2月10日,5.42,5.41,5.43,5.38,190.24M,-0.37%
2020年2月7日,5.44,5.47,5.47,5.40,237.32M,-1.09%
2020年2月6日,5.50,5.50,5.53,5.44,281.00M,0.18%
2020年2月5日,5.49,5.49,5.52,5.42,250.85M,-0.18%
2020年2月4日,5.50,5.39,5.53,5.36,401.39M,1.48%
2020年2月3日,5.42,5.30,5.58,5.30,468.04M,-5.24%
2020年1月23日,5.72,5.76,5.78,5.70,200.04M,-1.21%
2020年1月22日,5.79,5.76,5.79,5.71,128.37M,0.35%
2020年1月21日,5.77,5.82,5.83,5.76,143.22M,-1.20%
2020年1月20日,5.84,5.81,5.86,5.80,103.34M,0.34%
2020年1月17日,5.82,5.81,5.84,5.80,103.95M,0.34%
2020年1月16日,5.80,5.87,5.89,5.79,269.03M,-1.36%
2020年1月15日,5.88,5.93,5.94,5.87,128.89M,-1.01%
2020年1月14日,5.94,5.92,5.96,5.91,136.77M,0.17%
2020年1月13日,5.93,5.90,5.93,5.87,108.99M,0.34%
2020年1月10日,5.91,5.91,5.93,5.86,97.84M,0.00%
2020年1月9日,5.91,5.95,5.96,5.88,137.71M,0.00%
2020年1月8日,5.91,5.96,5.97,5.90,158.56M,-1.66%
2020年1月7日,6.01,5.98,6.04,5.98,116.80M,0.67%
2020年1月6日,5.97,5.96,6.05,5.95,226.51M,-0.33%
2020年1月3日,5.99,5.97,6.02,5.96,152.21M,0.34%
2020年1月2日,5.97,5.92,6.03,5.91,234.95M,1.53%
2019年12月31日,5.88,5.87,5.91,5.84,140.06M,-0.17%
2019年12月30日,5.89,5.88,5.89,5.81,210.67M,-0.17%
2019年12月27日,5.90,5.85,5.94,5.85,130.32M,0.68%
2019年12月26日,5.86,5.85,5.87,5.82,89.51M,0.51%
2019年12月25日,5.83,5.86,5.87,5.83,78.15M,-0.51%
2019年12月24日,5.86,5.86,5.88,5.84,68.22M,-0.34%
2019年12月23日,5.88,5.93,5.93,5.86,119.14M,-1.01%
2019年12月20日,5.94,5.92,5.95,5.89,120.16M,0.17%
2019年12月19日,5.93,5.87,5.95,5.87,166.84M,1.02%
2019年12月18日,5.87,5.83,5.92,5.82,184.45M,0.51%
2019年12月17日,5.84,5.79,5.88,5.75,238.49M,1.04%
2019年12月16日,5.78,5.81,5.81,5.76,141.16M,-0.69%
2019年12月13日,5.82,5.78,5.82,5.75,149.43M,1.39%
2019年12月12日,5.74,5.75,5.76,5.72,90.96M,-0.17%
2019年12月11日,5.75,5.71,5.75,5.69,112.88M,0.88%
2019年12月10日,5.70,5.73,5.73,5.69,97.77M,-0.70%
2019年12月9日,5.74,5.74,5.76,5.70,110.50M,-0.17%
2019年12月6日,5.75,5.77,5.79,5.72,109.60M,-0.35%
2019年12月5日,5.77,5.78,5.80,5.75,79.02M,0.17%
2019年12月4日,5.76,5.79,5.79,5.74,92.94M,-0.52%
2019年12月3日,5.79,5.80,5.82,5.76,74.80M,-0.34%
2019年12月2日,5.81,5.80,5.83,5.80,85.00M,0.35%
2019年11月29日,5.79,5.82,5.88,5.79,103.22M,-0.86%
2019年11月28日,5.84,5.87,5.88,5.82,75.50M,-0.68%
2019年11月27日,5.88,5.86,5.89,5.83,86.38M,0.51%
2019年11月26日,5.85,5.85,5.89,5.83,153.68M,0.34%
2019年11月25日,5.83,5.72,5.85,5.71,191.63M,2.10%
2019年11月22日,5.71,5.73,5.75,5.71,111.51M,-0.35%
2019年11月21日,5.73,5.77,5.78,5.71,142.10M,-1.21%
2019年11月20日,5.80,5.83,5.85,5.79,70.77M,-0.85%
2019年11月19日,5.85,5.81,5.85,5.80,101.08M,0.52%
2019年11月18日,5.82,5.78,5.82,5.76,83.88M,0.52%
2019年11月15日,5.79,5.76,5.81,5.75,93.02M,0.70%
2019年11月14日,5.75,5.77,5.80,5.74,78.02M,-0.52%
2019年11月13日,5.78,5.79,5.82,5.74,106.62M,-0.34%
2019年11月12日,5.80,5.77,5.82,5.75,87.51M,0.52%
2019年11月11日,5.77,5.84,5.85,5.75,135.64M,-1.70%
2019年11月8日,5.87,5.98,5.99,5.86,170.42M,-1.34%
2019年11月7日,5.95,5.98,5.99,5.93,110.26M,-0.50%
2019年11月6日,5.98,5.91,6.00,5.90,156.62M,1.01%
2019年11月5日,5.92,5.91,6.00,5.89,202.19M,0.34%
2019年11月4日,5.90,5.94,5.97,5.90,112.16M,-0.67%
2019年11月1日,5.94,5.90,5.97,5.82,133.18M,0.51%
2019年10月31日,5.91,5.97,5.97,5.87,96.93M,-0.67%
2019年10月30日,5.95,5.92,5.98,5.90,123.36M,0.68%
2019年10月29日,5.91,5.93,5.97,5.88,119.80M,-0.34%
2019年10月28日,5.93,6.00,6.02,5.91,170.71M,-0.84%
2019年10月25日,5.98,5.91,5.99,5.84,176.65M,1.01%
2019年10月24日,5.92,5.87,6.01,5.86,223.03M,0.85%
2019年10月23日,5.87,5.79,5.89,5.78,163.85M,1.03%
2019年10月22日,5.81,5.80,5.81,5.75,110.77M,0.35%
2019年10月21日,5.79,5.68,5.79,5.67,194.10M,2.12%
2019年10月18日,5.67,5.72,5.76,5.66,126.49M,-0.70%
2019年10月17日,5.71,5.71,5.72,5.69,70.66M,-0.17%
2019年10月16日,5.72,5.75,5.79,5.67,141.41M,0.00%
2019年10月15日,5.72,5.71,5.74,5.69,114.34M,0.00%
2019年10月14日,5.72,5.65,5.77,5.64,219.52M,1.42%
2019年10月11日,5.64,5.56,5.65,5.56,164.32M,1.26%
2019年10月10日,5.57,5.58,5.58,5.55,76.08M,-0.18%
2019年10月9日,5.58,5.53,5.60,5.53,123.12M,0.36%
2019年10月8日,5.56,5.51,5.58,5.48,125.32M,0.54%
2019年9月30日,5.53,5.53,5.60,5.52,149.90M,-0.18%
2019年9月27日,5.54,5.55,5.58,5.48,191.02M,-0.18%
2019年9月26日,5.55,5.51,5.56,5.50,211.90M,1.09%
2019年9月25日,5.49,5.49,5.52,5.47,99.91M,-0.18%
2019年9月24日,5.50,5.48,5.52,5.47,101.39M,0.36%
2019年9月23日,5.48,5.51,5.52,5.45,152.02M,-0.90%
2019年9月20日,5.53,5.51,5.53,5.48,142.26M,0.55%
2019年9月19日,5.50,5.51,5.51,5.47,86.52M,0.00%
2019年9月18日,5.50,5.52,5.53,5.49,93.28M,-0.18%
2019年9月17日,5.51,5.56,5.57,5.49,137.26M,-1.08%
2019年9月16日,5.57,5.57,5.58,5.55,141.44M,0.00%
2019年9月12日,5.57,5.55,5.57,5.53,132.76M,0.36%
2019年9月11日,5.55,5.52,5.56,5.50,202.68M,0.91%
2019年9月10日,5.50,5.51,5.52,5.48,162.13M,-0.18%
2019年9月9日,5.51,5.54,5.56,5.49,197.99M,-0.18%
2019年9月6日,5.52,5.51,5.53,5.49,139.88M,0.36%
2019年9月5日,5.50,5.48,5.54,5.47,295.95M,0.55%
2019年9月4日,5.47,5.40,5.47,5.38,219.85M,1.30%
2019年9月3日,5.40,5.38,5.40,5.37,123.24M,0.19%
2019年9月2日,5.39,5.40,5.42,5.38,189.27M,0.00%
2019年8月30日,5.39,5.44,5.44,5.38,152.90M,-0.55%
2019年8月29日,5.42,5.39,5.42,5.38,128.54M,0.37%
2019年8月28日,5.40,5.41,5.42,5.38,112.58M,-0.37%
2019年8月27日,5.42,5.40,5.44,5.38,218.95M,0.74%
2019年8月26日,5.38,5.36,5.40,5.36,139.08M,-0.74%
2019年8月23日,5.42,5.40,5.43,5.38,126.36M,0.56%
2019年8月22日,5.39,5.44,5.44,5.38,164.35M,-0.74%
2019年8月21日,5.43,5.41,5.44,5.40,105.82M,0.18%
2019年8月20日,5.42,5.46,5.46,5.41,234.93M,-0.91%
2019年8月19日,5.47,5.47,5.50,5.38,330.97M,-0.55%
2019年8月16日,5.50,5.56,5.56,5.50,115.29M,-1.08%
2019年8月15日,5.56,5.48,5.56,5.46,102.41M,0.54%
2019年8月14日,5.53,5.54,5.56,5.53,107.57M,0.36%
2019年8月13日,5.51,5.49,5.53,5.48,100.89M,0.00%
2019年8月12日,5.51,5.46,5.53,5.45,113.89M,0.92%
2019年8月9日,5.46,5.44,5.49,5.43,150.98M,0.55%
2019年8月8日,5.43,5.41,5.45,5.39,130.84M,0.74%
2019年8月7日,5.39,5.43,5.44,5.38,112.20M,-0.37%
2019年8月6日,5.41,5.43,5.44,5.40,174.14M,-1.28%
2019年8月5日,5.48,5.54,5.55,5.48,147.32M,-1.44%
2019年8月2日,5.56,5.56,5.59,5.50,163.62M,-0.89%
2019年8月1日,5.61,5.62,5.64,5.60,104.17M,-0.53%
2019年7月31日,5.64,5.65,5.66,5.62,109.32M,-0.35%
2019年7月30日,5.66,5.67,5.68,5.64,134.10M,0.18%
2019年7月29日,5.65,5.69,5.69,5.64,153.25M,-0.70%
2019年7月26日,5.69,5.67,5.70,5.66,113.08M,0.00%
2019年7月25日,5.69,5.69,5.69,5.66,116.42M,0.00%
2019年7月24日,5.69,5.66,5.70,5.65,170.18M,0.53%
2019年7月23日,5.66,5.63,5.66,5.61,121.05M,0.35%
2019年7月22日,5.64,5.59,5.65,5.59,160.45M,0.71%
2019年7月19日,5.60,5.56,5.61,5.56,118.95M,0.54%
2019年7月18日,5.57,5.54,5.58,5.54,120.82M,0.18%
2019年7月17日,5.56,5.59,5.60,5.55,144.94M,-0.89%
2019年7月16日,5.61,5.60,5.62,5.57,80.88M,0.18%
2019年7月15日,5.60,5.60,5.61,5.54,126.16M,-0.36%
2019年7月12日,5.62,5.58,5.64,5.56,141.11M,0.90%
2019年7月11日,5.57,5.56,5.58,5.55,106.29M,0.36%
2019年7月10日,5.55,5.58,5.59,5.54,105.68M,-0.54%
2019年7月9日,5.58,5.57,5.59,5.56,119.39M,-0.18%
2019年7月8日,5.59,5.65,5.66,5.54,196.26M,-1.41%
