日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,13.66,14.22,14.30,13.66,9.81M,-2.57%
2020年3月26日,14.02,14.26,14.40,14.00,11.55M,-3.24%
2020年3月25日,14.49,14.66,14.70,14.26,20.72M,0.07%
2020年3月24日,14.48,13.80,14.60,13.78,25.88M,7.82%
2020年3月23日,13.43,13.35,13.95,13.24,11.09M,-3.31%
2020年3月20日,13.89,13.78,13.98,13.63,12.09M,2.13%
2020年3月19日,13.60,13.30,13.79,13.17,13.09M,3.19%
2020年3月18日,13.18,13.55,14.01,13.17,16.05M,-1.57%
2020年3月17日,13.39,13.40,13.65,12.56,15.19M,1.75%
2020年3月16日,13.16,14.55,14.55,13.01,19.92M,-8.61%
2020年3月13日,14.40,13.81,14.67,13.75,20.50M,-1.37%
2020年3月12日,14.60,14.99,15.35,14.30,23.82M,-5.01%
2020年3月11日,15.37,15.35,16.50,15.30,31.11M,-0.71%
2020年3月10日,15.48,14.56,15.48,14.01,28.43M,6.76%
2020年3月9日,14.50,14.89,15.38,14.48,26.68M,-5.04%
2020年3月6日,15.27,14.48,15.84,14.48,30.21M,3.81%
2020年3月5日,14.71,15.18,15.63,14.62,39.94M,-0.47%
2020年3月4日,14.78,14.42,15.16,14.09,44.00M,2.78%
2020年3月3日,14.38,13.98,14.62,13.67,42.12M,6.20%
2020年3月2日,13.54,13.19,13.90,12.84,22.54M,4.23%
2020年2月28日,12.99,13.34,14.16,12.93,22.00M,-6.34%
2020年2月27日,13.87,13.30,13.98,13.13,22.26M,5.24%
2020年2月26日,13.18,13.43,13.68,13.14,14.36M,-3.80%
2020年2月25日,13.70,13.59,13.80,13.00,21.33M,-1.79%
2020年2月24日,13.95,13.55,14.13,13.40,23.22M,3.41%
2020年2月21日,13.49,13.01,14.00,12.98,21.16M,4.01%
2020年2月20日,12.97,12.97,13.05,12.63,11.22M,0.39%
2020年2月19日,12.92,13.41,13.50,12.90,10.44M,-1.90%
2020年2月18日,13.17,13.00,13.30,12.88,15.03M,1.31%
2020年2月17日,13.00,12.24,13.06,12.22,12.60M,7.17%
2020年2月14日,12.13,12.18,12.43,12.01,5.92M,-0.98%
2020年2月13日,12.25,12.46,12.55,12.14,6.03M,-1.61%
2020年2月12日,12.45,12.23,12.58,12.20,7.37M,1.38%
2020年2月11日,12.28,12.42,12.48,12.25,4.98M,-1.60%
2020年2月10日,12.48,12.54,12.54,12.18,6.88M,-0.08%
2020年2月7日,12.49,12.17,12.50,12.00,10.34M,2.88%
2020年2月6日,12.14,11.54,12.24,11.49,11.67M,5.20%
2020年2月5日,11.54,11.60,11.94,11.41,9.00M,0.35%
2020年2月4日,11.50,11.31,11.72,11.24,9.87M,-3.77%
2020年2月3日,11.95,11.95,11.95,11.95,1.14M,-10.02%
2020年1月23日,13.28,13.76,14.17,13.10,7.80M,-4.32%
2020年1月22日,13.88,13.73,13.94,13.45,4.71M,1.24%
2020年1月21日,13.71,13.90,14.07,13.70,3.93M,-1.79%
2020年1月20日,13.96,13.92,14.23,13.65,5.38M,-0.21%
2020年1月17日,13.99,14.14,14.33,13.80,8.03M,-0.71%
2020年1月16日,14.09,13.98,14.55,13.95,8.27M,0.71%
2020年1月15日,13.99,13.99,14.06,13.85,5.28M,0.36%
2020年1月14日,13.94,13.99,14.12,13.87,5.42M,-0.64%
