日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,32.72,33.12,33.33,32.48,58.18M,0.00%
2020年3月26日,32.72,32.10,33.42,32.06,69.46M,0.71%
2020年3月25日,32.49,32.23,32.68,32.17,80.95M,3.11%
2020年3月24日,31.51,31.15,31.65,30.81,82.54M,4.48%
2020年3月23日,30.16,30.01,30.51,29.88,92.90M,-2.84%
2020年3月20日,31.04,29.80,31.11,29.80,134.32M,5.90%
2020年3月19日,29.31,30.48,30.48,28.71,155.95M,-4.90%
2020年3月18日,30.82,31.88,32.28,30.76,82.43M,-2.87%
2020年3月17日,31.73,31.65,32.61,31.11,84.34M,0.19%
2020年3月16日,31.67,33.39,33.39,31.64,106.60M,-5.21%
2020年3月13日,33.41,32.80,33.56,32.40,114.10M,-2.20%
2020年3月12日,34.16,34.37,34.59,34.02,61.92M,-0.84%
2020年3月11日,34.45,34.76,34.99,34.41,56.66M,-0.66%
2020年3月10日,34.68,34.19,34.94,34.08,66.83M,1.46%
2020年3月9日,34.18,34.88,34.88,34.18,96.66M,-3.47%
2020年3月6日,35.41,35.84,36.02,35.41,67.07M,-2.26%
2020年3月5日,36.23,34.99,36.32,34.80,135.54M,4.17%
2020年3月4日,34.78,34.68,34.80,34.44,56.09M,0.46%
2020年3月3日,34.62,34.93,35.10,34.42,68.61M,-0.37%
2020年3月2日,34.75,34.24,34.88,34.10,70.43M,1.61%
2020年2月28日,34.20,34.85,35.18,34.20,83.53M,-2.90%
2020年2月27日,35.22,34.79,35.35,34.70,68.94M,1.12%
2020年2月26日,34.83,34.41,34.99,34.25,77.97M,0.58%
2020年2月25日,34.63,34.81,35.08,34.50,87.37M,-1.20%
2020年2月24日,35.05,35.49,35.69,35.03,79.86M,-1.66%
2020年2月21日,35.64,35.90,35.93,35.47,73.03M,-0.94%
2020年2月20日,35.98,35.66,36.05,35.20,74.60M,1.27%
2020年2月19日,35.53,35.60,35.89,35.46,41.95M,-0.48%
2020年2月18日,35.70,36.00,36.00,35.60,51.64M,-1.30%
2020年2月17日,36.17,35.63,36.17,35.38,66.94M,1.49%
2020年2月14日,35.64,35.21,35.71,35.21,40.34M,1.05%
2020年2月13日,35.27,35.53,35.55,35.20,42.24M,-0.93%
2020年2月12日,35.60,35.50,35.66,35.24,40.54M,0.08%
2020年2月11日,35.57,35.30,35.85,35.15,55.74M,1.34%
2020年2月10日,35.10,35.13,35.24,34.95,57.50M,-0.90%
2020年2月7日,35.42,35.10,35.46,35.01,67.55M,-0.92%
2020年2月6日,35.75,35.50,35.83,35.13,73.07M,1.10%
