日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,30.99,30.55,31.27,30.40,16.84M,2.96%
2020年3月26日,30.10,29.40,30.88,29.23,23.22M,1.35%
2020年3月25日,29.70,28.55,29.94,28.23,25.91M,6.83%
2020年3月24日,27.80,27.92,28.13,27.03,16.16M,2.85%
2020年3月23日,27.03,27.30,28.03,27.00,22.30M,-6.76%
2020年3月20日,28.99,27.90,28.99,27.50,21.41M,6.42%
2020年3月19日,27.24,27.20,28.08,25.94,32.22M,-1.70%
2020年3月18日,27.71,29.16,29.71,27.61,20.84M,-4.81%
2020年3月17日,29.11,30.09,30.67,28.40,21.39M,-3.45%
2020年3月16日,30.15,31.60,31.94,29.83,20.35M,-6.37%
2020年3月13日,32.20,31.42,32.63,31.01,22.72M,-3.01%
2020年3月12日,33.20,33.95,34.44,32.99,17.25M,-3.43%
2020年3月11日,34.38,33.65,35.08,33.63,15.19M,1.51%
2020年3月10日,33.87,33.25,34.11,32.60,16.97M,2.70%
2020年3月9日,32.98,33.30,33.57,32.95,17.11M,-3.88%
2020年3月6日,34.31,34.80,34.90,34.10,12.93M,-2.25%
2020年3月5日,35.10,34.65,35.24,34.34,16.10M,1.04%
2020年3月4日,34.74,33.30,34.90,33.20,24.03M,4.23%
2020年3月3日,33.33,34.00,34.30,33.10,15.89M,-1.04%
2020年3月2日,33.68,32.27,33.85,32.21,16.58M,4.92%
2020年2月28日,32.10,32.60,33.40,31.90,16.72M,-2.73%
2020年2月27日,33.00,33.62,33.95,32.98,13.72M,-1.76%
2020年2月26日,33.59,32.80,34.63,32.63,18.79M,0.81%
2020年2月25日,33.32,32.91,33.94,32.70,14.82M,0.21%
2020年2月24日,33.25,33.49,33.50,32.84,12.67M,-1.16%
2020年2月21日,33.64,34.05,34.18,33.50,13.75M,-1.69%
2020年2月20日,34.22,34.00,34.34,33.45,14.37M,0.29%
2020年2月19日,34.12,34.29,34.75,33.97,14.22M,-0.47%
2020年2月18日,34.28,34.80,35.22,34.08,14.55M,-2.70%
2020年2月17日,35.23,35.20,35.40,34.55,13.06M,0.09%
2020年2月14日,35.20,34.45,35.48,34.20,12.65M,2.47%
2020年2月13日,34.35,34.50,35.34,34.15,12.08M,0.23%
2020年2月12日,34.27,34.29,34.60,34.06,8.13M,-0.35%
2020年2月11日,34.39,33.60,34.71,33.50,12.52M,2.72%
2020年2月10日,33.48,32.54,33.93,32.20,14.05M,1.92%
2020年2月7日,32.85,32.98,32.98,32.33,8.77M,-0.73%
2020年2月6日,33.09,32.66,33.27,32.10,13.90M,2.29%
2020年2月5日,32.35,32.98,33.18,32.21,14.66M,-1.52%
2020年2月4日,32.85,30.66,32.95,30.65,26.52M,7.35%
2020年2月3日,30.60,30.60,31.23,30.60,35.10M,-10.00%
2020年1月23日,34.00,35.00,35.39,33.94,20.62M,-5.53%
2020年1月22日,35.99,35.36,36.29,35.30,13.24M,1.44%
2020年1月21日,35.48,36.80,36.90,35.46,15.49M,-4.37%
2020年1月20日,37.10,37.22,37.45,36.68,9.32M,-1.07%
2020年1月17日,37.50,38.11,38.30,37.10,7.95M,-1.11%
2020年1月16日,37.92,37.54,37.95,37.40,7.58M,1.53%
2020年1月15日,37.35,37.90,37.95,36.68,11.57M,-2.15%
2020年1月14日,38.17,39.60,39.69,38.05,18.46M,-2.13%
2020年1月13日,39.00,38.85,39.88,38.71,13.11M,0.39%
