日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,7.16,7.23,7.32,7.15,24.89M,0.14%
2020年3月26日,7.15,7.19,7.25,7.13,18.77M,-1.52%
2020年3月25日,7.26,7.26,7.31,7.18,32.88M,2.11%
2020年3月24日,7.11,7.15,7.17,6.95,28.59M,1.57%
2020年3月23日,7.00,7.07,7.24,6.98,28.73M,-3.98%
2020年3月20日,7.29,7.33,7.37,7.16,31.19M,0.83%
2020年3月19日,7.23,7.20,7.35,7.01,46.99M,0.70%
2020年3月18日,7.18,7.44,7.52,7.18,44.09M,-3.23%
2020年3月17日,7.42,7.50,7.58,7.25,50.93M,1.23%
2020年3月16日,7.33,7.66,7.77,7.28,66.98M,-2.91%
2020年3月13日,7.55,7.22,7.71,7.22,61.92M,-2.08%
2020年3月12日,7.71,7.84,7.93,7.62,63.86M,-3.14%
2020年3月11日,7.96,8.19,8.22,7.96,120.71M,-4.56%
2020年3月10日,8.34,8.15,8.37,8.00,137.97M,4.25%
2020年3月9日,8.00,7.95,8.36,7.90,117.77M,-2.91%
2020年3月6日,8.24,8.03,8.55,7.99,166.34M,1.98%
2020年3月5日,8.08,7.95,8.15,7.76,117.09M,3.06%
2020年3月4日,7.84,7.63,7.88,7.63,61.36M,2.35%
2020年3月3日,7.66,7.70,7.86,7.61,62.62M,0.92%
2020年3月2日,7.59,7.41,7.69,7.33,60.02M,3.69%
2020年2月28日,7.32,7.61,7.75,7.30,71.47M,-6.63%
2020年2月27日,7.84,7.93,8.03,7.81,52.26M,0.13%
2020年2月26日,7.83,7.84,8.08,7.79,80.00M,-2.49%
2020年2月25日,8.03,7.79,8.06,7.69,114.52M,-0.74%
2020年2月24日,8.09,8.20,8.23,8.06,141.86M,-2.53%
2020年2月21日,8.30,8.31,8.60,8.22,112.90M,-1.54%
2020年2月20日,8.43,7.94,8.58,7.88,123.34M,5.77%
2020年2月19日,7.97,7.90,8.21,7.88,68.98M,-0.25%
2020年2月18日,7.99,8.07,8.12,7.93,54.35M,-0.87%
2020年2月17日,8.06,8.00,8.12,7.82,86.51M,4.00%
2020年2月14日,7.75,7.62,7.90,7.60,57.99M,1.31%
2020年2月13日,7.65,7.76,7.87,7.62,43.54M,-2.05%
2020年2月12日,7.81,7.63,7.92,7.63,55.95M,1.43%
2020年2月11日,7.70,7.78,7.97,7.68,54.47M,-0.13%
2020年2月10日,7.71,7.58,7.83,7.57,52.73M,0.65%
2020年2月7日,7.66,7.64,7.75,7.54,64.96M,0.39%
2020年2月6日,7.63,7.34,7.71,7.34,77.94M,3.25%
2020年2月5日,7.39,7.17,7.73,7.12,71.57M,3.21%
2020年2月4日,7.16,6.66,7.24,6.66,85.94M,-1.10%
2020年2月3日,7.24,7.24,7.24,7.24,13.35M,-9.95%
2020年1月23日,8.04,8.18,8.35,7.90,70.14M,-4.96%
2020年1月22日,8.46,8.44,8.58,8.13,78.97M,-1.05%
2020年1月21日,8.55,8.69,8.74,8.54,51.86M,-1.38%
2020年1月20日,8.67,8.50,8.74,8.48,58.22M,1.52%
2020年1月17日,8.54,8.45,8.80,8.40,78.60M,1.55%
2020年1月16日,8.41,8.37,8.47,8.32,31.83M,-0.12%
2020年1月15日,8.42,8.40,8.52,8.32,41.32M,0.00%
2020年1月14日,8.42,8.55,8.61,8.40,48.54M,-1.52%
2020年1月13日,8.55,8.36,8.56,8.23,64.52M,1.54%
2020年1月10日,8.42,8.59,8.65,8.38,62.91M,0.24%
2020年1月9日,8.40,8.45,8.54,8.35,60.51M,1.94%
2020年1月8日,8.24,8.50,8.55,8.23,85.41M,-4.52%
2020年1月7日,8.63,8.49,8.65,8.41,90.36M,1.65%
2020年1月6日,8.49,8.41,8.70,8.35,98.65M,-1.16%
2020年1月3日,8.59,8.44,8.75,8.43,105.66M,0.59%
2020年1月2日,8.54,8.93,8.99,8.53,177.20M,-1.50%
2019年12月31日,8.67,8.90,9.03,8.58,255.48M,1.17%
2019年12月30日,8.57,7.69,8.57,7.65,162.39M,10.01%
2019年12月27日,7.79,8.11,8.32,7.77,131.34M,-5.35%
2019年12月26日,8.23,7.83,8.31,7.72,127.48M,4.84%
2019年12月25日,7.85,7.78,8.06,7.71,114.78M,-1.01%
2019年12月24日,7.93,8.19,8.20,7.61,153.81M,-2.10%
2019年12月23日,8.10,7.86,8.59,7.83,272.22M,3.71%
2019年12月20日,7.81,7.12,7.81,7.09,91.92M,10.00%
2019年12月19日,7.10,7.09,7.14,7.05,23.29M,-0.28%
2019年12月18日,7.12,7.09,7.20,7.05,43.61M,0.00%
2019年12月17日,7.12,6.93,7.32,6.90,65.79M,2.59%
2019年12月16日,6.94,6.85,6.97,6.75,44.70M,1.17%
2019年12月13日,6.86,6.70,6.94,6.70,56.44M,3.16%
2019年12月12日,6.65,6.68,6.71,6.64,10.59M,-0.75%
2019年12月11日,6.70,6.68,6.76,6.66,14.10M,0.30%
2019年12月10日,6.68,6.67,6.72,6.65,12.61M,-0.15%
2019年12月9日,6.69,6.75,6.75,6.63,15.06M,-1.33%
2019年12月6日,6.78,6.79,6.82,6.74,13.44M,-0.59%
2019年12月5日,6.82,6.75,6.85,6.74,15.86M,0.89%
2019年12月4日,6.76,6.76,6.80,6.72,13.32M,-1.31%
2019年12月3日,6.85,6.66,6.99,6.62,24.77M,2.09%
2019年12月2日,6.71,6.78,6.79,6.68,12.22M,0.30%
2019年11月29日,6.69,6.67,6.75,6.63,11.08M,0.75%
2019年11月28日,6.64,6.62,6.67,6.61,5.77M,0.00%
2019年11月27日,6.64,6.65,6.68,6.61,8.58M,-0.75%
2019年11月26日,6.69,6.60,6.69,6.56,15.86M,1.36%
2019年11月25日,6.60,6.56,6.60,6.52,9.11M,0.61%
2019年11月22日,6.56,6.54,6.62,6.52,9.94M,0.00%
2019年11月21日,6.56,6.54,6.61,6.52,8.23M,-0.15%
2019年11月20日,6.57,6.60,6.63,6.56,8.89M,-0.45%
2019年11月19日,6.60,6.57,6.61,6.54,10.44M,0.30%
2019年11月18日,6.58,6.51,6.63,6.50,9.88M,1.08%
2019年11月15日,6.51,6.52,6.59,6.48,8.07M,-0.31%
2019年11月14日,6.53,6.50,6.57,6.49,9.39M,0.31%
2019年11月13日,6.51,6.69,6.70,6.48,16.86M,-2.54%
2019年11月12日,6.68,6.66,6.72,6.63,12.53M,-0.45%
2019年11月11日,6.71,6.71,6.84,6.66,20.15M,0.30%
2019年11月8日,6.69,6.75,6.82,6.69,12.89M,0.00%
2019年11月7日,6.69,6.66,6.75,6.60,12.47M,0.00%
2019年11月6日,6.69,6.82,6.82,6.67,13.16M,-1.91%
2019年11月5日,6.82,6.79,6.91,6.75,23.52M,0.44%
2019年11月4日,6.79,6.83,6.86,6.76,14.19M,-0.88%
2019年11月1日,6.85,6.71,6.90,6.63,19.06M,1.78%
2019年10月31日,6.73,6.80,6.82,6.70,11.07M,-0.74%
2019年10月30日,6.78,6.86,6.88,6.76,8.27M,-1.02%
2019年10月29日,6.85,6.95,6.99,6.85,10.37M,-1.86%
2019年10月28日,6.98,6.87,7.00,6.87,15.54M,1.45%
2019年10月25日,6.88,6.77,6.90,6.73,10.91M,1.62%
2019年10月24日,6.77,6.79,6.82,6.72,7.33M,-0.15%
2019年10月23日,6.78,6.83,6.86,6.76,7.70M,-0.88%
2019年10月22日,6.84,6.83,6.86,6.76,8.34M,0.15%
2019年10月21日,6.83,6.75,6.83,6.68,10.89M,0.89%
2019年10月18日,6.77,6.91,6.92,6.77,11.37M,-1.60%
2019年10月17日,6.88,6.93,6.96,6.85,10.78M,-1.01%
2019年10月16日,6.95,7.03,7.07,6.93,13.10M,-0.43%
2019年10月15日,6.98,7.10,7.10,6.98,12.52M,-1.69%
2019年10月14日,7.10,7.13,7.21,7.00,27.14M,1.87%
2019年10月11日,6.97,6.87,7.04,6.83,16.51M,1.16%
2019年10月10日,6.89,6.87,6.91,6.84,10.94M,0.29%
2019年10月9日,6.87,6.84,6.91,6.81,9.39M,0.44%
2019年10月8日,6.84,6.89,6.96,6.84,11.17M,-0.73%
2019年9月30日,6.89,6.98,7.03,6.89,12.72M,-1.29%
2019年9月27日,6.98,7.02,7.08,6.96,14.25M,-0.43%
2019年9月26日,7.01,7.15,7.21,7.00,20.87M,-1.96%
2019年9月25日,7.15,7.16,7.26,7.11,19.74M,-1.24%
2019年9月24日,7.24,7.34,7.37,7.24,28.74M,-1.23%
2019年9月23日,7.33,7.20,7.35,7.14,38.48M,1.10%
2019年9月20日,7.25,7.15,7.25,7.15,26.01M,1.26%
2019年9月19日,7.16,7.15,7.17,7.09,13.65M,0.70%
2019年9月18日,7.11,7.12,7.17,7.08,14.38M,0.00%
2019年9月17日,7.11,7.22,7.30,7.09,24.21M,-2.34%
