日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,33.02,33.48,33.75,33.00,5.47M,-1.14%
2020年3月26日,33.40,32.90,33.60,32.62,7.33M,0.91%
2020年3月25日,33.10,33.11,33.43,32.54,8.47M,3.79%
2020年3月24日,31.89,32.82,32.87,31.09,7.87M,0.54%
2020年3月23日,31.72,31.50,32.90,31.23,9.65M,-4.02%
2020年3月20日,33.05,30.80,33.35,30.80,15.69M,9.00%
2020年3月19日,30.32,30.55,31.00,28.88,16.97M,-3.75%
2020年3月18日,31.50,32.20,32.98,31.50,9.34M,-3.67%
2020年3月17日,32.70,34.06,34.89,31.98,10.55M,-5.22%
2020年3月16日,34.50,35.88,35.88,34.45,7.61M,-4.06%
2020年3月13日,35.96,34.90,36.49,34.30,9.36M,-1.96%
2020年3月12日,36.68,37.46,37.47,36.47,8.97M,-3.73%
2020年3月11日,38.10,37.87,38.91,37.45,10.50M,0.79%
2020年3月10日,37.80,37.67,38.07,36.88,9.56M,-0.47%
2020年3月9日,37.98,37.41,38.50,36.90,15.24M,2.79%
2020年3月6日,36.95,36.80,37.39,36.57,7.34M,-1.62%
2020年3月5日,37.56,37.11,37.64,36.58,8.51M,2.23%
2020年3月4日,36.74,36.20,36.89,35.82,6.60M,1.89%
2020年3月3日,36.06,36.60,36.79,35.94,7.68M,-0.36%
2020年3月2日,36.19,35.32,36.69,35.32,10.41M,1.66%
2020年2月28日,35.60,35.61,36.02,34.99,12.71M,-2.20%
2020年2月27日,36.40,36.60,36.76,36.35,7.17M,-0.16%
2020年2月26日,36.46,36.50,37.15,36.31,10.11M,-1.94%
2020年2月25日,37.18,37.20,37.49,36.37,10.70M,-2.11%
2020年2月24日,37.98,39.00,39.00,37.70,14.46M,-5.00%
2020年2月21日,39.98,39.90,40.26,39.21,7.49M,-0.03%
2020年2月20日,39.99,39.53,40.66,39.53,10.36M,1.63%
2020年2月19日,39.35,38.36,40.25,38.16,9.73M,2.88%
2020年2月18日,38.25,38.89,38.90,38.03,6.95M,-1.72%
2020年2月17日,38.92,38.71,39.20,38.70,9.04M,-0.87%
2020年2月14日,39.26,37.80,39.39,37.51,6.96M,3.32%
2020年2月13日,38.00,37.50,38.75,37.35,6.82M,0.98%
2020年2月12日,37.63,38.12,38.12,37.46,5.70M,-1.29%
2020年2月11日,38.12,37.62,38.78,37.62,5.86M,2.01%
2020年2月10日,37.37,37.33,37.74,37.11,7.56M,-1.01%
2020年2月7日,37.75,37.69,38.10,37.20,7.53M,-1.02%
2020年2月6日,38.14,37.50,38.40,36.90,9.52M,3.00%
2020年2月5日,37.03,36.05,37.65,35.41,12.47M,2.86%
2020年2月4日,36.00,35.10,36.93,34.95,10.72M,2.13%
2020年2月3日,35.25,35.25,35.84,35.25,10.21M,-10.01%
2020年1月23日,39.17,39.50,40.24,38.83,8.42M,-2.80%
2020年1月22日,40.30,39.95,40.48,39.58,9.44M,0.47%
2020年1月21日,40.11,40.85,41.33,40.11,10.15M,-3.42%
2020年1月20日,41.53,41.98,41.98,40.35,12.48M,-3.44%
2020年1月17日,43.01,43.10,43.65,42.70,3.92M,-0.44%
2020年1月16日,43.20,43.66,44.55,42.92,4.91M,-1.05%
2020年1月15日,43.66,44.09,44.09,43.60,3.24M,-0.95%
2020年1月14日,44.08,44.34,44.76,43.87,4.64M,0.43%
2020年1月13日,43.89,44.09,44.23,43.54,3.75M,-0.25%
2020年1月10日,44.00,44.63,44.79,43.88,3.47M,-0.72%
2020年1月9日,44.32,43.85,44.73,43.53,4.95M,2.95%
2020年1月8日,43.05,43.00,43.25,42.80,4.70M,-1.37%
2020年1月7日,43.65,42.75,43.75,42.62,3.75M,2.30%
