日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,46.50,46.21,47.68,45.73,4.58M,0.91%
2020年3月26日,46.08,45.45,46.55,45.25,3.53M,0.63%
2020年3月25日,45.79,45.70,45.96,44.71,4.06M,2.62%
2020年3月24日,44.62,43.70,45.10,43.54,4.71M,2.65%
2020年3月23日,43.47,42.50,44.93,42.36,5.26M,0.16%
2020年3月20日,43.40,42.00,43.61,42.00,3.78M,4.30%
2020年3月19日,41.61,43.00,43.15,40.85,5.03M,-2.55%
2020年3月18日,42.70,40.95,44.37,40.95,6.88M,4.63%
2020年3月17日,40.81,42.00,42.80,40.31,5.02M,-2.86%
2020年3月16日,42.01,44.50,44.60,42.01,5.86M,-5.38%
2020年3月13日,44.40,43.50,45.08,43.50,4.49M,-1.64%
2020年3月12日,45.14,45.48,45.48,44.21,2.95M,-1.95%
2020年3月11日,46.04,45.72,46.63,45.55,3.48M,0.70%
2020年3月10日,45.72,43.57,46.00,43.57,3.98M,3.21%
2020年3月9日,44.30,45.50,45.70,44.28,4.87M,-4.07%
2020年3月6日,46.18,46.50,46.78,45.95,3.17M,-2.02%
2020年3月5日,47.13,45.81,47.20,45.61,4.70M,3.65%
2020年3月4日,45.47,45.35,45.79,44.87,3.14M,-0.79%
2020年3月3日,45.83,45.24,46.35,45.00,5.38M,2.32%
2020年3月2日,44.79,44.39,45.52,43.75,8.13M,0.88%
2020年2月28日,44.40,44.50,45.35,43.69,6.43M,-2.07%
2020年2月27日,45.34,43.82,45.85,43.73,7.02M,4.49%
2020年2月26日,43.39,45.42,45.42,43.33,6.62M,-4.57%
2020年2月25日,45.47,46.19,46.19,44.69,7.57M,-3.67%
2020年2月24日,47.20,47.78,47.80,46.70,5.84M,-1.75%
2020年2月21日,48.04,48.00,48.40,47.09,5.20M,0.02%
2020年2月20日,48.03,47.13,48.03,46.71,3.87M,1.91%
2020年2月19日,47.13,47.16,47.53,46.68,3.09M,-0.13%
2020年2月18日,47.19,48.25,48.25,47.10,4.87M,-1.89%
2020年2月17日,48.10,48.29,48.77,47.85,4.95M,-0.02%
2020年2月14日,48.11,48.45,48.78,47.83,2.39M,-0.78%
2020年2月13日,48.49,49.99,49.99,48.41,2.21M,-2.69%
2020年2月12日,49.83,48.50,50.11,48.39,3.69M,1.94%
2020年2月11日,48.88,47.09,49.30,46.80,4.55M,3.30%
2020年2月10日,47.32,47.00,47.45,46.30,3.24M,0.15%
2020年2月7日,47.25,47.50,48.09,46.68,2.82M,-1.77%
2020年2月6日,48.10,48.25,48.75,47.12,4.48M,0.21%
2020年2月5日,48.00,46.41,48.28,45.50,4.51M,4.35%
2020年2月4日,46.00,44.63,46.89,44.61,4.18M,2.02%
2020年2月3日,45.09,45.09,46.89,45.09,5.14M,-10.00%
2020年1月23日,50.10,51.43,51.45,49.40,3.61M,-2.93%
2020年1月22日,51.61,50.36,51.98,49.50,4.02M,2.62%
2020年1月21日,50.29,51.26,51.30,49.30,3.14M,-1.37%
2020年1月20日,50.99,50.31,51.05,49.61,3.45M,1.45%
2020年1月17日,50.26,50.17,50.70,49.86,1.94M,-0.26%
2020年1月16日,50.39,50.02,50.66,49.77,2.24M,1.00%
2020年1月15日,49.89,49.38,50.35,49.30,2.34M,1.01%
2020年1月14日,49.39,50.74,50.94,49.36,2.48M,-1.61%
2020年1月13日,50.20,49.91,50.62,49.29,2.94M,1.05%
2020年1月10日,49.68,48.75,50.11,48.75,3.98M,1.93%
2020年1月9日,48.74,48.39,48.98,48.01,3.08M,1.41%
2020年1月8日,48.06,49.17,49.17,47.93,2.89M,-2.26%
2020年1月7日,49.17,47.82,49.20,47.77,4.26M,2.82%
2020年1月6日,47.82,47.60,48.32,46.71,4.15M,0.61%
2020年1月3日,47.53,48.45,48.72,47.41,4.10M,-1.82%
2020年1月2日,48.41,49.02,49.26,48.05,4.07M,-0.68%
2019年12月31日,48.74,47.90,49.13,47.34,5.08M,1.65%
2019年12月30日,47.95,46.50,48.00,46.22,3.30M,2.24%
2019年12月27日,46.90,47.41,47.80,46.90,4.29M,-1.88%
2019年12月26日,47.80,47.75,47.99,47.20,3.16M,0.34%
2019年12月25日,47.64,46.47,47.91,46.36,5.10M,2.67%
2019年12月24日,46.40,46.11,46.50,45.85,4.17M,0.35%
2019年12月23日,46.24,46.35,46.69,45.91,4.78M,-0.47%
2019年12月20日,46.46,47.00,47.35,46.34,4.44M,-1.57%
2019年12月19日,47.20,47.39,47.46,46.11,6.69M,-0.94%
2019年12月18日,47.65,48.07,48.10,47.12,4.51M,-0.63%
2019年12月17日,47.95,49.34,49.89,47.92,6.67M,-2.92%
2019年12月16日,49.39,50.35,50.73,48.63,6.89M,-1.20%
2019年12月13日,49.99,50.71,51.90,49.99,6.78M,-0.62%
2019年12月12日,50.30,50.90,50.90,49.30,3.71M,-0.59%
2019年12月11日,50.60,50.36,50.75,49.50,3.16M,0.40%
2019年12月10日,50.40,50.17,50.66,49.80,4.09M,1.57%
2019年12月9日,49.62,49.57,50.16,48.60,3.77M,0.14%
2019年12月6日,49.55,49.23,49.58,48.30,3.48M,1.66%
2019年12月5日,48.74,47.42,49.00,47.05,4.02M,2.87%
2019年12月4日,47.38,46.50,47.50,45.94,4.81M,2.49%
2019年12月3日,46.23,45.50,46.55,44.91,4.37M,0.98%
2019年12月2日,45.78,46.12,46.53,44.76,5.46M,-0.33%
2019年11月29日,45.93,46.36,46.48,45.11,3.15M,-0.46%
2019年11月28日,46.14,46.29,46.44,45.25,3.46M,0.41%
2019年11月27日,45.95,47.00,47.00,45.66,4.58M,-3.59%
2019年11月26日,47.66,47.23,47.66,46.21,9.03M,2.54%
2019年11月25日,46.48,47.57,47.88,45.94,5.83M,-3.51%
2019年11月22日,48.17,49.80,49.85,47.12,4.49M,-2.63%
2019年11月21日,49.47,49.59,49.89,49.08,3.04M,0.06%
2019年11月20日,49.44,51.10,51.28,49.10,5.14M,-2.85%
2019年11月19日,50.89,48.82,51.28,48.82,5.31M,5.04%
2019年11月18日,48.45,49.09,49.17,48.20,2.54M,-1.12%
2019年11月15日,49.00,49.22,50.45,48.87,1.89M,-0.28%
2019年11月14日,49.14,48.96,49.65,48.86,2.55M,0.35%
2019年11月13日,48.97,47.71,49.00,47.71,2.93M,2.81%
2019年11月12日,47.63,47.87,48.15,46.92,2.97M,0.02%
2019年11月11日,47.62,48.86,49.33,47.55,3.58M,-1.85%
2019年11月8日,48.52,50.49,50.49,48.39,3.08M,-2.28%
2019年11月7日,49.65,48.81,50.21,48.64,3.54M,1.85%
2019年11月6日,48.75,49.18,49.55,48.57,3.08M,-1.08%
2019年11月5日,49.28,50.17,50.32,48.18,7.47M,-1.83%
2019年11月4日,50.20,50.10,50.68,49.70,2.84M,0.04%
2019年11月1日,50.18,50.50,50.91,49.51,3.42M,0.36%
2019年10月31日,50.00,49.51,51.11,49.44,3.96M,0.36%
2019年10月30日,49.82,50.51,50.73,49.13,3.21M,-0.36%
2019年10月29日,50.00,49.57,51.68,49.50,4.62M,1.28%
2019年10月28日,49.37,48.68,50.50,48.21,4.95M,3.81%
2019年10月25日,47.56,47.56,47.97,47.24,1.48M,0.11%
2019年10月24日,47.51,47.65,47.85,47.08,1.43M,-0.40%
2019年10月23日,47.70,47.97,48.79,47.00,2.73M,-0.56%
2019年10月22日,47.97,47.00,48.39,46.60,2.10M,3.01%
2019年10月21日,46.57,46.98,47.49,45.96,2.08M,-1.48%
2019年10月18日,47.27,48.07,48.25,46.80,2.96M,-1.07%
2019年10月17日,47.78,45.10,48.30,44.78,4.20M,6.08%
2019年10月16日,45.04,46.00,46.05,44.59,3.13M,-1.49%
2019年10月15日,45.72,45.88,45.98,45.09,2.18M,-0.13%
