日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,52.57,53.85,54.70,52.29,58.66M,-0.49%
2020年3月26日,52.83,53.00,53.85,52.59,35.39M,-1.22%
2020年3月25日,53.48,53.00,53.75,52.68,63.59M,4.58%
2020年3月24日,51.14,50.10,51.40,49.83,60.04M,3.90%
2020年3月23日,49.22,50.00,50.31,49.08,48.47M,-4.56%
2020年3月20日,51.57,50.68,51.80,50.24,63.27M,2.52%
2020年3月19日,50.30,51.60,51.95,48.40,109.88M,-4.08%
2020年3月18日,52.44,53.00,55.17,51.92,70.32M,-0.96%
2020年3月17日,52.95,53.70,55.61,51.95,60.59M,-2.67%
2020年3月16日,54.40,57.37,57.38,54.36,56.24M,-4.41%
2020年3月13日,56.91,55.42,57.60,55.00,54.35M,-2.25%
2020年3月12日,58.22,58.88,59.05,57.98,49.66M,-2.36%
2020年3月11日,59.63,60.78,60.88,59.56,36.19M,-1.88%
2020年3月10日,60.77,58.99,61.18,58.95,54.14M,2.60%
2020年3月9日,59.23,60.00,60.00,59.00,58.72M,-3.66%
2020年3月6日,61.48,62.15,62.60,61.31,50.35M,-2.40%
2020年3月5日,62.99,60.51,63.00,59.85,101.84M,5.30%
2020年3月4日,59.82,59.55,59.90,59.02,42.34M,-0.28%
2020年3月3日,59.99,60.99,61.00,59.37,47.46M,-0.07%
2020年3月2日,60.03,59.10,60.37,58.70,50.28M,1.40%
2020年2月28日,59.20,59.44,60.00,58.40,51.37M,-2.49%
2020年2月27日,60.71,60.03,61.10,60.03,35.63M,0.70%
2020年2月26日,60.29,59.20,61.28,59.00,56.65M,0.07%
2020年2月25日,60.25,60.85,60.85,59.60,73.31M,-2.14%
2020年2月24日,61.57,62.12,62.30,61.32,66.20M,-1.71%
2020年2月21日,62.64,63.33,63.33,62.20,54.35M,-1.35%
2020年2月20日,63.50,61.90,63.50,61.73,58.68M,2.97%
2020年2月19日,61.67,62.00,62.30,61.11,39.95M,-0.79%
2020年2月18日,62.16,63.00,63.02,61.90,49.90M,-1.52%
2020年2月17日,63.12,61.50,63.23,61.41,51.41M,0.62%
2020年2月14日,62.73,62.60,63.42,62.31,30.02M,-0.27%
2020年2月13日,62.90,63.73,64.38,62.56,38.61M,-1.44%
2020年2月12日,63.82,63.89,64.39,62.78,34.99M,-0.16%
2020年2月11日,63.92,62.76,64.45,62.51,44.72M,2.93%
2020年2月10日,62.10,62.00,62.30,61.27,33.85M,-0.45%
2020年2月7日,62.38,62.40,62.80,61.78,47.54M,-1.36%
2020年2月6日,63.24,63.50,63.71,61.70,49.49M,0.62%
2020年2月5日,62.85,62.00,63.50,61.60,56.28M,2.08%
2020年2月4日,61.57,59.97,62.20,59.64,65.98M,4.76%
2020年2月3日,58.77,58.00,62.00,57.55,109.79M,-8.09%
2020年1月23日,63.94,65.93,66.00,63.52,53.16M,-4.05%
2020年1月22日,66.64,66.15,67.10,64.80,39.24M,0.21%
2020年1月21日,66.50,67.80,67.80,66.30,37.02M,-2.71%
2020年1月20日,68.35,68.30,68.39,67.03,25.95M,0.65%
2020年1月17日,67.91,67.99,68.56,67.45,30.06M,0.88%
2020年1月16日,67.32,69.34,69.34,66.94,45.96M,-2.29%
2020年1月15日,68.90,70.13,70.16,68.47,27.85M,-1.30%
2020年1月14日,69.81,70.05,70.44,69.40,21.31M,0.07%
2020年1月13日,69.76,69.92,70.20,69.16,27.12M,0.01%
2020年1月10日,69.75,70.01,70.55,69.42,20.03M,-0.19%
2020年1月9日,69.88,69.66,70.56,69.06,34.85M,1.57%
2020年1月8日,68.80,66.60,69.67,66.60,48.78M,2.20%
2020年1月7日,67.32,66.17,67.55,66.00,41.08M,2.19%
2020年1月6日,65.88,66.80,67.07,65.00,46.78M,-1.82%
2020年1月3日,67.10,68.38,68.70,66.90,36.87M,-1.18%
2020年1月2日,67.90,65.99,68.09,65.90,46.36M,3.54%
2019年12月31日,65.58,65.35,65.86,64.80,20.93M,0.00%
2019年12月30日,65.58,64.57,65.70,64.05,26.46M,1.63%
2019年12月27日,64.53,65.15,65.76,64.40,24.98M,-0.39%
2019年12月26日,64.78,64.46,64.80,64.25,16.53M,0.59%
2019年12月25日,64.40,65.00,65.19,64.15,19.84M,-0.95%
2019年12月24日,65.02,64.93,65.49,64.66,19.12M,0.81%
2019年12月23日,64.50,65.07,65.60,64.50,33.77M,-0.02%
2019年12月20日,64.51,64.99,65.42,64.33,23.43M,-0.75%
2019年12月19日,65.00,64.65,65.50,64.41,28.15M,0.98%
2019年12月18日,64.37,64.39,66.10,64.12,45.15M,0.41%
2019年12月17日,64.11,63.10,64.51,63.01,39.26M,1.60%
2019年12月16日,63.10,63.38,63.65,62.72,30.56M,0.17%
2019年12月13日,62.99,61.90,63.39,61.90,44.24M,2.46%
2019年12月12日,61.48,61.80,62.00,61.12,20.26M,0.13%
2019年12月11日,61.40,62.51,62.59,61.12,29.14M,-1.22%
2019年12月10日,62.16,62.44,62.45,61.70,23.52M,0.02%
2019年12月9日,62.15,62.39,62.85,61.90,29.02M,-0.38%
2019年12月6日,62.39,62.36,62.88,62.02,31.25M,0.19%
2019年12月5日,62.27,62.70,63.05,61.82,45.27M,-0.50%
2019年12月4日,62.58,60.78,63.46,60.37,78.50M,2.93%
2019年12月3日,60.80,60.00,61.19,59.20,90.03M,5.35%
2019年11月29日,57.71,58.38,58.78,56.95,33.73M,-1.27%
2019年11月28日,58.45,57.71,58.61,57.71,29.82M,1.41%
2019年11月27日,57.64,57.80,57.90,56.90,34.99M,-1.54%
2019年11月26日,58.54,58.21,58.76,57.85,34.58M,1.26%
2019年11月25日,57.81,56.72,57.84,56.36,35.13M,1.92%
2019年11月22日,56.72,57.50,58.13,56.20,36.85M,-1.27%
2019年11月21日,57.45,58.51,58.51,57.03,43.95M,-2.40%
2019年11月20日,58.86,59.30,59.40,58.73,22.17M,-1.01%
2019年11月19日,59.46,59.18,59.97,58.91,35.24M,0.80%
2019年11月18日,58.99,58.79,58.99,58.30,22.60M,0.22%
2019年11月15日,58.86,59.45,59.49,58.70,20.21M,-0.46%
2019年11月14日,59.13,59.18,59.55,58.68,35.39M,0.48%
2019年11月13日,58.85,59.45,59.53,58.48,36.48M,-0.52%
2019年11月12日,59.16,59.80,60.08,58.62,63.65M,-3.29%
2019年11月11日,61.17,62.30,62.45,60.70,68.14M,-3.84%
2019年11月8日,63.61,64.00,64.63,63.20,34.12M,-0.16%
2019年11月7日,63.71,63.70,63.80,62.80,31.76M,0.33%
2019年11月6日,63.50,64.10,64.45,63.36,33.59M,-0.91%
2019年11月5日,64.08,64.46,65.16,63.50,53.59M,-0.57%
2019年11月4日,64.45,64.10,64.98,63.21,57.38M,1.05%
2019年11月1日,63.78,59.00,64.40,58.83,117.53M,8.65%
2019年10月31日,58.70,58.01,59.22,58.00,36.03M,0.05%
2019年10月30日,58.67,59.71,60.39,58.35,41.02M,-1.21%
2019年10月29日,59.39,58.50,60.04,57.26,80.58M,4.38%
2019年10月28日,56.90,57.15,57.67,56.46,24.13M,-0.44%
2019年10月25日,57.15,58.38,58.41,56.04,47.70M,-1.77%
2019年10月24日,58.18,58.70,58.93,58.04,15.53M,-0.94%
2019年10月23日,58.73,58.91,59.33,58.52,16.10M,-0.14%
2019年10月22日,58.81,58.99,59.00,58.10,16.83M,0.63%
2019年10月21日,58.44,57.72,58.65,57.40,14.82M,1.11%
2019年10月18日,57.80,58.50,59.00,57.69,21.16M,-0.77%
2019年10月17日,58.25,58.90,58.96,58.08,18.25M,-1.30%
2019年10月16日,59.02,58.90,59.58,58.50,21.18M,0.20%
2019年10月15日,58.90,58.69,59.15,58.15,17.72M,0.34%
2019年10月14日,58.70,59.20,59.59,58.40,22.99M,0.22%
2019年10月11日,58.57,58.39,58.68,57.54,29.43M,1.49%
2019年10月10日,57.71,57.00,58.06,56.51,21.61M,1.21%
2019年10月9日,57.02,58.00,58.18,57.00,21.98M,-1.94%
2019年10月8日,58.15,57.50,58.90,57.18,26.66M,1.48%
2019年9月30日,57.30,56.90,58.08,56.58,22.61M,0.70%
2019年9月27日,56.90,57.62,57.77,56.36,22.35M,-1.25%
2019年9月26日,57.62,58.00,58.34,57.19,19.33M,-0.35%
2019年9月25日,57.82,57.88,58.20,57.68,15.65M,-0.58%
2019年9月24日,58.16,58.06,58.61,57.60,22.13M,0.78%
2019年9月23日,57.71,58.40,58.44,57.00,21.56M,-0.57%
2019年9月20日,58.04,58.51,58.58,57.62,23.76M,-0.77%
2019年9月19日,58.49,58.80,59.45,58.08,27.85M,0.46%
2019年9月18日,58.22,58.01,58.50,57.72,17.75M,1.08%
2019年9月17日,57.60,58.93,58.93,57.30,30.75M,-2.26%
2019年9月16日,58.93,59.47,59.50,58.52,21.80M,-1.14%
2019年9月12日,59.61,59.07,59.79,59.06,27.49M,1.55%
2019年9月11日,58.70,59.40,59.44,58.01,31.04M,-1.18%
2019年9月10日,59.40,59.80,60.12,59.24,24.70M,0.10%
2019年9月9日,59.34,59.19,59.89,59.00,37.59M,0.92%
2019年9月6日,58.80,59.20,59.20,58.00,38.51M,-0.12%
2019年9月5日,58.87,59.91,60.56,58.81,48.30M,-1.64%
2019年9月4日,59.85,57.79,59.85,57.30,64.44M,3.55%
2019年9月3日,57.80,58.41,58.43,57.10,51.20M,0.57%
2019年9月2日,57.47,56.95,57.82,56.70,68.43M,3.55%
2019年8月30日,55.50,55.32,55.95,55.02,41.02M,1.31%
2019年8月29日,54.78,55.50,55.74,54.02,30.24M,-0.98%
2019年8月28日,55.32,55.78,55.79,55.01,24.34M,-0.05%
2019年8月27日,55.35,54.41,55.99,54.41,47.24M,2.18%
2019年8月26日,54.17,53.46,54.48,53.26,33.89M,-1.31%
2019年8月23日,54.89,55.10,55.39,54.51,32.59M,0.02%
2019年8月22日,54.88,54.99,55.45,54.51,36.85M,0.62%
2019年8月21日,54.54,52.60,55.20,52.58,66.43M,3.32%
2019年8月20日,52.79,52.40,53.09,52.02,31.71M,0.71%
2019年8月19日,52.42,51.80,52.50,51.55,34.44M,2.28%
2019年8月16日,51.25,51.20,51.68,50.60,28.99M,-0.10%
2019年8月15日,51.30,50.56,51.35,50.16,22.67M,-0.50%
2019年8月14日,51.56,52.73,53.00,51.50,32.37M,0.39%
2019年8月13日,51.36,50.65,52.30,50.65,49.90M,1.95%
2019年8月12日,50.38,49.80,50.49,49.60,23.57M,0.88%
2019年8月9日,49.94,51.03,51.29,49.68,39.17M,-2.08%
2019年8月8日,51.00,50.50,51.44,50.42,29.63M,1.45%
