日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,55.10,54.82,56.30,54.78,4.04M,1.19%
2020年3月26日,54.45,53.25,55.25,52.83,4.49M,1.74%
2020年3月25日,53.52,54.45,54.48,52.81,4.50M,1.69%
2020年3月24日,52.63,50.35,52.84,49.70,5.62M,6.95%
2020年3月23日,49.21,50.21,51.25,48.79,4.20M,-4.82%
2020年3月20日,51.70,51.60,52.50,50.36,3.00M,1.75%
2020年3月19日,50.81,52.21,52.77,49.68,4.51M,-1.17%
2020年3月18日,51.41,51.20,53.98,50.61,5.07M,1.82%
2020年3月17日,50.49,52.00,52.60,49.14,5.93M,-1.19%
2020年3月16日,51.10,54.29,54.60,50.90,4.89M,-6.24%
2020年3月13日,54.50,53.00,55.20,52.40,4.92M,-1.27%
2020年3月12日,55.20,56.88,57.09,54.66,5.42M,-4.37%
2020年3月11日,57.72,60.44,60.44,57.39,4.15M,-3.64%
2020年3月10日,59.90,57.62,60.46,57.62,4.00M,2.39%
2020年3月9日,58.50,60.51,61.80,58.39,4.67M,-4.77%
2020年3月6日,61.43,60.76,62.20,60.21,3.88M,0.59%
2020年3月5日,61.07,58.99,61.65,58.90,5.76M,3.60%
2020年3月4日,58.95,58.70,59.20,56.92,3.78M,0.92%
2020年3月3日,58.41,59.85,61.30,58.02,4.68M,-1.18%
2020年3月2日,59.11,56.40,59.35,55.73,5.69M,4.80%
2020年2月28日,56.40,56.80,57.76,55.01,5.33M,-2.74%
2020年2月27日,57.99,55.81,59.67,54.88,8.49M,5.13%
2020年2月26日,55.16,56.80,57.58,55.00,5.04M,-1.50%
2020年2月25日,56.00,56.60,57.80,54.33,5.29M,-2.10%
2020年2月24日,57.20,57.48,58.00,56.00,4.65M,-0.44%
2020年2月21日,57.45,58.00,58.57,56.71,2.77M,0.51%
2020年2月20日,57.16,55.91,57.78,55.91,3.43M,2.13%
2020年2月19日,55.97,57.80,57.83,55.60,3.57M,-3.13%
2020年2月18日,57.78,56.58,58.19,56.44,4.15M,1.81%
2020年2月17日,56.75,56.30,57.26,55.14,3.59M,2.36%
2020年2月14日,55.44,54.69,57.89,54.50,4.77M,1.63%
2020年2月13日,54.55,56.10,56.19,54.17,3.77M,-1.92%
2020年2月12日,55.62,55.31,56.08,54.70,4.31M,0.83%
2020年2月11日,55.16,52.17,56.09,51.60,7.16M,5.73%
2020年2月10日,52.17,50.66,52.29,50.35,4.35M,1.60%
2020年2月7日,51.35,51.99,52.40,50.30,3.67M,-0.98%
2020年2月6日,51.86,50.49,52.46,50.12,5.07M,3.47%
2020年2月5日,50.12,51.00,51.17,49.61,5.33M,-1.32%
2020年2月4日,50.79,48.95,51.38,47.99,4.91M,6.37%
2020年2月3日,47.75,46.96,49.83,46.96,6.29M,-8.49%
2020年1月23日,52.18,54.70,55.96,51.62,5.17M,-3.71%
2020年1月22日,54.19,54.19,54.59,53.21,2.84M,0.54%
2020年1月21日,53.90,54.47,54.95,52.81,3.25M,-0.92%
2020年1月20日,54.40,53.88,54.60,52.69,3.72M,1.72%
2020年1月17日,53.48,53.16,53.75,52.90,3.37M,1.17%
2020年1月16日,52.86,52.35,53.55,51.99,4.71M,0.30%
2020年1月15日,52.70,50.10,53.00,50.10,8.08M,6.55%
2020年1月14日,49.46,49.80,50.54,48.66,3.91M,-1.14%
2020年1月13日,50.03,49.99,50.94,49.55,3.53M,-0.16%
2020年1月10日,50.11,50.20,51.50,50.00,3.16M,0.22%
2020年1月9日,50.00,48.90,50.80,48.83,4.36M,2.99%
2020年1月8日,48.55,49.00,49.15,48.22,3.77M,-1.72%
2020年1月7日,49.40,46.69,49.74,46.21,7.96M,6.12%
2020年1月6日,46.55,46.50,47.25,45.88,3.46M,-0.70%
2020年1月3日,46.88,47.40,47.42,46.55,2.60M,-1.10%
2020年1月2日,47.40,48.00,48.17,46.51,4.20M,0.15%
2019年12月31日,47.33,46.70,47.97,46.55,4.13M,2.00%
2019年12月30日,46.40,46.88,47.26,46.13,3.69M,-1.02%
2019年12月27日,46.88,47.54,47.98,46.40,3.84M,-1.18%
2019年12月26日,47.44,47.23,48.09,47.23,2.20M,0.62%
2019年12月25日,47.15,48.20,48.50,46.80,4.09M,-2.84%
2019年12月24日,48.53,47.98,48.66,47.61,2.66M,1.57%
2019年12月23日,47.78,47.90,48.60,47.40,3.73M,-0.19%
2019年12月20日,47.87,49.24,49.40,47.78,3.66M,-2.58%
2019年12月19日,49.14,49.75,50.00,48.37,4.43M,-1.15%
2019年12月18日,49.71,52.60,52.77,49.66,6.59M,-5.35%
2019年12月17日,52.52,53.28,53.41,52.01,3.01M,-1.24%
2019年12月16日,53.18,52.54,53.68,51.78,3.72M,1.31%
2019年12月13日,52.49,50.28,52.49,50.06,5.24M,5.34%
2019年12月12日,49.83,50.61,50.83,49.73,2.66M,-1.50%
2019年12月11日,50.59,50.40,51.29,49.92,2.83M,0.34%
2019年12月10日,50.42,48.69,50.48,48.69,3.13M,2.90%
2019年12月9日,49.00,50.46,50.62,48.60,3.89M,-2.27%
2019年12月6日,50.14,49.31,50.24,48.91,3.28M,0.97%
2019年12月5日,49.66,49.30,50.42,48.80,4.11M,0.98%
2019年12月4日,49.18,48.55,50.37,48.31,5.65M,1.26%
2019年12月3日,48.57,47.86,49.45,46.78,7.71M,1.63%
2019年12月2日,47.79,48.77,48.95,47.51,4.19M,-1.67%
2019年11月29日,48.60,51.26,51.31,48.25,7.81M,-5.28%
2019年11月28日,51.31,51.35,52.10,50.95,3.33M,-1.04%
2019年11月27日,51.85,52.63,52.95,51.30,4.45M,-0.88%
2019年11月26日,52.31,53.01,53.87,52.18,5.60M,-1.04%
2019年11月25日,52.86,54.29,55.25,51.65,6.76M,-3.28%
2019年11月22日,54.65,58.53,59.37,54.17,7.99M,-6.90%
2019年11月21日,58.70,58.69,59.50,58.08,3.22M,0.02%
2019年11月20日,58.69,58.32,59.50,58.29,2.59M,-0.31%
2019年11月19日,58.87,57.51,59.19,57.12,4.17M,1.24%
2019年11月18日,58.15,56.52,58.18,56.52,2.92M,2.23%
