日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,26.17,27.98,28.19,25.80,29.24M,-5.39%
2020年3月26日,27.66,28.01,28.99,27.60,27.42M,-3.12%
2020年3月25日,28.55,29.50,29.50,28.30,38.56M,-1.65%
2020年3月24日,29.03,28.58,30.20,26.80,54.29M,4.31%
2020年3月23日,27.83,26.71,29.09,26.71,45.57M,1.16%
2020年3月20日,27.51,27.90,28.17,26.86,47.01M,2.27%
2020年3月19日,26.90,24.75,26.90,24.50,48.10M,10.02%
2020年3月18日,24.45,26.12,26.64,24.45,31.22M,-4.90%
2020年3月17日,25.71,26.47,27.19,23.90,34.16M,-2.76%
2020年3月16日,26.44,29.38,29.39,26.44,42.13M,-10.01%
2020年3月13日,29.38,28.28,31.16,28.28,45.81M,-3.99%
2020年3月12日,30.60,28.30,30.88,28.30,52.76M,1.93%
2020年3月11日,30.02,30.00,32.28,29.44,80.07M,2.00%
2020年3月10日,29.43,26.29,29.43,24.55,68.37M,10.02%
2020年3月9日,26.75,26.18,28.18,26.00,46.91M,-0.04%
2020年3月6日,26.76,26.78,27.85,25.55,52.76M,-4.56%
2020年3月5日,28.04,29.83,31.24,27.55,81.31M,-1.27%
2020年3月4日,28.40,27.01,28.77,25.90,74.28M,4.64%
2020年3月3日,27.14,28.63,28.63,26.76,84.39M,4.26%
2020年3月2日,26.03,25.00,26.03,24.62,24.26M,10.02%
2020年2月28日,23.66,21.80,24.60,21.60,40.17M,0.38%
2020年2月27日,23.57,22.63,24.12,22.00,34.51M,0.86%
2020年2月26日,23.37,24.98,24.98,23.37,54.89M,-10.01%
2020年2月25日,25.97,25.20,26.61,23.70,78.56M,7.36%
2020年2月24日,24.19,23.30,24.19,23.17,24.69M,10.00%
2020年2月21日,21.99,20.33,22.37,20.01,40.19M,8.11%
2020年2月20日,20.34,20.25,20.40,19.54,25.41M,-0.64%
2020年2月19日,20.47,19.29,21.00,18.92,31.66M,5.95%
2020年2月18日,19.32,18.30,19.60,18.12,22.59M,5.92%
2020年2月17日,18.24,17.75,18.45,17.74,14.99M,2.82%
2020年2月14日,17.74,17.52,17.95,17.42,10.66M,1.37%
2020年2月13日,17.50,17.93,17.93,17.45,10.35M,-2.18%
2020年2月12日,17.89,17.45,17.92,17.45,10.08M,1.13%
2020年2月11日,17.69,17.86,18.20,17.39,11.54M,-0.67%
2020年2月10日,17.81,16.92,18.20,16.90,13.04M,2.65%
2020年2月7日,17.35,16.92,17.58,16.80,14.02M,2.42%
2020年2月6日,16.94,16.00,17.16,15.81,17.58M,2.36%
2020年2月5日,16.55,15.50,16.79,15.50,22.28M,8.45%
2020年2月4日,15.26,14.83,15.50,14.83,22.94M,-7.40%
2020年2月3日,16.48,16.48,16.48,16.48,675.50K,-9.99%
2020年1月23日,18.31,18.92,19.26,17.78,12.70M,-5.37%
2020年1月22日,19.35,19.18,19.49,18.40,10.89M,-1.07%
2020年1月21日,19.56,20.14,20.14,19.55,10.95M,-3.79%
2020年1月20日,20.33,20.21,20.45,20.11,9.47M,0.94%
2020年1月17日,20.14,20.41,20.64,20.10,8.75M,-1.76%
2020年1月16日,20.50,20.90,20.97,20.31,12.77M,-2.29%
2020年1月15日,20.98,20.42,21.20,20.23,18.74M,2.64%
2020年1月14日,20.44,20.67,21.09,20.27,16.46M,-2.29%
2020年1月13日,20.92,19.78,21.44,19.78,23.42M,6.30%
2020年1月10日,19.68,19.80,19.92,19.48,9.92M,0.05%
2020年1月9日,19.67,19.23,19.72,19.07,15.03M,4.24%
2020年1月8日,18.87,19.55,19.55,18.78,9.90M,-3.38%
2020年1月7日,19.53,19.49,19.63,19.33,7.70M,0.36%
2020年1月6日,19.46,19.26,19.67,19.01,9.68M,-0.15%
2020年1月3日,19.49,19.65,19.85,19.35,9.76M,-0.36%
2020年1月2日,19.56,19.45,20.03,19.26,14.16M,1.09%
2019年12月31日,19.35,18.46,20.25,18.34,15.08M,4.76%
2019年12月30日,18.47,18.65,18.66,17.81,6.04M,-0.86%
2019年12月27日,18.63,19.00,19.15,18.60,8.69M,-2.26%
2019年12月26日,19.06,18.87,19.35,18.87,7.63M,0.95%
2019年12月25日,18.88,18.85,19.07,18.69,6.56M,0.11%
2019年12月24日,18.86,18.67,18.97,18.67,6.19M,1.23%
2019年12月23日,18.63,19.20,19.20,18.51,10.30M,-4.31%
2019年12月20日,19.47,20.10,20.34,19.45,12.96M,-3.28%
2019年12月19日,20.13,20.61,20.61,20.05,10.38M,-1.37%
2019年12月18日,20.41,20.50,20.95,20.30,14.94M,-1.02%
2019年12月17日,20.62,20.27,20.86,20.07,18.07M,1.73%
2019年12月16日,20.27,19.99,20.36,19.78,13.30M,2.68%
2019年12月13日,19.74,19.83,19.97,19.58,9.37M,0.61%
2019年12月12日,19.62,19.68,19.93,19.49,9.15M,0.72%
2019年12月11日,19.48,19.90,20.07,19.43,10.33M,-2.84%
2019年12月10日,20.05,19.71,20.09,19.50,10.52M,0.50%
2019年12月9日,19.95,20.65,20.65,19.92,15.06M,-1.53%
2019年12月6日,20.26,19.52,20.33,19.52,18.49M,3.84%
2019年12月5日,19.51,19.00,19.87,19.00,13.21M,2.25%
2019年12月4日,19.08,18.89,19.27,18.78,8.27M,0.10%
2019年12月3日,19.06,18.82,19.06,18.52,7.41M,1.33%
2019年12月2日,18.81,18.69,19.00,18.48,7.31M,1.29%
2019年11月29日,18.57,18.40,18.90,18.36,5.81M,-0.05%
2019年11月28日,18.58,18.62,18.74,18.43,6.62M,-1.22%
2019年11月27日,18.81,18.53,19.07,18.31,10.24M,2.06%
2019年11月26日,18.43,18.87,19.19,18.41,6.90M,-1.81%
2019年11月25日,18.77,19.50,19.50,18.62,7.70M,-2.90%
2019年11月22日,19.33,19.40,20.00,19.17,9.54M,-0.72%
2019年11月21日,19.47,19.27,19.67,18.91,8.67M,0.21%
2019年11月20日,19.43,20.07,20.16,19.29,10.74M,-3.14%
2019年11月19日,20.06,19.77,20.36,19.65,11.25M,1.47%
2019年11月18日,19.77,19.80,20.18,19.68,7.59M,-0.90%
2019年11月15日,19.95,19.73,20.45,19.57,12.58M,0.10%
2019年11月14日,19.93,19.53,20.15,19.52,11.23M,1.89%
2019年11月13日,19.56,19.65,19.88,19.46,8.46M,-2.05%
2019年11月12日,19.97,19.40,20.16,18.67,16.75M,2.78%
2019年11月11日,19.43,20.10,20.12,19.26,15.81M,-5.17%
2019年11月8日,20.49,21.40,21.51,20.11,13.34M,-3.76%
2019年11月7日,21.29,21.11,21.49,21.11,9.15M,-0.05%
2019年11月6日,21.30,21.71,22.10,21.15,11.39M,-2.74%
2019年11月5日,21.90,22.08,22.27,21.70,10.14M,-0.82%
2019年11月4日,22.08,21.95,22.37,21.55,13.80M,1.28%
2019年11月1日,21.80,21.40,22.38,21.38,12.73M,-0.86%
2019年10月31日,21.99,22.00,22.88,21.85,15.78M,0.78%
2019年10月30日,21.82,22.20,22.29,21.06,12.28M,-1.58%
2019年10月29日,22.17,23.06,23.20,22.15,19.56M,-4.60%
2019年10月28日,23.24,22.41,24.00,22.40,27.79M,1.84%
2019年10月25日,22.82,22.68,23.15,22.22,24.06M,-1.60%
2019年10月24日,23.19,22.00,23.20,21.62,27.92M,7.26%
2019年10月23日,21.62,21.48,22.20,21.25,14.19M,0.75%
2019年10月22日,21.46,21.19,21.50,20.90,9.96M,2.04%
2019年10月21日,21.03,21.50,21.50,20.60,13.50M,-3.75%
2019年10月18日,21.85,21.56,22.80,21.30,19.71M,1.35%
2019年10月17日,21.56,21.06,21.88,20.93,12.56M,1.94%
2019年10月16日,21.15,21.68,21.90,20.88,12.61M,-2.44%
2019年10月15日,21.68,22.40,22.40,21.23,16.11M,-3.21%
2019年10月14日,22.40,22.70,22.84,22.25,17.23M,0.90%
2019年10月11日,22.20,23.00,23.15,22.11,25.40M,-3.60%
2019年10月10日,23.03,21.59,23.22,21.36,29.22M,7.47%
2019年10月9日,21.43,20.54,21.66,19.33,21.92M,2.00%
2019年10月8日,21.01,23.13,23.32,20.51,23.38M,-7.32%
2019年9月30日,22.67,23.00,23.36,22.60,17.34M,-0.26%
2019年9月27日,22.73,22.50,22.83,21.60,20.84M,2.94%
2019年9月26日,22.08,22.70,23.72,21.68,27.41M,-3.58%
2019年9月25日,22.90,23.80,24.00,22.87,29.45M,-6.91%
2019年9月24日,24.60,22.53,24.78,22.31,51.87M,9.19%
2019年9月23日,22.53,23.28,23.28,22.10,26.87M,-3.30%
2019年9月20日,23.30,23.30,23.90,22.51,36.76M,-0.30%
2019年9月19日,23.37,23.80,24.05,23.01,60.24M,-8.60%
2019年9月18日,25.57,25.00,26.50,24.05,56.37M,2.36%
2019年9月17日,24.98,25.60,27.16,24.01,79.82M,0.89%
2019年9月16日,24.76,23.75,24.76,23.20,40.34M,10.00%
2019年9月12日,22.51,20.70,22.51,20.67,29.73M,10.02%
2019年9月11日,20.46,20.99,21.20,20.30,21.64M,-2.71%
2019年9月10日,21.03,21.68,22.00,20.90,26.90M,-4.41%
2019年9月9日,22.00,21.62,22.48,21.09,37.08M,2.56%
2019年9月6日,21.45,20.40,21.66,20.20,43.49M,4.18%
2019年9月5日,20.59,19.33,21.07,19.28,48.17M,7.52%
2019年9月4日,19.15,19.07,19.16,18.80,16.46M,-0.36%
2019年9月3日,19.22,19.32,19.87,18.92,22.48M,0.58%
2019年9月2日,19.11,18.21,19.47,18.21,20.70M,3.35%
2019年8月30日,18.49,18.95,19.20,18.19,20.02M,-1.91%
2019年8月29日,18.85,19.41,19.75,18.77,29.44M,-4.89%
2019年8月28日,19.82,20.31,20.69,19.70,24.60M,-4.07%
2019年8月27日,20.66,20.52,20.78,19.75,34.15M,0.93%
2019年8月26日,20.47,18.80,21.35,18.53,41.23M,4.55%
2019年8月23日,19.58,18.99,20.01,18.92,32.60M,2.30%
2019年8月22日,19.14,19.45,20.03,18.74,34.29M,-3.28%
2019年8月21日,19.79,19.53,20.55,19.00,52.17M,-5.40%
2019年8月20日,20.92,22.61,23.44,20.86,64.78M,-5.42%
2019年8月19日,22.12,21.83,22.12,21.13,65.41M,10.00%
2019年8月16日,20.11,20.11,20.11,20.11,1.49M,10.01%
2019年8月15日,18.28,17.00,18.28,16.71,10.16M,9.99%
2019年8月13日,16.62,15.98,16.92,15.88,13.70M,3.17%
2019年8月12日,16.11,15.93,16.26,15.21,9.33M,1.13%
2019年8月9日,15.93,16.24,16.35,15.39,11.40M,0.44%
2019年8月8日,15.86,15.16,15.86,15.05,7.48M,5.03%
2019年8月7日,15.10,15.17,15.37,14.95,5.92M,1.00%
2019年8月6日,14.95,14.84,15.07,14.48,7.79M,-1.84%
2019年8月5日,15.23,15.10,15.68,15.10,6.06M,0.53%
2019年8月2日,15.15,14.96,15.29,14.96,9.22M,-3.81%
2019年8月1日,15.75,15.62,15.85,15.51,4.83M,0.06%
2019年7月31日,15.74,15.60,16.04,15.59,5.78M,0.32%
2019年7月30日,15.69,16.21,16.34,15.43,9.98M,-3.39%
2019年7月29日,16.24,16.31,16.48,16.16,6.27M,-0.43%
2019年7月26日,16.31,15.84,16.45,15.84,9.00M,2.45%
2019年7月25日,15.92,15.60,16.07,15.50,8.04M,1.21%
2019年7月24日,15.73,15.58,16.23,15.51,9.42M,0.83%
2019年7月23日,15.60,15.46,15.80,15.21,7.61M,1.43%
2019年7月22日,15.38,16.00,16.15,15.38,12.61M,-5.00%
2019年7月19日,16.19,15.35,16.35,15.35,17.17M,3.98%
2019年7月18日,15.57,16.13,16.68,15.41,17.36M,-2.63%
2019年7月17日,15.99,15.71,15.99,15.60,8.23M,4.99%
2019年7月16日,15.23,14.45,15.23,14.30,8.57M,5.03%
2019年7月15日,14.50,14.21,14.68,14.05,5.61M,1.97%
2019年7月12日,14.22,14.23,14.28,14.05,3.03M,0.14%
2019年7月11日,14.20,14.18,14.35,14.06,3.83M,0.42%
2019年7月10日,14.14,14.30,14.30,13.96,3.68M,0.28%
2019年7月9日,14.10,13.90,14.29,13.88,4.21M,0.71%
2019年7月8日,14.00,14.50,14.65,14.00,7.83M,-4.83%
2019年7月5日,14.71,14.66,14.96,14.43,6.68M,0.41%
2019年7月4日,14.65,14.57,14.88,14.30,6.70M,-0.41%
2019年7月3日,14.71,15.00,15.15,14.53,10.07M,-3.79%
2019年7月2日,15.29,15.30,15.79,14.96,14.53M,1.06%
2019年7月1日,15.13,15.03,15.13,14.71,15.68M,5.00%
2019年6月28日,14.41,14.81,15.05,14.34,8.72M,-4.13%
2019年6月27日,15.03,14.80,15.40,14.40,15.36M,2.24%
2019年6月26日,14.70,13.92,14.70,13.92,10.59M,5.00%
2019年6月25日,14.00,14.21,14.49,13.94,11.36M,-4.37%
2019年6月24日,14.64,15.58,15.58,14.64,11.56M,-5.00%
2019年6月21日,15.41,15.48,15.68,15.25,8.52M,1.12%
2019年6月20日,15.24,15.30,15.61,15.05,10.55M,-1.74%
2019年6月19日,15.51,16.31,16.50,15.40,11.79M,-1.65%
2019年6月18日,15.77,15.56,16.10,15.40,8.38M,1.28%
2019年6月17日,15.57,15.00,15.77,14.80,9.09M,0.84%
2019年6月14日,15.44,16.02,16.47,15.44,14.13M,-4.98%
2019年6月13日,16.25,16.65,16.80,15.82,25.45M,1.56%
2019年6月12日,16.00,15.45,16.00,15.45,9.05M,4.99%
2019年6月11日,15.24,15.00,15.43,14.68,26.61M,-1.36%
2019年6月10日,15.45,15.71,16.26,15.45,18.15M,-4.98%
2019年6月6日,16.26,17.50,17.98,16.26,34.34M,-5.02%
2019年6月5日,17.12,16.30,17.12,16.17,19.51M,5.03%
2019年6月4日,16.30,15.50,16.30,15.25,28.00M,5.03%
2019年6月3日,15.52,15.31,15.52,14.52,25.01M,5.01%
2019年5月31日,14.78,13.87,14.78,13.83,13.51M,4.97%
2019年5月30日,14.08,14.40,14.40,13.82,28.91M,2.70%
2019年5月29日,13.71,13.45,13.71,13.30,6.21M,4.98%
2019年5月28日,13.06,12.56,13.06,12.56,12.21M,4.98%
2019年5月27日,12.44,12.42,12.96,12.42,23.09M,-4.82%
2019年5月24日,13.07,13.13,13.23,13.07,5.26M,-5.01%
2019年5月23日,13.76,14.50,14.51,13.76,11.76M,-4.97%
2019年5月22日,14.48,14.01,14.79,14.01,15.73M,2.55%
2019年5月21日,14.12,14.10,14.54,13.72,12.56M,0.71%
2019年5月20日,14.02,14.09,14.40,14.00,17.64M,-4.88%
2019年5月17日,14.74,14.28,15.08,14.28,19.88M,2.50%
2019年5月16日,14.38,15.14,15.14,14.38,17.92M,-5.02%
2019年5月15日,15.14,15.40,15.56,14.97,13.12M,-0.07%
2019年5月14日,15.15,15.01,15.74,14.90,14.94M,-2.38%
2019年5月13日,15.52,15.70,16.29,15.46,16.52M,-4.43%
2019年5月10日,16.24,15.01,16.24,14.70,32.73M,4.98%
2019年5月9日,15.47,15.55,15.95,15.47,4.68M,-4.98%
2019年5月8日,16.28,16.28,16.60,16.28,16.87M,-5.02%
2019年5月7日,17.14,17.14,17.88,17.14,14.09M,-4.99%
2019年5月6日,18.04,18.04,18.04,18.04,308.60K,-5.00%
2019年4月30日,18.99,18.99,19.58,18.99,7.87M,-5.00%
2019年4月29日,19.99,19.94,20.54,19.23,31.54M,2.20%
2019年4月26日,19.56,18.13,19.56,18.13,23.24M,4.99%
2019年4月25日,18.63,17.91,19.53,17.91,36.51M,0.16%
2019年4月24日,18.60,18.60,18.60,18.60,1.07M,-5.01%
2019年4月23日,19.58,19.58,19.58,19.58,1.69M,-5.00%
2019年4月22日,20.61,20.84,21.06,20.61,15.75M,-4.98%
2019年4月19日,21.69,20.84,22.50,20.84,31.37M,-1.14%
2019年4月18日,21.94,24.24,24.24,21.94,31.90M,-4.98%
2019年4月17日,23.09,23.09,23.09,23.09,428.30K,5.00%
2019年4月16日,21.99,21.99,21.99,21.99,1.26M,5.01%
2019年4月15日,20.94,20.58,20.94,20.35,7.01M,5.02%
2019年4月12日,19.94,19.15,19.94,19.10,22.93M,5.00%
2019年4月11日,18.99,18.50,18.99,18.20,14.36M,4.98%
2019年4月10日,18.09,17.23,18.09,16.88,19.05M,4.99%
2019年4月9日,17.23,16.40,17.28,16.10,12.52M,4.68%
2019年4月8日,16.46,15.71,16.46,15.20,16.83M,4.97%
2019年4月4日,15.68,15.90,16.05,14.90,21.46M,2.55%
2019年4月3日,15.29,14.80,15.29,14.44,13.43M,5.01%
2019年4月2日,14.56,13.86,14.56,13.70,14.23M,4.97%
2019年4月1日,13.87,13.65,13.96,13.47,13.72M,1.24%
2019年3月29日,13.70,13.75,14.06,13.36,12.06M,0.22%
2019年3月28日,13.67,13.10,13.84,13.10,10.87M,2.86%
2019年3月27日,13.29,13.58,13.58,12.67,11.34M,1.30%
2019年3月26日,13.12,13.39,13.85,12.80,16.35M,-2.09%
2019年3月25日,13.40,12.60,13.45,12.43,15.85M,4.61%
2019年3月22日,12.81,12.11,12.81,12.01,14.34M,5.00%
2019年3月21日,12.20,12.50,12.52,12.03,11.01M,-2.01%
2019年3月20日,12.45,12.70,12.76,11.77,18.10M,1.47%
2019年3月19日,12.27,12.20,12.27,12.16,12.96M,4.96%
2019年3月18日,11.69,11.29,11.69,11.28,7.50M,5.03%
2019年3月15日,11.13,10.98,11.35,10.97,10.55M,2.20%
2019年3月14日,10.89,11.15,11.22,10.89,5.87M,-4.97%
2019年3月13日,11.46,11.95,11.95,11.46,10.50M,-4.98%
2019年3月12日,12.06,12.31,12.55,11.88,13.44M,-1.15%
2019年3月11日,12.20,11.62,12.27,11.62,13.48M,3.57%
