日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,54.78,55.40,56.05,54.44,23.00M,0.94%
2020年3月26日,54.27,52.50,55.18,51.61,29.66M,3.87%
2020年3月25日,52.25,51.55,52.80,51.04,28.98M,5.07%
2020年3月24日,49.73,49.26,49.88,47.39,20.50M,3.28%
2020年3月23日,48.15,50.25,50.80,47.89,24.27M,-8.32%
2020年3月20日,52.52,52.30,52.79,51.40,14.83M,2.26%
2020年3月19日,51.36,52.11,52.52,49.88,19.45M,-1.40%
2020年3月18日,52.09,53.59,54.67,52.02,17.27M,-1.79%
2020年3月17日,53.04,53.88,54.96,51.88,18.09M,-1.56%
2020年3月16日,53.88,56.59,57.33,53.88,23.88M,-3.20%
2020年3月13日,55.66,53.80,56.50,52.35,21.32M,-2.40%
2020年3月12日,57.03,57.31,57.66,55.90,23.24M,-2.93%
2020年3月11日,58.75,60.77,61.15,58.60,22.22M,-2.36%
2020年3月10日,60.17,57.60,61.50,57.33,26.68M,1.21%
2020年3月9日,59.45,63.29,63.29,59.18,29.25M,-9.04%
2020年3月6日,65.36,65.50,67.55,65.33,14.72M,-2.17%
2020年3月5日,66.81,67.02,67.62,65.50,17.00M,0.35%
2020年3月4日,66.58,66.95,67.80,64.72,18.09M,-1.90%
2020年3月3日,67.87,69.80,70.20,67.46,27.43M,1.53%
2020年3月2日,66.85,65.60,67.23,64.00,22.56M,2.26%
2020年2月28日,65.37,66.66,68.99,64.95,33.83M,-6.68%
2020年2月27日,70.05,71.68,73.15,68.08,27.27M,-2.30%
2020年2月26日,71.70,69.78,75.80,69.00,52.28M,1.20%
2020年2月25日,70.85,64.40,72.19,64.17,40.74M,7.02%
2020年2月24日,66.20,65.42,67.14,64.96,35.80M,-1.93%
2020年2月21日,67.50,67.00,68.27,65.68,45.52M,-0.88%
2020年2月20日,68.10,63.17,68.10,63.11,64.94M,10.00%
2020年2月19日,61.91,64.47,64.48,61.66,43.75M,4.10%
2020年2月18日,59.47,57.80,60.00,57.77,22.84M,1.69%
2020年2月17日,58.48,56.91,58.56,56.91,20.99M,2.78%
2020年2月14日,56.90,57.56,57.90,56.44,21.12M,-1.13%
2020年2月13日,57.55,58.50,60.13,57.50,23.69M,-2.77%
2020年2月12日,59.19,59.04,60.60,58.35,19.75M,0.25%
2020年2月11日,59.04,60.00,60.12,58.28,19.62M,-3.10%
2020年2月10日,60.93,59.20,63.36,58.85,35.28M,5.23%
2020年2月7日,57.90,60.74,60.74,56.66,32.13M,-4.69%
2020年2月6日,60.75,58.45,60.85,58.40,30.11M,-0.10%
2020年2月5日,60.81,57.70,62.00,56.99,44.62M,7.90%
2020年2月4日,56.36,54.00,57.50,54.00,36.78M,4.66%
2020年2月3日,53.85,53.85,54.48,53.85,10.04M,-9.99%
2020年1月23日,59.83,57.99,61.88,57.51,29.16M,0.94%
2020年1月22日,59.27,56.50,60.50,56.10,32.80M,4.50%
2020年1月21日,56.72,57.72,57.73,56.55,20.38M,-3.47%
2020年1月20日,58.76,57.30,59.90,56.50,30.08M,1.40%
2020年1月17日,57.95,53.86,59.50,53.20,53.06M,7.14%
2020年1月16日,54.09,53.49,54.54,51.78,33.57M,1.46%
2020年1月15日,53.31,54.01,54.75,52.28,29.87M,-0.24%
2020年1月14日,53.44,55.00,55.99,53.00,61.50M,3.55%
2020年1月13日,51.61,51.61,51.61,50.51,51.88M,10.00%
2020年1月10日,46.92,47.66,47.66,46.61,10.93M,-1.53%
2020年1月9日,47.65,47.75,48.20,47.38,8.92M,0.78%
2020年1月8日,47.28,47.55,48.35,47.15,11.10M,-1.60%
2020年1月7日,48.05,48.31,48.50,47.77,9.34M,-0.48%
2020年1月6日,48.28,47.39,49.19,47.19,16.99M,0.50%
2020年1月3日,48.04,48.20,48.99,47.68,12.99M,-0.27%
2020年1月2日,48.17,47.69,48.47,47.51,15.93M,1.05%
2019年12月31日,47.67,47.51,48.10,46.90,13.22M,0.06%
2019年12月30日,47.64,46.35,47.80,46.02,19.65M,3.57%
2019年12月27日,46.00,46.20,46.85,46.00,10.96M,-0.88%
