日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,26.79,25.85,27.20,25.84,15.57M,4.81%
2020年3月26日,25.56,24.91,25.77,24.70,13.87M,2.08%
2020年3月25日,25.04,24.50,25.44,24.20,15.95M,4.20%
2020年3月24日,24.03,23.95,24.04,23.50,12.22M,2.12%
2020年3月23日,23.53,23.81,23.98,23.16,15.51M,-4.31%
2020年3月20日,24.59,25.18,25.28,24.22,14.93M,-1.32%
2020年3月19日,24.92,25.56,25.65,24.22,18.79M,-0.95%
2020年3月18日,25.16,25.50,26.22,25.07,12.16M,-0.44%
2020年3月17日,25.27,25.49,26.05,24.78,16.59M,-1.25%
2020年3月16日,25.59,26.88,26.94,25.38,19.33M,-4.80%
2020年3月13日,26.88,26.70,27.38,26.40,18.37M,-3.66%
2020年3月12日,27.90,28.19,28.49,27.51,17.22M,-2.62%
2020年3月11日,28.65,29.26,29.26,28.50,8.74M,-1.51%
2020年3月10日,29.09,28.41,29.29,28.17,13.29M,1.39%
2020年3月9日,28.69,29.41,29.57,28.68,11.35M,-3.89%
2020年3月6日,29.85,29.30,30.20,29.22,8.93M,0.27%
2020年3月5日,29.77,30.79,30.88,29.49,10.82M,-1.91%
2020年3月4日,30.35,29.60,30.49,29.38,10.97M,1.34%
2020年3月3日,29.95,29.57,30.18,29.30,15.41M,2.78%
2020年3月2日,29.14,28.65,29.28,28.33,14.56M,2.93%
2020年2月28日,28.31,28.50,29.35,28.31,17.15M,-4.68%
2020年2月27日,29.70,30.48,30.70,29.65,17.00M,-2.88%
2020年2月26日,30.58,31.91,32.20,30.45,19.11M,-5.59%
2020年2月25日,32.39,30.90,32.39,30.50,22.89M,3.09%
2020年2月24日,31.42,31.30,31.80,30.15,17.49M,1.65%
2020年2月21日,30.91,30.76,31.72,30.76,14.64M,0.52%
2020年2月20日,30.75,30.75,31.37,30.31,10.79M,-0.52%
2020年2月19日,30.91,30.22,31.30,29.98,13.52M,0.98%
2020年2月18日,30.61,30.33,30.80,29.91,11.14M,1.66%
2020年2月17日,30.11,29.50,30.17,29.30,8.22M,2.98%
2020年2月14日,29.24,29.00,29.73,28.82,6.51M,0.41%
2020年2月13日,29.12,29.79,30.30,28.89,12.41M,-2.51%
2020年2月12日,29.87,29.10,30.11,29.00,10.62M,2.29%
2020年2月11日,29.20,29.18,29.63,28.81,10.11M,1.11%
2020年2月10日,28.88,28.39,28.97,28.10,14.66M,2.27%
2020年2月7日,28.24,28.28,28.58,27.86,12.47M,-0.67%
2020年2月6日,28.43,27.90,28.75,27.33,14.76M,1.57%
2020年2月5日,27.99,28.07,28.69,27.38,15.17M,1.23%
2020年2月4日,27.65,27.03,28.12,27.02,14.05M,4.70%
2020年2月3日,26.41,26.33,28.08,26.33,16.16M,-9.71%
2020年1月23日,29.25,29.59,30.70,28.88,12.40M,-1.78%
2020年1月22日,29.78,29.70,29.98,28.78,12.94M,0.13%
2020年1月21日,29.74,30.73,31.27,29.52,14.94M,-3.35%
2020年1月20日,30.77,30.20,31.78,29.91,20.53M,-0.10%
2020年1月17日,30.80,31.51,31.63,29.80,18.70M,-1.91%
2020年1月16日,31.40,31.25,32.15,31.11,8.24M,0.00%
2020年1月15日,31.40,31.54,31.75,31.00,5.10M,0.16%
