日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,17.30,17.48,17.64,17.30,14.14M,-0.17%
2020年3月26日,17.33,17.40,17.88,17.30,14.72M,-0.40%
2020年3月25日,17.40,17.67,17.74,17.20,19.14M,0.58%
2020年3月24日,17.30,16.70,17.35,16.56,23.06M,5.94%
2020年3月23日,16.33,16.68,16.99,16.30,16.55M,-4.84%
2020年3月20日,17.16,16.77,17.29,16.38,19.47M,4.13%
2020年3月19日,16.48,16.51,16.75,16.02,25.44M,-0.72%
2020年3月18日,16.60,17.30,17.55,16.57,20.02M,-3.60%
2020年3月17日,17.22,17.58,17.76,16.70,26.64M,-0.23%
2020年3月16日,17.26,17.16,18.13,16.93,45.65M,1.59%
2020年3月13日,16.99,15.81,17.20,15.70,42.47M,7.26%
2020年3月12日,15.84,16.08,16.29,15.79,12.72M,-2.88%
2020年3月11日,16.31,16.70,16.77,16.27,10.31M,-1.87%
2020年3月10日,16.62,16.48,16.78,15.94,18.29M,0.12%
2020年3月9日,16.60,17.28,17.42,16.45,20.66M,-5.57%
2020年3月6日,17.58,17.58,17.93,17.42,15.63M,-1.01%
2020年3月5日,17.76,17.25,17.83,17.08,26.79M,4.23%
2020年3月4日,17.04,16.68,17.05,16.51,12.57M,1.31%
2020年3月3日,16.82,16.82,17.18,16.61,19.06M,1.08%
2020年3月2日,16.64,16.50,16.94,16.17,22.90M,1.77%
2020年2月28日,16.35,17.18,17.27,16.33,23.13M,-6.73%
2020年2月27日,17.53,17.30,17.66,17.08,17.47M,1.74%
2020年2月26日,17.23,16.98,17.69,16.95,20.81M,0.06%
2020年2月25日,17.22,17.33,17.41,16.75,24.00M,-1.71%
2020年2月24日,17.52,17.76,17.76,17.43,24.57M,-1.63%
2020年2月21日,17.81,17.90,18.06,17.29,26.56M,-1.06%
2020年2月20日,18.00,17.96,18.15,17.80,18.04M,1.07%
2020年2月19日,17.81,18.19,18.29,17.80,17.99M,-2.78%
2020年2月18日,18.32,18.71,18.78,18.00,21.33M,-1.98%
2020年2月17日,18.69,18.61,18.83,18.00,18.39M,0.59%
2020年2月14日,18.58,18.73,18.93,18.32,15.21M,-1.01%
2020年2月13日,18.77,18.96,19.47,18.63,17.44M,-1.88%
2020年2月12日,19.13,18.22,19.39,18.11,35.26M,5.69%
2020年2月11日,18.10,18.30,18.30,17.72,21.78M,-0.55%
2020年2月10日,18.20,18.41,18.41,17.88,18.73M,-1.09%
2020年2月7日,18.40,17.38,18.50,17.25,37.25M,5.93%
2020年2月6日,17.37,16.51,17.84,16.32,32.84M,5.46%
2020年2月5日,16.47,16.35,16.69,16.22,18.45M,0.80%
2020年2月4日,16.34,16.21,16.66,15.91,17.49M,3.75%
2020年2月3日,15.75,15.35,16.30,15.35,27.14M,-6.25%
2020年1月23日,16.80,17.23,17.28,16.59,14.81M,-3.11%
2020年1月22日,17.34,17.19,17.59,16.71,15.77M,1.29%
2020年1月21日,17.12,17.25,17.65,17.11,17.08M,0.18%
2020年1月20日,17.09,17.05,17.20,16.58,14.50M,0.23%
2020年1月17日,17.05,17.31,17.40,16.97,13.67M,-1.50%
2020年1月16日,17.31,17.45,17.52,17.19,9.75M,-0.12%
2020年1月15日,17.33,17.60,17.60,16.99,19.24M,-1.87%
2020年1月14日,17.66,17.51,17.90,17.45,14.34M,0.51%
2020年1月13日,17.57,17.50,17.70,17.40,14.15M,0.17%
2020年1月10日,17.54,17.38,18.01,17.36,21.53M,0.98%
2020年1月9日,17.37,17.28,17.59,17.17,24.62M,1.11%
2020年1月8日,17.18,17.23,17.62,17.08,30.01M,0.00%
2020年1月7日,17.18,17.13,17.37,17.01,29.66M,0.35%
2020年1月6日,17.12,17.07,17.69,17.03,46.13M,-3.49%
2020年1月3日,17.74,16.05,17.74,16.01,49.58M,9.98%
2020年1月2日,16.13,15.52,16.41,15.21,105.01M,-0.98%
2019年12月31日,16.29,16.25,16.55,16.21,13.43M,0.06%
2019年12月30日,16.28,16.30,16.36,16.06,20.24M,-0.25%
2019年12月27日,16.32,15.87,16.72,15.84,31.29M,3.29%
2019年12月26日,15.80,15.92,16.06,15.66,13.06M,-0.94%
2019年12月25日,15.95,16.04,16.25,15.90,10.77M,-0.37%
2019年12月24日,16.01,15.82,16.05,15.79,16.63M,1.97%
2019年12月23日,15.70,15.94,16.15,15.68,16.65M,-1.51%
2019年12月20日,15.94,16.00,16.06,15.85,10.52M,-0.31%
2019年12月19日,15.99,15.65,16.03,15.65,12.69M,1.59%
2019年12月18日,15.74,15.90,16.07,15.70,15.27M,-1.63%
2019年12月17日,16.00,15.48,16.23,15.44,24.48M,3.63%
2019年12月16日,15.44,15.20,15.45,15.15,17.33M,1.78%
2019年12月13日,15.17,15.20,15.26,15.03,11.76M,0.26%
2019年12月12日,15.13,15.17,15.17,15.03,6.32M,0.20%
2019年12月11日,15.10,15.46,15.48,15.00,8.53M,-1.76%
2019年12月10日,15.37,15.30,15.42,15.16,8.00M,0.52%
2019年12月9日,15.29,15.40,15.61,15.20,11.45M,-0.13%
2019年12月6日,15.31,14.70,15.38,14.65,20.69M,4.58%
2019年12月5日,14.64,14.53,14.72,14.46,7.12M,0.76%
2019年12月4日,14.53,14.50,14.65,14.43,5.70M,0.00%
2019年12月3日,14.53,14.41,14.60,14.17,7.84M,0.90%
2019年12月2日,14.40,14.75,14.76,14.28,11.01M,-1.50%
2019年11月29日,14.62,14.95,14.95,14.59,11.76M,-2.27%
2019年11月28日,14.96,15.35,15.35,14.94,12.72M,-2.67%
2019年11月27日,15.37,15.58,15.58,15.32,7.41M,-1.79%
2019年11月26日,15.65,15.48,15.69,15.35,11.46M,0.84%
2019年11月25日,15.52,15.55,15.64,15.30,8.20M,0.45%
2019年11月22日,15.45,15.84,15.90,15.44,8.74M,-2.46%
2019年11月21日,15.84,15.85,15.94,15.70,5.49M,-0.13%
2019年11月20日,15.86,15.93,16.05,15.85,7.42M,-1.25%
2019年11月19日,16.06,15.92,16.06,15.80,8.01M,1.01%
2019年11月18日,15.90,15.87,16.02,15.74,6.29M,0.19%
2019年11月15日,15.87,15.70,16.19,15.56,9.12M,0.63%
2019年11月14日,15.77,15.78,15.80,15.48,6.68M,0.51%
2019年11月13日,15.69,15.58,15.75,15.54,5.50M,0.26%
2019年11月12日,15.65,15.73,15.82,15.35,12.25M,-1.20%
2019年11月11日,15.84,16.30,16.30,15.84,14.33M,-3.12%
2019年11月8日,16.35,16.02,16.68,16.02,26.31M,2.44%
2019年11月7日,15.96,15.85,16.05,15.84,8.06M,0.19%
2019年11月6日,15.93,16.16,16.18,15.85,10.73M,-1.36%
2019年11月5日,16.15,16.41,16.44,16.09,14.72M,-1.58%
2019年11月4日,16.41,16.08,16.42,16.03,15.34M,2.18%
2019年11月1日,16.06,16.03,16.15,15.82,12.23M,0.31%
2019年10月31日,16.01,16.02,16.16,15.95,7.40M,-0.12%
2019年10月30日,16.03,16.32,16.32,15.88,16.32M,-2.02%
2019年10月29日,16.36,16.70,16.70,16.32,15.80M,-2.04%
2019年10月28日,16.70,16.90,16.90,16.60,18.43M,-2.11%
2019年10月25日,17.06,16.85,17.12,16.31,17.38M,0.18%
2019年10月24日,17.03,17.18,17.34,16.93,6.68M,-1.05%
2019年10月23日,17.21,17.23,17.30,17.03,7.49M,0.12%
2019年10月22日,17.19,16.88,17.20,16.85,10.14M,1.84%
2019年10月21日,16.88,16.97,16.99,16.53,11.08M,-0.82%
2019年10月18日,17.02,16.96,17.25,16.88,12.01M,0.77%
2019年10月17日,16.89,16.81,16.96,16.71,9.13M,0.60%
2019年10月16日,16.79,16.82,16.97,16.68,10.76M,0.18%
2019年10月15日,16.76,17.21,17.25,16.70,16.18M,-2.56%
2019年10月14日,17.20,17.40,17.55,17.13,11.85M,-0.17%
2019年10月11日,17.23,17.04,17.57,17.01,12.14M,1.06%
2019年10月10日,17.05,17.01,17.14,16.89,11.66M,0.65%
2019年10月9日,16.94,17.00,17.08,16.62,13.66M,-0.24%
2019年10月8日,16.98,18.00,18.00,16.86,32.35M,-8.32%
2019年9月30日,18.52,18.66,18.80,18.51,5.64M,-0.75%
2019年9月27日,18.66,19.07,19.09,18.60,8.81M,-2.25%
2019年9月26日,19.09,19.01,19.10,18.69,8.59M,0.53%
2019年9月25日,18.99,19.35,19.35,18.79,9.11M,-1.56%
2019年9月24日,19.29,19.10,19.43,19.06,9.51M,1.05%
2019年9月23日,19.09,19.00,19.10,18.62,8.05M,0.26%
2019年9月20日,19.04,19.26,19.36,18.99,10.74M,-1.24%
2019年9月19日,19.28,19.52,19.57,18.90,17.16M,-1.48%
2019年9月18日,19.57,19.37,19.71,19.31,6.97M,1.29%
2019年9月17日,19.32,19.81,19.95,19.20,12.14M,-2.91%
2019年9月16日,19.90,19.76,20.08,19.63,9.92M,1.02%
2019年9月12日,19.70,19.69,19.84,19.60,8.95M,-0.25%
2019年9月11日,19.75,20.20,20.24,19.55,15.34M,-2.23%
2019年9月10日,20.20,20.10,20.50,19.88,15.32M,0.40%
2019年9月9日,20.12,20.55,20.56,19.88,20.61M,-1.18%
2019年9月6日,20.36,20.68,20.68,20.15,11.92M,-0.68%
2019年9月5日,20.50,20.62,20.89,20.42,12.88M,-0.24%
2019年9月4日,20.55,20.55,20.73,20.20,11.00M,0.00%
2019年9月3日,20.55,20.21,20.79,20.11,19.08M,1.88%
2019年9月2日,20.17,19.67,20.28,19.57,11.35M,2.54%
2019年8月30日,19.67,19.50,20.15,19.44,13.04M,1.50%
2019年8月29日,19.38,19.70,19.70,19.24,7.41M,-1.17%
2019年8月28日,19.61,19.84,19.95,19.46,10.61M,-1.46%
2019年8月27日,19.90,19.90,20.38,19.77,12.56M,0.15%
2019年8月26日,19.87,19.43,20.04,19.43,11.40M,0.00%
2019年8月23日,19.87,19.65,20.12,19.48,12.74M,1.43%
2019年8月22日,19.59,19.80,19.83,19.41,10.37M,-0.41%
2019年8月21日,19.67,19.85,20.00,19.55,9.04M,-1.40%
2019年8月20日,19.95,20.01,20.20,19.82,10.35M,-0.65%
2019年8月19日,20.08,19.80,20.17,19.60,17.23M,1.77%
2019年8月16日,19.73,18.27,19.94,18.21,27.36M,7.93%
2019年8月15日,18.28,17.98,18.37,17.76,7.40M,0.22%
2019年8月14日,18.24,18.38,18.55,18.16,9.34M,0.61%
2019年8月13日,18.13,18.35,18.58,18.05,10.09M,-1.89%
2019年8月12日,18.48,18.11,18.57,18.05,11.74M,1.99%
2019年8月9日,18.12,19.00,19.17,17.68,22.27M,-4.18%
2019年8月8日,18.91,18.98,19.08,18.78,7.49M,1.29%
2019年8月7日,18.67,19.34,19.52,18.62,10.95M,-2.86%
2019年8月6日,19.22,18.90,19.46,18.53,14.42M,0.31%
2019年8月5日,19.16,18.88,19.66,18.88,15.69M,0.84%
2019年8月2日,19.00,18.99,19.20,18.82,11.96M,-1.76%
2019年8月1日,19.34,19.16,19.51,19.05,13.41M,0.52%
2019年7月31日,19.24,19.15,19.35,18.72,19.54M,2.34%
2019年7月30日,18.80,18.80,18.86,18.52,7.89M,0.64%
2019年7月29日,18.68,18.62,18.77,18.41,6.92M,-0.16%
2019年7月26日,18.71,18.15,18.73,18.10,14.35M,2.86%
2019年7月25日,18.19,18.05,18.19,17.79,11.61M,0.66%
2019年7月24日,18.07,18.13,18.46,17.98,12.96M,-0.33%
2019年7月23日,18.13,18.35,18.35,17.82,11.70M,-0.60%
2019年7月22日,18.24,18.73,18.84,18.19,8.18M,-2.62%
2019年7月19日,18.73,18.64,18.93,18.40,7.31M,1.24%
2019年7月18日,18.50,19.00,19.06,18.44,8.70M,-3.44%
2019年7月17日,19.16,19.33,19.37,19.10,7.89M,-1.44%
2019年7月16日,19.44,19.26,19.65,19.21,9.25M,0.83%
2019年7月15日,19.28,19.36,19.59,18.90,10.74M,-0.72%
2019年7月12日,19.42,19.20,19.48,19.05,8.70M,1.20%
2019年7月11日,19.19,19.21,19.59,18.93,11.12M,0.63%
2019年7月10日,19.07,18.73,19.30,18.71,10.20M,1.98%
2019年7月9日,18.70,18.50,18.95,18.49,11.25M,0.48%
2019年7月8日,18.61,19.30,19.30,18.46,15.23M,-4.02%
2019年7月5日,19.39,19.22,19.50,19.18,8.66M,0.36%
2019年7月4日,19.32,20.00,20.01,19.19,16.09M,-3.21%
2019年7月3日,19.96,19.55,20.36,19.36,27.96M,2.41%
2019年7月2日,19.49,19.19,19.70,18.95,22.66M,1.35%
2019年7月1日,19.23,19.76,19.80,18.77,33.73M,-0.88%
2019年6月28日,19.40,19.62,19.86,19.33,10.29M,-1.42%
2019年6月27日,19.68,19.65,20.23,19.59,14.28M,0.20%
2019年6月26日,19.64,19.32,19.86,19.09,13.81M,1.55%
2019年6月25日,19.34,19.24,19.55,19.00,11.21M,-0.21%
2019年6月24日,19.38,19.38,19.50,19.01,12.98M,0.73%
2019年6月21日,19.24,19.20,19.75,19.10,17.02M,1.42%
2019年6月20日,18.97,18.13,19.19,17.93,24.32M,5.10%
2019年6月19日,18.05,17.80,18.37,17.65,21.82M,4.21%
2019年6月18日,17.32,17.62,17.82,17.25,16.43M,-1.98%
2019年6月17日,17.67,17.92,18.05,17.52,12.52M,-2.21%
2019年6月14日,18.07,18.10,18.10,17.55,14.16M,-0.39%
2019年6月13日,18.14,18.10,18.17,17.75,13.67M,0.22%
2019年6月12日,18.10,18.66,18.85,17.95,16.58M,-3.57%
2019年6月11日,18.77,17.66,18.87,17.62,19.87M,6.05%
2019年6月10日,17.70,18.02,18.11,17.30,17.50M,-1.94%
2019年6月6日,18.05,18.23,18.39,17.89,12.23M,-0.55%
2019年6月5日,18.15,19.11,19.18,17.88,19.06M,-4.12%
2019年6月4日,18.93,19.38,19.42,18.82,11.17M,-1.82%
2019年6月3日,19.28,19.44,20.13,19.20,11.57M,-1.63%
2019年5月31日,19.60,19.71,19.86,19.50,8.62M,-0.41%
2019年5月30日,19.68,20.00,20.03,19.31,11.23M,-1.60%
2019年5月29日,20.00,20.04,20.32,19.90,9.39M,-0.94%
2019年5月28日,20.19,20.40,20.55,20.12,9.07M,-1.08%
2019年5月27日,20.41,20.40,20.58,19.96,11.45M,0.05%
2019年5月24日,20.40,20.52,20.74,20.33,6.77M,-0.49%
2019年5月23日,20.50,20.94,20.94,20.47,8.78M,-2.80%
2019年5月22日,21.09,20.81,21.28,20.75,9.25M,0.67%
2019年5月21日,20.95,20.51,21.06,20.39,11.31M,1.45%
2019年5月20日,20.65,21.25,21.27,20.32,10.75M,-1.67%
2019年5月17日,21.00,21.25,21.69,20.80,13.51M,-1.50%
2019年5月16日,21.32,21.00,21.43,20.58,17.00M,1.33%
2019年5月15日,21.04,20.30,21.20,19.89,21.66M,2.78%
2019年5月14日,20.47,20.60,21.24,20.46,14.09M,-2.29%
2019年5月13日,20.95,21.10,21.36,20.60,15.17M,-3.19%
2019年5月10日,21.64,21.16,21.71,20.54,17.16M,3.10%
2019年5月9日,20.99,21.35,21.57,20.31,19.48M,-3.09%
2019年5月8日,21.66,21.70,22.00,21.21,20.57M,-1.63%
2019年5月7日,22.02,21.36,22.28,21.19,32.97M,2.99%
2019年5月6日,21.38,21.00,21.89,20.88,32.84M,-1.43%
2019年5月3日,21.69,21.69,21.69,21.69,-,0.00%
2019年5月1日,21.69,21.69,21.69,21.69,-,0.00%
2019年4月30日,21.69,21.50,22.28,21.43,24.72M,-0.73%
2019年4月29日,21.85,22.00,22.16,21.30,39.38M,1.82%
2019年4月26日,21.46,20.46,21.46,20.45,30.74M,9.99%
2019年4月25日,19.51,20.10,20.25,19.51,10.60M,-3.61%
2019年4月24日,20.24,20.13,20.38,19.55,13.19M,0.55%
2019年4月23日,20.13,20.33,20.46,19.91,11.47M,-0.84%
2019年4月22日,20.30,20.92,21.02,20.18,10.73M,-2.73%
2019年4月19日,20.87,20.71,21.14,20.69,10.66M,0.48%
2019年4月18日,20.77,20.68,20.88,20.42,10.42M,0.34%
2019年4月17日,20.70,20.58,20.78,20.21,18.79M,3.19%
2019年4月16日,20.06,20.06,20.06,20.06,-,0.00%
2019年4月15日,20.06,21.08,21.15,20.05,18.28M,-3.33%
2019年4月12日,20.75,20.79,21.14,20.59,11.18M,-0.53%
2019年4月11日,20.86,21.95,22.11,20.71,23.86M,-5.65%
2019年4月10日,22.11,21.99,22.30,21.82,15.42M,0.18%
2019年4月9日,22.07,21.66,22.15,21.48,19.41M,1.66%
2019年4月8日,21.71,22.12,22.44,21.51,28.34M,-1.76%
2019年4月4日,22.10,22.55,22.60,22.02,15.91M,-2.26%
2019年4月3日,22.61,22.69,22.69,22.00,14.24M,-3.38%
2019年4月2日,23.40,23.40,23.89,23.16,14.20M,-0.85%
2019年4月1日,23.60,22.75,23.62,22.72,22.50M,3.28%
2019年3月29日,22.85,22.59,22.95,21.44,33.91M,-0.91%
2019年3月28日,23.06,22.09,23.43,22.07,19.73M,3.18%
2019年3月27日,22.35,22.01,22.46,21.80,13.30M,2.57%
2019年3月26日,21.79,22.48,22.88,21.65,15.64M,-2.20%
2019年3月25日,22.28,22.49,23.05,22.20,14.08M,-2.37%
2019年3月22日,22.82,22.70,22.96,22.24,14.95M,0.40%
2019年3月21日,22.73,22.73,23.16,22.46,14.64M,-1.04%
2019年3月20日,22.97,22.70,23.71,22.45,18.66M,0.66%
2019年3月19日,22.82,23.20,23.44,22.64,18.70M,-1.98%
2019年3月18日,23.28,21.70,23.76,21.38,33.57M,7.78%
2019年3月15日,21.60,21.20,22.29,21.10,22.51M,0.89%
2019年3月14日,21.41,20.98,21.65,20.73,20.15M,2.24%
2019年3月13日,20.94,21.19,21.67,20.64,21.63M,-0.66%
2019年3月12日,21.08,20.75,21.33,20.72,23.10M,2.58%
2019年3月11日,20.55,19.90,20.55,19.81,17.47M,3.42%
2019年3月8日,19.87,20.26,20.73,19.80,21.02M,-1.92%
2019年3月7日,20.26,20.85,20.99,20.03,21.04M,-3.06%
2019年3月6日,20.90,21.35,21.38,20.65,17.71M,-1.92%
2019年3月5日,21.31,21.09,21.39,20.75,15.14M,-0.33%
2019年3月4日,21.38,21.55,22.45,21.00,24.64M,0.94%
2019年3月1日,21.18,20.92,21.35,20.43,15.11M,1.24%
2019年2月28日,20.92,21.30,21.30,20.46,14.83M,1.41%
2019年2月27日,20.63,20.85,21.26,20.60,14.03M,-2.04%
2019年2月26日,21.06,20.45,21.50,20.43,19.82M,2.23%
2019年2月25日,20.60,20.07,20.85,19.99,17.01M,2.90%
2019年2月22日,20.02,19.77,20.11,19.55,13.11M,1.11%
2019年2月21日,19.80,19.94,20.19,19.60,11.24M,-1.00%
2019年2月20日,20.00,20.35,20.63,19.60,10.73M,-2.01%
2019年2月19日,20.41,20.70,20.90,20.20,16.47M,-1.50%
2019年2月18日,20.72,19.62,20.95,19.56,17.94M,6.26%
2019年2月15日,19.50,19.55,19.93,19.45,9.86M,-0.36%
2019年2月14日,19.57,19.58,19.84,19.42,7.72M,-0.36%
2019年2月13日,19.64,19.84,19.99,19.31,18.44M,-0.61%
2019年2月12日,19.76,19.29,20.04,19.10,15.67M,1.86%
2019年2月11日,19.40,18.25,19.50,18.12,17.91M,6.24%
2019年2月1日,18.26,17.23,18.27,17.23,15.21M,6.78%
2019年1月31日,17.10,17.63,17.82,16.85,10.88M,-3.28%
2019年1月30日,17.68,18.22,18.27,17.60,9.05M,-3.86%
