日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,3.47,3.55,3.56,3.46,101.88M,-1.14%
2020年3月26日,3.51,3.58,3.58,3.51,109.08M,-2.50%
2020年3月25日,3.60,3.62,3.64,3.56,140.45M,1.98%
2020年3月24日,3.53,3.48,3.56,3.46,154.61M,3.52%
2020年3月23日,3.41,3.47,3.50,3.39,131.99M,-4.75%
2020年3月20日,3.58,3.61,3.63,3.51,108.78M,0.56%
2020年3月19日,3.56,3.59,3.64,3.49,164.02M,-1.11%
2020年3月18日,3.60,3.76,3.81,3.60,177.74M,-4.00%
2020年3月17日,3.75,3.70,3.78,3.59,146.54M,1.63%
2020年3月16日,3.69,3.87,3.88,3.67,154.48M,-4.16%
2020年3月13日,3.85,3.69,3.89,3.64,189.70M,-2.04%
2020年3月12日,3.93,4.01,4.06,3.90,182.79M,-3.68%
2020年3月11日,4.08,4.23,4.23,4.08,178.12M,-3.32%
2020年3月10日,4.22,4.07,4.24,4.00,237.16M,1.20%
2020年3月9日,4.17,4.36,4.39,4.14,260.91M,-3.70%
2020年3月6日,4.33,4.26,4.42,4.23,310.09M,0.23%
2020年3月5日,4.32,4.31,4.33,4.23,212.74M,0.70%
2020年3月4日,4.29,4.30,4.35,4.16,243.20M,0.47%
2020年3月3日,4.27,4.26,4.41,4.23,275.40M,1.18%
2020年3月2日,4.22,4.12,4.26,4.08,195.94M,3.69%
2020年2月28日,4.07,4.23,4.31,4.04,292.97M,-7.08%
2020年2月27日,4.38,4.40,4.47,4.32,212.19M,0.00%
2020年2月26日,4.38,4.50,4.54,4.35,356.25M,-4.78%
2020年2月25日,4.60,4.33,4.62,4.29,552.69M,4.31%
2020年2月24日,4.41,4.53,4.54,4.26,462.61M,-4.13%
2020年2月21日,4.60,4.63,4.73,4.53,428.62M,-1.71%
2020年2月20日,4.68,4.78,4.82,4.59,460.44M,-1.06%
2020年2月19日,4.73,4.90,4.93,4.73,748.95M,-9.90%
2020年2月18日,5.25,5.33,5.42,5.17,487.25M,-2.78%
2020年2月17日,5.40,5.31,5.43,5.24,530.72M,-0.37%
2020年2月14日,5.42,5.11,5.52,5.05,826.78M,7.97%
2020年2月13日,5.02,4.92,5.18,4.72,786.51M,6.58%
2020年2月12日,4.71,4.22,4.71,4.18,463.26M,10.05%
2020年2月11日,4.28,4.10,4.34,4.02,380.75M,4.90%
2020年2月10日,4.08,3.83,4.12,3.81,258.73M,5.15%
2020年2月7日,3.88,3.92,3.93,3.82,143.64M,-2.27%
2020年2月6日,3.97,3.90,3.99,3.83,241.53M,0.00%
2020年2月5日,3.97,3.86,4.15,3.80,273.34M,5.03%
2020年2月4日,3.78,3.56,3.86,3.56,237.35M,1.89%
2020年2月3日,3.71,3.71,3.71,3.71,51.79M,-9.95%
2020年1月23日,4.12,4.23,4.38,4.06,182.48M,-4.85%
2020年1月22日,4.33,4.19,4.37,4.14,158.69M,3.10%
2020年1月21日,4.20,4.36,4.36,4.20,135.22M,-4.11%
2020年1月20日,4.38,4.41,4.42,4.31,141.88M,-0.90%
2020年1月17日,4.42,4.49,4.51,4.35,140.56M,-1.56%
2020年1月16日,4.49,4.58,4.62,4.46,134.60M,-1.54%
2020年1月15日,4.56,4.67,4.74,4.53,301.92M,-3.18%
