日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,38.21,39.70,39.89,38.11,31.48M,-3.27%
2020年3月26日,39.50,39.88,40.65,39.26,31.02M,-3.26%
2020年3月25日,40.83,40.45,40.86,39.42,46.08M,4.03%
2020年3月24日,39.25,39.82,40.48,37.45,46.79M,1.53%
2020年3月23日,38.66,37.95,40.48,37.81,44.04M,-2.32%
2020年3月20日,39.58,38.70,40.30,38.45,49.66M,3.37%
2020年3月19日,38.29,37.19,39.12,36.45,78.41M,-5.40%
2020年3月10日,40.47,38.05,40.62,37.41,65.57M,6.37%
2020年3月9日,38.05,39.27,39.66,37.96,69.28M,-4.71%
2020年3月6日,39.93,39.72,40.71,39.63,66.72M,-3.64%
2020年3月5日,41.44,43.77,44.12,40.62,67.22M,0.86%
2020年3月4日,41.09,40.50,41.80,39.34,56.09M,0.27%
2020年3月3日,40.97,41.38,42.93,40.42,78.39M,1.98%
2020年3月2日,40.18,39.80,40.92,38.89,69.10M,3.21%
2020年2月28日,38.93,40.73,42.40,38.79,94.40M,-9.67%
2020年2月27日,43.09,44.44,45.13,40.83,103.65M,-0.75%
2020年2月26日,43.42,43.14,46.20,42.79,122.78M,-2.09%
2020年2月25日,44.34,44.60,45.41,41.80,121.41M,-2.54%
2020年2月24日,45.50,43.51,45.59,43.33,112.79M,2.08%
2020年2月21日,44.58,43.94,45.79,43.63,87.48M,1.52%
2020年2月20日,43.91,43.31,44.53,42.31,76.41M,1.13%
2020年2月19日,43.42,44.72,45.07,43.31,79.95M,-4.32%
2020年2月18日,45.38,44.39,45.82,43.61,88.76M,1.79%
2020年2月17日,44.58,43.87,44.87,43.31,80.69M,1.62%
2020年2月14日,43.87,44.46,46.53,42.64,98.26M,-1.09%
2020年2月13日,44.35,44.62,45.89,42.84,101.20M,0.82%
2020年2月12日,43.99,39.62,43.99,39.39,103.20M,10.00%
2020年2月11日,39.99,40.27,40.40,38.70,71.39M,0.68%
2020年2月10日,39.72,41.46,41.46,37.96,109.94M,-1.96%
2020年2月7日,40.52,38.12,40.52,37.76,148.16M,10.00%
2020年2月6日,36.84,34.08,36.84,33.98,105.61M,10.01%
2020年2月5日,33.48,32.91,35.04,32.91,69.73M,3.05%
2020年2月4日,32.49,29.78,32.59,29.78,65.78M,9.35%
2020年2月3日,29.72,28.44,30.27,28.44,79.27M,-5.95%
2020年1月23日,31.60,32.96,33.22,31.19,54.20M,-6.11%
2020年1月22日,33.65,32.31,33.94,31.91,56.39M,3.56%
2020年1月21日,32.49,32.36,33.09,32.22,43.13M,-0.20%
2020年1月20日,32.56,31.01,33.40,30.74,68.60M,4.99%
2020年1月17日,31.01,31.01,31.40,30.36,81.33M,4.49%
2020年1月16日,29.68,29.80,30.23,29.19,35.63M,-0.53%
2020年1月15日,29.84,29.67,29.93,29.39,26.07M,0.40%
2020年1月14日,29.72,30.45,30.46,29.59,39.51M,-2.34%
2020年1月13日,30.43,29.55,30.54,29.35,53.84M,2.98%
2020年1月10日,29.55,29.62,29.86,29.12,43.79M,-0.25%
2020年1月9日,29.62,27.89,29.77,27.89,76.36M,7.02%
2020年1月8日,27.68,28.55,28.70,27.59,46.92M,-4.44%
2020年1月7日,28.97,29.08,29.17,28.49,32.10M,-0.22%
2020年1月6日,29.03,29.16,29.39,28.63,36.04M,-0.85%
2020年1月3日,29.28,28.57,29.30,28.43,41.81M,2.96%
2020年1月2日,28.44,28.12,28.70,27.84,34.66M,2.06%
2019年12月31日,27.87,27.78,28.19,27.50,27.57M,0.23%
2019年12月30日,27.80,26.94,27.92,26.49,33.00M,2.07%
2019年12月27日,27.24,27.58,27.80,27.18,29.74M,-1.24%
2019年12月26日,27.58,27.57,27.73,27.12,34.78M,-0.40%
2019年12月25日,27.69,27.59,28.03,27.22,36.82M,0.00%
2019年12月24日,27.69,27.12,27.73,27.12,33.75M,2.08%
2019年12月23日,27.12,28.36,28.37,26.94,65.84M,-6.72%
2019年12月20日,29.08,30.14,30.16,28.88,48.41M,-4.00%
2019年12月19日,30.29,30.23,30.67,29.85,34.07M,-0.18%
2019年12月18日,30.35,30.36,31.17,29.98,53.23M,-0.06%
2019年12月17日,30.36,30.72,30.72,29.99,53.14M,-1.20%
2019年12月16日,30.74,29.40,30.74,29.12,65.88M,4.50%
2019年12月13日,29.41,29.31,29.44,28.49,44.29M,1.53%
2019年12月12日,28.97,29.35,29.80,28.80,37.52M,-1.14%
2019年12月11日,29.30,29.62,29.75,28.72,39.29M,-1.65%
2019年12月10日,29.79,29.21,30.03,28.97,63.85M,1.04%
2019年12月9日,29.49,27.68,29.49,27.31,73.27M,6.52%
2019年12月6日,27.68,28.70,28.78,27.12,70.05M,-3.83%
2019年12月5日,28.78,28.45,29.21,28.11,46.70M,1.60%
2019年12月4日,28.33,28.28,28.79,28.03,30.30M,-0.75%
2019年12月3日,28.54,27.97,28.85,27.69,36.45M,1.08%
2019年12月2日,28.24,27.69,28.38,27.24,33.64M,1.87%
2019年11月29日,27.72,27.20,27.98,27.13,27.28M,1.42%
2019年11月28日,27.33,27.63,28.08,27.15,30.20M,-1.53%
2019年11月27日,27.75,26.99,28.21,26.74,46.27M,2.01%
2019年11月26日,27.21,27.47,27.59,26.89,43.55M,-0.54%
2019年11月25日,27.36,27.63,27.93,27.02,54.54M,-0.51%
2019年11月22日,27.50,28.88,29.13,27.00,83.55M,-4.81%
