日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,115.13,112.75,116.79,112.23,5.64M,2.79%
2020年3月26日,112.00,106.00,113.50,105.88,9.75M,7.58%
2020年3月25日,104.11,105.33,107.60,103.68,3.58M,0.09%
2020年3月24日,104.02,102.38,105.55,102.23,5.26M,1.60%
2020年3月23日,102.38,97.40,104.38,97.22,7.31M,2.34%
2020年3月20日,100.04,92.47,101.38,92.47,8.68M,7.11%
2020年3月19日,93.40,95.50,97.99,92.18,7.53M,-3.71%
2020年3月18日,97.00,96.98,99.35,96.00,6.21M,0.00%
2020年3月17日,97.00,98.00,98.90,92.58,8.07M,-1.02%
2020年3月16日,98.00,98.11,100.97,97.20,5.77M,-2.95%
2020年3月13日,100.98,99.62,101.65,97.37,5.56M,-1.64%
2020年3月12日,102.66,104.50,104.94,102.11,3.69M,-2.77%
2020年3月11日,105.58,104.85,107.34,104.32,5.08M,1.21%
2020年3月10日,104.32,101.18,105.00,101.18,4.61M,2.37%
2020年3月9日,101.90,103.66,104.52,101.90,4.91M,-3.59%
2020年3月6日,105.69,105.24,106.30,105.00,2.57M,-0.68%
2020年3月5日,106.41,105.00,108.18,103.68,7.03M,2.22%
2020年3月4日,104.10,103.74,105.13,101.85,3.43M,0.34%
2020年3月3日,103.75,103.00,105.17,102.20,4.24M,1.77%
2020年3月2日,101.95,99.81,102.95,99.81,4.60M,2.38%
2020年2月28日,99.58,98.54,102.44,98.54,4.38M,-2.80%
2020年2月27日,102.45,101.00,103.17,100.98,4.40M,1.60%
2020年2月26日,100.84,101.30,102.38,100.19,4.30M,-1.30%
2020年2月25日,102.17,102.87,104.50,101.11,4.46M,-1.70%
2020年2月24日,103.94,104.03,104.87,103.21,4.84M,-0.89%
2020年2月21日,104.87,105.21,105.88,104.28,3.20M,-0.95%
2020年2月20日,105.88,104.00,106.38,103.40,4.72M,1.96%
2020年2月19日,103.84,103.00,104.45,102.90,3.12M,0.44%
2020年2月18日,103.38,104.90,105.29,102.87,4.97M,-1.89%
2020年2月17日,105.37,105.15,106.19,104.50,2.69M,0.64%
2020年2月14日,104.70,104.89,105.93,104.08,2.28M,0.00%
2020年2月13日,104.70,107.00,107.37,104.50,3.32M,-2.22%
2020年2月12日,107.08,106.30,108.29,106.30,2.98M,0.07%
2020年2月11日,107.00,105.00,107.03,105.00,3.53M,1.13%
2020年2月10日,105.80,105.60,106.57,105.10,2.87M,-0.66%
2020年2月7日,106.50,104.58,107.08,103.48,3.67M,1.19%
2020年2月6日,105.25,104.17,106.30,102.50,4.81M,1.20%
2020年2月5日,104.00,102.68,104.20,100.70,4.71M,1.29%
2020年2月4日,102.68,102.50,104.04,100.80,5.98M,0.83%
2020年2月3日,101.83,96.49,102.04,96.49,8.44M,-5.02%
2020年1月23日,107.21,109.95,109.95,106.02,4.62M,-2.31%
2020年1月22日,109.74,111.60,111.60,109.02,3.91M,-1.97%
2020年1月21日,111.95,111.30,112.70,109.00,4.27M,-0.09%
2020年1月20日,112.05,110.08,112.45,108.76,4.30M,1.99%
2020年1月17日,109.86,108.48,109.94,107.27,3.90M,1.26%
2020年1月16日,108.49,108.00,108.51,106.17,3.26M,1.04%
2020年1月15日,107.37,105.90,107.89,105.50,3.13M,1.39%
2020年1月14日,105.90,108.88,109.50,105.80,3.94M,-2.22%
2020年1月13日,108.30,108.76,108.94,107.40,2.67M,0.31%
2020年1月10日,107.96,108.30,108.66,107.00,2.18M,0.16%
2020年1月9日,107.79,106.45,108.00,106.45,3.51M,1.53%
2020年1月8日,106.17,106.00,106.73,105.02,2.59M,0.16%
2020年1月7日,106.00,103.83,106.00,103.83,4.02M,2.30%
2020年1月6日,103.62,104.72,104.98,103.31,5.03M,-1.70%
2020年1月3日,105.41,108.50,108.60,104.00,5.90M,-2.40%
2020年1月2日,108.00,107.75,109.91,107.58,4.07M,0.46%
2019年12月31日,107.51,107.73,108.47,107.01,2.06M,0.00%
2019年12月30日,107.51,106.49,108.10,105.70,3.51M,1.16%
2019年12月27日,106.28,105.52,106.46,105.30,2.62M,0.37%
2019年12月26日,105.89,105.78,106.19,105.18,1.28M,-0.09%
2019年12月25日,105.99,106.30,106.50,105.55,1.43M,-0.01%
2019年12月24日,106.00,106.10,106.90,105.18,2.08M,0.09%
2019年12月23日,105.90,106.21,106.58,105.33,2.36M,0.01%
2019年12月20日,105.89,106.24,106.28,105.15,2.18M,0.23%
2019年12月19日,105.65,106.22,106.50,105.09,3.18M,-0.80%
2019年12月18日,106.50,107.69,108.29,105.80,3.30M,-0.93%
2019年12月17日,107.50,107.00,108.57,106.11,4.12M,0.43%
2019年12月16日,107.04,107.60,108.45,105.64,2.77M,-0.43%
2019年12月13日,107.50,107.36,107.89,106.75,3.00M,0.84%
2019年12月12日,106.60,107.60,107.80,106.00,2.72M,-0.56%
2019年12月11日,107.20,107.16,107.43,105.30,2.36M,0.04%
2019年12月10日,107.16,108.05,108.05,106.58,2.89M,-0.32%
2019年12月9日,107.50,111.59,111.90,107.18,3.81M,-3.36%
2019年12月6日,111.24,111.25,111.25,109.60,1.95M,1.04%
2019年12月5日,110.10,107.00,110.66,106.79,3.99M,2.86%
2019年12月4日,107.04,107.21,108.78,106.50,2.67M,0.24%
2019年12月3日,106.78,107.18,107.20,105.15,3.17M,-0.56%
2019年12月2日,107.38,107.30,108.19,106.58,2.18M,0.37%
2019年11月29日,106.98,109.00,109.54,105.51,5.02M,-2.20%
2019年11月28日,109.39,110.16,110.29,109.10,1.69M,-0.30%
2019年11月27日,109.72,110.81,111.00,108.77,2.09M,-0.97%
2019年11月26日,110.80,110.35,111.45,108.99,5.35M,1.32%
2019年11月25日,109.36,110.33,110.33,106.50,3.36M,-0.51%
2019年11月22日,109.92,112.67,112.89,108.50,4.19M,-2.52%
2019年11月21日,112.76,114.73,114.80,111.70,2.80M,-1.35%
2019年11月20日,114.30,113.53,115.20,113.53,2.64M,0.55%
2019年11月19日,113.68,112.99,113.95,112.65,3.18M,0.94%
2019年11月18日,112.62,113.00,113.35,111.40,2.05M,0.32%
2019年11月15日,112.26,113.13,113.49,111.68,1.73M,-0.50%
2019年11月14日,112.82,113.62,114.00,112.57,2.56M,-0.27%
2019年11月13日,113.13,113.73,113.80,111.60,2.57M,0.46%
2019年11月12日,112.61,113.38,113.50,111.50,2.49M,-0.25%
2019年11月11日,112.89,113.54,114.75,112.00,2.72M,-0.81%
2019年11月8日,113.81,116.23,116.58,113.40,3.64M,-1.63%
2019年11月7日,115.70,115.89,116.50,114.34,2.56M,0.11%
2019年11月6日,115.57,115.15,116.50,113.23,2.99M,0.32%
2019年11月5日,115.20,114.13,116.00,113.71,3.44M,0.80%
2019年11月4日,114.29,112.88,115.30,112.80,4.05M,1.78%
