日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,30.50,31.30,31.45,30.00,9.80M,0.16%
2020年3月26日,30.45,31.40,31.40,29.80,12.69M,-2.40%
2020年3月25日,31.20,31.40,32.35,30.60,11.83M,2.13%
2020年3月24日,30.55,29.30,30.80,29.30,12.48M,7.57%
2020年3月23日,28.40,29.05,29.65,28.30,13.54M,-6.89%
2020年3月20日,30.50,29.45,31.00,28.70,15.96M,7.96%
2020年3月19日,28.25,29.30,29.80,27.45,16.43M,-3.09%
2020年3月18日,29.15,30.70,32.00,28.60,18.99M,-4.11%
2020年3月17日,30.40,29.35,31.45,29.20,15.25M,1.33%
2020年3月16日,30.00,32.65,33.20,29.50,13.41M,-10.04%
2020年3月13日,33.35,30.85,33.60,30.00,20.75M,3.09%
2020年3月12日,32.35,33.80,34.05,31.70,13.06M,-5.96%
2020年3月11日,34.40,34.40,35.00,33.80,9.57M,1.18%
2020年3月10日,34.00,32.50,34.90,31.90,13.00M,4.45%
2020年3月9日,32.55,34.00,34.00,32.45,7.55M,-5.65%
2020年3月6日,34.50,34.40,34.70,33.80,4.26M,-0.14%
2020年3月5日,34.55,32.80,34.95,32.60,13.92M,6.47%
2020年3月4日,32.45,32.30,32.65,31.70,4.93M,0.46%
2020年3月3日,32.30,32.50,33.35,32.05,8.02M,0.47%
2020年3月2日,32.15,31.35,32.40,31.35,6.59M,0.94%
2020年2月28日,31.85,31.40,32.50,31.40,7.89M,-2.30%
2020年2月27日,32.60,32.70,32.85,32.25,4.13M,-0.31%
2020年2月26日,32.70,32.00,32.95,31.80,7.08M,0.93%
2020年2月25日,32.40,31.80,33.30,31.55,8.16M,1.41%
2020年2月24日,31.95,33.00,33.65,31.80,8.74M,-3.62%
2020年2月21日,33.15,33.50,34.25,33.10,7.60M,-1.92%
2020年2月20日,33.80,33.50,34.15,32.75,7.80M,3.21%
2020年2月19日,32.75,31.95,33.20,31.70,9.63M,3.48%
2020年2月18日,31.65,32.65,33.10,31.65,7.13M,-3.21%
2020年2月17日,32.70,33.60,33.60,32.00,8.52M,0.31%
2020年2月14日,32.60,33.00,33.00,32.30,3.69M,-0.31%
2020年2月13日,32.70,33.30,33.50,32.65,5.77M,-0.30%
2020年2月12日,32.80,31.80,33.70,31.25,11.37M,3.47%
2020年2月11日,31.70,31.25,32.00,31.25,9.14M,3.93%
2020年2月10日,30.50,31.00,31.65,29.70,19.12M,-4.84%
2020年2月7日,32.05,32.00,32.50,31.00,9.06M,0.16%
2020年2月6日,32.00,30.70,32.05,30.30,13.47M,5.09%
2020年2月5日,30.45,32.45,32.45,30.20,12.11M,-3.79%
2020年2月4日,31.65,30.25,32.50,30.25,12.66M,4.63%
2020年2月3日,30.25,29.20,31.00,28.60,15.28M,0.83%
2020年1月31日,30.00,29.85,30.60,29.40,9.66M,2.04%
2020年1月30日,29.40,31.15,31.25,29.15,13.68M,-5.47%
