日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,28.40,28.90,28.94,28.29,44.71M,0.28%
2020年3月26日,28.32,28.85,28.85,28.14,42.84M,-1.84%
2020年3月25日,28.85,28.67,29.25,28.57,62.75M,3.63%
2020年3月24日,27.84,28.24,28.25,27.00,60.83M,2.43%
2020年3月23日,27.18,28.02,28.18,27.17,68.20M,-6.53%
2020年3月20日,29.08,29.59,29.76,28.59,57.68M,0.17%
2020年3月19日,29.03,29.00,29.30,27.76,77.98M,0.10%
2020年3月18日,29.00,29.40,30.30,29.00,70.17M,-0.07%
2020年3月17日,29.02,30.07,30.60,27.91,92.34M,-3.59%
2020年3月16日,30.10,32.18,32.20,29.88,74.12M,-6.05%
2020年3月13日,32.04,31.50,32.50,30.18,71.40M,-2.55%
2020年3月12日,32.88,33.20,33.38,32.75,47.64M,-2.89%
2020年3月11日,33.86,34.75,34.75,33.80,40.15M,-1.57%
2020年3月10日,34.40,33.01,34.57,33.01,58.99M,2.75%
2020年3月9日,33.48,34.68,34.69,33.40,82.42M,-4.94%
2020年3月6日,35.22,35.70,35.87,35.08,48.27M,-2.65%
2020年3月5日,36.18,36.35,36.50,35.34,59.92M,1.83%
2020年3月4日,35.53,35.50,35.82,34.80,59.43M,-0.89%
2020年3月3日,35.85,36.20,36.95,35.50,79.59M,0.70%
2020年3月2日,35.60,34.98,36.18,34.31,94.88M,1.71%
2020年2月28日,35.00,35.80,36.70,34.88,65.87M,-4.89%
2020年2月27日,36.80,37.10,37.59,36.20,51.66M,-0.27%
2020年2月26日,36.90,37.77,38.14,36.75,68.38M,-3.78%
2020年2月25日,38.35,37.99,38.60,36.99,75.76M,-1.79%
2020年2月24日,39.05,39.00,39.59,38.51,61.30M,-0.89%
2020年2月21日,39.40,38.79,40.09,38.56,82.07M,1.57%
2020年2月20日,38.79,38.01,39.13,37.90,69.04M,1.62%
2020年2月19日,38.17,36.91,38.51,36.57,98.28M,3.64%
2020年2月18日,36.83,37.08,37.08,36.26,51.01M,-0.86%
2020年2月17日,37.15,35.60,37.24,35.60,66.09M,3.95%
2020年2月14日,35.74,35.74,36.76,35.35,53.71M,-0.61%
2020年2月13日,35.96,35.90,36.65,35.61,45.63M,-0.11%
2020年2月12日,36.00,35.40,36.11,35.03,44.37M,1.24%
2020年2月11日,35.56,35.15,35.85,34.58,51.81M,1.51%
2020年2月10日,35.03,35.02,35.15,34.50,45.27M,-0.48%
2020年2月7日,35.20,35.00,35.50,34.48,46.78M,-0.85%
2020年2月6日,35.50,35.11,35.73,34.41,50.04M,1.14%
2020年2月5日,35.10,34.30,36.10,33.93,73.56M,2.69%
2020年2月4日,34.18,32.82,34.29,32.80,64.23M,5.27%
2020年2月3日,32.47,32.40,34.20,32.40,84.23M,-9.81%
