日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,55.82,55.00,56.50,54.28,36.33M,2.74%
2020年3月26日,54.33,54.31,56.23,54.24,23.98M,-1.86%
2020年3月25日,55.36,56.50,57.19,54.72,43.50M,1.30%
2020年3月24日,54.65,53.13,54.65,52.57,45.92M,5.64%
2020年3月23日,51.73,50.50,53.00,50.48,44.99M,-2.16%
2020年3月20日,52.87,50.86,53.08,49.85,51.33M,5.55%
2020年3月19日,50.09,51.15,52.26,47.68,57.76M,-2.55%
2020年3月18日,51.40,51.65,53.58,51.34,47.97M,0.78%
2020年3月17日,51.00,52.49,53.15,49.20,46.04M,-1.35%
2020年3月16日,51.70,54.53,55.13,51.41,37.31M,-4.47%
2020年3月13日,54.12,52.50,55.39,51.87,38.34M,-1.94%
2020年3月12日,55.19,55.05,55.70,53.89,34.49M,-1.69%
2020年3月11日,56.14,57.53,57.55,56.05,25.09M,-2.48%
2020年3月10日,57.57,55.70,58.22,55.29,42.83M,3.36%
2020年3月9日,55.70,56.10,56.63,55.15,43.45M,-2.62%
2020年3月6日,57.20,58.47,58.60,57.15,42.46M,-3.15%
2020年3月5日,59.06,59.43,59.81,58.57,38.15M,-0.30%
2020年3月4日,59.24,58.18,60.18,58.00,47.56M,0.41%
2020年3月3日,59.00,62.13,62.13,58.22,90.46M,-2.17%
2020年3月2日,60.31,55.28,60.35,55.28,103.86M,9.93%
2020年2月28日,54.86,54.23,56.88,54.00,57.98M,-1.45%
2020年2月27日,55.67,53.35,56.45,53.35,64.12M,4.47%
2020年2月26日,53.29,50.99,54.25,50.76,64.68M,2.58%
2020年2月25日,51.95,51.85,52.64,51.05,34.73M,-2.02%
2020年2月24日,53.02,52.22,54.55,51.93,44.96M,1.45%
2020年2月21日,52.26,52.01,52.85,51.68,28.59M,-0.36%
2020年2月20日,52.45,52.48,52.66,51.51,26.18M,0.44%
2020年2月19日,52.22,51.51,52.97,51.02,26.36M,0.81%
2020年2月18日,51.80,53.01,53.27,51.37,44.44M,-3.03%
2020年2月17日,53.42,52.82,53.53,52.38,29.90M,1.14%
2020年2月14日,52.82,52.00,53.00,52.00,24.54M,0.51%
2020年2月13日,52.55,52.00,52.97,51.53,37.50M,1.43%
2020年2月12日,51.81,50.80,51.83,50.60,29.14M,0.41%
2020年2月11日,51.60,50.88,52.10,50.61,40.20M,0.64%
2020年2月10日,51.27,47.80,51.50,47.55,46.79M,6.13%
2020年2月7日,48.31,47.69,48.45,47.44,24.04M,0.73%
2020年2月6日,47.96,47.52,48.34,46.81,28.76M,1.65%
2020年2月5日,47.18,47.40,48.15,46.90,38.92M,-0.51%
2020年2月4日,47.42,45.28,48.30,45.28,48.56M,5.78%
2020年2月3日,44.83,43.21,45.30,43.21,75.94M,-6.60%
2020年1月23日,48.00,49.90,50.00,47.55,43.51M,-4.08%
2020年1月22日,50.04,49.62,50.47,49.31,39.85M,-0.18%
2020年1月21日,50.13,52.00,52.02,50.08,40.75M,-4.80%
2020年1月20日,52.66,52.13,53.20,52.10,26.28M,1.02%
2020年1月17日,52.13,52.20,52.65,51.82,16.93M,0.77%
2020年1月16日,51.73,52.27,52.60,51.60,24.71M,-1.45%
2020年1月15日,52.49,53.10,53.21,52.15,17.40M,-0.79%
2020年1月14日,52.91,52.70,53.50,52.48,23.10M,0.36%
2020年1月13日,52.72,53.00,53.00,51.70,32.98M,-1.35%
2020年1月10日,53.44,53.11,53.58,52.30,25.07M,0.56%
2020年1月9日,53.14,53.40,53.50,52.66,22.79M,0.85%
2020年1月8日,52.69,53.00,53.38,52.60,23.23M,-1.48%
2020年1月7日,53.48,53.12,54.13,53.12,23.48M,0.30%
2020年1月6日,53.32,54.01,54.54,53.05,34.36M,-2.49%
2020年1月3日,54.68,56.00,56.10,54.44,28.86M,-2.01%
2020年1月2日,55.80,55.30,57.75,55.03,41.12M,1.82%
2019年12月31日,54.80,52.99,55.32,52.18,33.50M,3.85%
2019年12月30日,52.77,52.89,54.30,52.31,27.26M,1.46%
2019年12月27日,52.01,52.10,52.75,51.83,22.31M,-0.74%
2019年12月26日,52.40,51.10,52.90,50.85,23.23M,3.15%
2019年12月25日,50.80,49.93,51.28,49.47,19.45M,1.24%
2019年12月24日,50.18,49.88,50.20,49.41,13.39M,0.97%
2019年12月23日,49.70,48.30,50.40,48.23,29.86M,2.96%
2019年12月20日,48.27,48.38,48.65,48.07,12.91M,-0.08%
2019年12月19日,48.31,48.35,48.99,48.19,17.99M,0.23%
2019年12月18日,48.20,48.43,48.77,48.01,17.10M,-0.76%
2019年12月17日,48.57,49.09,49.10,48.23,30.59M,-0.72%
2019年12月16日,48.92,48.89,49.32,48.46,18.70M,0.14%
2019年12月13日,48.85,48.88,49.43,48.29,31.29M,1.75%
2019年12月12日,48.01,49.45,49.50,47.87,21.96M,-2.38%
2019年12月11日,49.18,48.37,49.27,48.00,18.91M,1.84%
2019年12月10日,48.29,47.55,48.79,47.39,24.38M,0.21%
2019年12月9日,48.19,47.18,48.90,47.18,24.40M,2.27%
2019年12月6日,47.12,47.00,47.23,46.59,15.56M,0.79%
2019年12月5日,46.75,46.40,47.07,46.33,11.71M,1.63%
2019年12月4日,46.00,45.99,46.46,45.43,11.33M,-0.48%
2019年12月3日,46.22,46.42,46.62,45.73,12.56M,-1.01%
2019年12月2日,46.69,46.43,47.08,46.38,18.60M,1.94%
2019年11月29日,45.80,46.71,47.04,45.59,21.89M,-2.53%
2019年11月28日,46.99,46.94,47.88,46.58,15.51M,0.66%
2019年11月27日,46.68,47.03,47.70,46.65,19.59M,-0.47%
2019年11月26日,46.90,47.81,47.90,46.68,28.50M,-2.01%
2019年11月25日,47.86,46.28,47.88,46.28,41.07M,3.98%
2019年11月22日,46.03,45.15,46.42,45.05,32.64M,2.27%
2019年11月21日,45.01,44.66,45.25,44.11,14.96M,0.92%
2019年11月20日,44.60,44.82,45.35,44.45,21.35M,-0.56%
2019年11月19日,44.85,43.88,44.93,43.51,30.92M,2.77%
2019年11月18日,43.64,42.65,43.66,42.65,17.50M,2.32%
2019年11月15日,42.65,43.05,43.34,42.65,11.92M,-0.93%
2019年11月14日,43.05,42.98,43.59,42.80,17.25M,0.75%
2019年11月13日,42.73,42.89,42.89,42.23,14.18M,-0.49%
2019年11月12日,42.94,42.90,43.08,42.40,12.21M,0.30%
2019年11月11日,42.81,43.50,43.90,42.60,17.05M,-1.99%
2019年11月8日,43.68,44.14,44.19,43.60,16.96M,-0.27%
2019年11月7日,43.80,43.92,44.28,43.58,14.69M,0.02%
2019年11月6日,43.79,44.58,44.69,43.67,17.19M,-0.91%
2019年11月5日,44.19,44.53,44.75,43.79,20.95M,-0.36%
2019年11月4日,44.35,44.08,44.79,44.08,29.03M,2.02%
2019年11月1日,43.47,42.16,43.79,42.01,35.96M,3.11%
2019年10月31日,42.16,41.80,42.43,41.78,12.67M,0.43%
2019年10月30日,41.98,41.80,42.00,41.06,11.81M,0.77%
2019年10月29日,41.66,42.19,42.28,41.61,14.04M,-1.23%
2019年10月28日,42.18,42.34,42.74,41.91,15.22M,-0.47%
2019年10月25日,42.38,42.40,42.78,41.85,16.04M,0.21%
2019年10月24日,42.29,42.18,42.88,42.01,15.41M,0.40%
2019年10月23日,42.12,42.40,42.49,41.94,13.69M,0.48%
2019年10月22日,41.92,42.35,42.35,41.62,12.31M,-0.64%
2019年10月21日,42.19,42.26,42.67,41.95,12.64M,-0.35%
2019年10月18日,42.34,42.79,43.13,42.03,13.88M,-0.61%
2019年10月17日,42.60,42.60,43.05,42.44,11.10M,0.05%
2019年10月16日,42.58,43.00,43.12,42.44,14.05M,0.00%
2019年10月15日,42.58,43.29,43.30,42.43,14.80M,-1.32%
2019年10月14日,43.15,43.70,43.98,42.95,21.63M,-0.25%
2019年10月11日,43.26,42.00,43.46,42.00,39.42M,3.79%
2019年10月10日,41.68,41.68,41.78,41.11,11.95M,-0.31%
2019年10月9日,41.81,42.01,42.16,41.50,14.43M,-1.48%
2019年10月8日,42.44,41.40,42.55,41.40,20.94M,2.66%
2019年9月30日,41.34,41.01,42.23,41.01,9.93M,-0.24%
2019年9月27日,41.44,42.20,42.23,40.56,18.39M,-1.36%
2019年9月26日,42.01,41.80,42.35,41.62,16.50M,1.28%
2019年9月25日,41.48,41.23,41.92,40.88,12.08M,0.58%
2019年9月24日,41.24,41.28,41.57,41.15,9.71M,-0.10%
2019年9月23日,41.28,41.95,42.00,41.00,14.13M,-1.55%
2019年9月20日,41.93,41.92,42.24,41.66,15.84M,0.60%
2019年9月19日,41.68,41.94,41.94,41.29,10.39M,-0.05%
2019年9月18日,41.70,41.73,41.95,41.48,9.85M,0.31%
2019年9月17日,41.57,42.14,42.20,41.42,11.16M,-1.56%
2019年9月16日,42.23,42.42,42.50,41.99,10.64M,-0.45%
2019年9月12日,42.42,42.69,42.88,42.00,17.27M,0.31%
2019年9月11日,42.29,42.70,42.80,41.79,19.80M,-0.73%
2019年9月10日,42.60,42.85,43.03,42.04,15.23M,-0.16%
2019年9月9日,42.67,43.34,43.43,42.39,25.85M,-1.14%
2019年9月6日,43.16,42.98,43.30,42.50,29.23M,1.31%
2019年9月5日,42.60,43.00,43.40,42.36,34.07M,0.19%
2019年9月4日,42.52,41.99,42.75,41.98,35.48M,1.89%
2019年9月3日,41.73,41.15,41.97,41.12,27.02M,1.88%
2019年9月2日,40.96,39.40,41.10,39.32,33.57M,3.88%
2019年8月30日,39.43,39.60,39.76,39.24,16.72M,0.74%
2019年8月29日,39.14,39.56,39.61,39.02,13.69M,-0.91%
2019年8月28日,39.50,40.00,40.04,39.30,11.74M,-0.75%
2019年8月27日,39.80,39.88,40.40,39.70,25.45M,0.56%
2019年8月26日,39.58,39.50,39.88,39.29,17.36M,-1.35%
2019年8月23日,40.12,39.33,40.28,39.10,27.34M,2.45%
2019年8月22日,39.16,40.02,40.02,38.96,16.38M,-1.88%
2019年8月21日,39.91,39.60,40.08,39.33,14.36M,0.71%
2019年8月20日,39.63,39.49,39.89,39.43,14.52M,0.00%
2019年8月19日,39.63,39.09,39.65,39.08,22.50M,2.03%
2019年8月16日,38.84,38.60,39.10,38.48,15.83M,0.60%
2019年8月15日,38.61,37.91,38.69,37.76,14.80M,0.57%
2019年8月14日,38.39,38.50,38.93,38.35,17.87M,0.84%
2019年8月13日,38.07,38.45,38.46,37.97,15.25M,-1.73%
2019年8月12日,38.74,38.68,38.77,38.30,12.49M,0.99%
2019年8月9日,38.36,38.96,38.97,38.28,12.76M,-0.70%
2019年8月8日,38.63,38.46,38.99,38.46,15.43M,0.97%
2019年8月7日,38.26,38.57,38.80,38.11,15.61M,-0.36%
2019年8月6日,38.40,37.00,38.58,36.66,28.38M,1.56%
2019年8月5日,37.81,38.28,38.37,37.80,19.77M,-1.97%
2019年8月2日,38.57,38.43,38.93,38.27,18.35M,-1.61%
2019年8月1日,39.20,39.54,39.54,38.60,24.37M,-0.83%
2019年7月31日,39.53,40.51,40.58,39.51,27.77M,-3.21%
2019年7月30日,40.84,41.30,41.37,40.73,16.35M,-0.37%
2019年7月29日,40.99,41.10,41.35,40.84,14.38M,-0.65%
2019年7月26日,41.26,40.63,41.48,40.26,27.24M,1.30%
2019年7月25日,40.73,40.30,40.73,40.17,17.73M,0.92%
2019年7月24日,40.36,40.48,40.93,40.21,20.59M,0.40%
2019年7月23日,40.20,40.49,40.55,40.11,13.50M,-0.84%
2019年7月22日,40.54,40.52,40.77,40.10,13.07M,0.07%
2019年7月19日,40.51,40.50,40.94,40.39,15.25M,0.85%
2019年7月18日,40.17,40.60,40.78,40.15,16.01M,-1.50%
2019年7月17日,40.78,40.75,40.98,40.47,10.87M,-0.29%
2019年7月16日,40.90,41.28,41.39,40.66,17.11M,-1.40%
2019年7月15日,41.48,41.13,41.80,40.10,20.93M,0.61%
2019年7月12日,41.23,41.27,41.57,41.00,15.62M,0.37%
2019年7月11日,41.08,41.12,41.68,41.00,19.80M,0.64%
2019年7月10日,40.82,42.08,42.16,40.51,33.43M,-2.34%
2019年7月9日,41.80,41.80,42.28,41.63,21.59M,0.07%
2019年7月8日,41.77,42.97,42.97,41.68,31.02M,-3.53%
2019年7月5日,43.30,42.98,43.43,42.74,18.52M,1.22%
2019年7月4日,42.78,42.29,43.15,42.28,25.28M,1.42%
2019年7月3日,42.18,42.58,42.95,41.80,27.94M,-0.96%
2019年7月2日,42.59,42.00,42.92,41.81,34.05M,1.50%
2019年7月1日,41.96,42.20,42.36,41.69,36.36M,1.11%
2019年6月28日,41.50,41.45,41.63,40.92,23.30M,0.58%
2019年6月27日,41.26,40.67,41.33,40.45,26.11M,1.90%
2019年6月26日,40.49,40.04,40.66,39.76,12.80M,0.85%
2019年6月25日,40.15,40.68,40.96,39.68,21.39M,-1.16%
2019年6月24日,40.62,39.99,40.76,39.86,21.07M,1.15%
2019年6月21日,40.16,40.55,40.88,39.97,24.83M,-0.96%
2019年6月20日,40.55,39.37,40.79,39.37,32.40M,2.66%
2019年6月19日,39.50,40.20,40.40,39.37,30.00M,-3.09%
2019年6月18日,40.76,41.10,41.35,40.59,25.60M,-0.59%
2019年6月17日,41.00,40.80,41.11,40.67,16.00M,0.51%
2019年6月14日,40.79,40.71,41.08,40.65,15.89M,0.17%
2019年6月13日,40.72,40.83,41.00,40.48,17.83M,-0.54%
2019年6月12日,40.94,40.80,41.58,40.65,34.71M,0.61%
2019年6月11日,40.69,39.56,40.87,39.54,64.92M,4.76%
2019年6月10日,38.84,38.54,39.11,38.35,19.53M,1.46%
2019年6月6日,38.28,38.16,38.53,37.79,13.94M,1.00%
2019年6月5日,37.90,38.65,38.77,37.83,16.90M,-0.81%
2019年6月4日,38.21,39.52,39.54,38.10,22.67M,-2.90%
2019年6月3日,39.35,39.78,40.10,39.20,22.66M,-0.51%
2019年5月31日,39.55,39.47,39.85,39.37,13.07M,0.69%
2019年5月30日,39.28,39.71,39.78,39.11,15.77M,-1.28%
2019年5月29日,39.79,39.48,40.13,39.26,17.93M,0.08%
2019年5月28日,39.76,39.15,40.06,38.92,28.60M,1.51%
2019年5月27日,39.17,39.10,39.30,38.10,23.72M,0.05%
2019年5月24日,39.15,38.82,39.41,38.67,16.93M,0.90%
2019年5月23日,38.80,39.10,39.45,38.76,16.25M,-1.17%
2019年5月22日,39.26,39.45,39.73,39.00,13.74M,-0.48%
2019年5月21日,39.45,38.39,39.96,38.37,28.37M,2.63%
2019年5月20日,38.44,38.91,39.30,38.15,19.63M,-1.31%
2019年5月17日,38.95,40.38,40.44,38.80,29.57M,-3.61%
