日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,30.20,30.02,31.31,29.65,18.30M,0.70%
2020年3月26日,29.99,29.39,30.55,29.21,16.23M,0.30%
2020年3月25日,29.90,30.79,31.07,29.11,26.31M,-0.70%
2020年3月24日,30.11,28.28,30.11,28.28,29.36M,10.01%
2020年3月23日,27.37,28.00,28.55,26.90,10.04M,-4.57%
2020年3月20日,28.68,28.00,28.79,27.55,9.49M,3.88%
2020年3月19日,27.61,28.10,28.50,26.88,12.26M,-1.11%
2020年3月18日,27.92,28.00,29.89,27.77,15.69M,-0.29%
2020年3月17日,28.00,29.18,29.60,26.42,28.13M,-4.63%
2020年3月16日,29.36,29.38,30.20,28.21,13.45M,0.34%
2020年3月13日,29.26,27.86,29.69,27.58,15.43M,0.21%
2020年3月12日,29.20,28.86,29.53,28.39,13.38M,0.86%
2020年3月11日,28.95,29.66,29.82,28.91,14.03M,-2.49%
2020年3月10日,29.69,29.50,30.40,28.30,20.57M,0.27%
2020年3月9日,29.61,29.88,30.53,29.30,15.95M,-3.39%
2020年3月6日,30.65,30.22,30.65,29.49,18.93M,0.00%
2020年3月5日,30.65,30.05,31.45,29.97,30.54M,2.82%
2020年3月4日,29.81,28.86,30.00,28.36,24.88M,3.44%
2020年3月3日,28.82,29.30,30.14,28.49,25.22M,-0.45%
2020年3月2日,28.95,28.00,29.45,28.00,27.99M,5.31%
2020年2月28日,27.49,26.25,28.50,26.25,31.61M,-2.10%
2020年2月27日,28.08,27.17,28.54,27.01,17.26M,4.39%
2020年2月26日,26.90,27.81,27.89,26.90,15.46M,-4.61%
2020年2月25日,28.20,27.83,28.60,27.54,15.46M,0.18%
2020年2月24日,28.15,26.50,28.65,26.50,24.47M,4.07%
2020年2月21日,27.05,27.30,27.32,26.74,11.19M,-1.10%
2020年2月20日,27.35,25.89,27.61,25.89,22.73M,5.48%
2020年2月19日,25.93,26.11,26.52,25.83,10.51M,-0.95%
2020年2月18日,26.18,25.68,26.22,25.42,13.97M,1.91%
2020年2月17日,25.69,25.55,25.99,25.39,11.49M,0.27%
2020年2月14日,25.62,25.73,26.05,25.45,6.95M,-0.39%
2020年2月13日,25.72,26.37,26.48,25.57,10.48M,-2.39%
2020年2月12日,26.35,26.29,26.56,26.05,10.91M,0.57%
2020年2月11日,26.20,26.32,26.70,25.80,13.13M,-1.06%
2020年2月10日,26.48,26.07,26.64,25.71,15.49M,1.61%
2020年2月7日,26.06,25.48,26.11,25.15,16.29M,1.84%
2020年2月6日,25.59,24.15,25.95,24.15,23.76M,5.96%
2020年2月5日,24.15,24.23,24.67,24.06,14.39M,0.62%
2020年2月4日,24.00,22.15,24.23,22.15,21.39M,8.35%
2020年2月3日,22.15,21.20,22.59,21.20,22.60M,-5.94%
2020年1月23日,23.55,24.57,24.57,23.55,14.05M,-4.50%
2020年1月22日,24.66,24.50,24.80,24.11,7.37M,0.08%
2020年1月21日,24.64,25.07,25.10,24.60,9.62M,-1.95%
2020年1月20日,25.13,25.45,25.45,25.00,8.09M,-0.87%
2020年1月17日,25.35,25.06,25.51,25.06,11.66M,1.20%
2020年1月16日,25.05,24.95,25.14,24.80,8.82M,0.40%
