日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,30.03,30.94,30.94,30.00,36.84M,-2.05%
2020年3月26日,30.66,31.35,31.55,30.53,38.53M,-3.07%
2020年3月25日,31.63,32.40,32.40,31.27,37.67M,-0.22%
2020年3月24日,31.70,31.20,31.76,31.01,24.52M,3.80%
2020年3月23日,30.54,30.50,30.92,30.06,23.74M,-2.99%
2020年3月20日,31.48,31.89,32.10,31.06,21.10M,-0.13%
2020年3月19日,31.52,31.60,31.88,30.40,33.62M,0.38%
2020年3月18日,31.40,31.15,32.80,31.15,40.44M,1.00%
2020年3月17日,31.09,31.30,31.85,30.17,27.23M,-0.10%
2020年3月16日,31.12,32.49,32.51,31.00,34.14M,-3.32%
2020年3月13日,32.19,31.10,32.58,30.92,43.44M,-1.92%
2020年3月12日,32.82,33.21,33.62,32.62,45.24M,-3.92%
2020年3月11日,34.16,34.80,35.55,34.05,51.46M,-1.53%
2020年3月10日,34.69,34.96,35.67,33.67,50.18M,-1.06%
2020年3月9日,35.06,35.11,36.30,34.60,62.09M,-3.15%
2020年3月6日,36.20,37.60,38.16,35.95,87.59M,-4.74%
2020年3月5日,38.00,34.98,38.20,34.67,128.64M,9.42%
2020年3月4日,34.73,33.68,34.89,33.67,40.72M,2.54%
2020年3月3日,33.87,34.45,34.46,33.65,38.03M,-0.09%
2020年3月2日,33.90,32.70,34.34,32.70,35.20M,4.21%
2020年2月28日,32.53,34.10,34.67,32.53,61.01M,-6.66%
2020年2月27日,34.85,35.50,35.67,34.80,40.52M,-1.47%
2020年2月26日,35.37,35.26,36.19,35.05,40.28M,-0.65%
2020年2月25日,35.60,35.20,36.28,34.80,45.80M,0.68%
2020年2月24日,35.36,34.74,35.80,34.56,29.19M,0.77%
2020年2月21日,35.09,35.37,35.52,34.58,38.68M,-1.27%
2020年2月20日,35.54,35.74,36.35,35.10,39.47M,0.71%
2020年2月19日,35.29,34.20,35.79,34.20,44.75M,4.13%
2020年2月18日,33.89,34.27,34.27,33.71,23.71M,-1.28%
2020年2月17日,34.33,33.67,34.43,33.38,32.22M,3.25%
2020年2月14日,33.25,32.09,33.35,31.97,35.20M,3.55%
2020年2月13日,32.11,32.40,32.55,31.61,24.01M,-0.83%
2020年2月12日,32.38,32.30,32.84,32.18,19.38M,0.68%
2020年2月11日,32.16,32.30,32.74,31.89,28.00M,-0.28%
2020年2月10日,32.25,30.61,32.58,30.52,41.03M,4.50%
2020年2月7日,30.86,31.19,31.24,30.50,31.24M,-1.59%
2020年2月6日,31.36,31.23,31.57,30.10,43.21M,2.05%
2020年2月5日,30.73,30.27,31.40,29.99,34.65M,1.55%
2020年2月4日,30.26,28.85,30.45,28.85,44.54M,2.89%
2020年2月3日,29.41,29.41,29.92,29.41,38.26M,-10.01%
2020年1月23日,32.68,34.00,34.03,32.50,36.00M,-5.06%
2020年1月22日,34.42,35.45,35.47,33.80,35.03M,-3.64%
2020年1月21日,35.72,35.99,36.00,35.30,20.46M,-1.13%
2020年1月20日,36.13,35.69,36.24,35.03,21.96M,2.06%
2020年1月17日,35.40,35.57,35.85,35.30,13.18M,-0.51%
2020年1月16日,35.58,35.80,36.14,35.50,16.94M,-0.50%
2020年1月15日,35.76,36.50,36.63,35.55,20.34M,-1.57%
2020年1月14日,36.33,36.55,36.76,36.09,20.41M,-0.79%
2020年1月13日,36.62,36.05,36.77,35.89,20.76M,1.30%
2020年1月10日,36.15,37.28,37.29,36.02,33.34M,-3.26%
2020年1月9日,37.37,37.55,37.98,37.07,25.11M,0.70%
2020年1月8日,37.11,38.25,38.64,37.00,46.72M,-2.98%
2020年1月7日,38.25,36.88,38.60,36.70,68.88M,6.75%
2020年1月6日,35.83,34.31,36.18,34.30,36.06M,3.55%
2020年1月3日,34.60,34.39,34.76,33.95,28.14M,0.85%
2020年1月2日,34.31,33.83,34.59,33.83,27.20M,2.11%
2019年12月31日,33.60,33.24,33.86,33.13,23.27M,1.02%
2019年12月30日,33.26,33.01,33.38,32.32,26.72M,0.54%
2019年12月27日,33.08,32.41,33.30,32.32,28.02M,2.10%
2019年12月26日,32.40,32.79,32.80,32.15,22.98M,-0.77%
2019年12月25日,32.65,32.80,32.92,32.53,16.27M,-0.43%
2019年12月24日,32.79,33.15,33.40,32.70,19.73M,-1.32%
2019年12月23日,33.23,34.37,34.37,33.10,22.79M,-3.15%
2019年12月20日,34.31,33.82,34.35,33.73,23.84M,1.54%
2019年12月19日,33.79,33.88,34.12,33.64,15.55M,-0.27%
2019年12月18日,33.88,33.85,34.40,33.80,20.45M,-0.67%
2019年12月17日,34.11,33.30,34.29,33.18,28.34M,2.59%
2019年12月16日,33.25,33.56,33.61,33.02,21.78M,-0.92%
2019年12月13日,33.56,33.21,33.56,33.01,24.86M,0.93%
2019年12月12日,33.25,33.28,33.64,33.11,17.99M,0.21%
2019年12月11日,33.18,33.25,33.49,33.00,18.40M,-0.98%
2019年12月10日,33.51,34.80,34.80,33.10,41.27M,-3.76%
2019年12月9日,34.82,35.14,35.18,34.65,19.34M,-0.66%
2019年12月6日,35.05,35.24,35.37,34.85,17.41M,-0.17%
2019年12月5日,35.11,35.18,35.25,34.68,17.20M,0.66%
2019年12月4日,34.88,35.74,35.75,34.55,29.78M,-2.84%
2019年12月3日,35.90,36.40,36.68,35.82,16.28M,-1.32%
2019年12月2日,36.38,36.00,36.80,36.00,18.81M,1.62%
