日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,20.39,21.68,21.75,20.32,43.80M,-4.27%
2020年3月26日,21.30,21.96,22.06,21.15,37.74M,-3.92%
2020年3月25日,22.17,21.48,22.36,21.13,46.91M,5.62%
2020年3月24日,20.99,22.95,23.04,20.16,60.90M,-6.29%
2020年3月23日,22.40,22.22,23.08,22.22,36.52M,-2.99%
2020年3月20日,23.09,23.16,23.48,22.70,58.31M,1.81%
2020年3月19日,22.68,21.59,22.68,21.33,60.66M,7.18%
2020年3月18日,21.16,21.70,22.22,21.07,44.73M,-1.35%
2020年3月17日,21.45,21.60,21.70,20.40,37.87M,2.53%
2020年3月16日,20.92,22.00,22.77,20.88,57.05M,-4.47%
2020年3月13日,21.90,21.11,22.25,20.68,43.01M,-0.86%
2020年3月12日,22.09,21.52,22.67,21.29,54.93M,2.65%
2020年3月11日,21.52,22.20,22.50,21.46,37.09M,-2.62%
2020年3月10日,22.10,20.60,22.19,20.60,55.85M,6.35%
2020年3月9日,20.78,22.30,22.44,20.73,69.64M,-8.42%
2020年3月6日,22.69,22.41,23.35,22.35,39.26M,-0.79%
2020年3月5日,22.87,23.44,23.58,22.44,46.47M,-1.85%
2020年3月4日,23.30,23.18,23.62,22.59,53.55M,0.34%
2020年3月3日,23.22,24.10,24.65,22.77,100.55M,-4.99%
2020年3月2日,24.44,27.60,28.00,24.31,97.90M,-9.51%
2020年2月28日,27.01,26.77,28.50,26.18,35.05M,-1.67%
2020年2月27日,27.47,26.02,28.33,26.00,40.20M,6.64%
2020年2月26日,25.76,27.00,27.14,25.53,36.23M,-6.73%
2020年2月25日,27.62,27.95,28.19,26.02,45.48M,-3.66%
2020年2月24日,28.67,28.10,29.12,27.65,32.17M,1.24%
2020年2月21日,28.32,28.20,29.02,27.87,32.07M,0.68%
2020年2月20日,28.13,28.15,28.62,27.22,26.77M,0.79%
2020年2月19日,27.91,29.84,29.97,27.80,35.81M,-7.09%
2020年2月18日,30.04,30.11,30.60,29.60,18.34M,-0.27%
2020年2月17日,30.12,29.30,30.33,28.85,21.01M,3.68%
2020年2月14日,29.05,29.37,30.00,28.77,20.23M,-2.19%
2020年2月13日,29.70,30.50,30.70,29.46,28.66M,-3.91%
2020年2月12日,30.91,30.30,31.29,29.83,24.57M,0.82%
2020年2月11日,30.66,30.15,30.83,28.60,31.09M,0.86%
2020年2月10日,30.40,31.75,32.08,29.50,40.95M,-5.47%
2020年2月7日,32.16,29.64,32.30,29.41,49.75M,9.09%
2020年2月6日,29.48,26.65,29.48,26.33,44.56M,10.00%
2020年2月5日,26.80,27.74,28.55,26.35,38.33M,-1.98%
2020年2月4日,27.34,24.97,27.95,24.95,37.25M,7.01%
2020年2月3日,25.55,25.25,28.97,24.93,40.08M,-7.76%
2020年1月23日,27.70,27.02,29.76,27.00,38.10M,1.39%
2020年1月22日,27.32,27.33,27.60,26.00,28.71M,-1.73%
2020年1月21日,27.80,27.60,28.13,27.31,18.96M,0.91%
2020年1月20日,27.55,27.80,28.16,26.95,28.16M,0.07%
2020年1月17日,27.53,28.00,28.48,27.28,15.06M,-0.90%
2020年1月16日,27.78,28.05,28.82,27.27,19.70M,-1.17%
2020年1月15日,28.11,28.79,29.25,27.90,21.52M,-3.07%
2020年1月14日,29.00,28.20,30.00,28.20,29.60M,3.02%
2020年1月13日,28.15,27.93,28.24,26.81,29.58M,-0.18%
2020年1月10日,28.20,28.23,28.80,28.01,19.17M,-0.67%
2020年1月9日,28.39,28.40,29.20,27.40,25.37M,1.39%
2020年1月8日,28.00,28.13,28.95,27.65,22.34M,-3.01%
2020年1月7日,28.87,27.35,29.20,27.30,39.40M,5.25%
2020年1月6日,27.43,25.40,28.48,25.11,35.98M,5.87%
2020年1月3日,25.91,25.50,26.74,25.29,30.93M,3.60%
2020年1月2日,25.01,23.66,25.60,23.41,31.89M,7.48%
2019年12月31日,23.27,22.92,23.52,22.80,21.00M,1.09%
2019年12月30日,23.02,22.80,23.45,21.00,29.50M,-0.73%
2019年12月27日,23.19,23.89,24.51,23.09,29.23M,-2.85%
2019年12月26日,23.87,23.94,24.30,23.33,25.55M,-0.38%
2019年12月25日,23.96,23.38,25.08,23.01,52.16M,1.53%
2019年12月24日,23.60,22.08,23.66,21.77,43.48M,7.27%
2019年12月23日,22.00,21.66,23.28,21.66,34.92M,0.00%
2019年12月20日,22.00,22.27,23.64,21.89,47.93M,-1.48%
2019年12月19日,22.33,23.45,23.69,21.33,57.07M,0.22%
2019年12月18日,22.28,20.25,22.28,20.25,36.23M,10.02%
2019年12月17日,20.25,19.60,20.75,19.60,50.61M,2.38%
2019年12月16日,19.78,18.60,20.10,18.10,53.55M,7.15%
2019年12月13日,18.46,18.92,19.01,18.04,35.88M,-0.32%
2019年12月12日,18.52,18.40,18.95,18.20,46.88M,2.83%
2019年12月11日,18.01,18.17,18.74,17.95,48.72M,-0.50%
2019年12月10日,18.10,18.01,18.50,17.77,47.97M,-0.77%
2019年12月9日,18.24,17.32,18.29,17.18,64.43M,6.36%
2019年12月6日,17.15,16.26,17.42,16.08,56.10M,5.28%
2019年12月5日,16.29,16.89,16.95,16.17,31.10M,0.00%
2019年12月4日,16.29,15.70,16.53,15.66,27.67M,2.45%
2019年12月3日,15.90,15.88,15.92,15.57,12.32M,-1.00%
2019年12月2日,16.06,15.59,16.06,15.42,19.02M,2.75%
2019年11月29日,15.63,15.54,15.72,15.19,17.04M,0.26%
2019年11月28日,15.59,15.90,15.95,15.45,15.79M,-2.26%
2019年11月27日,15.95,15.85,16.09,15.72,14.14M,0.00%
2019年11月26日,15.95,16.20,16.37,15.93,19.20M,-0.93%
2019年11月25日,16.10,16.32,16.38,15.80,19.32M,-1.23%
2019年11月22日,16.30,16.59,16.86,16.06,30.18M,-2.22%
2019年11月21日,16.67,16.91,17.25,16.25,40.51M,-2.91%
2019年11月20日,17.17,17.95,18.38,17.00,68.77M,1.60%
2019年11月19日,16.90,15.39,16.90,15.30,36.02M,10.03%
2019年11月18日,15.36,14.95,15.54,14.85,19.58M,0.99%
2019年11月15日,15.21,14.51,15.55,14.51,25.53M,5.33%
2019年11月14日,14.44,14.61,14.61,14.29,7.33M,-0.62%
2019年11月13日,14.53,14.87,14.88,14.48,7.21M,-1.69%
2019年11月12日,14.78,14.59,14.81,14.46,8.21M,-0.14%
2019年11月11日,14.80,14.70,15.07,14.46,13.28M,-0.80%
2019年11月8日,14.92,15.28,15.49,14.78,25.10M,1.70%
2019年11月7日,14.67,14.18,14.71,14.16,12.89M,3.53%
2019年11月6日,14.17,14.50,14.50,14.05,8.89M,-1.94%
2019年11月5日,14.45,14.48,14.53,14.27,8.33M,0.00%
2019年11月4日,14.45,14.55,14.73,14.33,8.00M,0.28%
2019年11月1日,14.41,14.31,14.54,14.23,8.93M,0.07%
2019年10月31日,14.40,14.35,14.53,14.12,11.75M,0.42%
2019年10月30日,14.34,14.79,14.86,14.32,11.16M,-4.14%
2019年10月29日,14.96,15.62,15.65,14.86,16.61M,-4.59%
2019年10月28日,15.68,15.50,15.70,15.22,14.20M,2.35%
2019年10月25日,15.32,15.45,15.58,15.19,8.62M,-1.79%
2019年10月24日,15.60,15.55,15.86,15.39,7.84M,-0.51%
2019年10月23日,15.68,16.38,16.38,15.62,16.02M,-6.11%
2019年10月22日,16.70,16.81,16.92,16.25,11.57M,-0.60%
2019年10月21日,16.80,16.51,16.80,16.23,9.66M,1.63%
2019年10月18日,16.53,16.61,16.75,16.15,8.94M,-1.14%
2019年10月17日,16.72,16.27,16.92,16.20,12.11M,1.89%
2019年10月16日,16.41,16.32,16.48,15.90,13.97M,1.17%
2019年10月15日,16.22,16.30,16.69,16.18,12.46M,-0.98%
2019年10月14日,16.38,16.06,16.95,16.06,19.40M,2.31%
2019年10月11日,16.01,15.82,16.10,15.35,11.41M,1.78%
2019年10月10日,15.73,15.70,15.93,15.60,7.51M,0.51%
2019年10月9日,15.65,15.55,15.67,15.30,5.54M,0.19%
2019年10月8日,15.62,15.92,16.14,15.49,8.53M,-1.76%
2019年9月30日,15.90,15.57,16.45,15.48,13.94M,2.45%
2019年9月27日,15.52,15.34,15.66,15.30,7.55M,1.44%
2019年9月26日,15.30,16.00,16.11,15.23,14.48M,-4.08%
2019年9月25日,15.95,16.00,16.29,15.86,12.31M,-0.87%
2019年9月24日,16.09,15.97,16.45,15.75,14.79M,-0.25%
2019年9月23日,16.13,16.83,16.86,15.80,22.61M,-5.62%
2019年9月20日,17.09,17.00,17.54,16.77,14.35M,0.12%
2019年9月19日,17.07,17.37,17.39,16.71,17.05M,-0.64%
2019年9月18日,17.18,16.69,17.39,16.43,26.09M,2.94%
2019年9月17日,16.69,16.20,17.10,16.06,24.01M,2.20%
2019年9月16日,16.33,16.01,16.70,15.70,20.23M,2.06%
2019年9月12日,16.00,15.99,16.07,15.73,8.77M,0.44%
2019年9月11日,15.93,15.93,16.09,15.71,12.14M,-0.06%
2019年9月10日,15.94,16.50,16.50,15.84,19.88M,-3.63%
2019年9月9日,16.54,16.04,16.60,15.85,21.70M,4.16%
2019年9月6日,15.88,15.90,16.16,15.64,16.45M,1.60%
2019年9月5日,15.63,15.81,16.20,15.60,30.39M,-1.14%
2019年9月4日,15.81,15.22,15.84,15.22,28.80M,3.13%
2019年9月3日,15.33,15.08,15.90,14.93,44.84M,2.75%
2019年9月2日,14.92,14.25,14.92,14.12,27.01M,10.03%
2019年8月30日,13.56,13.96,14.09,13.48,7.64M,-1.95%
2019年8月29日,13.83,13.99,14.00,13.73,5.72M,-0.72%
2019年8月28日,13.93,14.27,14.27,13.88,8.68M,-1.76%
2019年8月27日,14.18,13.80,14.25,13.78,10.83M,3.50%
2019年8月26日,13.70,13.50,13.74,13.36,5.15M,-1.72%
2019年8月23日,13.94,14.21,14.36,13.84,6.83M,-0.92%
2019年8月22日,14.07,13.98,14.13,13.73,6.91M,0.86%
2019年8月21日,13.95,14.10,14.17,13.85,7.52M,-1.76%
2019年8月20日,14.20,13.78,14.34,13.70,15.79M,3.05%
2019年8月19日,13.78,13.59,13.84,13.31,18.65M,3.30%
2019年8月16日,13.34,13.03,13.64,12.92,14.28M,2.54%
2019年8月15日,13.01,13.00,13.15,12.79,13.20M,-2.98%
2019年8月14日,13.41,13.49,13.62,13.32,7.66M,1.28%
2019年8月13日,13.24,13.45,13.50,13.20,5.25M,-2.50%
2019年8月12日,13.58,13.53,13.65,13.15,7.01M,0.37%
2019年8月9日,13.53,13.65,13.72,13.33,5.20M,-0.15%
2019年8月8日,13.55,13.61,13.84,13.51,5.74M,-0.44%
2019年8月7日,13.61,13.67,14.04,13.61,6.42M,-0.15%
2019年8月6日,13.63,13.38,13.82,12.90,14.30M,-1.94%
2019年8月5日,13.90,14.40,14.48,13.89,10.44M,-4.20%
2019年8月2日,14.51,14.50,14.80,14.18,13.93M,-2.68%
2019年8月1日,14.91,14.53,15.09,14.30,11.45M,1.71%
2019年7月31日,14.66,15.19,15.19,14.46,15.43M,-2.53%
2019年7月30日,15.04,14.31,15.26,14.31,25.84M,5.10%
2019年7月29日,14.31,15.00,15.00,14.10,16.99M,-5.17%
2019年7月26日,15.09,15.44,15.55,14.91,11.88M,-3.39%
2019年7月25日,15.62,15.54,15.65,15.33,5.56M,0.58%
2019年7月24日,15.53,15.66,16.05,15.45,8.37M,-0.89%
2019年7月23日,15.67,15.26,15.75,15.02,7.49M,1.89%
2019年7月22日,15.38,15.35,15.99,15.31,7.58M,0.00%
2019年7月19日,15.38,15.23,15.55,15.23,5.59M,1.05%
2019年7月18日,15.22,15.51,15.55,15.21,5.84M,-3.06%
2019年7月17日,15.70,15.80,15.86,15.58,4.74M,-0.38%
2019年7月16日,15.76,15.72,15.87,15.46,9.16M,0.45%
2019年7月15日,15.69,15.95,15.95,15.30,10.25M,-2.30%
2019年7月12日,16.06,16.59,16.60,15.06,18.46M,-3.25%
2019年7月11日,16.60,16.91,17.08,16.52,8.07M,-3.26%
2019年7月10日,17.16,17.50,17.56,16.57,12.30M,-1.83%
2019年7月9日,17.48,17.77,17.85,17.10,7.51M,-1.63%
2019年7月8日,17.77,18.40,18.41,17.64,19.65M,-9.34%
2019年7月5日,19.60,18.69,19.75,18.69,14.45M,4.53%
2019年7月4日,18.75,18.50,19.17,18.50,13.71M,1.35%
2019年7月3日,18.50,17.66,19.12,17.60,16.83M,4.82%
2019年7月2日,17.65,17.54,17.90,17.40,7.59M,0.28%
2019年7月1日,17.60,17.15,17.73,17.06,9.41M,4.27%
2019年6月28日,16.88,17.26,17.26,16.62,5.50M,-1.86%
2019年6月27日,17.20,17.03,17.49,17.00,5.11M,1.06%
2019年6月26日,17.02,17.10,17.19,16.88,4.05M,-0.99%
2019年6月25日,17.19,17.39,17.50,16.92,5.41M,-1.77%
2019年6月24日,17.50,17.65,17.97,17.39,8.89M,-0.79%
2019年6月21日,17.64,17.53,18.36,17.08,22.37M,-0.51%
2019年6月20日,17.73,17.97,18.09,17.30,14.11M,-3.59%
2019年6月19日,18.39,18.27,18.87,17.90,10.65M,4.43%
2019年6月18日,17.61,17.08,17.78,16.92,9.05M,3.35%
2019年6月17日,17.04,16.67,17.10,16.64,4.38M,1.37%
2019年6月14日,16.81,17.52,17.60,16.68,7.61M,-4.65%
2019年6月13日,17.63,17.19,18.04,16.91,10.24M,3.52%
2019年6月12日,17.03,17.25,17.60,17.01,4.63M,-1.22%
2019年6月11日,17.24,16.81,17.33,16.55,4.67M,2.56%
2019年6月10日,16.81,16.60,16.98,16.37,3.65M,1.57%
2019年6月6日,16.55,17.07,17.09,16.40,4.50M,-3.39%
2019年6月5日,17.13,17.49,17.68,16.70,7.52M,-1.83%
2019年6月4日,17.45,17.30,17.50,16.92,6.27M,2.41%
2019年6月3日,17.04,17.86,17.86,16.68,7.08M,-4.43%
2019年5月31日,17.83,17.43,17.95,17.43,4.20M,1.89%
2019年5月30日,17.50,17.60,17.75,17.29,3.70M,-0.96%
2019年5月29日,17.67,17.99,18.00,17.60,4.05M,-1.94%
2019年5月28日,18.02,18.00,18.18,17.69,6.13M,0.11%
2019年5月27日,18.00,17.93,18.09,17.28,8.94M,0.00%
2019年5月24日,18.00,17.94,18.09,17.33,6.75M,1.64%
2019年5月23日,17.71,17.95,18.30,17.33,6.49M,-2.48%
2019年5月22日,18.16,18.86,19.10,17.73,7.96M,-1.25%
2019年5月21日,18.39,17.30,18.66,17.26,13.32M,7.11%
2019年5月20日,17.17,19.00,19.00,17.17,12.04M,-10.01%
2019年5月17日,19.08,20.01,20.09,18.95,5.99M,-4.84%
2019年5月16日,20.05,20.01,20.14,19.79,2.71M,0.20%
2019年5月15日,20.01,20.00,20.25,19.81,3.29M,0.91%
2019年5月14日,19.83,19.65,20.49,19.65,4.41M,-1.39%
2019年5月13日,20.11,19.90,20.65,19.81,7.05M,-0.45%
2019年5月10日,20.20,19.22,20.55,19.02,10.93M,6.88%
2019年5月9日,18.90,19.39,19.70,18.88,5.06M,-3.52%
2019年5月8日,19.59,19.50,20.10,19.01,7.39M,-0.05%
