日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,20.65,21.02,21.28,20.60,6.29M,-0.96%
2020年3月26日,20.85,21.10,21.10,20.72,5.22M,-1.65%
2020年3月25日,21.20,20.70,21.36,20.65,9.55M,3.87%
2020年3月24日,20.41,20.17,20.43,19.67,7.64M,3.24%
2020年3月23日,19.77,20.04,20.65,19.76,7.18M,-3.42%
2020年3月20日,20.47,19.95,20.79,19.78,11.87M,2.97%
2020年3月19日,19.88,19.50,20.00,19.09,14.09M,1.48%
2020年3月18日,19.59,19.76,20.50,19.45,9.86M,0.72%
2020年3月17日,19.45,19.32,19.86,18.80,8.39M,1.14%
2020年3月16日,19.23,19.92,20.05,19.06,8.42M,-2.68%
2020年3月13日,19.76,18.89,19.99,18.89,8.16M,-1.15%
2020年3月12日,19.99,20.48,20.48,19.85,9.50M,-3.10%
2020年3月11日,20.63,20.73,21.21,20.40,9.89M,0.05%
2020年3月10日,20.62,20.42,20.94,20.04,10.44M,-1.10%
2020年3月9日,20.85,21.50,21.53,20.00,10.18M,-4.05%
2020年3月6日,21.73,21.60,22.09,21.59,7.15M,-0.96%
2020年3月5日,21.94,21.50,22.38,21.20,14.59M,2.38%
2020年3月4日,21.43,20.18,21.91,20.18,18.49M,7.42%
2020年3月3日,19.95,20.45,20.58,19.81,10.52M,-1.29%
2020年3月2日,20.21,19.18,20.45,19.18,13.75M,6.93%
2020年2月28日,18.90,19.21,19.61,18.90,9.07M,-2.98%
2020年2月27日,19.48,19.14,19.94,19.14,8.79M,2.42%
2020年2月26日,19.02,18.73,19.37,18.73,7.55M,-0.42%
2020年2月25日,19.10,19.00,19.23,18.48,11.65M,-0.98%
2020年2月24日,19.29,20.70,20.70,19.26,23.15M,-4.88%
2020年2月21日,20.28,19.80,20.40,19.55,9.25M,2.01%
2020年2月20日,19.88,20.18,20.28,19.62,12.28M,-2.02%
2020年2月19日,20.29,19.81,20.56,19.62,9.65M,2.79%
