日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,22.98,23.77,23.93,22.95,7.91M,-1.46%
2020年3月26日,23.32,23.59,23.93,23.21,9.14M,-2.18%
2020年3月25日,23.84,24.10,24.28,23.65,13.48M,1.45%
2020年3月24日,23.50,23.74,23.76,22.50,11.99M,2.09%
2020年3月23日,23.02,24.00,24.40,22.97,13.88M,-8.14%
2020年3月20日,25.06,25.78,25.92,24.79,12.13M,-1.65%
2020年3月19日,25.48,25.20,25.73,24.66,15.30M,2.37%
2020年3月18日,24.89,25.97,26.63,24.88,22.10M,-4.08%
2020年3月17日,25.95,26.08,26.35,24.77,16.73M,0.66%
2020年3月16日,25.78,27.08,27.17,24.51,17.24M,-4.70%
2020年3月13日,27.05,25.45,27.25,25.15,14.99M,1.16%
2020年3月12日,26.74,26.33,27.26,26.20,12.24M,-0.22%
2020年3月11日,26.80,27.79,28.19,26.73,14.35M,-3.25%
2020年3月10日,27.70,26.10,27.71,26.10,17.27M,6.09%
2020年3月9日,26.11,27.50,27.65,25.65,20.59M,-8.39%
2020年3月6日,28.50,28.65,28.96,28.21,14.32M,-1.72%
2020年3月5日,29.00,29.20,29.39,28.30,19.74M,0.52%
2020年3月4日,28.85,29.16,29.34,28.00,17.38M,-1.40%
2020年3月3日,29.26,29.50,30.22,28.66,24.86M,1.21%
2020年3月2日,28.91,28.67,29.51,27.90,22.28M,3.40%
2020年2月28日,27.96,28.82,29.80,27.90,27.80M,-9.49%
2020年2月27日,30.89,31.13,32.50,29.54,24.50M,-0.42%
2020年2月26日,31.02,33.20,33.73,30.94,31.33M,-9.77%
2020年2月25日,34.38,32.03,35.64,30.71,35.35M,2.93%
2020年2月24日,33.40,32.60,34.18,31.41,30.81M,5.03%
2020年2月21日,31.80,31.30,32.99,31.01,37.12M,5.30%
2020年2月20日,30.20,29.31,30.56,28.66,35.81M,3.25%
2020年2月19日,29.25,30.90,30.90,29.20,42.57M,-4.35%
2020年2月18日,30.58,29.02,30.58,28.77,43.84M,10.00%
2020年2月17日,27.80,25.50,27.80,25.44,33.11M,10.01%
2020年2月14日,25.27,24.69,25.66,24.40,21.32M,3.10%
2020年2月13日,24.51,24.61,25.22,24.21,22.95M,-0.77%
2020年2月12日,24.70,23.28,25.10,23.20,27.80M,7.39%
2020年2月11日,23.00,23.32,23.90,22.44,13.10M,-0.73%
2020年2月10日,23.17,22.50,23.77,22.40,16.66M,4.04%
2020年2月7日,22.27,20.65,22.39,20.60,11.92M,6.86%
2020年2月6日,20.84,20.40,20.97,20.15,10.25M,1.81%
2020年2月5日,20.47,20.28,20.97,20.20,11.24M,1.19%
2020年2月4日,20.23,19.26,20.70,19.25,15.41M,-3.62%
2020年2月3日,20.99,20.99,20.99,20.99,1.22M,-9.99%
2020年1月23日,23.32,24.42,24.63,23.00,11.81M,-5.70%
2020年1月22日,24.73,23.94,24.76,23.65,11.71M,2.87%
2020年1月21日,24.04,24.03,24.53,23.97,9.13M,-0.54%
2020年1月20日,24.17,23.59,24.20,23.40,9.02M,2.63%
2020年1月17日,23.55,23.70,23.87,23.53,6.15M,-0.55%
2020年1月16日,23.68,24.06,24.14,23.68,7.38M,-1.42%
2020年1月15日,24.02,24.25,24.47,23.87,10.48M,-0.58%
2020年1月14日,24.16,23.96,24.22,23.81,10.76M,0.88%
