日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,35.66,37.55,37.76,35.01,60.61M,-3.78%
2020年3月26日,37.06,38.00,38.41,36.78,62.10M,-5.34%
2020年3月25日,39.15,40.24,40.48,38.75,72.98M,-0.13%
2020年3月24日,39.20,39.10,39.48,36.50,89.00M,3.70%
2020年3月23日,37.80,36.95,40.25,36.83,87.68M,-1.56%
2020年3月20日,38.40,37.76,38.88,36.83,94.30M,1.69%
2020年3月19日,37.76,34.28,37.76,34.20,108.54M,9.99%
2020年3月18日,34.33,36.90,37.65,34.11,86.04M,-5.95%
2020年3月17日,36.50,38.51,38.85,34.80,94.83M,-3.26%
2020年3月16日,37.73,39.50,40.65,36.71,116.07M,-4.38%
2020年3月13日,39.46,39.28,41.95,39.26,129.60M,-4.57%
2020年3月12日,41.35,36.72,41.60,36.61,119.79M,9.10%
2020年3月11日,37.90,38.20,40.88,37.62,130.50M,0.50%
2020年3月10日,37.71,34.51,37.95,32.02,112.26M,9.30%
2020年3月9日,34.50,33.50,36.30,33.03,82.19M,2.53%
2020年3月6日,33.65,32.01,34.66,31.70,51.70M,1.94%
2020年3月5日,33.01,35.50,35.85,32.90,76.37M,-0.87%
2020年3月4日,33.30,32.55,33.58,31.60,65.37M,0.91%
2020年3月3日,33.00,34.98,36.20,32.61,107.55M,0.06%
2020年3月2日,32.98,31.31,32.98,30.55,69.53M,10.01%
2020年2月28日,29.98,28.01,30.45,28.01,48.19M,1.63%
2020年2月27日,29.50,29.05,29.88,28.21,49.82M,2.47%
2020年2月26日,28.79,30.16,30.78,28.50,70.07M,-7.40%
2020年2月25日,31.09,30.00,31.47,28.75,106.50M,7.43%
2020年2月24日,28.94,27.17,28.94,27.17,60.49M,10.00%
2020年2月21日,26.31,25.83,26.67,25.70,24.85M,1.82%
2020年2月20日,25.84,25.71,25.98,25.24,17.63M,0.58%
2020年2月19日,25.69,25.96,26.14,25.60,15.80M,-1.00%
2020年2月18日,25.95,25.62,26.15,25.45,18.30M,1.37%
2020年2月17日,25.60,24.46,25.63,24.41,22.75M,5.13%
