日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,38.82,39.30,40.33,38.66,17.79M,0.05%
2020年3月26日,38.80,38.27,39.19,38.20,14.94M,0.34%
2020年3月25日,38.67,38.74,39.12,37.40,30.63M,3.78%
2020年3月24日,37.26,35.16,37.37,35.10,39.70M,8.95%
2020年3月23日,34.20,35.00,36.07,34.20,29.61M,-5.29%
2020年3月20日,36.11,36.54,36.69,35.40,30.47M,0.31%
2020年3月19日,36.00,37.80,37.99,34.45,63.01M,-5.39%
2020年3月18日,38.05,38.80,39.79,38.05,23.94M,-0.76%
2020年3月17日,38.34,39.00,39.80,37.30,26.59M,-1.59%
2020年3月16日,38.96,41.14,41.50,38.60,26.18M,-5.32%
2020年3月13日,41.15,39.50,41.66,38.55,35.85M,-1.03%
2020年3月12日,41.58,42.70,42.76,40.99,25.20M,-3.66%
2020年3月11日,43.16,43.99,44.49,43.05,14.57M,-1.75%
2020年3月10日,43.93,43.76,44.60,42.85,25.81M,-0.14%
2020年3月9日,43.99,44.72,44.88,43.31,20.52M,-2.03%
2020年3月6日,44.90,44.63,45.50,44.36,20.12M,0.42%
2020年3月5日,44.71,43.64,45.29,43.18,32.58M,2.55%
2020年3月4日,43.60,42.00,43.80,41.92,28.45M,2.78%
2020年3月3日,42.42,42.58,43.10,41.86,22.24M,1.00%
2020年3月2日,42.00,40.55,42.30,40.55,23.36M,5.00%
2020年2月28日,40.00,39.90,41.09,39.89,19.30M,-4.01%
2020年2月27日,41.67,40.89,41.97,40.68,17.36M,2.16%
2020年2月26日,40.79,41.84,42.17,40.43,25.49M,-3.75%
2020年2月25日,42.38,41.82,42.58,41.31,17.96M,-0.75%
2020年2月24日,42.70,42.70,42.99,41.81,23.47M,-1.39%
2020年2月21日,43.30,43.60,43.70,43.06,19.01M,-1.14%
2020年2月20日,43.80,41.55,44.28,41.35,36.89M,5.52%
2020年2月19日,41.51,42.01,42.02,41.43,13.30M,-1.45%
2020年2月18日,42.12,42.22,42.84,41.82,17.21M,-0.14%
2020年2月17日,42.18,41.12,42.40,41.10,21.04M,2.60%
2020年2月14日,41.11,41.02,41.79,40.82,15.56M,-0.51%
2020年2月13日,41.32,41.60,41.62,40.68,18.01M,-1.10%
2020年2月12日,41.78,41.70,42.15,41.15,16.80M,-0.29%
2020年2月11日,41.90,41.10,42.11,41.10,21.16M,1.90%
2020年2月10日,41.12,40.25,41.69,39.95,22.39M,2.03%
2020年2月7日,40.30,40.00,40.60,39.54,19.63M,-0.10%
2020年2月6日,40.34,39.38,40.74,39.21,23.42M,1.46%
2020年2月5日,39.76,39.87,40.22,39.00,32.12M,1.22%
2020年2月4日,39.28,37.20,39.55,37.20,35.84M,6.65%
2020年2月3日,36.83,36.50,38.50,36.00,56.77M,-7.92%
2020年1月23日,40.00,41.89,42.11,39.49,42.56M,-5.62%
2020年1月22日,42.38,42.50,42.70,41.73,17.60M,-0.87%
2020年1月21日,42.75,43.00,43.80,42.42,16.68M,-0.67%
2020年1月20日,43.04,43.40,43.70,42.53,20.05M,0.12%
