日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,114.34,118.89,119.01,114.18,16.09M,-3.10%
2020年3月26日,118.00,116.80,120.20,116.06,13.81M,-0.32%
2020年3月25日,118.38,118.40,120.00,116.10,17.86M,3.15%
2020年3月24日,114.77,115.00,116.00,111.82,19.19M,2.93%
2020年3月23日,111.50,111.60,114.36,109.50,21.16M,-4.46%
2020年3月20日,116.70,122.12,123.14,115.11,21.52M,-2.86%
2020年3月19日,120.13,117.61,121.00,114.50,21.49M,2.23%
2020年3月18日,117.51,116.00,125.20,115.63,31.78M,3.06%
2020年3月17日,114.02,116.59,118.32,108.56,20.83M,0.02%
2020年3月16日,114.00,124.20,124.28,110.83,27.62M,-7.01%
2020年3月13日,122.60,115.58,125.50,115.51,23.78M,0.66%
2020年3月12日,121.80,125.20,126.97,120.00,26.58M,-4.44%
2020年3月11日,127.46,130.00,133.96,125.16,28.55M,-2.19%
2020年3月10日,130.31,134.12,137.00,126.03,31.61M,-2.38%
2020年3月9日,133.49,127.99,139.92,126.70,37.20M,4.29%
2020年3月6日,128.00,124.50,133.29,124.50,35.92M,1.11%
2020年3月5日,126.60,123.00,129.98,121.88,32.60M,4.03%
2020年3月4日,121.70,118.51,124.00,118.51,23.64M,1.76%
2020年3月3日,119.59,121.83,122.80,119.25,22.91M,-0.34%
2020年3月2日,120.00,115.50,123.48,115.45,34.00M,3.00%
2020年2月28日,116.50,114.12,121.21,114.11,26.24M,-1.77%
2020年2月27日,118.60,116.00,123.40,114.00,33.04M,2.24%
2020年2月26日,116.00,119.91,122.00,115.01,26.88M,-3.31%
2020年2月25日,119.97,110.10,121.00,109.70,28.20M,7.53%
2020年2月24日,111.57,109.00,113.50,107.50,21.46M,1.00%
2020年2月21日,110.46,108.00,112.79,106.40,19.64M,2.08%
2020年2月20日,108.21,109.75,110.50,107.02,18.17M,0.38%
2020年2月19日,107.80,107.00,111.93,107.00,23.36M,1.46%
2020年2月18日,106.25,104.00,106.75,103.11,14.92M,0.76%
2020年2月17日,105.45,106.01,107.85,103.71,20.83M,-0.53%
2020年2月14日,106.01,99.80,106.52,99.80,31.20M,7.99%
2020年2月13日,98.17,98.68,99.63,96.19,15.90M,-0.08%
2020年2月12日,98.25,99.99,100.70,97.40,22.09M,-1.76%
2020年2月11日,100.01,99.21,103.00,99.21,20.43M,0.81%
2020年2月10日,99.21,92.48,101.60,92.48,28.80M,7.31%
2020年2月7日,92.45,88.90,94.32,86.35,25.85M,2.59%
2020年2月6日,90.12,84.98,90.12,82.10,26.70M,10.00%
2020年2月5日,81.93,83.01,84.88,81.55,19.65M,1.20%
2020年2月4日,80.96,75.03,80.96,75.00,22.87M,10.00%
2020年2月3日,73.60,73.51,76.56,73.51,26.38M,-9.89%
2020年1月23日,81.68,83.90,85.43,80.66,16.28M,-5.08%
2020年1月22日,86.05,87.88,87.88,83.36,18.01M,-2.77%
2020年1月21日,88.50,90.56,90.98,88.40,8.53M,-2.57%
2020年1月20日,90.83,88.86,91.49,86.70,13.92M,2.26%
2020年1月17日,88.82,90.57,91.18,88.10,12.15M,-1.86%
2020年1月16日,90.50,89.68,92.35,88.08,13.14M,0.91%
2020年1月15日,89.68,94.98,95.00,88.79,19.99M,-1.24%
2020年1月14日,90.81,91.55,92.39,90.13,9.75M,-0.62%
2020年1月13日,91.38,90.66,92.61,89.80,12.77M,0.66%
2020年1月10日,90.78,93.40,93.43,90.15,14.82M,-2.92%
2020年1月9日,93.51,94.80,95.58,93.00,10.94M,-1.44%
2020年1月8日,94.88,94.21,96.35,92.68,20.11M,1.15%
2020年1月7日,93.80,90.50,94.99,90.35,19.91M,3.82%
2020年1月6日,90.35,89.60,91.31,89.50,11.87M,-0.50%
2020年1月3日,90.80,92.38,93.67,89.12,16.46M,-1.11%
2020年1月2日,91.82,90.05,92.86,90.01,21.28M,3.41%
2019年12月31日,88.79,85.20,90.50,85.18,28.17M,4.34%
2019年12月30日,85.10,83.30,85.23,81.20,24.88M,2.57%
2019年12月27日,82.97,78.79,83.17,78.22,28.86M,6.67%
2019年12月26日,77.78,78.70,78.86,77.25,8.65M,-0.51%
2019年12月25日,78.18,78.85,79.44,78.00,9.12M,-0.75%
2019年12月24日,78.77,80.17,80.88,77.90,14.62M,-1.76%
2019年12月23日,80.18,83.30,83.88,80.01,17.71M,-3.56%
2019年12月20日,83.14,81.50,83.49,81.09,19.27M,1.82%
2019年12月19日,81.65,81.90,82.54,80.78,13.12M,-0.32%
2019年12月18日,81.91,83.12,84.20,81.90,15.04M,-2.21%
2019年12月17日,83.76,82.87,84.90,82.00,18.43M,1.06%
2019年12月16日,82.88,83.50,83.75,81.41,14.03M,-0.44%
2019年12月13日,83.25,82.39,83.89,79.89,14.27M,0.77%
2019年12月12日,82.61,83.65,84.37,82.46,13.72M,0.32%
2019年12月11日,82.35,83.50,84.42,82.12,16.84M,-1.96%
2019年12月10日,84.00,86.90,86.90,83.10,31.53M,-5.30%
2019年12月9日,88.70,90.89,91.15,87.70,19.57M,-2.69%
2019年12月6日,91.15,91.01,93.70,90.72,17.81M,0.83%
2019年12月5日,90.40,91.40,91.47,89.75,9.04M,-0.22%
2019年12月4日,90.60,89.90,90.80,88.28,8.72M,0.72%
2019年12月3日,89.95,90.68,93.35,89.19,15.65M,-0.24%
2019年12月2日,90.17,89.69,92.36,89.09,19.23M,3.88%
2019年11月29日,86.80,90.68,91.00,85.90,20.02M,-4.09%
2019年11月28日,90.50,90.04,91.97,88.34,9.15M,0.62%
2019年11月27日,89.94,90.85,91.89,89.44,8.24M,-1.16%
2019年11月26日,91.00,90.45,91.27,88.95,11.09M,2.00%
2019年11月25日,89.22,92.10,92.80,88.48,14.63M,-3.02%
2019年11月22日,92.00,94.20,95.35,90.65,12.22M,-1.64%
2019年11月21日,93.53,92.60,94.55,91.94,10.88M,1.11%
2019年11月20日,92.50,96.00,96.24,92.20,15.45M,-3.32%
2019年11月19日,95.68,93.40,95.85,93.02,14.85M,3.36%
2019年11月18日,92.57,90.31,93.55,87.37,20.20M,1.97%
2019年11月15日,90.78,94.00,94.00,90.09,18.55M,-4.39%
2019年11月14日,94.95,95.20,95.45,92.80,10.83M,0.87%
2019年11月13日,94.13,95.99,97.39,93.30,16.37M,-1.95%
2019年11月12日,96.00,93.61,97.48,93.61,16.46M,2.26%
2019年11月11日,93.88,92.20,96.24,92.00,14.61M,0.92%
2019年11月8日,93.02,95.68,96.44,92.63,13.83M,-2.78%
2019年11月7日,95.68,94.00,98.07,93.00,17.04M,0.94%
2019年11月6日,94.79,99.11,99.14,91.79,28.09M,-4.35%
2019年11月5日,99.10,95.67,99.10,95.51,20.58M,3.60%
2019年11月4日,95.66,93.83,96.29,93.33,19.76M,1.07%
2019年11月1日,94.65,96.64,97.00,92.30,27.31M,-3.91%
2019年10月31日,98.50,101.00,101.58,97.07,15.18M,-1.68%
2019年10月30日,100.18,100.28,102.59,97.01,16.04M,-0.84%
2019年10月29日,101.03,99.90,103.60,98.60,21.49M,1.25%
2019年10月28日,99.78,97.80,103.60,96.50,28.11M,0.05%
2019年10月25日,99.73,91.99,99.73,90.10,30.60M,10.00%
2019年10月24日,90.66,89.94,91.59,88.60,15.68M,1.42%
2019年10月23日,89.39,89.66,90.40,88.61,11.36M,-0.46%
2019年10月22日,89.80,88.50,90.30,86.33,17.66M,1.73%
2019年10月21日,88.27,88.50,90.70,87.59,25.41M,1.11%
2019年10月18日,87.30,83.30,88.66,82.50,24.42M,5.12%
2019年10月17日,83.05,82.79,84.37,81.70,10.54M,0.85%
2019年10月16日,82.35,83.50,83.79,82.00,10.55M,-1.72%
2019年10月15日,83.79,82.00,85.40,81.78,14.93M,0.77%
2019年10月14日,83.15,82.30,83.50,80.10,21.96M,1.03%
2019年10月11日,82.30,81.19,83.66,80.70,19.88M,0.35%
2019年10月10日,82.01,76.60,82.87,76.10,30.59M,7.91%
2019年10月9日,76.00,75.80,76.40,74.30,17.10M,1.13%
2019年10月8日,75.15,73.60,75.48,71.50,25.51M,6.60%
2019年9月30日,70.50,68.15,71.41,68.00,16.04M,3.68%
2019年9月27日,68.00,63.52,68.58,63.52,26.82M,8.56%
2019年9月26日,62.64,69.60,70.26,62.64,34.12M,-10.00%
2019年9月25日,69.60,69.50,70.46,68.86,11.65M,0.16%
2019年9月24日,69.49,72.25,72.25,69.01,20.23M,-4.10%
2019年9月23日,72.46,74.50,74.77,72.30,8.56M,-3.35%
2019年9月20日,74.97,74.40,75.71,73.90,10.33M,-0.01%
2019年9月19日,74.98,72.20,75.08,71.21,15.74M,4.02%
2019年9月18日,72.08,72.30,72.53,71.51,6.95M,-0.30%
2019年9月17日,72.30,71.78,73.16,71.62,9.82M,0.42%
2019年9月16日,72.00,70.90,73.15,70.20,19.36M,2.42%
2019年9月12日,70.30,69.99,70.50,68.43,13.32M,0.72%
2019年9月11日,69.80,71.77,72.80,69.80,28.38M,-4.38%
2019年9月10日,73.00,72.92,74.48,72.30,16.50M,0.03%
2019年9月9日,72.98,76.18,76.20,71.50,37.35M,-4.00%
2019年9月6日,76.02,81.90,81.95,74.80,35.07M,-7.73%
2019年9月5日,82.39,81.00,82.98,79.50,17.72M,2.78%
2019年9月4日,80.16,80.00,81.68,79.54,16.04M,-1.04%
2019年9月3日,81.00,80.99,82.40,80.08,13.55M,0.91%
2019年9月2日,80.27,80.55,82.00,78.50,17.37M,-0.16%
2019年8月30日,80.40,80.33,82.48,79.00,18.84M,0.11%
2019年8月29日,80.31,80.85,82.25,79.38,15.46M,-0.51%
2019年8月28日,80.72,78.90,82.22,77.30,23.39M,3.06%
2019年8月27日,78.32,74.00,78.42,73.22,34.04M,9.86%
2019年8月26日,71.29,69.18,71.40,69.10,12.02M,2.11%
2019年8月23日,69.82,71.49,71.49,69.50,9.01M,-1.87%
2019年8月22日,71.15,69.85,71.90,69.00,11.86M,1.40%
2019年8月21日,70.17,70.40,70.99,70.00,9.14M,-0.40%
2019年8月20日,70.45,70.00,71.59,69.35,14.53M,-1.26%
2019年8月19日,71.35,75.55,75.89,67.59,42.10M,-4.99%
2019年8月16日,75.10,72.60,76.45,72.02,17.11M,3.80%
2019年8月15日,72.35,71.16,72.80,70.45,13.65M,0.10%
2019年8月14日,72.28,73.49,73.49,71.85,13.32M,-0.59%
2019年8月13日,72.71,73.50,74.50,72.50,10.63M,-1.01%
2019年8月12日,73.45,72.56,75.40,70.63,22.52M,0.98%
2019年8月9日,72.74,76.27,76.29,72.60,14.35M,-3.87%
2019年8月8日,75.67,75.99,76.95,74.67,9.67M,0.48%
2019年8月7日,75.31,76.10,78.40,74.80,14.00M,0.07%
2019年8月6日,75.26,73.77,76.66,71.60,20.76M,-3.02%
2019年8月5日,77.60,79.11,80.55,77.29,17.52M,-0.77%
2019年8月2日,78.20,76.34,78.50,76.34,12.81M,1.05%
2019年8月1日,77.39,76.14,78.77,76.10,13.81M,1.03%
2019年7月31日,76.60,76.70,78.20,76.25,10.87M,-0.73%
2019年7月30日,77.16,75.98,77.95,75.10,15.16M,1.53%
2019年7月29日,76.00,71.51,76.20,70.36,20.85M,6.23%
2019年7月26日,71.54,71.32,72.49,70.40,12.95M,-0.24%
2019年7月25日,71.71,70.35,71.90,70.08,10.62M,1.41%
2019年7月24日,70.71,70.30,71.20,69.60,10.79M,0.61%
2019年7月23日,70.28,70.00,71.32,68.91,11.77M,-0.52%
2019年7月22日,70.65,71.41,73.40,69.46,16.23M,-1.53%
2019年7月19日,71.75,70.31,71.85,69.73,14.08M,1.79%
2019年7月18日,70.49,70.15,71.81,69.00,15.78M,0.43%
2019年7月17日,70.19,68.89,73.99,68.10,29.03M,2.72%
2019年7月16日,68.33,68.80,69.77,68.00,12.42M,-0.86%
2019年7月15日,68.92,65.40,69.88,64.80,17.70M,5.66%
2019年7月12日,65.23,65.36,65.88,63.85,10.70M,0.11%
2019年7月11日,65.16,64.98,65.95,63.82,11.60M,0.79%
2019年7月10日,64.65,64.69,66.74,63.80,14.57M,-0.23%
2019年7月9日,64.80,62.03,65.50,61.30,22.65M,2.97%
2019年7月8日,62.93,62.00,63.62,61.27,21.45M,3.08%
2019年7月5日,61.05,59.48,61.61,59.03,14.04M,3.53%
2019年7月4日,58.97,61.38,61.40,58.64,13.35M,-3.15%
2019年7月3日,60.89,63.00,63.74,60.55,15.18M,-3.94%
2019年7月2日,63.39,61.38,63.80,61.00,16.32M,3.39%
2019年7月1日,61.31,59.20,61.77,57.97,14.13M,4.29%
2019年6月28日,58.79,58.53,58.92,58.24,5.52M,0.50%
2019年6月27日,58.50,57.95,58.85,57.60,8.94M,0.86%
2019年6月26日,58.00,57.51,58.66,57.05,8.01M,-0.41%
2019年6月25日,58.24,58.96,59.60,57.51,9.99M,-2.59%
2019年6月24日,59.79,58.00,60.43,57.07,14.62M,1.77%
2019年6月21日,58.75,60.75,61.16,57.99,24.07M,-4.24%
2019年6月20日,61.35,61.91,61.99,59.95,17.63M,-0.97%
2019年6月19日,61.95,65.50,65.60,61.60,19.85M,-0.78%
2019年6月18日,62.44,61.02,62.70,59.60,16.22M,3.41%
2019年6月17日,60.38,62.12,64.36,59.70,14.64M,-2.25%
2019年6月14日,61.77,61.21,62.70,61.01,11.82M,-0.37%
2019年6月13日,62.00,62.00,62.78,60.36,11.67M,1.51%
2019年6月12日,61.08,60.50,62.23,60.31,10.77M,-0.81%
2019年6月11日,61.58,58.31,61.58,57.82,16.30M,6.17%
2019年6月10日,58.00,58.15,58.50,55.68,12.99M,-0.02%
2019年6月6日,58.01,60.03,60.28,57.20,28.11M,-6.44%
2019年6月5日,62.00,63.20,64.30,61.69,15.84M,-3.67%
2019年6月4日,64.36,64.20,66.50,62.22,19.64M,-1.20%
2019年6月3日,65.14,65.00,68.29,63.04,27.16M,2.83%
2019年5月31日,63.35,60.88,63.65,58.80,26.89M,4.28%
2019年5月30日,60.75,60.02,61.94,58.28,21.37M,2.60%
2019年5月29日,59.21,60.21,61.15,58.79,25.55M,-3.61%
2019年5月28日,61.43,59.98,61.97,59.03,26.56M,4.47%
2019年5月27日,58.80,55.00,59.38,54.55,23.27M,8.67%
2019年5月24日,54.11,55.70,57.00,52.70,20.02M,-2.85%
2019年5月23日,55.70,58.30,59.30,55.48,13.35M,-4.33%
2019年5月22日,58.22,58.20,60.35,57.63,11.49M,-0.65%
2019年5月21日,58.60,56.41,58.90,56.18,12.81M,5.28%
2019年5月20日,55.66,59.46,59.46,55.03,17.70M,-7.08%
2019年5月17日,59.90,61.94,63.13,59.59,13.70M,-2.78%
2019年5月16日,61.61,61.00,62.68,60.80,15.70M,1.58%
2019年5月15日,60.65,60.29,61.12,59.65,12.39M,1.63%
2019年5月14日,59.68,60.00,61.35,58.65,14.87M,-0.42%
2019年5月13日,59.93,61.68,61.68,59.68,9.88M,-2.63%
2019年5月10日,61.55,60.62,62.56,59.73,16.67M,3.60%
2019年5月9日,59.41,57.50,60.21,57.50,14.12M,2.52%
2019年5月8日,57.95,60.00,60.29,55.52,21.66M,-5.00%
2019年5月7日,61.00,61.85,63.30,57.43,18.20M,1.53%
2019年5月6日,60.08,60.99,64.76,58.99,16.34M,-6.27%
