日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,42.00,43.88,44.00,41.60,25.54M,-2.69%
2020年3月26日,43.16,42.41,44.35,41.61,36.82M,1.84%
2020年3月25日,42.38,41.50,42.74,41.08,32.64M,5.29%
2020年3月24日,40.25,42.80,43.75,38.00,50.83M,-3.55%
2020年3月23日,41.73,42.45,43.74,41.50,24.80M,-4.94%
2020年3月20日,43.90,44.87,45.10,42.93,24.27M,-0.45%
2020年3月19日,44.10,42.20,44.39,41.51,35.53M,3.74%
2020年3月18日,42.51,44.00,45.28,42.28,39.42M,-3.30%
2020年3月17日,43.96,43.10,44.39,41.20,45.39M,5.80%
2020年3月16日,41.55,43.40,44.68,41.01,35.52M,-5.12%
2020年3月13日,43.79,40.70,44.95,40.70,43.31M,1.93%
2020年3月12日,42.96,42.00,43.65,41.02,36.77M,0.85%
2020年3月11日,42.60,45.27,45.27,42.52,44.25M,-5.96%
2020年3月10日,45.30,44.18,45.49,42.42,47.97M,3.42%
2020年3月9日,43.80,45.42,45.42,43.00,43.33M,-5.85%
2020年3月6日,46.52,45.96,47.75,45.25,32.37M,-1.34%
2020年3月5日,47.15,50.17,50.50,45.68,64.57M,-4.15%
2020年3月4日,49.19,52.90,54.85,48.07,63.46M,-7.90%
2020年3月3日,53.41,50.20,54.34,49.66,57.72M,8.12%
2020年3月2日,49.40,47.40,50.67,44.66,59.20M,7.25%
2020年2月28日,46.06,48.50,49.73,45.86,61.19M,-8.17%
2020年2月27日,50.16,45.12,50.16,45.12,74.36M,10.00%
2020年2月26日,45.60,44.90,46.00,43.39,54.79M,-1.53%
2020年2月25日,46.31,46.10,48.24,43.03,48.99M,-1.72%
2020年2月24日,47.12,44.81,48.50,44.68,42.14M,4.69%
2020年2月21日,45.01,43.30,45.99,43.30,42.90M,3.97%
2020年2月20日,43.29,43.13,44.27,42.45,52.19M,-0.62%
2020年2月19日,43.56,44.09,45.09,43.55,43.98M,-2.57%
2020年2月18日,44.71,43.00,45.00,43.00,47.57M,1.59%
2020年2月17日,44.01,43.40,44.65,42.38,36.86M,3.12%
2020年2月14日,42.68,41.71,45.20,41.55,46.25M,0.85%
2020年2月13日,42.32,41.90,43.70,40.78,70.83M,-0.66%
2020年2月12日,42.60,38.50,42.60,38.03,67.89M,9.99%
2020年2月11日,38.73,38.70,39.17,37.52,39.82M,0.26%
2020年2月10日,38.63,37.96,39.88,37.05,56.61M,1.39%
2020年2月7日,38.10,37.99,39.20,36.56,67.37M,6.31%
2020年2月6日,35.84,33.01,35.84,32.60,33.41M,10.01%
2020年2月5日,32.58,32.00,33.60,31.68,33.73M,3.59%
2020年2月4日,31.45,29.59,31.61,29.50,42.83M,7.34%
2020年2月3日,29.30,29.30,30.38,29.30,39.39M,-10.01%
2020年1月23日,32.56,33.67,34.34,32.15,30.64M,-4.18%
2020年1月22日,33.98,33.58,34.66,32.55,27.22M,1.13%
2020年1月21日,33.60,33.55,34.37,33.30,21.62M,-0.86%
2020年1月20日,33.89,32.89,34.27,32.27,34.70M,3.67%
2020年1月17日,32.69,32.77,33.24,32.01,40.64M,3.03%
2020年1月16日,31.73,31.95,32.18,31.59,16.47M,-0.53%
2020年1月15日,31.90,31.78,31.99,31.18,19.95M,0.31%
2020年1月14日,31.80,32.38,32.38,31.60,39.18M,-1.09%
