日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,19.55,19.80,20.10,19.42,17.72M,-0.86%
2020年3月26日,19.72,20.39,20.39,19.65,20.87M,-3.85%
2020年3月25日,20.51,19.18,20.55,19.13,36.88M,9.39%
2020年3月24日,18.75,18.19,19.00,17.94,25.28M,4.57%
2020年3月23日,17.93,18.85,18.85,17.86,35.85M,-7.24%
2020年3月20日,19.33,19.42,19.55,19.08,21.72M,0.10%
2020年3月19日,19.31,19.93,20.00,18.78,28.21M,-3.59%
2020年3月18日,20.03,20.47,20.68,20.03,14.82M,-1.04%
2020年3月17日,20.24,21.00,21.28,19.87,29.74M,-3.94%
2020年3月16日,21.07,21.80,21.85,20.90,33.20M,-3.35%
2020年3月13日,21.80,21.00,21.91,21.00,26.94M,-2.72%
2020年3月12日,22.41,22.80,22.90,22.28,15.83M,-2.40%
2020年3月11日,22.96,23.10,23.29,22.93,16.24M,-1.33%
2020年3月10日,23.27,22.52,23.32,21.00,23.96M,1.22%
2020年3月9日,22.99,23.20,23.21,22.85,18.54M,-2.42%
2020年3月6日,23.56,23.63,23.74,23.43,14.21M,-1.55%
2020年3月5日,23.93,23.80,23.93,23.34,23.00M,1.70%
2020年3月4日,23.53,23.33,23.60,23.31,13.06M,0.21%
2020年3月3日,23.48,23.85,24.11,23.29,16.97M,-0.89%
2020年3月2日,23.69,23.00,23.78,23.00,14.23M,2.24%
2020年2月28日,23.17,23.80,23.80,23.02,20.47M,-4.65%
2020年2月27日,24.30,24.59,24.81,24.20,12.42M,-0.82%
2020年2月26日,24.50,24.71,24.98,24.50,12.95M,-1.88%
2020年2月25日,24.97,24.80,25.10,24.50,13.87M,-0.76%
2020年2月24日,25.16,24.97,25.22,24.77,19.79M,0.60%
2020年2月21日,25.01,25.15,25.38,24.66,18.71M,-0.32%
2020年2月20日,25.09,24.70,25.15,24.60,15.17M,1.83%
2020年2月19日,24.64,24.99,25.05,24.60,9.73M,-1.08%
2020年2月18日,24.91,25.28,25.40,24.79,11.83M,-1.46%
2020年2月17日,25.28,24.50,25.42,24.50,15.13M,3.65%
2020年2月14日,24.39,24.01,24.50,23.96,8.30M,1.08%
2020年2月13日,24.13,24.60,24.65,24.07,9.60M,-1.55%
2020年2月12日,24.51,24.51,24.71,24.20,13.31M,0.16%
2020年2月11日,24.47,24.29,24.73,24.01,13.71M,1.41%
2020年2月10日,24.13,23.75,24.15,23.50,13.59M,1.26%
2020年2月7日,23.83,23.95,23.95,23.41,12.74M,-0.50%
2020年2月6日,23.95,23.70,24.30,23.33,20.70M,0.21%
2020年2月5日,23.90,23.95,24.36,23.66,14.68M,0.17%
2020年2月4日,23.86,22.79,24.38,22.79,17.25M,5.20%
2020年2月3日,22.68,22.13,23.48,22.13,25.90M,-7.77%
2020年1月23日,24.59,25.05,25.09,24.00,18.76M,-1.64%
2020年1月22日,25.00,24.74,25.15,24.25,12.75M,1.01%
2020年1月21日,24.75,25.15,25.15,24.56,13.47M,-1.08%
2020年1月20日,25.02,25.45,25.53,24.88,16.92M,-2.42%
2020年1月17日,25.64,25.82,25.95,25.08,17.33M,-0.70%
2020年1月16日,25.82,25.90,26.08,25.68,10.68M,0.12%
2020年1月15日,25.79,26.01,26.11,25.53,15.57M,-1.53%
2020年1月14日,26.19,25.35,26.25,25.35,23.79M,3.76%
2020年1月13日,25.24,24.98,25.24,24.76,13.39M,0.68%
2020年1月10日,25.07,25.20,25.29,24.97,8.85M,-0.08%
2020年1月9日,25.09,25.26,25.48,24.85,12.51M,0.32%
2020年1月8日,25.01,24.93,25.46,24.72,16.53M,0.40%
2020年1月7日,24.91,25.06,25.25,24.81,12.81M,0.16%
2020年1月6日,24.87,24.41,25.43,24.21,22.52M,1.43%
2020年1月3日,24.52,24.58,24.68,24.34,14.03M,-0.16%
2020年1月2日,24.56,24.00,24.71,23.99,20.17M,2.38%
2019年12月31日,23.99,23.13,24.26,23.03,24.93M,3.01%
2019年12月30日,23.29,22.75,23.32,22.50,21.15M,2.42%
2019年12月27日,22.74,22.82,23.05,22.69,10.13M,-0.39%
2019年12月26日,22.83,22.81,22.96,22.65,6.81M,0.00%
2019年12月25日,22.83,23.10,23.25,22.67,9.57M,-0.95%
2019年12月24日,23.05,23.01,23.29,22.88,9.96M,0.13%
2019年12月23日,23.02,23.08,23.33,22.91,10.38M,-0.26%
2019年12月20日,23.08,22.95,23.15,22.81,9.11M,0.79%
2019年12月19日,22.90,22.98,23.08,22.74,7.74M,-0.35%
2019年12月18日,22.98,23.15,23.23,22.79,10.38M,-0.82%
2019年12月17日,23.17,23.17,23.25,22.97,9.99M,0.00%
2019年12月16日,23.17,23.00,23.41,23.00,14.26M,1.05%
2019年12月13日,22.93,22.80,23.08,22.61,14.27M,1.91%
2019年12月12日,22.50,22.77,22.80,22.49,6.25M,-0.62%
2019年12月11日,22.64,22.40,22.83,22.21,14.40M,1.62%
2019年12月10日,22.28,22.23,22.33,22.13,4.69M,0.18%
2019年12月9日,22.24,22.06,22.38,22.00,6.94M,0.72%
2019年12月6日,22.08,22.09,22.18,21.96,5.82M,0.59%
2019年12月5日,21.95,21.90,22.08,21.86,4.71M,0.46%
2019年12月4日,21.85,21.79,21.86,21.72,3.56M,-0.09%
2019年12月3日,21.87,21.99,22.02,21.71,10.41M,-1.17%
2019年12月2日,22.13,22.19,22.34,22.06,5.93M,-0.45%
