日期,收盘,开盘,高峰,低峰,交易量,涨跌幅
2020年3月27日,35.99,36.63,36.80,35.92,47.79M,0.50%
2020年3月26日,35.81,35.60,36.64,35.50,36.45M,-0.50%
2020年3月25日,35.99,36.30,36.47,35.70,41.98M,1.44%
2020年3月24日,35.48,35.46,35.69,34.51,39.86M,2.13%
2020年3月23日,34.74,35.00,35.66,34.31,46.67M,-4.11%
2020年3月20日,36.23,37.01,37.20,35.90,41.71M,-0.77%
2020年3月19日,36.51,35.80,36.82,34.89,56.52M,2.47%
2020年3月18日,35.63,36.58,37.47,35.56,55.15M,-1.82%
2020年3月17日,36.29,36.58,36.97,34.70,57.67M,0.53%
2020年3月16日,36.10,38.60,38.60,35.81,65.40M,-5.77%
2020年3月13日,38.31,36.00,39.14,36.00,67.12M,-0.34%
2020年3月12日,38.44,39.00,39.08,37.90,67.80M,-3.66%
2020年3月11日,39.90,41.39,41.75,39.78,64.94M,-3.11%
2020年3月10日,41.18,39.38,41.20,39.20,78.23M,3.60%
2020年3月9日,39.75,40.62,41.17,39.56,80.78M,-5.02%
2020年3月6日,41.85,41.88,42.65,41.45,68.07M,-2.22%
2020年3月5日,42.80,44.50,44.68,41.98,103.10M,-1.06%
2020年3月4日,43.26,43.28,44.44,41.88,125.57M,-1.23%
2020年3月3日,43.80,41.70,44.86,41.26,189.31M,7.41%
2020年3月2日,40.78,39.85,41.22,39.12,87.23M,5.68%
2020年2月28日,38.59,39.39,40.42,38.50,89.77M,-5.86%
2020年2月27日,40.99,39.96,41.83,39.15,91.11M,3.04%
2020年2月26日,39.78,41.00,41.19,39.40,91.68M,-5.29%
2020年2月25日,42.00,41.43,42.13,39.74,117.80M,-0.94%
2020年2月24日,42.40,41.99,43.19,41.35,115.41M,2.56%
2020年2月21日,41.34,39.05,42.22,39.05,143.47M,5.97%
2020年2月20日,39.01,38.88,39.27,38.15,61.61M,0.91%
2020年2月19日,38.66,39.71,39.71,38.62,84.48M,-3.47%
2020年2月18日,40.05,39.71,40.52,39.13,97.06M,1.29%
2020年2月17日,39.54,38.36,39.66,38.30,94.93M,3.08%
2020年2月14日,38.36,38.20,39.14,38.05,62.52M,-0.16%
2020年2月13日,38.42,39.10,39.50,38.20,74.66M,-2.24%
2020年2月12日,39.30,37.88,39.35,37.60,104.57M,3.89%
2020年2月11日,37.83,39.40,39.68,37.69,83.44M,-3.05%
2020年2月10日,39.02,39.11,39.70,38.10,84.30M,0.41%
2020年2月7日,38.86,38.88,39.80,38.10,107.46M,-1.12%
2020年2月6日,39.30,38.32,39.37,37.80,130.99M,2.91%
2020年2月5日,38.19,35.99,38.67,35.20,159.25M,8.65%
2020年2月4日,35.15,32.55,35.15,32.50,106.70M,10.02%
2020年2月3日,31.95,31.67,33.65,31.67,96.52M,-9.21%
2020年1月23日,35.19,36.36,36.60,34.40,64.97M,-4.53%
2020年1月22日,36.86,35.86,36.98,35.75,50.92M,2.30%
2020年1月21日,36.03,36.57,36.95,35.98,34.98M,-1.61%
2020年1月20日,36.62,36.00,36.73,35.62,41.31M,1.84%
2020年1月17日,35.96,36.51,36.56,35.86,31.25M,-0.99%
2020年1月16日,36.32,36.28,36.76,36.15,32.83M,0.11%
2020年1月15日,36.28,36.31,36.70,35.80,34.32M,-0.33%
2020年1月14日,36.40,37.10,37.18,36.35,37.47M,-1.60%
2020年1月13日,36.99,36.35,37.28,36.20,50.10M,2.01%
2020年1月10日,36.26,36.45,37.11,36.01,39.59M,-0.77%
2020年1月9日,36.54,36.58,36.84,36.24,46.48M,1.36%
2020年1月8日,36.05,36.45,36.66,36.03,47.13M,-1.90%
2020年1月7日,36.75,36.71,36.82,36.21,49.73M,0.08%
2020年1月6日,36.72,34.30,37.63,34.21,124.34M,5.94%
2020年1月3日,34.66,34.96,35.29,34.43,44.02M,-1.08%
2020年1月2日,35.04,34.61,35.54,34.61,48.84M,1.62%
2019年12月31日,34.48,34.30,34.85,34.21,25.08M,0.06%
2019年12月30日,34.46,34.30,34.61,33.60,34.23M,0.47%
2019年12月27日,34.30,35.40,35.75,34.30,59.30M,-3.49%
2019年12月26日,35.54,34.78,35.85,34.17,94.60M,4.38%
2019年12月25日,34.05,33.76,34.16,33.60,29.97M,0.98%
2019年12月24日,33.72,33.06,33.73,33.00,20.96M,1.97%
2019年12月23日,33.07,33.75,34.21,32.99,32.19M,-1.08%
2019年12月20日,33.43,34.06,34.12,33.38,28.26M,-1.50%
2019年12月19日,33.94,33.88,34.20,33.72,28.31M,0.41%
2019年12月18日,33.80,33.78,34.29,33.65,37.96M,0.09%
2019年12月17日,33.77,33.76,34.09,33.42,44.29M,0.36%
2019年12月16日,33.65,32.90,33.74,32.80,53.29M,2.91%
2019年12月13日,32.70,32.56,32.80,32.33,31.56M,1.55%
2019年12月12日,32.20,32.50,32.51,32.08,26.76M,-1.32%
